Supplemental Table 2.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERSONS OBTAINING LEGAL PERMANENT RESIDENT STATUS BY LEADING CORE-BASED STATISTICAL AREAS (CBSAs) OF RESIDENCE AND REGION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AND COUNTRY OF BIRTH: FISCAL YEAR 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region and country of birth,Total,"New York-Northern New Jersey-Long Island, NY-NJ-PA","Los Angeles-Long Beach-Santa Ana, CA","Miami-Fort Lauderdale-Pompano Beach, FL","Washington-Arlington-Alexandria, DC-VA-MD-WV","Chicago-Naperville-Joliet, IL-IN-WI","San Francisco-Oakland-Fremont, CA","Houston-Sugar Land-Baytown, TX","Dallas-Fort Worth-Arlington, TX","Boston-Cambridge-Quincy, MA-NH","Atlanta-Sandy Springs-Marietta, GA","San Diego-Carlsbad-San Marcos, CA","Seattle-Tacoma-Bellevue, WA","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","San Jose-Sunnyvale-Santa Clara, CA","Riverside-San Bernardino-Ontario, CA","Minneapolis-St. Paul-Bloomington, MN-WI","Phoenix-Mesa-Scottsdale, AZ","Detroit-Warren-Livonia, MI","Orlando-Kissimmee, FL","Las Vegas-Paradise, NV","Tampa-St. Petersburg-Clearwater, FL","Sacramento--Arden-Arcade-Roseville, CA","Denver-Aurora-Broomfield, CO","Baltimore-Towson, MD","Portland-Vancouver-Beaverton, OR-WA","Columbus, OH","Austin-Round Rock, TX","Bridgeport-Stamford-Norwalk, CT","Providence-New Bedford-Fall River, RI-MA","Honolulu, HI","San Antonio, TX","Charlotte-Gastonia-Concord, NC-SC","El Paso, TX","Nashville-Davidson-Murfreesboro-Franklin, TN","Salt Lake City, UT","Hartford-West Hartford-East Hartford, CT","Indianapolis-Carmel, IN","Raleigh-Cary, NC","Kansas City, MO-KS","Saint Louis, MO-IL","San Juan-Caguas-Guaynabo, PR","Jacksonville, FL","Tucson, AZ","Fresno, CA","Oxnard-Thousand Oaks-Ventura, CA","Stockton, CA","Bakersfield, CA","Worcester, MA","McAllen-Edinburg-Mission, TX","Cleveland-Elyria-Mentor, OH",Non-CBSA,Other & Unknown,,
REGION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,"1,130,818","189,860","97,539","83,936","42,567","38,840","32,304","32,022","29,022","26,346","23,344","20,779","20,712","18,936","18,677","17,010","14,958","14,349","12,856","11,408","10,307","10,296","9,358","8,468","8,268","7,844","6,006","5,698","5,334","5,187","5,000","4,917","4,844","4,593","4,498","4,241","4,216","4,108","4,094","4,085","3,792","3,740","3,659","3,569","3,567","3,535","3,240","3,146","3,146","3,143","3,081","14,556","211,817",,
Africa,"127,050","15,171","3,239",827,"11,440","3,276","1,471","3,620","4,673","4,771","5,628","1,390","4,076","3,932",732,645,"7,834","1,843",751,718,939,554,423,"2,018","2,185",996,"3,488",520,292,"1,497",41,303,817,37,"1,627",759,470,896,893,"1,062",811,D,518,665,64,69,84,50,948,D,423,658,"26,885",,
Asia,"413,312","70,000","52,971","4,326","16,110","14,732","20,803","10,736","10,065","7,766","8,181","8,929","9,820","8,021","13,583","5,440","4,327","4,419","8,426","1,901","3,862","2,039","4,537","2,552","3,805","3,238","1,492","2,113","1,177",884,"4,433","1,359","1,532",215,"1,617","1,552","1,428","2,039","1,553","1,512","1,765",102,"1,457",908,"1,314","1,240","1,822","1,039",831,202,"1,383","4,944","72,810",,
Europe,"105,398","18,107","5,087","3,472","3,002","8,256","2,817","1,864","1,434","3,141","1,955","1,270","3,702","2,548","1,476",636,"1,059","1,101","2,267","1,051",835,"1,297","2,110",978,730,"1,700",384,541,959,488,158,265,514,91,287,326,798,349,470,298,593,95,592,213,119,261,56,77,D,D,759,"1,361","22,980",,
North America,"375,236","60,076","31,848","51,379","7,487","10,857","5,251","12,980","11,496","7,780","4,963","8,494","2,233","3,453","2,291","9,472","1,153","6,401","1,161","4,430","4,079","4,589","1,664","2,514","1,135","1,607",438,"2,227","1,611","1,716",118,"2,773","1,236","4,183",745,974,985,629,873,968,403,"2,964",712,"1,679","1,984","1,815","1,172","1,884",485,"2,823",360,"6,832","73,854",,
Oceania,"5,578",449,422,70,121,124,503,84,98,69,67,107,270,68,153,100,50,67,26,31,46,19,401,57,30,110,16,30,34,18,154,16,31,6,20,84,5,5,12,22,19,D,9,8,21,14,57,4,D,-,16,125,"1,307",,
South America,"102,878","25,885","3,897","23,766","4,360","1,475","1,403","2,698","1,218","2,797","2,517",577,588,887,431,694,520,510,211,"3,267",537,"1,784",208,341,380,187,171,264,"1,258",581,95,197,710,59,195,544,528,170,284,217,189,567,367,91,62,132,48,88,440,68,131,627,"13,657",,
Unknown,"1,366",172,75,96,47,120,56,40,38,22,33,12,23,27,11,23,15,8,14,10,9,14,15,8,3,6,17,3,3,3,1,4,4,2,7,2,2,20,9,6,12,6,4,5,3,4,1,4,3,2,9,9,324,,
COUNTRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
