Supplemental Table 2.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERSONS OBTAINING LEGAL PERMANENT RESIDENT STATUS BY LEADING CORE BASED STATISTICAL AREAS (CBSAs) OF RESIDENCE AND REGION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AND COUNTRY OF BIRTH: FISCAL YEAR 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region and country of birth,Total,"New York-Northern New Jersey-Long Island, NY-NJ-PA","Los Angeles-Long Beach-Santa Ana, CA","Miami-Fort Lauderdale-Pompano Beach, FL","Washington-Arlington-Alexandria, DC-VA-MD-WV","Chicago-Joliet-Naperville, IL-IN-WI","Houston-Sugar Land-Baytown, TX","San Francisco-Oakland-Fremont, CA","Dallas-Fort Worth-Arlington, TX","Boston-Cambridge-Quincy, MA-NH","Atlanta-Sandy Springs-Marietta, GA","San Diego-Carlsbad-San Marcos, CA","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","Seattle-Tacoma-Bellevue, WA","San Jose-Sunnyvale-Santa Clara, CA","Riverside-San Bernardino-Ontario, CA","Phoenix-Mesa-Glendale, AZ","Detroit-Warren-Livonia, MI","Minneapolis-St. Paul-Bloomington, MN-WI","Orlando-Kissimmee-Sanford, FL","Denver-Aurora-Broomfield, CO","Las Vegas-Paradise, NV","Tampa-St. Petersburg-Clearwater, FL","Baltimore-Towson, MD","Sacramento--Arden-Arcade--Roseville, CA","Portland-Vancouver-Hillsboro, OR-WA","Austin-Round Rock-San Marcos, TX","San Antonio-New Braunfels, TX","El Paso, TX","Charlotte-Gastonia-Rock Hill, NC-SC","Columbus, OH","Honolulu, HI","Providence-New Bedford-Fall River, RI-MA","Bridgeport-Stamford-Norwalk, CT","Indianapolis-Carmel, IN","Nashville-Davidson--Murfreesboro--Franklin, TN","Hartford-West Hartford-East Hartford, CT","Kansas City, MO-KS","Salt Lake City, UT","Raleigh-Cary, NC","McAllen-Edinburg-Mission, TX","St. Louis, MO-IL","Jacksonville, FL","Worcester, MA","Cleveland-Elyria-Mentor, OH","Buffalo-Niagara Falls, NY","Stockton, CA","Tucson, AZ","Fresno, CA","San Juan-Caguas-Guaynabo, PR","Oxnard-Thousand Oaks-Ventura, CA",Non-CBSA,Other & Unknown
REGION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,"1,031,631","179,011","81,508","66,153","38,518","34,898","31,738","29,583","28,010","25,042","21,289","18,893","17,903","17,644","16,937","14,547","12,805","11,597","10,673","10,229","8,967","8,785","8,700","8,608","7,975","6,352","5,897","5,712","5,436","5,400","5,129","5,020","4,787","4,640","4,336","4,285","4,059","3,838","3,811","3,746","3,617","3,408","3,365","3,201","3,111","2,985","2,930","2,895","2,894","2,842","2,792","13,557","201,573"
Africa,"107,241","15,125","2,668",698,"10,806","2,633","3,511","1,272","4,208","4,197","4,538",846,"3,516","2,797",628,674,"1,181",644,"4,106",554,"1,888",828,540,"2,180",399,713,455,421,61,866,"2,268",43,"1,137",275,830,"1,174",400,733,392,825,11,473,298,901,409,549,95,280,52,D,68,694,"22,375"
Asia,"429,599","71,184","46,310","4,276","15,277","15,005","12,218","20,309","11,665","8,838","9,087","9,116","8,414","10,104","12,780","5,015","4,861","8,071","4,597","2,058","3,622","3,487","2,152","4,421","4,657","3,279","2,677","1,774",257,"2,422","2,028","4,488","1,012","1,028","2,464","2,004","1,603","1,834","1,591","1,680",249,"1,964","1,629","1,275","1,736","1,996","1,677",995,"1,176",130,"1,095","5,161","82,851"
Europe,"81,671","16,884","4,278","3,145","2,464","6,586","1,643","2,255","1,123","2,536","1,436","1,009","1,966","2,252","1,212",435,741,"1,558",610,925,614,647,872,606,976,829,338,229,79,370,313,155,394,843,244,201,590,211,229,324,25,373,362,273,532,175,60,133,61,101,154,987,"16,313"
North America,"327,771","53,579","24,983","41,974","6,230","9,269","11,802","4,379","9,800","7,129","4,241","7,389","3,199","1,767","1,918","7,849","5,592","1,116",968,"4,054","2,475","3,381","3,858","1,018","1,444","1,299","2,155","3,090","4,971","1,136",366,136,"1,732","1,384",637,714,"1,019",873,969,641,"3,267",445,794,432,289,224,"1,032","1,425","1,552","2,229","1,355","6,071","68,120"
Oceania,"4,742",445,473,68,94,85,92,410,64,69,42,79,52,236,116,89,77,18,21,14,54,58,23,23,318,82,31,9,3,13,11,122,13,26,8,30,15,25,94,6,-,13,17,8,7,5,21,D,10,D,14,98,"1,039"
South America,"79,401","21,598","2,752","15,961","3,605","1,194","2,434",931,"1,128","2,260","1,923",438,728,476,272,465,338,178,364,"2,614",303,382,"1,240",350,174,146,239,180,64,581,133,73,496,"1,082",136,154,428,158,533,265,64,129,259,311,128,36,45,D,40,D,106,533,"10,540"
Unknown,"1,206",196,44,31,42,126,38,27,22,13,22,16,28,12,11,20,15,12,7,10,11,2,15,10,7,4,2,9,1,12,10,3,3,2,17,8,4,4,3,5,1,11,6,1,10,-,-,1,3,1,-,13,335
COUNTRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,"1,031,631","179,011","81,508","66,153","38,518","34,898","31,738","29,583","28,010","25,042","21,289","18,893","17,903","17,644","16,937","14,547","12,805","11,597","10,673","10,229","8,967","8,785","8,700","8,608","7,975","6,352","5,897","5,712","5,436","5,400","5,129","5,020","4,787","4,640","4,336","4,285","4,059","3,838","3,811","3,746","3,617","3,408","3,365","3,201","3,111","2,985","2,930","2,895","2,894","2,842","2,792","13,557","201,573"
Afghanistan,"1,617",150,97,5,234,15,17,218,19,11,61,78,18,23,35,22,25,8,9,D,21,14,D,13,75,17,11,D,D,-,D,-,-,4,D,6,5,D,13,9,-,18,12,D,6,D,24,9,-,-,9,D,289
Albania,"3,364","1,034",12,24,44,171,23,5,26,291,8,8,208,15,7,5,21,418,6,23,D,9,90,8,D,10,-,D,D,3,10,-,5,31,D,13,71,D,-,3,D,27,112,105,39,D,D,-,-,-,8,23,435
Algeria,"1,369",267,43,23,71,79,35,94,8,92,21,11,133,14,12,4,3,19,9,9,28,3,17,7,14,D,13,10,D,9,34,D,6,-,10,D,9,23,D,15,-,5,D,9,6,D,-,D,-,-,-,6,189
Andorra,D,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Angola,187,20,4,8,7,D,16,-,6,39,4,-,3,-,D,-,3,-,-,-,D,D,D,D,D,D,D,-,-,9,-,-,12,D,-,-,-,-,-,4,-,-,D,-,D,5,-,-,-,-,-,D,29
Anguilla,23,D,-,D,D,D,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,6,3
Antigua-Barbuda,337,168,D,28,4,-,4,D,D,5,9,D,3,-,-,-,D,D,-,11,-,-,4,D,-,-,D,D,-,-,3,D,3,D,D,D,D,-,-,-,-,-,-,-,-,D,-,-,-,-,-,37,39
