Supplemental Table 2.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERSONS OBTAINING LAWFUL PERMANENT RESIDENT STATUS BY LEADING CORE BASED STATISTICAL AREAS (CBSAs) OF RESIDENCE AND REGION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AND COUNTRY OF BIRTH: FISCAL YEAR 2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region and country of birth,Total,"New York-Northern New Jersey-Long Island, NY-NJ-PA","Los Angeles-Long Beach-Santa Ana, CA","Miami-Fort Lauderdale-Pompano Beach, FL","Washington-Arlington-Alexandria, DC-VA-MD-WV","Chicago-Joliet-Naperville, IL-IN-WI","Houston-Sugar Land-Baytown, TX","San Francisco-Oakland-Fremont, CA","Dallas-Fort Worth-Arlington, TX","Boston-Cambridge-Quincy, MA-NH","Atlanta-Sandy Springs-Marietta, GA","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","Seattle-Tacoma-Bellevue, WA","San Jose-Sunnyvale-Santa Clara, CA","San Diego-Carlsbad-San Marcos, CA","Riverside-San Bernardino-Ontario, CA","Detroit-Warren-Livonia, MI","Phoenix-Mesa-Glendale, AZ","Minneapolis-St. Paul-Bloomington, MN-WI","Orlando-Kissimmee-Sanford, FL","Baltimore-Towson, MD","Las Vegas-Paradise, NV","Tampa-St. Petersburg-Clearwater, FL","Sacramento--Arden-Arcade--Roseville, CA","Denver-Aurora-Broomfield, CO","Austin-Round Rock-San Marcos, TX","Portland-Vancouver-Hillsboro, OR-WA","El Paso, TX","San Antonio-New Braunfels, TX","Charlotte-Gastonia-Rock Hill, NC-SC","Columbus, OH","Honolulu, HI","Bridgeport-Stamford-Norwalk, CT","Nashville-Davidson--Murfreesboro--Franklin, TN","Providence-New Bedford-Fall River, RI-MA","Indianapolis-Carmel, IN","Raleigh-Cary, NC","Kansas City, MO-KS","Salt Lake City, UT","Hartford-West Hartford-East Hartford, CT","McAllen-Edinburg-Mission, TX","St. Louis, MO-IL","Jacksonville, FL","Cleveland-Elyria-Mentor, OH","Fresno, CA","Worcester, MA","Oxnard-Thousand Oaks-Ventura, CA","Cincinnati-Middletown, OH-KY-IN","San Juan-Caguas-Guaynabo, PR","Milwaukee-Waukesha-West Allis, WI","Pittsburgh, PA",Non-CBSA,Other & Unknown,,
REGION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,"990,553","167,393","79,893","66,636","39,170","32,819","31,953","30,600","26,760","23,867","20,054","18,121","17,865","17,292","16,567","14,026","11,131","11,025","10,478","10,200","8,599","8,381","8,360","7,504","7,498","6,015","5,934","5,261","5,082","5,053","4,868","4,656","4,468","4,275","4,263","3,944","3,798","3,696","3,403","3,373","3,267","3,187","3,170","3,076","2,853","2,853","2,801","2,762","2,706","2,686","2,645","12,844","191,422",,
Africa,"98,304","13,983","2,958",693,"10,798","2,302","3,345","1,381","3,968","3,807","3,893","3,180","2,685",553,679,752,687,828,"3,685",675,"2,053",763,574,340,"1,495",470,521,84,253,784,"1,826",40,220,"1,315",991,774,695,629,415,303,13,429,283,402,91,749,52,731,11,246,240,709,"18,951",,
Asia,"400,548","62,646","43,834","4,090","15,146","14,140","11,944","19,779","11,150","7,935","8,757","8,397","10,021","12,591","7,753","4,937","7,584","3,832","4,380","2,066","4,475","3,265","2,059","4,270","2,703","2,558","2,988",176,"1,484","2,081","2,158","4,114",993,"1,885",823,"2,194","1,793","1,667","1,285","1,379",205,"1,892","1,482","1,636","1,157","1,041","1,186","1,231",98,"1,467","1,722","4,779","77,320",,
Europe,"86,556","16,472","4,642","3,661","2,705","6,721","1,921","2,908","1,161","2,992","1,478","2,219","2,451","1,612","1,171",451,"1,598",829,704,946,629,734,950,"1,018",616,459,874,82,223,450,296,192,787,248,417,223,327,232,204,456,16,396,366,569,69,315,198,368,74,305,399,"1,075","16,347",,
North America,"315,660","51,039","24,831","41,680","6,820","8,081","11,892","4,912","9,022","6,766","3,981","3,311","1,960","2,067","6,380","7,195","1,036","5,144","1,158","3,927","1,078","3,126","3,525","1,402","2,251","2,211","1,239","4,836","2,894","1,050",424,117,"1,308",687,"1,515",533,744,998,896,829,"2,956",310,740,318,"1,486",420,"1,240",307,"2,152",563,191,"5,643","66,469",,
Oceania,"5,277",542,555,56,89,96,123,408,75,91,65,60,264,118,103,85,31,54,44,25,32,54,27,290,63,40,122,D,6,21,13,93,34,24,11,24,12,11,127,6,-,14,13,11,6,7,21,9,3,D,16,97,"1,183",,
South America,"80,945","22,102","2,846","16,337","3,516","1,343","2,652","1,123","1,239","2,205","1,827",866,439,324,401,552,155,308,478,"2,538",306,404,"1,203",148,344,261,172,72,210,651,136,66,"1,112",110,491,175,220,149,476,393,70,134,276,126,33,309,94,103,358,87,69,479,"10,457",,
Unknown,"3,263",609,227,119,96,136,76,89,145,71,53,88,45,27,80,54,40,30,29,23,26,35,22,36,26,16,18,D,12,16,15,34,14,6,15,21,7,10,-,7,7,12,10,14,11,12,10,13,10,D,8,62,695,,
COUNTRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
