Supplemental Table 2.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERSONS OBTAINING LAWFUL PERMANENT RESIDENT STATUS BY LEADING CORE BASED STATISTICAL AREAS (CBSAs) OF RESIDENCE AND REGION AND COUNTRY OF BIRTH: FISCAL YEAR 2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region and country of birth,Total,"New York-Newark-Jersey City, NY-NJ-PA","Los Angeles-Long Beach-Anaheim, CA","Miami-Fort Lauderdale-West Palm Beach, FL","Washington-Arlington-Alexandria, DC-VA-MD-WV","Houston-The Woodlands-Sugar Land, TX","Chicago-Naperville-Elgin, IL-IN-WI","San Francisco-Oakland-Hayward, CA","Dallas-Fort Worth-Arlington, TX","Boston-Cambridge-Newton, MA-NH","Atlanta-Sandy Springs-Roswell, GA","San Jose-Sunnyvale-Santa Clara, CA","San Diego-Carlsbad, CA","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","Seattle-Tacoma-Bellevue, WA","Riverside-San Bernardino-Ontario, CA","Detroit-Warren-Dearborn, MI","Phoenix-Mesa-Scottsdale, AZ","Minneapolis-Saint Paul-Bloomington, MN-WI","Orlando-Kissimmee-Sanford, FL","Tampa-Saint Petersburg-Clearwater, FL","Sacramento--Roseville--Arden-Arcade, CA","Las Vegas-Henderson-Paradise, NV","Baltimore-Columbia-Towson, MD","Denver-Aurora-Lakewood, CO","Portland-Vancouver-Hillsboro, OR-WA","Austin-Round Rock, TX","Charlotte-Concord-Gastonia, NC-SC","San Antonio-New Braunfels, TX","Columbus, OH","Nashville-Davidson--Murfreesboro--Franklin, TN","Bridgeport-Stamford-Norwalk, CT","El Paso, TX","Urban Honolulu, HI","Indianapolis-Carmel-Anderson, IN","Providence-Warwick, RI-MA","Raleigh, NC","Salt Lake City, UT","Kansas City, MO-KS","Hartford-West Hartford-East Hartford, CT","Saint Louis, MO-IL","Jacksonville, FL","Louisville/Jefferson County, KY-IN","Cleveland-Elyria, OH","McAllen-Edinburg-Mission, TX","Cincinnati, OH-KY-IN","Worcester, MA-CT","Stockton-Lodi, CA","Fresno, CA","Virginia Beach-Norfolk-Newport News, VA-NC","Milwaukee-Waukesha-West Allis, WI",Non-CBSA,Other & Unknown
REGION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,"1,016,518","174,714","80,527","72,038","39,531","33,856","33,042","32,904","28,780","24,026","19,626","18,590","17,670","17,665","17,529","13,362","12,814","11,956","11,202","10,217","9,647","8,724","8,652","8,437","7,375","6,228","6,134","5,421","5,404","5,287","4,584","4,414","4,403","4,358","4,251","4,193","4,028","3,967","3,654","3,439","3,279","3,266","3,209","3,074","3,045","2,999","2,983","2,982","2,878","2,755","2,685","13,442","187,272"
Africa,"98,413","13,263","2,848",722,"10,436","3,456","2,285","1,476","4,040","3,621","3,889",505,616,"3,169","2,437",732,630,929,"4,418",695,672,378,647,"1,988","1,460",540,454,841,338,"1,889","1,310",203,70,40,814,838,801,381,624,284,477,273,500,389,18,604,694,88,60,349,257,"1,034","18,931"
Asia,"430,508","68,443","45,401","4,600","16,582","13,651","15,656","21,162","13,443","8,621","8,884","13,888","9,228","8,498","10,432","5,012","9,453","4,624","4,376","2,166","2,543","5,601","3,518","4,491","2,900","3,239","2,639","2,269","1,859","2,561","2,062","1,189",226,"3,852","2,300",947,"1,845","1,624","1,647","1,436","1,915","1,577","1,256","1,704",197,"1,612","1,209","1,846","1,210","1,542","1,467","5,374","76,731"
Europe,"83,266","16,882","4,661","3,978","2,568","1,858","6,045","2,959","1,032","2,873","1,382","1,625","1,061","2,084","1,911",385,"1,556",834,655,"1,093",988,880,761,593,612,760,442,463,233,312,256,658,78,162,270,367,369,230,189,487,373,382,160,507,D,301,289,D,67,322,300,"1,004","14,944"
North America,"324,354","53,482","24,555","48,317","6,751","12,534","7,741","5,734","8,955","6,757","3,890","2,080","6,249","3,118","2,058","6,797",986,"5,214","1,197","3,801","4,462","1,449","3,328","1,055","2,118","1,483","2,286","1,286","2,750",380,793,"1,378","3,971",124,717,"1,621",804,"1,126","1,019",840,367,723,"1,215",358,"2,756",357,434,941,"1,507",427,581,"5,470","66,012"
Oceania,"5,112",619,524,72,91,97,113,445,98,73,49,126,92,38,256,60,32,46,41,24,21,273,37,23,45,54,35,22,19,14,29,25,D,113,14,D,8,137,20,D,24,9,D,12,D,11,D,21,D,D,19,99,"1,082"
South America,"73,715","21,818","2,476","14,325","3,057","2,232","1,168","1,097","1,084","2,059","1,518",353,412,738,416,364,151,293,503,"2,429",954,136,350,280,234,143,272,528,201,126,130,958,53,53,126,408,197,466,148,382,123,298,71,95,55,105,346,34,28,106,58,442,"9,316"
Unknown,"1,150",207,62,24,46,28,34,31,128,22,14,13,12,20,19,12,6,16,12,9,7,7,11,7,6,9,6,12,4,5,4,3,D,14,10,D,4,3,7,D,-,4,D,9,D,9,D,D,D,D,3,19,256
COUNTRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,"1,016,518","174,714","80,527","72,038","39,531","33,856","33,042","32,904","28,780","24,026","19,626","18,590","17,670","17,665","17,529","13,362","12,814","11,956","11,202","10,217","9,647","8,724","8,652","8,437","7,375","6,228","6,134","5,421","5,404","5,287","4,584","4,414","4,403","4,358","4,251","4,193","4,028","3,967","3,654","3,439","3,279","3,266","3,209","3,074","3,045","2,999","2,983","2,982","2,878","2,755","2,685","13,442","187,272"
Afghanistan,"10,527",454,428,18,"1,661",350,98,890,454,94,209,94,379,77,276,178,24,125,32,17,50,939,62,97,71,97,76,33,115,31,60,5,15,21,24,4,69,66,27,11,62,76,35,48,-,15,7,195,D,139,D,130,"2,085"
Albania,"3,828","1,110",13,32,75,41,212,18,25,364,16,8,11,270,16,11,420,22,D,15,136,4,28,23,3,D,5,4,10,10,13,31,-,3,D,6,11,D,5,47,46,113,D,61,-,-,113,-,D,-,41,27,400
Algeria,"1,669",275,32,22,62,48,130,223,33,91,20,7,12,156,18,5,10,4,18,6,7,6,D,9,38,D,32,3,19,46,3,D,3,-,18,6,10,D,40,4,3,D,14,D,-,6,5,-,-,3,5,11,196
Andorra,D,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
