NAME,Afghanistan,Albania,Algeria,American Samoa,Angola,Anguilla,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia,Bosnia and Herzegovina,Botswana,Brazil,Brunei,Bulgaria,Burkina Faso,Burma,Burundi,Cambodia,Cameroon,Canada,Cabo Verde,Cayman Islands,Central African Republic,Chad,Chile,"China, People's Republic",Colombia,"Congo, Democratic Republic","Congo, Republic",Costa Rica,Croatia,Cuba,Cyprus,Czechia,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,Ethiopia,Fiji,Finland,French Polynesia,Gabon,Gambia,Georgia,Germany,Ghana,Greece,Grenada,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,Hong Kong,Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,"Korea, North","Korea, South",Kuwait,Kyrgyzstan,Laos,Latvia,Lebanon,Liberia,Libya,Lithuania,Luxembourg,Macau,North Macedonia,Madagascar,Malawi,Malaysia,Mali,Malta,Marshall Islands,Martinique,Mauritania,Mauritius,Mexico,Moldova,Mongolia,Montserrat,Morocco,Mozambique,Namibia,Nepal,Netherlands,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,Oman,Pakistan,Panama,Paraguay,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russia,Rwanda,Saint Kitts and Nevis,Saint Lucia,Saint Vincent and the Grenadines,Samoa,Sao Tome and Principe,Saudi Arabia,Senegal,Sierra Leone,Singapore,Slovakia,Slovenia,Somalia,South Africa,Spain,Sri Lanka,Sudan,Suriname,Swaziland,Sweden,Switzerland,Syria,Taiwan,Tajikistan,Tanzania,Thailand,Togo,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Turks and Caicos Islands,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States,Uruguay,Uzbekistan,Venezuela,Vietnam,Yemen,Zambia,Zimbabwe,Total
"New York-Northern New Jersey-Long Island, NY-NJ-PA",236.0,1382.0,308.0,,15.0,,198.0,776.0,223.0,5.0,335.0,80.0,198.0,37.0,21.0,9195.0,313.0,476.0,123.0,183.0,53.0,13.0,26.0,264.0,69.0,13.0,2047.0,3.0,317.0,150.0,430.0,32.0,45.0,154.0,1352.0,31.0,4.0,10.0,27.0,320.0,21025.0,5945.0,56.0,75.0,562.0,96.0,1027.0,38.0,18.0,69.0,,155.0,30228.0,6552.0,2841.0,2651.0,4.0,23.0,51.0,285.0,,38.0,,14.0,239.0,711.0,881.0,2466.0,198.0,533.0,964.0,768.0,4.0,4732.0,5729.0,1020.0,511.0,250.0,8.0,9867.0,393.0,587.0,210.0,385.0,1437.0,602.0,7807.0,982.0,520.0,267.0,377.0,12.0,3931.0,132.0,104.0,5.0,91.0,320.0,568.0,32.0,140.0,6.0,20.0,355.0,18.0,8.0,338.0,240.0,12.0,,,137.0,14.0,2394.0,184.0,30.0,10.0,1039.0,11.0,8.0,647.0,166.0,,105.0,194.0,25.0,2551.0,9.0,5588.0,277.0,209.0,3814.0,4400.0,2370.0,281.0,8.0,500.0,1257.0,19.0,91.0,498.0,378.0,,,160.0,400.0,504.0,98.0,201.0,16.0,16.0,290.0,264.0,517.0,139.0,105.0,,177.0,133.0,266.0,983.0,84.0,90.0,296.0,311.0,,3380.0,78.0,1308.0,57.0,,53.0,1828.0,95.0,2109.0,26.0,412.0,2141.0,703.0,487.0,1039.0,65.0,60.0,186102.0
"Los Angeles-Long Beach-Santa Ana, CA",159.0,23.0,48.0,,,,,433.0,2399.0,,231.0,52.0,175.0,3.0,,551.0,6.0,84.0,47.0,329.0,4.0,5.0,9.0,145.0,15.0,,651.0,,149.0,4.0,373.0,,667.0,88.0,854.0,3.0,,,,124.0,7219.0,696.0,28.0,17.0,95.0,27.0,283.0,9.0,6.0,55.0,,3.0,65.0,391.0,783.0,4280.0,,84.0,12.0,435.0,62.0,24.0,,3.0,5.0,139.0,415.0,127.0,48.0,8.0,2801.0,10.0,,37.0,36.0,542.0,453.0,128.0,14.0,2206.0,764.0,8209.0,331.0,64.0,799.0,203.0,164.0,1133.0,215.0,55.0,198.0,9.0,6208.0,73.0,11.0,37.0,24.0,434.0,15.0,24.0,39.0,,24.0,23.0,,3.0,151.0,4.0,3.0,3.0,,,3.0,21811.0,43.0,59.0,,137.0,4.0,,119.0,98.0,,64.0,421.0,,616.0,,714.0,58.0,16.0,1172.0,9946.0,139.0,22.0,4.0,312.0,392.0,3.0,,9.0,8.0,22.0,,75.0,31.0,35.0,81.0,23.0,6.0,54.0,212.0,122.0,300.0,23.0,6.0,,105.0,83.0,373.0,2002.0,6.0,22.0,947.0,13.0,30.0,53.0,22.0,313.0,21.0,,100.0,329.0,39.0,1058.0,10.0,50.0,134.0,176.0,4998.0,22.0,18.0,19.0,96500.0
"Miami-Fort Lauderdale-Pompano Beach, FL",,39.0,28.0,,10.0,4.0,34.0,2092.0,24.0,9.0,49.0,23.0,13.0,369.0,,353.0,43.0,53.0,34.0,50.0,,6.0,,294.0,14.0,3.0,2502.0,,84.0,,106.0,,14.0,17.0,596.0,,15.0,,,488.0,465.0,7997.0,5.0,7.0,319.0,21.0,26666.0,4.0,3.0,15.0,,35.0,2522.0,1325.0,76.0,411.0,,4.0,29.0,26.0,3.0,38.0,,,4.0,22.0,230.0,43.0,28.0,21.0,525.0,5.0,,245.0,9407.0,1062.0,21.0,133.0,6.0,432.0,24.0,112.0,33.0,22.0,512.0,239.0,4954.0,81.0,68.0,28.0,19.0,,178.0,22.0,8.0,5.0,14.0,103.0,10.0,6.0,37.0,,,15.0,,,18.0,3.0,3.0,,4.0,,,1527.0,40.0,,6.0,136.0,3.0,,13.0,55.0,,13.0,1682.0,3.0,148.0,4.0,342.0,262.0,88.0,3235.0,521.0,127.0,55.0,7.0,243.0,162.0,,32.0,56.0,26.0,,,22.0,7.0,6.0,8.0,20.0,5.0,,150.0,334.0,29.0,19.0,22.0,,52.0,43.0,41.0,60.0,3.0,13.0,154.0,5.0,,675.0,17.0,215.0,9.0,22.0,6.0,142.0,16.0,466.0,19.0,522.0,39.0,4955.0,190.0,4.0,13.0,18.0,83146.0
"Washington-Arlington-Alexandria, DC-VA-MD-WV",475.0,92.0,97.0,,7.0,,8.0,198.0,51.0,,83.0,28.0,30.0,5.0,5.0,792.0,21.0,24.0,31.0,7.0,38.0,7.0,,1098.0,33.0,5.0,334.0,,133.0,42.0,298.0,29.0,91.0,1130.0,332.0,3.0,,18.0,12.0,87.0,1512.0,611.0,142.0,86.0,73.0,15.0,49.0,,3.0,26.0,5.0,13.0,478.0,246.0,366.0,3205.0,,259.0,11.0,2961.0,5.0,15.0,,18.0,87.0,32.0,257.0,983.0,27.0,28.0,595.0,128.0,,220.0,211.0,375.0,56.0,33.0,3.0,2328.0,125.0,956.0,462.0,46.0,108.0,109.0,612.0,208.0,113.0,59.0,288.0,7.0,1666.0,42.0,22.0,24.0,11.0,131.0,402.0,9.0,14.0,,3.0,8.0,8.0,22.0,71.0,36.0,,,,18.0,20.0,942.0,30.0,106.0,,498.0,5.0,4.0,536.0,43.0,,30.0,181.0,11.0,1457.0,4.0,1709.0,74.0,29.0,1258.0,1573.0,116.0,28.0,9.0,152.0,343.0,14.0,5.0,23.0,12.0,,,109.0,126.0,754.0,29.0,17.0,3.0,158.0,98.0,63.0,131.0,298.0,9.0,,39.0,31.0,48.0,311.0,15.0,98.0,301.0,272.0,,206.0,32.0,252.0,13.0,,105.0,156.0,51.0,484.0,20.0,58.0,122.0,212.0,1105.0,17.0,36.0,67.0,41744.0
"Chicago-Naperville-Joliet, IL-IN-WI",34.0,335.0,70.0,,,,3.0,77.0,29.0,,87.0,15.0,10.0,8.0,7.0,149.0,4.0,163.0,15.0,107.0,30.0,,20.0,28.0,126.0,,178.0,,516.0,6.0,301.0,34.0,46.0,86.0,442.0,,,,,36.0,1560.0,414.0,45.0,61.0,20.0,39.0,126.0,5.0,10.0,18.0,3.0,,143.0,410.0,232.0,159.0,,47.0,12.0,331.0,7.0,8.0,,10.0,5.0,42.0,209.0,291.0,45.0,,455.0,20.0,,11.0,138.0,136.0,61.0,37.0,,3689.0,69.0,313.0,725.0,83.0,161.0,99.0,262.0,207.0,549.0,51.0,115.0,,856.0,75.0,19.0,19.0,34.0,77.0,86.0,7.0,391.0,,6.0,194.0,,6.0,58.0,9.0,,3.0,,7.0,,8732.0,77.0,79.0,,175.0,,,103.0,40.0,,25.0,47.0,,837.0,4.0,1350.0,31.0,3.0,205.0,2348.0,2892.0,5.0,11.0,450.0,306.0,37.0,,5.0,,,,88.0,15.0,22.0,33.0,42.0,8.0,176.0,87.0,64.0,53.0,69.0,,,27.0,19.0,245.0,163.0,,84.0,269.0,71.0,,27.0,18.0,148.0,14.0,,75.0,733.0,33.0,440.0,3.0,16.0,117.0,96.0,441.0,92.0,48.0,17.0,37857.0
"San Francisco-Oakland-Fremont, CA",413.0,13.0,132.0,,,,,83.0,42.0,,113.0,14.0,22.0,5.0,5.0,95.0,4.0,43.0,22.0,6.0,3.0,,14.0,33.0,19.0,,437.0,,105.0,,471.0,,104.0,30.0,482.0,8.0,,7.0,,54.0,5659.0,198.0,11.0,13.0,20.0,8.0,42.0,5.0,5.0,39.0,,,25.0,44.0,84.0,903.0,,103.0,7.0,285.0,225.0,12.0,5.0,,7.0,34.0,296.0,34.0,21.0,,568.0,11.0,,9.0,15.0,81.0,430.0,27.0,3.0,2932.0,251.0,548.0,72.0,117.0,165.0,81.0,46.0,401.0,104.0,41.0,127.0,,628.0,27.0,15.0,25.0,12.0,77.0,63.0,11.0,12.0,,41.0,4.0,,,113.0,10.0,7.0,,,,4.0,2725.0,15.0,190.0,,78.0,,,235.0,67.0,,54.0,278.0,,197.0,,508.0,26.0,,487.0,4568.0,70.0,20.0,,88.0,251.0,,,,,14.0,,61.0,15.0,14.0,72.0,11.0,3.0,17.0,67.0,53.0,49.0,31.0,3.0,,47.0,32.0,32.0,581.0,,15.0,216.0,,86.0,15.0,18.0,156.0,11.0,,16.0,174.0,22.0,562.0,4.0,8.0,73.0,45.0,992.0,297.0,6.0,11.0,31628.0
"Houston-Sugar Land-Baytown, TX",43.0,19.0,32.0,,14.0,,3.0,153.0,7.0,,63.0,5.0,13.0,19.0,6.0,232.0,3.0,9.0,20.0,46.0,8.0,,,92.0,24.0,,222.0,4.0,31.0,17.0,179.0,92.0,111.0,162.0,488.0,,,7.0,5.0,59.0,1228.0,910.0,85.0,60.0,38.0,9.0,658.0,,4.0,22.0,,20.0,109.0,160.0,150.0,1635.0,,86.0,3.0,235.0,6.0,9.0,,20.0,4.0,11.0,124.0,100.0,17.0,14.0,307.0,25.0,,38.0,41.0,420.0,73.0,14.0,,1751.0,78.0,413.0,345.0,15.0,84.0,69.0,163.0,106.0,134.0,41.0,221.0,,349.0,31.0,9.0,13.0,6.0,133.0,143.0,13.0,4.0,,,5.0,,,75.0,9.0,,,,,5.0,8643.0,8.0,6.0,,85.0,,,80.0,56.0,,13.0,119.0,,1383.0,7.0,1436.0,52.0,,227.0,1148.0,47.0,13.0,11.0,62.0,145.0,41.0,,30.0,7.0,,,79.0,34.0,40.0,39.0,8.0,,59.0,92.0,56.0,47.0,103.0,3.0,,26.0,21.0,63.0,231.0,3.0,172.0,153.0,11.0,,151.0,12.0,149.0,4.0,,19.0,73.0,45.0,639.0,7.0,21.0,54.0,811.0,1702.0,9.0,10.0,19.0,31622.0
"Dallas-Fort Worth-Arlington, TX",77.0,36.0,15.0,,4.0,,5.0,76.0,19.0,,60.0,,7.0,5.0,7.0,346.0,6.0,14.0,11.0,29.0,14.0,,68.0,40.0,41.0,4.0,262.0,,34.0,3.0,859.0,130.0,108.0,137.0,434.0,,,3.0,6.0,27.0,754.0,312.0,193.0,99.0,37.0,4.0,161.0,4.0,,22.0,4.0,,60.0,77.0,175.0,751.0,,54.0,8.0,615.0,8.0,40.0,,6.0,23.0,5.0,122.0,173.0,10.0,11.0,211.0,27.0,,15.0,15.0,209.0,24.0,10.0,,1941.0,65.0,456.0,252.0,10.0,124.0,35.0,101.0,81.0,161.0,22.0,694.0,,500.0,69.0,4.0,56.0,5.0,67.0,178.0,5.0,4.0,,,13.0,,12.0,95.0,,,,,5.0,3.0,9322.0,11.0,9.0,,67.0,,,404.0,19.0,,19.0,40.0,3.0,966.0,5.0,794.0,46.0,4.0,240.0,655.0,43.0,5.0,5.0,83.0,107.0,56.0,3.0,3.0,,,,63.0,18.0,62.0,16.0,10.0,,161.0,111.0,28.0,34.0,154.0,,,25.0,27.0,24.0,193.0,,154.0,297.0,36.0,7.0,32.0,,70.0,5.0,,41.0,84.0,25.0,310.0,7.0,13.0,49.0,151.0,1235.0,5.0,69.0,136.0,28645.0
"Boston-Cambridge-Quincy, MA-NH",15.0,364.0,107.0,,35.0,,16.0,70.0,52.0,,51.0,26.0,16.0,3.0,,234.0,36.0,69.0,17.0,4.0,7.0,4.0,8.0,40.0,24.0,3.0,1526.0,,111.0,3.0,80.0,23.0,377.0,98.0,410.0,1427.0,,,,33.0,1992.0,680.0,35.0,21.0,45.0,13.0,43.0,6.0,8.0,17.0,,20.0,3619.0,73.0,167.0,463.0,,46.0,3.0,339.0,,8.0,,3.0,13.0,16.0,200.0,115.0,57.0,,339.0,31.0,,46.0,1864.0,146.0,108.0,21.0,4.0,1336.0,106.0,172.0,86.0,222.0,214.0,120.0,332.0,143.0,33.0,41.0,393.0,,384.0,17.0,8.0,20.0,11.0,181.0,140.0,3.0,31.0,,5.0,15.0,3.0,,26.0,,,,4.0,6.0,4.0,179.0,29.0,8.0,13.0,611.0,,,202.0,36.0,,15.0,32.0,,329.0,,267.0,30.0,3.0,184.0,276.0,105.0,69.0,3.0,100.0,283.0,17.0,6.0,26.0,15.0,,,22.0,29.0,62.0,32.0,14.0,4.0,206.0,69.0,45.0,37.0,57.0,7.0,,28.0,29.0,42.0,179.0,6.0,47.0,136.0,24.0,,118.0,7.0,132.0,3.0,,221.0,163.0,13.0,458.0,5.0,20.0,26.0,115.0,698.0,5.0,9.0,20.0,25832.0
"Atlanta-Sandy Springs-Marietta, GA",85.0,8.0,19.0,,5.0,,14.0,70.0,8.0,,42.0,9.0,5.0,45.0,7.0,496.0,13.0,35.0,24.0,14.0,23.0,11.0,122.0,26.0,65.0,3.0,545.0,,94.0,13.0,538.0,79.0,78.0,227.0,284.0,,,,3.0,32.0,682.0,919.0,107.0,91.0,72.0,10.0,199.0,3.0,,25.0,,13.0,244.0,115.0,79.0,277.0,,102.0,4.0,893.0,,22.0,,13.0,101.0,25.0,158.0,434.0,11.0,13.0,214.0,120.0,,128.0,297.0,102.0,27.0,10.0,13.0,1417.0,83.0,310.0,200.0,21.0,110.0,45.0,891.0,103.0,45.0,27.0,483.0,,1038.0,38.0,4.0,33.0,18.0,53.0,327.0,8.0,29.0,,,5.0,,,62.0,22.0,,,,16.0,5.0,1924.0,77.0,,,83.0,3.0,,110.0,31.0,,22.0,38.0,3.0,1122.0,3.0,552.0,59.0,6.0,324.0,337.0,62.0,3.0,3.0,202.0,119.0,36.0,7.0,27.0,12.0,,,24.0,99.0,111.0,6.0,18.0,3.0,228.0,130.0,21.0,23.0,82.0,4.0,,23.0,5.0,23.0,91.0,6.0,178.0,305.0,99.0,,176.0,11.0,107.0,3.0,3.0,45.0,111.0,26.0,387.0,3.0,92.0,87.0,256.0,865.0,5.0,66.0,46.0,22891.0
