NAME,Afghanistan,Albania,Algeria,American Samoa,Angola,Anguilla,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia,Bosnia and Herzegovina,Botswana,Brazil,"Virgin Islands, British",Bulgaria,Burkina Faso,Burma,Burundi,Cambodia,Cameroon,Canada,Cabo Verde,Cayman Islands,Central African Republic,Chad,Chile,"China, People's Republic",Colombia,"Congo, Democratic Republic","Congo, Republic",Costa Rica,Croatia,Cuba,Cyprus,Czechia,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,Ethiopia,Fiji,Finland,French Polynesia,Gabon,Gambia,Georgia,Germany,Ghana,Greece,Grenada,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,Hong Kong,Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,"Korea, North","Korea, South",Kuwait,Kyrgyzstan,Laos,Latvia,Lebanon,Lesotho,Liberia,Libya,Lithuania,Luxembourg,Macau,North Macedonia,Madagascar,Malawi,Malaysia,Mali,Malta,Marshall Islands,Mauritania,Mauritius,Mexico,Moldova,Mongolia,Montenegro,Montserrat,Morocco,Mozambique,Namibia,Nepal,Netherlands,New Zealand,Nicaragua,Niger,Nigeria,Oman,Pakistan,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russia,Rwanda,Saint Kitts and Nevis,Saint Lucia,Saint Vincent and the Grenadines,Samoa,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Sierra Leone,Singapore,Slovakia,Slovenia,Solomon Islands,Somalia,South Africa,Spain,Sri Lanka,Sudan,Suriname,Swaziland,Sweden,Switzerland,Syria,Taiwan,Tajikistan,Tanzania,Thailand,Togo,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Turks and Caicos Islands,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States,Uruguay,Uzbekistan,Venezuela,Vietnam,Yemen,Zambia,Zimbabwe,Total
"New York-Northern New Jersey-Long Island, NY-NJ-PA",195.0,1331.0,283.0,,20.0,,160.0,557.0,263.0,8.0,343.0,89.0,186.0,35.0,13.0,8108.0,245.0,549.0,115.0,134.0,46.0,7.0,80.0,237.0,53.0,6.0,1842.0,14.0,274.0,159.0,373.0,18.0,48.0,231.0,1125.0,29.0,8.0,12.0,27.0,317.0,19811.0,5295.0,38.0,50.0,490.0,76.0,832.0,30.0,19.0,82.0,,136.0,33706.0,6577.0,3190.0,2752.0,,34.0,40.0,278.0,8.0,33.0,,18.0,224.0,862.0,782.0,2136.0,205.0,465.0,898.0,645.0,3.0,4973.0,5652.0,1055.0,497.0,212.0,17.0,11388.0,258.0,457.0,239.0,374.0,1188.0,528.0,7511.0,799.0,403.0,246.0,430.0,,3415.0,91.0,102.0,6.0,87.0,260.0,3.0,319.0,31.0,116.0,3.0,24.0,286.0,7.0,6.0,318.0,241.0,12.0,,134.0,9.0,2911.0,196.0,16.0,78.0,10.0,931.0,9.0,5.0,836.0,159.0,82.0,197.0,14.0,2127.0,3.0,4487.0,268.0,,184.0,3440.0,4047.0,2468.0,263.0,24.0,449.0,1283.0,16.0,94.0,415.0,406.0,,,143.0,396.0,,358.0,118.0,149.0,11.0,,8.0,240.0,276.0,499.0,147.0,122.0,,127.0,122.0,261.0,771.0,108.0,80.0,270.0,283.0,,2981.0,53.0,1137.0,79.0,4.0,45.0,1821.0,119.0,1660.0,31.0,300.0,2934.0,695.0,456.0,1400.0,56.0,82.0,182712.0
"Los Angeles-Long Beach-Santa Ana, CA",138.0,21.0,55.0,,4.0,,3.0,387.0,2020.0,,267.0,44.0,127.0,6.0,4.0,494.0,4.0,61.0,32.0,309.0,7.0,3.0,11.0,120.0,24.0,,502.0,,147.0,3.0,366.0,,508.0,95.0,787.0,,,,,111.0,7087.0,576.0,21.0,17.0,89.0,25.0,264.0,7.0,7.0,49.0,,4.0,69.0,279.0,710.0,4148.0,,63.0,19.0,402.0,52.0,19.0,3.0,,8.0,93.0,383.0,77.0,34.0,6.0,2478.0,3.0,,10.0,34.0,530.0,420.0,74.0,7.0,2479.0,595.0,5360.0,624.0,59.0,545.0,212.0,133.0,919.0,178.0,60.0,162.0,11.0,5298.0,70.0,15.0,27.0,20.0,383.0,,8.0,10.0,45.0,,32.0,18.0,3.0,5.0,138.0,7.0,,,,3.0,19553.0,56.0,47.0,,,103.0,5.0,,173.0,81.0,65.0,397.0,,467.0,4.0,613.0,56.0,,6.0,937.0,9169.0,139.0,20.0,10.0,211.0,349.0,4.0,,8.0,,22.0,,64.0,34.0,,23.0,69.0,21.0,9.0,,11.0,209.0,91.0,345.0,52.0,,,110.0,52.0,406.0,1692.0,11.0,35.0,856.0,5.0,26.0,36.0,32.0,249.0,4.0,,66.0,293.0,46.0,1001.0,25.0,31.0,101.0,130.0,5636.0,17.0,11.0,31.0,86471.0
"Miami-Fort Lauderdale-Pompano Beach, FL",3.0,48.0,23.0,,4.0,4.0,32.0,1325.0,13.0,7.0,44.0,16.0,5.0,322.0,3.0,320.0,34.0,43.0,16.0,23.0,3.0,4.0,,190.0,9.0,,1863.0,,92.0,,65.0,,4.0,13.0,429.0,,14.0,,,374.0,537.0,5815.0,5.0,5.0,233.0,7.0,22881.0,4.0,3.0,15.0,,20.0,2420.0,1006.0,76.0,380.0,3.0,5.0,16.0,15.0,,19.0,,,7.0,28.0,210.0,15.0,15.0,13.0,427.0,6.0,,216.0,8361.0,870.0,15.0,66.0,5.0,541.0,23.0,138.0,46.0,30.0,353.0,226.0,3927.0,75.0,65.0,37.0,29.0,,86.0,20.0,6.0,9.0,8.0,76.0,,,5.0,35.0,,,40.0,,,15.0,,,,,6.0,993.0,39.0,,,3.0,115.0,,,30.0,60.0,17.0,1406.0,,153.0,,392.0,189.0,,62.0,2427.0,536.0,116.0,23.0,,191.0,223.0,,35.0,46.0,27.0,,,23.0,4.0,,7.0,10.0,20.0,,,,134.0,275.0,16.0,18.0,20.0,,37.0,33.0,26.0,73.0,5.0,,118.0,,,546.0,16.0,152.0,6.0,19.0,8.0,154.0,17.0,348.0,17.0,354.0,28.0,3981.0,254.0,,5.0,20.0,68687.0
"Washington-Arlington-Alexandria, DC-VA-MD-WV",287.0,66.0,68.0,,8.0,,5.0,192.0,41.0,,45.0,13.0,44.0,6.0,4.0,767.0,14.0,43.0,27.0,15.0,79.0,5.0,77.0,900.0,18.0,6.0,278.0,,104.0,33.0,226.0,30.0,99.0,1378.0,254.0,4.0,,13.0,15.0,85.0,1948.0,480.0,99.0,65.0,64.0,14.0,49.0,7.0,17.0,14.0,,8.0,673.0,251.0,429.0,3015.0,,276.0,6.0,3228.0,,9.0,,15.0,53.0,41.0,226.0,997.0,25.0,34.0,595.0,101.0,3.0,185.0,228.0,437.0,42.0,27.0,,2918.0,127.0,929.0,645.0,37.0,121.0,102.0,576.0,136.0,125.0,62.0,242.0,,1338.0,40.0,32.0,19.0,13.0,129.0,,279.0,15.0,18.0,,3.0,11.0,24.0,12.0,67.0,29.0,,,23.0,10.0,880.0,50.0,102.0,,,440.0,3.0,4.0,650.0,44.0,25.0,159.0,11.0,1252.0,8.0,1450.0,65.0,6.0,43.0,1118.0,1576.0,96.0,23.0,9.0,132.0,289.0,12.0,9.0,18.0,10.0,,,104.0,87.0,3.0,584.0,27.0,11.0,5.0,,81.0,97.0,55.0,152.0,269.0,4.0,,45.0,22.0,54.0,187.0,22.0,88.0,300.0,244.0,,190.0,42.0,236.0,16.0,,93.0,132.0,59.0,427.0,17.0,53.0,91.0,220.0,1029.0,22.0,36.0,67.0,40647.0
"Chicago-Naperville-Joliet, IL-IN-WI",31.0,298.0,78.0,,,,,86.0,9.0,,49.0,18.0,16.0,6.0,3.0,129.0,6.0,118.0,22.0,92.0,39.0,,191.0,23.0,70.0,,206.0,,431.0,13.0,290.0,20.0,40.0,107.0,348.0,,,,,24.0,1904.0,354.0,28.0,33.0,19.0,30.0,93.0,,13.0,11.0,3.0,9.0,166.0,396.0,184.0,156.0,,34.0,9.0,272.0,3.0,5.0,,,3.0,29.0,233.0,262.0,44.0,,303.0,15.0,,11.0,116.0,129.0,51.0,17.0,,4534.0,54.0,271.0,1045.0,86.0,161.0,80.0,180.0,143.0,436.0,38.0,66.0,3.0,729.0,61.0,7.0,15.0,32.0,69.0,,64.0,6.0,374.0,,3.0,194.0,3.0,6.0,47.0,,,4.0,5.0,,7072.0,64.0,66.0,7.0,,184.0,,,122.0,37.0,20.0,19.0,,653.0,6.0,1147.0,17.0,,4.0,166.0,1932.0,2418.0,5.0,14.0,411.0,226.0,7.0,,,4.0,,,73.0,18.0,,18.0,31.0,38.0,3.0,,65.0,85.0,56.0,33.0,68.0,,,20.0,20.0,245.0,143.0,3.0,31.0,220.0,72.0,,30.0,13.0,139.0,11.0,,19.0,773.0,35.0,333.0,5.0,13.0,73.0,95.0,374.0,129.0,19.0,21.0,34339.0
"San Francisco-Oakland-Fremont, CA",280.0,12.0,126.0,,,,,75.0,34.0,,103.0,22.0,26.0,,,58.0,3.0,57.0,17.0,7.0,,,126.0,25.0,12.0,,385.0,,58.0,,440.0,,95.0,37.0,411.0,,,,,45.0,6782.0,150.0,10.0,3.0,20.0,10.0,60.0,,4.0,25.0,,,33.0,34.0,114.0,771.0,,127.0,7.0,294.0,303.0,24.0,,,8.0,29.0,267.0,36.0,11.0,,445.0,8.0,,6.0,32.0,83.0,455.0,26.0,,3607.0,150.0,502.0,103.0,83.0,115.0,75.0,36.0,283.0,115.0,20.0,87.0,,484.0,22.0,20.0,19.0,14.0,41.0,,38.0,8.0,17.0,3.0,31.0,3.0,,,86.0,,,,,,2443.0,20.0,104.0,,,61.0,5.0,,305.0,44.0,49.0,248.0,,138.0,3.0,358.0,27.0,,,407.0,4408.0,67.0,18.0,3.0,64.0,228.0,,,4.0,3.0,10.0,,29.0,5.0,,11.0,66.0,10.0,,,11.0,70.0,49.0,47.0,23.0,4.0,,53.0,31.0,27.0,408.0,4.0,14.0,223.0,,47.0,12.0,24.0,128.0,7.0,,15.0,106.0,20.0,514.0,6.0,8.0,39.0,56.0,1217.0,269.0,4.0,17.0,31184.0
"Houston-Sugar Land-Baytown, TX",42.0,25.0,20.0,,8.0,,6.0,123.0,3.0,,42.0,9.0,56.0,16.0,5.0,213.0,4.0,18.0,15.0,42.0,7.0,,146.0,82.0,13.0,,214.0,,34.0,18.0,236.0,28.0,99.0,186.0,387.0,,,3.0,,38.0,1566.0,756.0,47.0,18.0,46.0,4.0,524.0,,,24.0,,14.0,103.0,123.0,133.0,1610.0,3.0,48.0,,265.0,5.0,14.0,,5.0,,7.0,118.0,82.0,11.0,18.0,278.0,10.0,,23.0,28.0,413.0,38.0,16.0,,2175.0,106.0,431.0,618.0,26.0,87.0,60.0,129.0,69.0,133.0,48.0,192.0,,297.0,41.0,9.0,21.0,4.0,166.0,,102.0,10.0,7.0,,,5.0,,3.0,67.0,12.0,,,5.0,4.0,7583.0,11.0,,,,83.0,,,156.0,89.0,15.0,97.0,,1281.0,3.0,1356.0,38.0,,7.0,221.0,1019.0,28.0,5.0,6.0,75.0,128.0,14.0,7.0,28.0,4.0,,,73.0,24.0,,36.0,47.0,3.0,,,32.0,69.0,37.0,42.0,39.0,,,26.0,15.0,52.0,212.0,,91.0,204.0,5.0,,109.0,6.0,166.0,3.0,,36.0,83.0,48.0,587.0,,29.0,14.0,815.0,1999.0,4.0,13.0,14.0,30502.0
"Dallas-Fort Worth-Arlington, TX",39.0,27.0,10.0,,,,,95.0,8.0,,49.0,4.0,7.0,4.0,6.0,312.0,,17.0,13.0,18.0,13.0,,292.0,30.0,15.0,,206.0,,47.0,3.0,792.0,50.0,83.0,172.0,272.0,,,4.0,3.0,30.0,935.0,307.0,169.0,64.0,40.0,4.0,116.0,,,6.0,,,78.0,76.0,189.0,665.0,,69.0,,589.0,,16.0,,5.0,22.0,7.0,105.0,197.0,4.0,3.0,168.0,15.0,,7.0,14.0,162.0,34.0,20.0,,2403.0,69.0,399.0,482.0,7.0,93.0,33.0,75.0,74.0,174.0,13.0,641.0,,549.0,64.0,,37.0,7.0,74.0,,118.0,9.0,4.0,,,10.0,,5.0,78.0,3.0,,,4.0,5.0,7103.0,15.0,5.0,,,72.0,,,499.0,17.0,12.0,39.0,,861.0,5.0,777.0,31.0,,3.0,233.0,589.0,43.0,3.0,4.0,61.0,85.0,23.0,4.0,,3.0,,,42.0,21.0,,46.0,15.0,9.0,,,73.0,80.0,42.0,51.0,83.0,,,18.0,4.0,39.0,181.0,,82.0,257.0,31.0,10.0,32.0,5.0,49.0,5.0,,38.0,98.0,35.0,246.0,8.0,16.0,11.0,113.0,1129.0,12.0,49.0,174.0,25728.0
"Boston-Cambridge-Quincy, MA-NH",11.0,403.0,92.0,,29.0,,3.0,55.0,74.0,,50.0,9.0,19.0,,,198.0,27.0,66.0,9.0,4.0,3.0,,47.0,40.0,25.0,,1334.0,,89.0,3.0,73.0,25.0,312.0,142.0,391.0,1070.0,,,,47.0,2354.0,502.0,50.0,19.0,21.0,10.0,25.0,8.0,,7.0,,13.0,3689.0,86.0,158.0,497.0,,35.0,,315.0,5.0,7.0,,6.0,5.0,16.0,143.0,92.0,57.0,12.0,294.0,38.0,5.0,33.0,1762.0,127.0,81.0,13.0,4.0,1603.0,66.0,183.0,234.0,154.0,130.0,93.0,335.0,143.0,53.0,21.0,320.0,,277.0,12.0,5.0,20.0,13.0,197.0,,75.0,3.0,30.0,,,8.0,,3.0,26.0,,,,3.0,,172.0,32.0,4.0,,5.0,578.0,,,306.0,42.0,16.0,17.0,,350.0,,228.0,22.0,,5.0,128.0,228.0,97.0,62.0,3.0,75.0,221.0,16.0,,12.0,12.0,,3.0,15.0,14.0,3.0,50.0,33.0,12.0,,,76.0,58.0,74.0,37.0,33.0,3.0,,33.0,32.0,51.0,115.0,,44.0,114.0,20.0,,81.0,11.0,148.0,6.0,,233.0,133.0,15.0,350.0,,8.0,17.0,104.0,779.0,,16.0,54.0,24552.0
"Atlanta-Sandy Springs-Marietta, GA",56.0,,18.0,,4.0,,8.0,61.0,12.0,,41.0,,8.0,39.0,,379.0,9.0,36.0,19.0,17.0,20.0,7.0,625.0,13.0,42.0,3.0,403.0,,67.0,8.0,512.0,23.0,50.0,205.0,278.0,,,,,43.0,853.0,623.0,99.0,44.0,55.0,13.0,150.0,5.0,3.0,21.0,,11.0,216.0,90.0,74.0,199.0,,96.0,4.0,793.0,4.0,10.0,,7.0,101.0,23.0,148.0,348.0,10.0,14.0,144.0,95.0,,142.0,345.0,86.0,18.0,14.0,6.0,1850.0,63.0,321.0,326.0,23.0,71.0,45.0,761.0,96.0,35.0,16.0,331.0,,825.0,24.0,,20.0,21.0,42.0,,220.0,4.0,14.0,,,3.0,4.0,14.0,57.0,23.0,,,7.0,5.0,1327.0,61.0,,,,79.0,,3.0,231.0,40.0,4.0,39.0,,876.0,,369.0,59.0,,9.0,241.0,248.0,35.0,9.0,,145.0,118.0,21.0,7.0,25.0,5.0,,,15.0,64.0,,70.0,8.0,4.0,,,85.0,125.0,25.0,37.0,43.0,6.0,,19.0,7.0,22.0,98.0,4.0,77.0,210.0,101.0,,134.0,6.0,92.0,,,29.0,106.0,19.0,287.0,5.0,74.0,28.0,246.0,867.0,6.0,37.0,66.0,20064.0
