NAME,Afghanistan,Albania,Algeria,Angola,Anguilla,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia,Bosnia and Herzegovina,Botswana,Brazil,"Virgin Islands, British",Brunei,Bulgaria,Burkina Faso,Burma,Burundi,Cambodia,Cameroon,Canada,Cabo Verde,Cayman Islands,Central African Republic,Chad,Chile,"China, People's Republic",Colombia,"Congo, Democratic Republic","Congo, Republic",Costa Rica,Croatia,Cuba,Cyprus,Czechia,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,Ethiopia,Fiji,Finland,French Polynesia,Gabon,Gambia,Georgia,Germany,Ghana,Greece,Grenada,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,Hong Kong,Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,"Korea, North","Korea, South",Kuwait,Kyrgyzstan,Laos,Latvia,Lebanon,Liberia,Libya,Lithuania,Macau,North Macedonia,Madagascar,Malawi,Malaysia,Mali,Malta,Marshall Islands,Mauritania,Mauritius,Mexico,Moldova,Mongolia,Montenegro,Montserrat,Morocco,Mozambique,Namibia,Nepal,Netherlands,New Zealand,Nicaragua,Niger,Nigeria,Oman,Pakistan,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russia,Rwanda,Saint Kitts and Nevis,Saint Lucia,Saint Vincent and the Grenadines,Samoa,Saudi Arabia,Senegal,Serbia,Sierra Leone,Singapore,Slovakia,Slovenia,Somalia,South Africa,Spain,Sri Lanka,Sudan,Suriname,Swaziland,Sweden,Switzerland,Syria,Taiwan,Tajikistan,Tanzania,Thailand,Togo,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Turks and Caicos Islands,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States,Uruguay,Uzbekistan,Venezuela,Vietnam,Yemen,Zambia,Zimbabwe,Total
"New York-Northern New Jersey-Long Island, NY-NJ-PA",150.0,1034.0,267.0,20.0,,168.0,584.0,205.0,13.0,349.0,64.0,157.0,30.0,14.0,8026.0,246.0,446.0,98.0,175.0,69.0,10.0,47.0,164.0,58.0,11.0,1742.0,8.0,5.0,253.0,238.0,442.0,16.0,31.0,196.0,1224.0,20.0,8.0,6.0,22.0,277.0,24763.0,5053.0,63.0,65.0,577.0,52.0,903.0,25.0,66.0,87.0,,41.0,25175.0,5182.0,3067.0,2188.0,,46.0,47.0,243.0,12.0,36.0,3.0,20.0,290.0,763.0,746.0,3272.0,282.0,495.0,849.0,811.0,6.0,4271.0,5484.0,1111.0,422.0,200.0,20.0,10550.0,282.0,487.0,223.0,415.0,1127.0,584.0,8172.0,803.0,475.0,288.0,337.0,5.0,3291.0,92.0,152.0,4.0,79.0,236.0,353.0,23.0,138.0,28.0,311.0,6.0,9.0,368.0,336.0,8.0,,92.0,8.0,2217.0,235.0,18.0,174.0,14.0,687.0,12.0,3.0,1168.0,123.0,75.0,176.0,10.0,2020.0,16.0,3737.0,228.0,3.0,218.0,3028.0,4879.0,1979.0,267.0,30.0,504.0,2286.0,14.0,81.0,485.0,332.0,,168.0,537.0,126.0,271.0,104.0,176.0,15.0,8.0,244.0,291.0,538.0,188.0,104.0,5.0,153.0,131.0,297.0,594.0,161.0,62.0,261.0,349.0,,3086.0,58.0,1182.0,86.0,,53.0,1841.0,114.0,1659.0,49.0,344.0,2903.0,631.0,485.0,982.0,52.0,68.0,176306.0
"Los Angeles-Long Beach-Santa Ana, CA",97.0,12.0,43.0,4.0,,,302.0,1797.0,,301.0,39.0,105.0,7.0,3.0,527.0,,55.0,53.0,248.0,4.0,,,97.0,17.0,,457.0,,,87.0,,354.0,,395.0,87.0,786.0,,,,,76.0,10486.0,587.0,33.0,13.0,58.0,28.0,198.0,6.0,48.0,44.0,,,78.0,264.0,784.0,3378.0,,53.0,11.0,328.0,34.0,31.0,6.0,6.0,9.0,95.0,313.0,88.0,55.0,3.0,2172.0,8.0,,13.0,33.0,482.0,374.0,78.0,8.0,2598.0,441.0,4215.0,586.0,58.0,423.0,180.0,116.0,942.0,188.0,64.0,138.0,4.0,4842.0,61.0,13.0,26.0,24.0,306.0,11.0,8.0,27.0,27.0,16.0,,3.0,133.0,4.0,,,,,17059.0,57.0,72.0,4.0,,78.0,,,219.0,66.0,71.0,250.0,,467.0,,494.0,35.0,,7.0,791.0,8683.0,119.0,19.0,8.0,225.0,636.0,4.0,,3.0,6.0,32.0,65.0,15.0,31.0,47.0,71.0,30.0,,19.0,185.0,109.0,262.0,39.0,3.0,,115.0,53.0,414.0,1310.0,16.0,18.0,649.0,8.0,29.0,40.0,20.0,227.0,13.0,,70.0,258.0,49.0,871.0,21.0,39.0,112.0,116.0,4529.0,5.0,20.0,15.0,80910.0
"Miami-Fort Lauderdale-Pompano Beach, FL",5.0,24.0,23.0,8.0,,28.0,1319.0,14.0,11.0,44.0,17.0,9.0,257.0,3.0,356.0,26.0,59.0,30.0,45.0,,,,202.0,7.0,,1741.0,,,82.0,,68.0,,12.0,16.0,470.0,5.0,11.0,,,282.0,661.0,5038.0,7.0,4.0,184.0,20.0,21906.0,4.0,27.0,13.0,,10.0,1856.0,773.0,76.0,312.0,,6.0,21.0,25.0,,25.0,,,3.0,13.0,193.0,33.0,28.0,18.0,447.0,5.0,,165.0,8469.0,1007.0,27.0,78.0,,511.0,18.0,135.0,81.0,21.0,339.0,263.0,3849.0,61.0,68.0,27.0,21.0,,110.0,15.0,11.0,4.0,14.0,72.0,6.0,,38.0,,27.0,,,13.0,,,,,,1098.0,64.0,,5.0,,85.0,,,26.0,36.0,19.0,1252.0,,131.0,,231.0,154.0,,61.0,1842.0,632.0,112.0,41.0,,211.0,354.0,5.0,30.0,44.0,23.0,,24.0,7.0,48.0,,8.0,11.0,5.0,,136.0,367.0,10.0,14.0,19.0,,39.0,28.0,46.0,38.0,3.0,8.0,123.0,3.0,,419.0,23.0,142.0,17.0,16.0,6.0,135.0,13.0,306.0,10.0,410.0,45.0,4109.0,275.0,4.0,,16.0,65671.0
"Washington-Arlington-Alexandria, DC-VA-MD-WV",234.0,44.0,71.0,7.0,,4.0,193.0,31.0,,61.0,22.0,30.0,8.0,6.0,764.0,19.0,46.0,45.0,8.0,57.0,,120.0,798.0,19.0,4.0,322.0,,,99.0,56.0,225.0,21.0,55.0,1209.0,256.0,10.0,,17.0,13.0,73.0,2001.0,512.0,152.0,72.0,43.0,9.0,41.0,4.0,20.0,17.0,4.0,4.0,352.0,201.0,446.0,2725.0,,329.0,7.0,2951.0,3.0,14.0,,10.0,69.0,40.0,209.0,1425.0,37.0,14.0,484.0,132.0,,132.0,196.0,401.0,45.0,35.0,6.0,2711.0,126.0,850.0,636.0,36.0,115.0,100.0,579.0,116.0,128.0,57.0,215.0,,1209.0,46.0,34.0,15.0,18.0,91.0,214.0,23.0,15.0,,11.0,26.0,22.0,33.0,29.0,,,23.0,6.0,676.0,57.0,125.0,,,297.0,4.0,4.0,873.0,38.0,24.0,111.0,7.0,1144.0,,1083.0,50.0,,30.0,1140.0,1441.0,74.0,23.0,9.0,107.0,386.0,15.0,10.0,22.0,14.0,,107.0,97.0,57.0,500.0,26.0,15.0,4.0,67.0,85.0,57.0,143.0,292.0,3.0,,30.0,18.0,73.0,154.0,42.0,62.0,224.0,233.0,,174.0,32.0,201.0,8.0,,100.0,201.0,55.0,347.0,28.0,28.0,51.0,173.0,915.0,18.0,28.0,50.0,38035.0
"Chicago-Joliet-Naperville, IL-IN-WI",15.0,171.0,79.0,,,,72.0,21.0,,61.0,12.0,26.0,3.0,13.0,119.0,4.0,82.0,18.0,86.0,50.0,,248.0,27.0,77.0,,151.0,,,442.0,18.0,224.0,6.0,46.0,99.0,321.0,,,,,41.0,2099.0,360.0,42.0,26.0,18.0,23.0,100.0,,68.0,9.0,,,92.0,276.0,217.0,115.0,,57.0,12.0,228.0,,4.0,,,10.0,28.0,158.0,347.0,81.0,,320.0,20.0,,13.0,115.0,107.0,56.0,19.0,,4106.0,48.0,247.0,1054.0,73.0,111.0,65.0,175.0,182.0,540.0,36.0,53.0,,630.0,63.0,32.0,9.0,27.0,54.0,36.0,9.0,332.0,7.0,148.0,,3.0,49.0,6.0,,,5.0,,7716.0,105.0,96.0,14.0,,119.0,3.0,,293.0,29.0,20.0,29.0,,728.0,,929.0,22.0,,4.0,153.0,2161.0,2128.0,12.0,4.0,419.0,355.0,16.0,5.0,6.0,,,97.0,19.0,111.0,12.0,19.0,41.0,8.0,56.0,75.0,46.0,54.0,76.0,,,14.0,6.0,285.0,110.0,9.0,27.0,180.0,53.0,,18.0,10.0,134.0,11.0,,52.0,780.0,48.0,386.0,8.0,10.0,33.0,87.0,403.0,69.0,26.0,11.0,34402.0
"Houston-Sugar Land-Baytown, TX",17.0,23.0,35.0,16.0,,4.0,165.0,3.0,3.0,75.0,7.0,42.0,11.0,3.0,195.0,3.0,16.0,27.0,41.0,5.0,,273.0,51.0,22.0,,176.0,3.0,5.0,18.0,30.0,497.0,28.0,96.0,154.0,519.0,,,8.0,4.0,53.0,1606.0,812.0,141.0,62.0,46.0,10.0,573.0,,7.0,16.0,,3.0,104.0,120.0,149.0,1266.0,,120.0,,300.0,3.0,7.0,,14.0,8.0,4.0,126.0,115.0,17.0,13.0,291.0,12.0,,13.0,41.0,508.0,41.0,17.0,,2164.0,77.0,452.0,794.0,23.0,74.0,67.0,133.0,110.0,124.0,56.0,188.0,,283.0,53.0,13.0,6.0,,131.0,69.0,21.0,,,5.0,,3.0,91.0,27.0,4.0,,,3.0,7919.0,19.0,,,,52.0,3.0,,298.0,48.0,13.0,115.0,,1460.0,16.0,1025.0,37.0,,7.0,233.0,979.0,46.0,10.0,3.0,60.0,157.0,25.0,,30.0,,,71.0,31.0,6.0,39.0,38.0,4.0,,31.0,71.0,53.0,53.0,45.0,,,19.0,6.0,68.0,157.0,4.0,111.0,299.0,11.0,,121.0,7.0,161.0,5.0,,30.0,59.0,60.0,584.0,8.0,23.0,9.0,780.0,1749.0,10.0,31.0,20.0,31493.0
"San Francisco-Oakland-Fremont, CA",218.0,5.0,94.0,,,,50.0,36.0,,115.0,24.0,21.0,5.0,5.0,72.0,4.0,72.0,15.0,6.0,4.0,,66.0,18.0,7.0,,308.0,,,59.0,5.0,436.0,,58.0,29.0,349.0,,,,,27.0,6721.0,117.0,11.0,12.0,14.0,9.0,55.0,,16.0,33.0,,,23.0,37.0,101.0,679.0,,120.0,5.0,294.0,179.0,19.0,,,4.0,18.0,211.0,53.0,19.0,,459.0,10.0,,3.0,21.0,72.0,302.0,24.0,,3323.0,149.0,533.0,129.0,88.0,114.0,93.0,30.0,307.0,100.0,31.0,85.0,,415.0,25.0,17.0,17.0,5.0,33.0,15.0,5.0,10.0,23.0,,3.0,,84.0,,,,,4.0,2461.0,20.0,106.0,3.0,,62.0,,,340.0,39.0,50.0,152.0,,166.0,,351.0,17.0,,,327.0,4095.0,32.0,20.0,5.0,51.0,301.0,,,3.0,,14.0,24.0,8.0,14.0,13.0,51.0,12.0,4.0,9.0,46.0,62.0,64.0,20.0,4.0,,51.0,40.0,41.0,363.0,8.0,15.0,197.0,7.0,50.0,11.0,18.0,120.0,8.0,,19.0,115.0,16.0,477.0,9.0,7.0,53.0,33.0,1029.0,179.0,7.0,7.0,29213.0
"Dallas-Fort Worth-Arlington, TX",19.0,26.0,8.0,6.0,,,88.0,17.0,,35.0,9.0,15.0,5.0,,385.0,3.0,,10.0,22.0,5.0,,418.0,20.0,21.0,6.0,215.0,,,23.0,6.0,1054.0,36.0,74.0,193.0,327.0,,,,10.0,29.0,854.0,323.0,330.0,131.0,32.0,,167.0,,14.0,7.0,4.0,,49.0,40.0,179.0,559.0,,94.0,4.0,599.0,,21.0,,5.0,28.0,11.0,94.0,219.0,9.0,4.0,193.0,18.0,,22.0,21.0,178.0,24.0,21.0,,2538.0,49.0,400.0,770.0,20.0,71.0,32.0,77.0,74.0,129.0,10.0,520.0,,563.0,50.0,8.0,30.0,5.0,75.0,94.0,7.0,8.0,,5.0,,13.0,158.0,5.0,,,5.0,,8023.0,8.0,3.0,,,55.0,8.0,,725.0,11.0,15.0,53.0,,868.0,,547.0,32.0,,,219.0,565.0,36.0,3.0,5.0,53.0,123.0,48.0,3.0,6.0,,,46.0,18.0,10.0,42.0,26.0,8.0,,75.0,94.0,38.0,65.0,103.0,,,33.0,14.0,63.0,142.0,3.0,60.0,293.0,18.0,10.0,36.0,,47.0,4.0,,45.0,50.0,37.0,275.0,,7.0,23.0,163.0,1260.0,6.0,44.0,145.0,27767.0
"Boston-Cambridge-Quincy, MA-NH",11.0,291.0,92.0,39.0,,5.0,48.0,56.0,,55.0,17.0,12.0,6.0,,201.0,20.0,76.0,19.0,7.0,3.0,3.0,80.0,29.0,21.0,5.0,1239.0,,,108.0,7.0,134.0,,285.0,132.0,335.0,1108.0,,5.0,,29.0,2849.0,523.0,58.0,23.0,24.0,4.0,44.0,4.0,18.0,7.0,5.0,3.0,3158.0,86.0,189.0,492.0,,44.0,,323.0,,16.0,,3.0,11.0,7.0,142.0,178.0,82.0,9.0,317.0,24.0,8.0,25.0,1819.0,129.0,82.0,28.0,4.0,1574.0,65.0,197.0,225.0,148.0,116.0,103.0,354.0,135.0,53.0,23.0,293.0,,279.0,16.0,16.0,12.0,15.0,159.0,85.0,5.0,14.0,6.0,7.0,,,41.0,3.0,,,,,215.0,44.0,6.0,3.0,,485.0,,3.0,398.0,31.0,14.0,13.0,,366.0,5.0,225.0,15.0,,11.0,144.0,255.0,55.0,66.0,4.0,70.0,324.0,8.0,5.0,9.0,8.0,,25.0,12.0,14.0,44.0,21.0,3.0,3.0,104.0,61.0,68.0,40.0,38.0,,,31.0,16.0,45.0,123.0,,35.0,153.0,23.0,,129.0,8.0,117.0,3.0,,276.0,114.0,14.0,377.0,4.0,8.0,27.0,117.0,733.0,,7.0,38.0,24773.0
"Atlanta-Sandy Springs-Marietta, GA",61.0,8.0,21.0,4.0,,9.0,92.0,8.0,,36.0,17.0,8.0,40.0,3.0,379.0,14.0,23.0,18.0,7.0,14.0,11.0,617.0,14.0,32.0,,457.0,,,60.0,27.0,919.0,18.0,40.0,174.0,280.0,,,10.0,6.0,28.0,877.0,545.0,158.0,73.0,48.0,,172.0,,27.0,13.0,,4.0,203.0,70.0,83.0,211.0,4.0,154.0,3.0,764.0,,5.0,,14.0,115.0,9.0,122.0,479.0,9.0,5.0,166.0,89.0,3.0,136.0,303.0,140.0,14.0,13.0,5.0,1769.0,82.0,297.0,276.0,14.0,77.0,32.0,836.0,87.0,52.0,8.0,294.0,4.0,953.0,23.0,3.0,11.0,20.0,47.0,193.0,5.0,20.0,,4.0,6.0,13.0,120.0,19.0,4.0,,14.0,,1593.0,44.0,4.0,,,71.0,,,378.0,32.0,5.0,27.0,,917.0,,321.0,39.0,,3.0,260.0,248.0,29.0,14.0,5.0,142.0,158.0,11.0,9.0,15.0,3.0,,27.0,84.0,4.0,52.0,11.0,9.0,4.0,70.0,111.0,21.0,48.0,53.0,3.0,,14.0,5.0,30.0,58.0,,57.0,286.0,107.0,,96.0,4.0,74.0,4.0,,33.0,113.0,22.0,262.0,5.0,102.0,41.0,213.0,771.0,12.0,64.0,42.0,21014.0
