NAME,Afghanistan,Albania,Algeria,Angola,Anguilla,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia,Bosnia and Herzegovina,Botswana,Brazil,"Virgin Islands, British",Brunei,Bulgaria,Burkina Faso,Burma,Burundi,Cambodia,Cameroon,Canada,Cabo Verde,Cayman Islands,Central African Republic,Chad,Chile,"China, People's Republic",Colombia,"Congo, Democratic Republic","Congo, Republic",Costa Rica,Croatia,Cuba,Cyprus,Czechia,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,Ethiopia,Fiji,Finland,Gabon,Gambia,Georgia,Germany,Ghana,Greece,Grenada,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,Hong Kong,Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,"Korea, North","Korea, South",Kuwait,Kyrgyzstan,Laos,Latvia,Lebanon,Lesotho,Liberia,Libya,Lithuania,Luxembourg,Macau,North Macedonia,Madagascar,Malawi,Malaysia,Mali,Malta,Marshall Islands,Mauritania,Mauritius,Mexico,Moldova,Monaco,Mongolia,Montenegro,Morocco,Mozambique,Namibia,Nepal,Netherlands,New Zealand,Nicaragua,Niger,Nigeria,Oman,Pakistan,Palau,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russia,Rwanda,Saint Kitts and Nevis,Saint Lucia,Saint Vincent and the Grenadines,Samoa,Saudi Arabia,Senegal,Serbia,Sierra Leone,Singapore,Slovakia,Slovenia,Somalia,South Africa,South Sudan,Spain,Sri Lanka,Sudan,Suriname,Sweden,Switzerland,Syria,Taiwan,Tajikistan,Tanzania,Thailand,Togo,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Turks and Caicos Islands,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States,Uruguay,Uzbekistan,Venezuela,Vietnam,Yemen,Zambia,Zimbabwe,Total
"New York-Northern New Jersey-Long Island, NY-NJ-PA",233.0,897.0,210.0,12.0,6.0,169.0,552.0,161.0,7.0,426.0,70.0,154.0,43.0,11.0,6010.0,210.0,480.0,108.0,149.0,55.0,13.0,26.0,229.0,50.0,5.0,1574.0,8.0,,293.0,226.0,400.0,8.0,37.0,172.0,1184.0,13.0,6.0,10.0,26.0,254.0,19645.0,5059.0,77.0,50.0,517.0,61.0,743.0,27.0,68.0,60.0,,72.0,24891.0,5893.0,3151.0,2136.0,,31.0,36.0,198.0,7.0,32.0,19.0,280.0,724.0,689.0,3061.0,322.0,518.0,861.0,771.0,5.0,4341.0,4964.0,1355.0,384.0,169.0,23.0,10818.0,275.0,442.0,86.0,344.0,1012.0,637.0,7215.0,749.0,488.0,279.0,304.0,11.0,3472.0,105.0,142.0,,73.0,209.0,,267.0,24.0,106.0,5.0,16.0,292.0,13.0,7.0,320.0,292.0,16.0,,97.0,15.0,2046.0,280.0,,22.0,137.0,551.0,5.0,9.0,1358.0,123.0,102.0,154.0,8.0,1977.0,4.0,3121.0,,225.0,,194.0,3001.0,4098.0,1946.0,264.0,26.0,438.0,1974.0,9.0,68.0,434.0,342.0,,160.0,385.0,157.0,277.0,121.0,134.0,3.0,4.0,256.0,,363.0,417.0,145.0,95.0,166.0,115.0,311.0,566.0,224.0,34.0,245.0,252.0,,2603.0,60.0,1057.0,66.0,6.0,43.0,1736.0,111.0,1877.0,62.0,365.0,2695.0,545.0,409.0,1395.0,37.0,62.0,164343.0
"Los Angeles-Long Beach-Santa Ana, CA",126.0,38.0,46.0,,,,283.0,1891.0,3.0,342.0,46.0,105.0,7.0,4.0,403.0,3.0,98.0,46.0,279.0,4.0,,9.0,101.0,19.0,,397.0,,,114.0,,280.0,,445.0,80.0,785.0,,,,,109.0,9391.0,534.0,49.0,32.0,88.0,28.0,121.0,11.0,31.0,39.0,,,51.0,335.0,1161.0,3848.0,,62.0,15.0,293.0,55.0,18.0,4.0,8.0,93.0,335.0,104.0,64.0,,2181.0,,,20.0,21.0,672.0,397.0,84.0,22.0,2417.0,438.0,3492.0,393.0,77.0,397.0,209.0,131.0,1059.0,211.0,73.0,134.0,8.0,5382.0,58.0,26.0,45.0,28.0,273.0,,18.0,19.0,23.0,3.0,15.0,8.0,3.0,,149.0,,,,,4.0,16219.0,56.0,,76.0,10.0,82.0,3.0,,334.0,60.0,95.0,287.0,,427.0,7.0,417.0,,51.0,3.0,14.0,919.0,7553.0,143.0,21.0,11.0,192.0,749.0,3.0,,4.0,3.0,22.0,87.0,31.0,44.0,20.0,70.0,28.0,6.0,19.0,142.0,,132.0,243.0,44.0,8.0,125.0,58.0,527.0,1164.0,18.0,17.0,722.0,5.0,34.0,47.0,19.0,206.0,16.0,,67.0,291.0,56.0,876.0,26.0,12.0,97.0,114.0,4622.0,15.0,8.0,18.0,79118.0
"Miami-Fort Lauderdale-Pompano Beach, FL",,26.0,23.0,7.0,3.0,28.0,1321.0,12.0,4.0,43.0,17.0,14.0,239.0,,384.0,27.0,79.0,37.0,28.0,,,,167.0,7.0,,1700.0,5.0,,91.0,7.0,48.0,,8.0,11.0,449.0,,16.0,,,287.0,553.0,4904.0,3.0,,224.0,13.0,22171.0,,24.0,16.0,,11.0,2102.0,871.0,101.0,389.0,,6.0,13.0,34.0,,20.0,,,23.0,185.0,28.0,42.0,30.0,454.0,,,216.0,7347.0,1344.0,17.0,94.0,4.0,499.0,26.0,150.0,25.0,36.0,295.0,274.0,3760.0,54.0,65.0,68.0,19.0,,90.0,21.0,3.0,5.0,24.0,68.0,,10.0,5.0,41.0,4.0,,22.0,,,11.0,,,,,,1167.0,59.0,3.0,3.0,4.0,81.0,,,36.0,45.0,12.0,1144.0,,137.0,,196.0,,149.0,,59.0,1908.0,703.0,117.0,41.0,,241.0,501.0,5.0,34.0,48.0,21.0,,17.0,9.0,64.0,5.0,6.0,18.0,3.0,,123.0,,470.0,15.0,14.0,22.0,44.0,38.0,42.0,37.0,11.0,7.0,94.0,3.0,,418.0,17.0,131.0,6.0,23.0,4.0,165.0,13.0,350.0,24.0,351.0,41.0,4531.0,290.0,3.0,5.0,8.0,66038.0
"Washington-Arlington-Alexandria, DC-VA-MD-WV",385.0,46.0,55.0,7.0,,4.0,176.0,32.0,,53.0,16.0,42.0,9.0,3.0,618.0,18.0,45.0,29.0,14.0,40.0,,82.0,793.0,15.0,4.0,298.0,,,117.0,43.0,204.0,12.0,61.0,1304.0,284.0,4.0,,28.0,8.0,87.0,2027.0,529.0,154.0,57.0,62.0,11.0,45.0,6.0,24.0,17.0,8.0,13.0,384.0,193.0,489.0,3078.0,,333.0,14.0,2968.0,6.0,13.0,12.0,67.0,42.0,210.0,1376.0,40.0,16.0,498.0,130.0,4.0,147.0,193.0,463.0,62.0,33.0,5.0,2677.0,100.0,881.0,299.0,49.0,105.0,116.0,626.0,132.0,125.0,71.0,203.0,5.0,1315.0,48.0,37.0,19.0,15.0,154.0,,231.0,11.0,17.0,,,9.0,30.0,14.0,51.0,37.0,,,16.0,15.0,646.0,71.0,,154.0,3.0,271.0,6.0,8.0,1056.0,42.0,21.0,144.0,,1203.0,9.0,1022.0,,50.0,5.0,22.0,1040.0,1311.0,89.0,25.0,12.0,183.0,392.0,21.0,10.0,18.0,11.0,,101.0,90.0,56.0,519.0,31.0,18.0,4.0,70.0,104.0,,88.0,148.0,200.0,,25.0,14.0,72.0,191.0,28.0,80.0,235.0,198.0,,201.0,34.0,201.0,4.0,,76.0,186.0,43.0,450.0,23.0,45.0,91.0,184.0,824.0,29.0,21.0,63.0,38665.0
"Chicago-Joliet-Naperville, IL-IN-WI",35.0,193.0,65.0,3.0,,,77.0,12.0,,71.0,14.0,12.0,10.0,6.0,99.0,4.0,114.0,15.0,88.0,21.0,,234.0,36.0,60.0,,158.0,,,555.0,3.0,236.0,,42.0,86.0,341.0,,,6.0,6.0,18.0,1977.0,325.0,39.0,41.0,33.0,35.0,66.0,3.0,52.0,18.0,,,86.0,450.0,184.0,113.0,,42.0,8.0,197.0,6.0,5.0,3.0,,32.0,146.0,299.0,77.0,,364.0,10.0,,20.0,94.0,177.0,54.0,21.0,,4120.0,45.0,262.0,420.0,60.0,108.0,98.0,157.0,144.0,500.0,49.0,62.0,,702.0,58.0,69.0,13.0,22.0,60.0,,24.0,17.0,281.0,,5.0,160.0,,,60.0,13.0,,,,,6444.0,155.0,,58.0,14.0,136.0,,,252.0,33.0,18.0,39.0,,684.0,,824.0,,28.0,,,154.0,2185.0,2059.0,8.0,5.0,340.0,333.0,10.0,,,,,104.0,12.0,147.0,22.0,24.0,22.0,3.0,45.0,54.0,,67.0,42.0,35.0,,46.0,14.0,326.0,99.0,5.0,17.0,158.0,43.0,,22.0,12.0,133.0,9.0,,37.0,941.0,60.0,324.0,7.0,15.0,73.0,88.0,348.0,75.0,25.0,12.0,32351.0
"Houston-Sugar Land-Baytown, TX",57.0,18.0,50.0,8.0,,,179.0,8.0,,94.0,9.0,28.0,18.0,7.0,198.0,3.0,18.0,31.0,42.0,10.0,,234.0,67.0,17.0,,236.0,,3.0,22.0,41.0,224.0,12.0,84.0,156.0,478.0,,,3.0,3.0,38.0,1692.0,866.0,88.0,30.0,54.0,9.0,630.0,3.0,13.0,25.0,,12.0,133.0,107.0,191.0,1501.0,5.0,108.0,,293.0,5.0,12.0,8.0,9.0,7.0,126.0,124.0,33.0,10.0,231.0,13.0,,21.0,30.0,632.0,44.0,12.0,,2348.0,89.0,589.0,350.0,23.0,61.0,59.0,147.0,73.0,138.0,44.0,174.0,,302.0,36.0,13.0,13.0,6.0,133.0,,46.0,11.0,5.0,,9.0,11.0,,3.0,87.0,27.0,,,,3.0,7679.0,18.0,,3.0,,49.0,6.0,,344.0,58.0,22.0,96.0,,1488.0,13.0,995.0,,33.0,,8.0,274.0,1059.0,41.0,10.0,11.0,65.0,199.0,31.0,,14.0,,,80.0,29.0,15.0,28.0,48.0,3.0,,13.0,93.0,,75.0,45.0,28.0,5.0,35.0,21.0,84.0,158.0,3.0,48.0,159.0,8.0,,125.0,14.0,156.0,7.0,,18.0,81.0,76.0,653.0,11.0,26.0,16.0,825.0,1797.0,15.0,12.0,15.0,31614.0
"San Francisco-Oakland-Fremont, CA",235.0,7.0,112.0,,,,58.0,45.0,,140.0,14.0,24.0,,3.0,55.0,3.0,80.0,25.0,18.0,3.0,,31.0,16.0,16.0,,339.0,,,71.0,8.0,396.0,,72.0,36.0,485.0,,,,,38.0,5768.0,152.0,19.0,4.0,25.0,6.0,27.0,3.0,27.0,44.0,,,25.0,36.0,147.0,783.0,,138.0,10.0,268.0,150.0,14.0,,6.0,15.0,269.0,54.0,39.0,,607.0,,,4.0,24.0,111.0,339.0,20.0,6.0,3514.0,163.0,555.0,42.0,114.0,137.0,120.0,23.0,309.0,102.0,31.0,71.0,,601.0,16.0,22.0,13.0,9.0,56.0,,22.0,4.0,14.0,,23.0,4.0,,,112.0,6.0,,,,3.0,2565.0,56.0,,130.0,,60.0,,,482.0,46.0,51.0,178.0,,194.0,4.0,342.0,,13.0,,4.0,398.0,3790.0,43.0,22.0,8.0,83.0,348.0,,,,,7.0,37.0,10.0,17.0,6.0,64.0,14.0,3.0,5.0,76.0,,99.0,60.0,18.0,3.0,71.0,56.0,44.0,404.0,13.0,10.0,192.0,6.0,53.0,14.0,34.0,151.0,6.0,,22.0,176.0,27.0,550.0,5.0,18.0,56.0,57.0,983.0,303.0,7.0,7.0,30057.0
"Dallas-Fort Worth-Arlington, TX",51.0,35.0,14.0,,,,80.0,6.0,,37.0,3.0,,8.0,7.0,319.0,,15.0,15.0,7.0,10.0,,341.0,44.0,16.0,4.0,241.0,,,36.0,6.0,702.0,21.0,70.0,178.0,307.0,3.0,,,4.0,36.0,945.0,335.0,297.0,105.0,55.0,,136.0,,,7.0,3.0,,81.0,69.0,229.0,622.0,,95.0,7.0,586.0,5.0,5.0,,25.0,16.0,110.0,257.0,17.0,4.0,186.0,16.0,,11.0,33.0,232.0,29.0,16.0,10.0,2905.0,49.0,503.0,302.0,21.0,101.0,44.0,103.0,72.0,140.0,11.0,454.0,4.0,682.0,53.0,5.0,26.0,7.0,60.0,,73.0,9.0,7.0,,,10.0,,14.0,132.0,,,,,,7119.0,11.0,,3.0,6.0,62.0,,,870.0,11.0,17.0,42.0,,821.0,3.0,528.0,,21.0,,,252.0,551.0,40.0,4.0,10.0,55.0,103.0,35.0,6.0,5.0,4.0,,54.0,15.0,5.0,24.0,34.0,8.0,,68.0,99.0,,49.0,50.0,100.0,,28.0,9.0,54.0,142.0,4.0,33.0,181.0,16.0,13.0,29.0,4.0,57.0,6.0,,51.0,71.0,41.0,248.0,11.0,12.0,12.0,157.0,1000.0,15.0,40.0,136.0,26402.0
"Boston-Cambridge-Quincy, MA-NH",7.0,243.0,70.0,35.0,,8.0,60.0,46.0,,63.0,13.0,18.0,3.0,,187.0,26.0,74.0,20.0,3.0,,6.0,62.0,36.0,10.0,,1219.0,,,108.0,8.0,59.0,4.0,232.0,143.0,415.0,1156.0,,,,31.0,2220.0,508.0,62.0,25.0,23.0,8.0,32.0,7.0,19.0,22.0,,13.0,2902.0,79.0,207.0,503.0,,41.0,,281.0,,20.0,5.0,3.0,11.0,164.0,154.0,102.0,8.0,382.0,27.0,7.0,27.0,1601.0,155.0,65.0,34.0,3.0,1524.0,58.0,231.0,94.0,175.0,188.0,129.0,307.0,111.0,53.0,36.0,262.0,,378.0,17.0,13.0,10.0,11.0,181.0,,54.0,3.0,18.0,,8.0,11.0,,3.0,34.0,,,,3.0,,198.0,65.0,,,,341.0,,,429.0,43.0,25.0,19.0,,300.0,,174.0,,24.0,,3.0,122.0,259.0,112.0,79.0,,70.0,326.0,26.0,8.0,12.0,10.0,,27.0,23.0,9.0,43.0,19.0,10.0,,63.0,58.0,,110.0,44.0,34.0,,49.0,26.0,75.0,129.0,4.0,24.0,115.0,17.0,,97.0,6.0,142.0,,,239.0,172.0,22.0,474.0,6.0,6.0,17.0,113.0,619.0,3.0,7.0,39.0,23483.0
"Atlanta-Sandy Springs-Marietta, GA",58.0,10.0,25.0,3.0,6.0,11.0,63.0,7.0,,48.0,8.0,10.0,42.0,,366.0,14.0,35.0,18.0,9.0,19.0,9.0,635.0,10.0,22.0,,372.0,,,91.0,27.0,478.0,,38.0,134.0,236.0,,,21.0,5.0,38.0,1005.0,621.0,105.0,56.0,45.0,5.0,123.0,,12.0,18.0,,5.0,179.0,83.0,80.0,251.0,,97.0,,654.0,6.0,5.0,5.0,108.0,17.0,150.0,478.0,12.0,5.0,177.0,72.0,,94.0,246.0,168.0,16.0,9.0,,2036.0,60.0,355.0,113.0,17.0,74.0,44.0,700.0,82.0,53.0,13.0,238.0,,953.0,9.0,13.0,13.0,10.0,31.0,3.0,153.0,8.0,15.0,,3.0,5.0,,6.0,95.0,13.0,,,5.0,,1506.0,62.0,,4.0,,53.0,,,435.0,26.0,6.0,32.0,,858.0,,265.0,,44.0,,6.0,228.0,219.0,40.0,8.0,5.0,126.0,168.0,23.0,8.0,14.0,13.0,,20.0,57.0,7.0,51.0,11.0,11.0,,62.0,128.0,,29.0,26.0,59.0,4.0,23.0,7.0,40.0,51.0,6.0,20.0,173.0,62.0,,121.0,,76.0,,,23.0,87.0,18.0,299.0,8.0,95.0,35.0,213.0,830.0,6.0,35.0,50.0,19787.0
