NAME,Afghanistan,Albania,Algeria,Angola,Anguilla,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia,Bosnia and Herzegovina,Botswana,Brazil,"Virgin Islands, British",Brunei,Bulgaria,Burkina Faso,Burma,Burundi,Cambodia,Cameroon,Canada,Cabo Verde,Cayman Islands,Central African Republic,Chad,Chile,"China, People's Republic",Colombia,Comoros,"Congo, Democratic Republic","Congo, Republic",Costa Rica,Croatia,Cuba,Curacao,Cyprus,Czechia,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,Ethiopia,Fiji,Finland,French Polynesia,Gabon,Gambia,Georgia,Germany,Ghana,Greece,Grenada,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,Hong Kong,Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,"Korea, North","Korea, South",Kuwait,Kyrgyzstan,Laos,Latvia,Lebanon,Lesotho,Liberia,Libya,Lithuania,Luxembourg,Macau,North Macedonia,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Mauritania,Mauritius,Mexico,Moldova,Mongolia,Montenegro,Montserrat,Morocco,Mozambique,Namibia,Nepal,Netherlands,New Zealand,Nicaragua,Niger,Nigeria,Oman,Pakistan,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russia,Rwanda,Saint Kitts and Nevis,Saint Lucia,Saint Vincent and the Grenadines,Samoa,Saudi Arabia,Senegal,Serbia,Sierra Leone,Singapore,Sint Maarten,Slovakia,Slovenia,Somalia,South Africa,South Sudan,Spain,Sri Lanka,Sudan,Suriname,Swaziland,Sweden,Switzerland,Syria,Taiwan,Tajikistan,Tanzania,Thailand,Togo,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Turks and Caicos Islands,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States,Uruguay,Uzbekistan,Venezuela,Vietnam,Yemen,Zambia,Zimbabwe,Total
"New York-Newark-Jersey City, NY-NJ-PA",454.0,1110.0,275.0,14.0,,184.0,512.0,200.0,6.0,492.0,76.0,152.0,27.0,14.0,8038.0,207.0,559.0,96.0,132.0,78.0,10.0,23.0,205.0,71.0,4.0,1617.0,15.0,,273.0,274.0,353.0,17.0,37.0,183.0,1197.0,17.0,8.0,5.0,26.0,248.0,19763.0,4446.0,,78.0,44.0,501.0,46.0,900.0,8.0,31.0,71.0,70.0,,86.0,27488.0,6395.0,3318.0,2547.0,,31.0,45.0,179.0,16.0,27.0,,34.0,345.0,735.0,727.0,2093.0,369.0,466.0,878.0,678.0,,4673.0,3753.0,1277.0,417.0,176.0,14.0,12350.0,220.0,419.0,189.0,411.0,1084.0,779.0,7352.0,772.0,616.0,265.0,306.0,15.0,3288.0,121.0,177.0,4.0,81.0,214.0,4.0,302.0,35.0,96.0,7.0,23.0,301.0,7.0,9.0,340.0,,258.0,10.0,,91.0,7.0,2817.0,269.0,28.0,178.0,15.0,674.0,6.0,3.0,1285.0,140.0,104.0,154.0,9.0,1783.0,11.0,4800.0,213.0,,171.0,2603.0,4008.0,1841.0,277.0,24.0,351.0,1919.0,21.0,79.0,438.0,319.0,,175.0,391.0,235.0,231.0,120.0,12.0,112.0,11.0,11.0,298.0,,471.0,388.0,166.0,95.0,3.0,139.0,105.0,376.0,499.0,230.0,55.0,251.0,255.0,,2310.0,56.0,1007.0,66.0,,59.0,1845.0,128.0,1787.0,64.0,329.0,3255.0,524.0,409.0,1067.0,49.0,58.0,172269.0
"Los Angeles-Long Beach-Anaheim, CA",428.0,13.0,32.0,,,4.0,262.0,2031.0,,382.0,53.0,100.0,4.0,5.0,516.0,,97.0,48.0,238.0,3.0,,,67.0,9.0,,436.0,,6.0,115.0,,237.0,4.0,410.0,67.0,777.0,,,,,103.0,11021.0,449.0,,56.0,4.0,69.0,20.0,202.0,,8.0,39.0,61.0,,,89.0,262.0,1248.0,3972.0,,53.0,13.0,254.0,24.0,22.0,3.0,3.0,5.0,82.0,364.0,73.0,60.0,4.0,2013.0,12.0,,31.0,24.0,595.0,350.0,105.0,4.0,2719.0,320.0,3245.0,521.0,76.0,430.0,239.0,117.0,1010.0,199.0,72.0,112.0,27.0,4670.0,53.0,33.0,23.0,20.0,379.0,,18.0,8.0,37.0,,17.0,14.0,,3.0,111.0,,3.0,,,,6.0,16053.0,72.0,59.0,4.0,,81.0,,,287.0,67.0,79.0,260.0,,380.0,7.0,556.0,48.0,,15.0,716.0,7359.0,126.0,19.0,12.0,195.0,643.0,3.0,,12.0,3.0,23.0,92.0,22.0,48.0,17.0,82.0,,23.0,6.0,28.0,142.0,,148.0,207.0,39.0,,,118.0,55.0,452.0,1004.0,24.0,15.0,642.0,7.0,11.0,31.0,34.0,253.0,4.0,,56.0,320.0,77.0,888.0,33.0,25.0,141.0,109.0,5113.0,5.0,15.0,17.0,79905.0
"Miami-Fort Lauderdale-West Palm Beach, FL",18.0,32.0,22.0,5.0,4.0,16.0,1186.0,15.0,7.0,50.0,24.0,10.0,247.0,,369.0,28.0,89.0,36.0,37.0,,10.0,,163.0,14.0,,1459.0,3.0,,84.0,,36.0,,6.0,17.0,438.0,,13.0,,,306.0,846.0,4321.0,,5.0,4.0,212.0,10.0,31483.0,,,29.0,25.0,,38.0,1863.0,887.0,153.0,413.0,,7.0,14.0,25.0,3.0,27.0,,,,21.0,215.0,18.0,34.0,17.0,448.0,,,188.0,5320.0,1180.0,29.0,84.0,,620.0,19.0,155.0,50.0,35.0,297.0,360.0,3502.0,49.0,101.0,51.0,12.0,,109.0,26.0,10.0,6.0,29.0,71.0,,4.0,7.0,23.0,3.0,,30.0,3.0,,20.0,,,,,,5.0,1199.0,80.0,4.0,5.0,,97.0,,,25.0,45.0,15.0,1134.0,,118.0,,276.0,156.0,,46.0,1631.0,623.0,102.0,48.0,,162.0,498.0,,40.0,45.0,8.0,,26.0,3.0,83.0,4.0,9.0,5.0,24.0,9.0,,134.0,,602.0,11.0,9.0,14.0,,53.0,38.0,62.0,29.0,4.0,8.0,104.0,5.0,,391.0,15.0,108.0,11.0,24.0,5.0,205.0,27.0,373.0,16.0,296.0,61.0,3828.0,279.0,,,5.0,71497.0
"Washington-Arlington-Alexandria, DC-VA-MD-WV",1661.0,75.0,62.0,3.0,,4.0,157.0,44.0,,64.0,21.0,47.0,15.0,3.0,620.0,16.0,50.0,40.0,5.0,88.0,,38.0,663.0,15.0,4.0,297.0,,,130.0,47.0,167.0,11.0,55.0,1299.0,233.0,,,20.0,23.0,60.0,2008.0,487.0,3.0,226.0,39.0,53.0,17.0,58.0,,,22.0,12.0,,26.0,439.0,163.0,489.0,3062.0,5.0,281.0,13.0,2856.0,3.0,14.0,,23.0,71.0,34.0,188.0,957.0,40.0,24.0,544.0,98.0,,140.0,157.0,508.0,61.0,30.0,,3163.0,65.0,731.0,547.0,29.0,87.0,109.0,549.0,106.0,128.0,64.0,161.0,6.0,1012.0,43.0,22.0,15.0,8.0,109.0,,271.0,10.0,15.0,,4.0,19.0,30.0,16.0,57.0,,43.0,,,20.0,12.0,711.0,68.0,89.0,6.0,4.0,296.0,7.0,,1019.0,24.0,21.0,113.0,,1157.0,8.0,1363.0,38.0,,34.0,857.0,1129.0,74.0,43.0,21.0,106.0,325.0,14.0,10.0,21.0,,,153.0,80.0,60.0,572.0,32.0,,16.0,3.0,80.0,102.0,,116.0,111.0,230.0,7.0,,34.0,16.0,87.0,143.0,50.0,78.0,198.0,258.0,,130.0,29.0,186.0,6.0,,94.0,195.0,66.0,393.0,23.0,42.0,78.0,150.0,918.0,26.0,16.0,48.0,39023.0
"Houston-The Woodlands-Sugar Land, TX",350.0,41.0,48.0,9.0,,3.0,155.0,7.0,,67.0,7.0,43.0,15.0,9.0,196.0,7.0,19.0,29.0,45.0,9.0,,208.0,56.0,11.0,4.0,204.0,,,42.0,49.0,261.0,24.0,112.0,185.0,467.0,,,,5.0,36.0,1733.0,731.0,,84.0,50.0,40.0,8.0,1332.0,,3.0,20.0,32.0,,8.0,149.0,118.0,211.0,1599.0,4.0,98.0,6.0,279.0,4.0,5.0,,24.0,4.0,7.0,118.0,101.0,20.0,8.0,278.0,8.0,,24.0,32.0,569.0,33.0,8.0,,2694.0,66.0,491.0,808.0,14.0,81.0,76.0,138.0,58.0,183.0,71.0,181.0,,375.0,43.0,7.0,10.0,,161.0,,72.0,46.0,7.0,,,8.0,,,75.0,,18.0,,,,,7581.0,26.0,10.0,,,59.0,,,417.0,62.0,22.0,100.0,,1477.0,4.0,1261.0,20.0,,,184.0,874.0,26.0,8.0,24.0,79.0,172.0,33.0,,30.0,,,88.0,17.0,8.0,21.0,60.0,,6.0,,36.0,68.0,,126.0,36.0,56.0,,,32.0,19.0,108.0,143.0,5.0,58.0,162.0,11.0,,93.0,13.0,157.0,9.0,,26.0,86.0,81.0,546.0,13.0,34.0,24.0,687.0,2095.0,6.0,9.0,11.0,33573.0
"Chicago-Naperville-Elgin, IL-IN-WI",98.0,212.0,130.0,,,,61.0,18.0,3.0,83.0,8.0,25.0,11.0,6.0,120.0,3.0,140.0,9.0,70.0,31.0,,158.0,28.0,58.0,,149.0,,,527.0,12.0,263.0,7.0,32.0,68.0,289.0,,,4.0,5.0,27.0,2020.0,278.0,,74.0,16.0,26.0,19.0,104.0,,5.0,41.0,13.0,9.0,3.0,76.0,368.0,207.0,139.0,,23.0,11.0,192.0,,4.0,,3.0,6.0,20.0,116.0,209.0,76.0,,292.0,10.0,,16.0,68.0,100.0,48.0,17.0,,4659.0,36.0,257.0,931.0,57.0,82.0,79.0,185.0,122.0,579.0,38.0,60.0,5.0,684.0,68.0,80.0,15.0,24.0,99.0,,37.0,8.0,233.0,,,152.0,,,93.0,5.0,9.0,,,,,6297.0,269.0,94.0,25.0,,127.0,,,265.0,40.0,23.0,36.0,,617.0,4.0,1298.0,5.0,,,152.0,1965.0,1645.0,,4.0,316.0,299.0,14.0,,,,,107.0,9.0,173.0,8.0,24.0,,28.0,3.0,94.0,41.0,,83.0,54.0,58.0,,,13.0,17.0,270.0,94.0,10.0,12.0,128.0,62.0,,12.0,15.0,110.0,21.0,,46.0,828.0,45.0,314.0,10.0,6.0,75.0,82.0,447.0,72.0,18.0,15.0,32760.0
"San Francisco-Oakland-Hayward, CA",890.0,18.0,223.0,,,,67.0,33.0,,138.0,31.0,20.0,3.0,5.0,81.0,,73.0,36.0,11.0,3.0,3.0,22.0,26.0,19.0,,323.0,,,80.0,4.0,389.0,3.0,67.0,23.0,432.0,,,,,42.0,6547.0,147.0,,19.0,,30.0,12.0,50.0,,7.0,12.0,27.0,,,18.0,39.0,224.0,924.0,,123.0,6.0,278.0,165.0,16.0,,,4.0,27.0,244.0,35.0,27.0,,679.0,,,10.0,22.0,99.0,366.0,39.0,,3845.0,119.0,525.0,79.0,110.0,144.0,155.0,46.0,295.0,175.0,20.0,67.0,5.0,500.0,28.0,20.0,12.0,15.0,30.0,,18.0,11.0,12.0,,21.0,7.0,,,100.0,,8.0,,3.0,,,3183.0,39.0,144.0,,,65.0,,,428.0,72.0,59.0,184.0,,151.0,3.0,357.0,27.0,,7.0,364.0,3458.0,58.0,16.0,9.0,69.0,380.0,,,,,5.0,41.0,8.0,20.0,20.0,52.0,,22.0,4.0,8.0,67.0,,128.0,55.0,22.0,,,66.0,44.0,55.0,397.0,6.0,10.0,193.0,3.0,72.0,10.0,23.0,142.0,5.0,,14.0,144.0,31.0,533.0,7.0,4.0,63.0,67.0,1057.0,294.0,8.0,4.0,32408.0
"Dallas-Fort Worth-Arlington, TX",454.0,25.0,33.0,6.0,,8.0,91.0,19.0,,67.0,5.0,5.0,9.0,8.0,435.0,,23.0,4.0,28.0,15.0,,294.0,19.0,17.0,3.0,212.0,,,27.0,,840.0,30.0,64.0,188.0,255.0,10.0,,,,49.0,1251.0,301.0,,468.0,37.0,39.0,7.0,238.0,,,8.0,13.0,6.0,6.0,184.0,81.0,318.0,723.0,,82.0,4.0,499.0,5.0,14.0,,4.0,32.0,6.0,85.0,168.0,5.0,9.0,185.0,10.0,,31.0,36.0,264.0,43.0,7.0,,3288.0,53.0,482.0,781.0,13.0,47.0,40.0,133.0,41.0,182.0,6.0,439.0,3.0,483.0,42.0,6.0,14.0,,80.0,,117.0,17.0,3.0,,,8.0,,9.0,126.0,,,,,,,6728.0,14.0,3.0,4.0,,73.0,3.0,,972.0,14.0,12.0,45.0,,794.0,6.0,700.0,33.0,,3.0,155.0,703.0,15.0,15.0,9.0,53.0,100.0,38.0,,7.0,,,64.0,19.0,7.0,34.0,15.0,,10.0,,79.0,64.0,4.0,63.0,45.0,102.0,,,32.0,10.0,75.0,106.0,8.0,43.0,167.0,31.0,9.0,18.0,11.0,93.0,12.0,,44.0,59.0,70.0,253.0,,7.0,34.0,135.0,1264.0,41.0,45.0,93.0,28490.0
"Boston-Cambridge-Newton, MA-NH",94.0,364.0,91.0,31.0,,5.0,52.0,61.0,,54.0,9.0,19.0,,,246.0,19.0,60.0,21.0,4.0,11.0,4.0,69.0,16.0,16.0,4.0,1152.0,5.0,,110.0,,53.0,7.0,224.0,117.0,318.0,806.0,,,3.0,23.0,2327.0,452.0,,91.0,10.0,35.0,8.0,38.0,,,14.0,19.0,,9.0,3367.0,49.0,241.0,531.0,,31.0,5.0,220.0,,6.0,,3.0,10.0,11.0,169.0,103.0,77.0,7.0,372.0,35.0,9.0,24.0,1232.0,143.0,50.0,18.0,3.0,1853.0,58.0,182.0,224.0,166.0,157.0,107.0,342.0,136.0,63.0,29.0,261.0,4.0,335.0,24.0,11.0,7.0,11.0,186.0,,110.0,7.0,15.0,,,11.0,,8.0,36.0,,3.0,,,5.0,,188.0,54.0,3.0,,9.0,414.0,,,414.0,43.0,14.0,8.0,,354.0,,221.0,22.0,,4.0,174.0,187.0,74.0,88.0,3.0,73.0,330.0,17.0,3.0,21.0,10.0,,37.0,28.0,18.0,59.0,22.0,,,,64.0,62.0,,119.0,42.0,38.0,,,23.0,36.0,61.0,117.0,,26.0,128.0,18.0,,59.0,8.0,112.0,3.0,,240.0,152.0,16.0,400.0,3.0,8.0,30.0,104.0,756.0,,12.0,31.0,23698.0
"Atlanta-Sandy Springs-Roswell, GA",209.0,16.0,20.0,,,24.0,68.0,3.0,,40.0,10.0,9.0,35.0,4.0,341.0,8.0,20.0,20.0,13.0,22.0,9.0,362.0,11.0,25.0,,322.0,4.0,,105.0,10.0,455.0,3.0,50.0,174.0,215.0,,6.0,9.0,,25.0,937.0,477.0,,171.0,17.0,60.0,7.0,154.0,,4.0,17.0,7.0,3.0,6.0,212.0,81.0,114.0,256.0,,120.0,,727.0,,9.0,,5.0,81.0,14.0,113.0,295.0,13.0,7.0,155.0,48.0,,128.0,193.0,171.0,13.0,5.0,4.0,2433.0,84.0,272.0,253.0,24.0,54.0,21.0,658.0,68.0,61.0,14.0,215.0,,912.0,24.0,10.0,4.0,9.0,30.0,,142.0,17.0,14.0,,,,,8.0,91.0,,17.0,3.0,,3.0,4.0,1501.0,24.0,,,,52.0,8.0,,276.0,33.0,5.0,39.0,,878.0,,358.0,38.0,,6.0,173.0,258.0,41.0,7.0,,114.0,152.0,11.0,10.0,14.0,9.0,,19.0,58.0,13.0,62.0,21.0,3.0,8.0,,108.0,80.0,,31.0,39.0,87.0,,,19.0,14.0,28.0,51.0,,16.0,125.0,96.0,,81.0,12.0,63.0,,,26.0,76.0,22.0,310.0,6.0,55.0,20.0,171.0,877.0,7.0,33.0,32.0,19392.0
