NAME,Afghanistan,Albania,Algeria,Angola,Anguilla,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia,Bosnia and Herzegovina,Botswana,Brazil,"Virgin Islands, British",Brunei,Bulgaria,Burkina Faso,Burma,Burundi,Cambodia,Cameroon,Canada,Cabo Verde,Cayman Islands,Central African Republic,Chad,Chile,"China, People's Republic",Colombia,"Congo, Democratic Republic","Congo, Republic",Costa Rica,Croatia,Cuba,Curacao,Cyprus,Czechia,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,Ethiopia,Fiji,Finland,French Polynesia,Gabon,Gambia,Georgia,Germany,Ghana,Greece,Grenada,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,Hong Kong,Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,"Korea, North","Korea, South",Kuwait,Kyrgyzstan,Laos,Latvia,Lebanon,Lesotho,Liberia,Libya,Lithuania,Luxembourg,Macau,North Macedonia,Madagascar,Malawi,Malaysia,Mali,Malta,Marshall Islands,Mauritania,Mauritius,Mexico,Moldova,Monaco,Mongolia,Montenegro,Montserrat,Morocco,Mozambique,Namibia,Nepal,Netherlands,New Zealand,Nicaragua,Niger,Nigeria,Oman,Pakistan,Palau,Panama,Paraguay,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russia,Rwanda,Saint Kitts and Nevis,Saint Lucia,Saint Vincent and the Grenadines,Samoa,Saudi Arabia,Senegal,Serbia,Sierra Leone,Singapore,Sint Maarten,Slovakia,Slovenia,Somalia,South Africa,South Sudan,Spain,Sri Lanka,Sudan,Suriname,Swaziland,Sweden,Switzerland,Syria,Taiwan,Tajikistan,Tanzania,Thailand,Togo,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Turks and Caicos Islands,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States,Uruguay,Uzbekistan,Venezuela,Vietnam,Yemen,Zambia,Zimbabwe,Total
"New York-Newark-Jersey City, NY-NJ-PA",316.0,1229.0,277.0,8.0,5.0,131.0,430.0,206.0,11.0,365.0,65.0,118.0,41.0,18.0,7540.0,166.0,478.0,79.0,122.0,70.0,4.0,14.0,116.0,46.0,4.0,1360.0,6.0,4.0,239.0,251.0,330.0,13.0,21.0,196.0,1023.0,14.0,6.0,5.0,33.0,211.0,17301.0,3775.0,64.0,29.0,491.0,63.0,1123.0,4.0,24.0,76.0,58.0,,63.0,30318.0,5908.0,3634.0,2460.0,,39.0,40.0,160.0,13.0,31.0,,14.0,334.0,729.0,621.0,1664.0,271.0,365.0,1009.0,621.0,6.0,4069.0,3947.0,1278.0,339.0,167.0,18.0,9980.0,219.0,440.0,153.0,298.0,921.0,660.0,6512.0,644.0,462.0,279.0,280.0,12.0,2458.0,100.0,177.0,,66.0,217.0,4.0,297.0,26.0,97.0,5.0,17.0,307.0,12.0,7.0,278.0,267.0,6.0,,70.0,9.0,2841.0,255.0,,7.0,136.0,,651.0,8.0,7.0,1311.0,129.0,90.0,196.0,7.0,1576.0,7.0,4462.0,,175.0,148.0,2485.0,4445.0,1334.0,215.0,21.0,324.0,1619.0,10.0,56.0,380.0,252.0,,178.0,337.0,180.0,234.0,105.0,14.0,93.0,17.0,5.0,234.0,,411.0,352.0,211.0,74.0,3.0,129.0,95.0,362.0,450.0,279.0,49.0,208.0,243.0,,1618.0,76.0,1039.0,72.0,5.0,52.0,1578.0,125.0,1503.0,51.0,243.0,2179.0,550.0,503.0,883.0,27.0,47.0,159938.0
"Los Angeles-Long Beach-Anaheim, CA",305.0,27.0,55.0,,,,241.0,2047.0,,407.0,55.0,97.0,4.0,7.0,385.0,4.0,67.0,61.0,206.0,4.0,,,69.0,12.0,,504.0,,,125.0,,219.0,,320.0,84.0,870.0,,,,,84.0,11924.0,469.0,53.0,6.0,80.0,23.0,242.0,,7.0,41.0,42.0,,,78.0,233.0,1394.0,3608.0,,48.0,9.0,257.0,51.0,29.0,,6.0,5.0,89.0,348.0,68.0,63.0,4.0,2149.0,4.0,,16.0,25.0,660.0,348.0,87.0,11.0,2181.0,276.0,4020.0,645.0,72.0,365.0,273.0,99.0,808.0,205.0,79.0,98.0,10.0,3747.0,61.0,27.0,19.0,31.0,274.0,,11.0,17.0,35.0,,14.0,6.0,,3.0,116.0,,3.0,,,4.0,18680.0,78.0,,58.0,5.0,,82.0,,,289.0,72.0,85.0,264.0,,410.0,9.0,577.0,,31.0,7.0,688.0,7257.0,117.0,16.0,11.0,187.0,741.0,6.0,,4.0,,17.0,105.0,11.0,55.0,26.0,68.0,,25.0,10.0,18.0,167.0,,189.0,202.0,38.0,,,121.0,54.0,568.0,978.0,20.0,18.0,610.0,15.0,18.0,20.0,32.0,241.0,15.0,,67.0,346.0,78.0,1062.0,26.0,16.0,102.0,133.0,4931.0,16.0,10.0,17.0,82354.0
"Miami-Fort Lauderdale-West Palm Beach, FL",21.0,31.0,23.0,13.0,,28.0,1134.0,10.0,7.0,66.0,21.0,11.0,277.0,3.0,260.0,20.0,96.0,40.0,31.0,,3.0,,144.0,17.0,,1754.0,3.0,,76.0,,24.0,,6.0,18.0,424.0,,12.0,,,300.0,997.0,4343.0,14.0,3.0,222.0,24.0,34777.0,7.0,6.0,39.0,24.0,,20.0,2093.0,788.0,155.0,461.0,,7.0,7.0,22.0,,30.0,,,,18.0,215.0,17.0,38.0,10.0,632.0,3.0,,176.0,6243.0,1254.0,31.0,101.0,,456.0,16.0,144.0,55.0,53.0,281.0,433.0,3306.0,54.0,111.0,42.0,10.0,,90.0,19.0,18.0,6.0,13.0,67.0,,3.0,4.0,36.0,4.0,3.0,41.0,,3.0,12.0,,,,,3.0,1249.0,92.0,3.0,3.0,6.0,,86.0,5.0,,34.0,59.0,21.0,1267.0,,113.0,,246.0,,132.0,45.0,1525.0,768.0,107.0,53.0,,219.0,483.0,,23.0,39.0,21.0,,50.0,5.0,107.0,8.0,5.0,4.0,20.0,3.0,,135.0,,822.0,31.0,16.0,8.0,,51.0,54.0,54.0,47.0,6.0,4.0,93.0,4.0,,349.0,19.0,142.0,3.0,17.0,,214.0,22.0,326.0,15.0,314.0,32.0,4204.0,381.0,4.0,5.0,12.0,77118.0
"Washington-Arlington-Alexandria, DC-VA-MD-WV",1199.0,61.0,86.0,4.0,,,115.0,62.0,,60.0,18.0,44.0,12.0,5.0,648.0,20.0,60.0,43.0,4.0,67.0,,32.0,711.0,18.0,5.0,288.0,,,108.0,47.0,152.0,8.0,59.0,1384.0,232.0,,3.0,16.0,7.0,45.0,1882.0,368.0,186.0,24.0,60.0,8.0,55.0,,4.0,27.0,13.0,,11.0,502.0,176.0,515.0,3250.0,7.0,273.0,8.0,2592.0,5.0,8.0,,21.0,45.0,36.0,137.0,764.0,42.0,17.0,619.0,83.0,,151.0,167.0,600.0,30.0,34.0,,2235.0,68.0,847.0,509.0,35.0,76.0,94.0,476.0,101.0,157.0,50.0,176.0,,789.0,48.0,18.0,15.0,12.0,118.0,5.0,216.0,12.0,13.0,,5.0,5.0,16.0,14.0,42.0,38.0,,,27.0,7.0,715.0,81.0,,75.0,3.0,,301.0,3.0,8.0,1010.0,49.0,18.0,138.0,7.0,950.0,,1495.0,,44.0,29.0,746.0,1419.0,67.0,28.0,24.0,122.0,290.0,17.0,,16.0,12.0,,141.0,91.0,46.0,490.0,23.0,,8.0,,63.0,74.0,3.0,100.0,97.0,230.0,,,23.0,14.0,122.0,139.0,30.0,41.0,166.0,248.0,,113.0,41.0,204.0,,,99.0,184.0,67.0,383.0,30.0,47.0,69.0,153.0,988.0,31.0,31.0,73.0,36896.0
"Chicago-Naperville-Elgin, IL-IN-WI",62.0,244.0,99.0,,,,83.0,22.0,,80.0,15.0,22.0,,5.0,91.0,4.0,130.0,14.0,83.0,25.0,,119.0,25.0,79.0,,181.0,,,479.0,7.0,297.0,5.0,18.0,87.0,366.0,,,4.0,6.0,40.0,2102.0,272.0,80.0,36.0,37.0,23.0,104.0,,9.0,46.0,17.0,10.0,6.0,99.0,340.0,218.0,134.0,,46.0,10.0,180.0,,13.0,,3.0,6.0,28.0,166.0,203.0,85.0,,269.0,16.0,,15.0,77.0,144.0,35.0,21.0,,4248.0,30.0,287.0,995.0,81.0,127.0,129.0,136.0,120.0,487.0,42.0,50.0,,611.0,50.0,112.0,5.0,21.0,62.0,,27.0,10.0,254.0,,,211.0,,3.0,118.0,15.0,,,4.0,,8843.0,379.0,,103.0,26.0,,108.0,,,267.0,50.0,18.0,35.0,,538.0,4.0,1219.0,,16.0,4.0,173.0,2238.0,1773.0,14.0,9.0,358.0,364.0,17.0,,,4.0,,123.0,10.0,254.0,11.0,23.0,,25.0,3.0,60.0,84.0,5.0,76.0,47.0,103.0,,,34.0,18.0,312.0,93.0,11.0,24.0,168.0,35.0,,4.0,16.0,133.0,15.0,,41.0,944.0,63.0,415.0,10.0,10.0,90.0,91.0,479.0,102.0,14.0,18.0,36301.0
"Houston-The Woodlands-Sugar Land, TX",424.0,48.0,66.0,16.0,,,133.0,4.0,,68.0,8.0,42.0,22.0,4.0,209.0,9.0,22.0,10.0,49.0,9.0,5.0,151.0,51.0,14.0,,253.0,,,23.0,46.0,252.0,14.0,63.0,241.0,444.0,,,8.0,8.0,42.0,1634.0,698.0,111.0,56.0,46.0,11.0,2103.0,,6.0,10.0,41.0,,18.0,117.0,93.0,249.0,1565.0,,83.0,,215.0,,24.0,,20.0,3.0,8.0,104.0,90.0,24.0,8.0,266.0,15.0,,18.0,22.0,623.0,59.0,18.0,,2169.0,66.0,627.0,993.0,35.0,65.0,81.0,148.0,52.0,165.0,55.0,135.0,,242.0,52.0,14.0,10.0,12.0,138.0,,58.0,36.0,4.0,,,17.0,5.0,3.0,104.0,15.0,,,4.0,7.0,8001.0,26.0,,3.0,,,73.0,,,352.0,71.0,11.0,122.0,,1186.0,4.0,1167.0,,30.0,5.0,176.0,1156.0,32.0,12.0,15.0,60.0,186.0,39.0,,29.0,,,95.0,11.0,18.0,35.0,43.0,,3.0,,51.0,88.0,4.0,123.0,46.0,71.0,,,14.0,7.0,108.0,145.0,12.0,53.0,157.0,10.0,,135.0,16.0,167.0,8.0,,36.0,86.0,86.0,586.0,6.0,22.0,22.0,777.0,2032.0,8.0,11.0,31.0,34307.0
"San Francisco-Oakland-Hayward, CA",579.0,10.0,176.0,3.0,,,73.0,45.0,,189.0,31.0,24.0,7.0,8.0,93.0,,100.0,50.0,13.0,,,18.0,26.0,18.0,,375.0,,,100.0,3.0,309.0,,43.0,42.0,604.0,,,,,36.0,7118.0,142.0,21.0,,22.0,10.0,58.0,,5.0,28.0,33.0,,,35.0,27.0,243.0,994.0,,120.0,3.0,204.0,171.0,24.0,,,,22.0,282.0,35.0,38.0,,793.0,5.0,,4.0,20.0,181.0,339.0,30.0,,3151.0,119.0,558.0,85.0,114.0,188.0,174.0,45.0,304.0,141.0,32.0,89.0,,421.0,35.0,14.0,16.0,15.0,54.0,,28.0,10.0,11.0,,20.0,11.0,4.0,,104.0,,3.0,3.0,,3.0,3744.0,49.0,,141.0,,,52.0,,,401.0,71.0,61.0,172.0,,138.0,4.0,451.0,3.0,15.0,8.0,376.0,3565.0,75.0,33.0,3.0,87.0,431.0,8.0,,,,10.0,45.0,7.0,33.0,12.0,83.0,,11.0,10.0,3.0,82.0,,161.0,75.0,38.0,,,101.0,44.0,44.0,399.0,20.0,12.0,201.0,8.0,69.0,10.0,16.0,161.0,11.0,,18.0,261.0,36.0,679.0,9.0,6.0,41.0,73.0,945.0,206.0,3.0,10.0,33575.0
"Dallas-Fort Worth-Arlington, TX",387.0,46.0,23.0,12.0,,,60.0,18.0,,66.0,14.0,17.0,11.0,13.0,308.0,,19.0,13.0,18.0,5.0,7.0,262.0,21.0,22.0,,203.0,,,30.0,4.0,793.0,28.0,64.0,254.0,266.0,,,,3.0,14.0,1093.0,211.0,580.0,7.0,30.0,4.0,313.0,,,13.0,14.0,14.0,,232.0,51.0,340.0,748.0,,113.0,5.0,519.0,4.0,11.0,,,29.0,24.0,73.0,153.0,6.0,10.0,203.0,12.0,,19.0,10.0,240.0,27.0,16.0,,2772.0,61.0,455.0,922.0,16.0,52.0,36.0,88.0,72.0,207.0,8.0,452.0,,506.0,52.0,8.0,19.0,,52.0,,114.0,16.0,,,,5.0,3.0,5.0,139.0,9.0,,,,,8075.0,16.0,,5.0,5.0,,74.0,5.0,,1073.0,22.0,12.0,48.0,,647.0,7.0,762.0,,14.0,,132.0,764.0,33.0,15.0,10.0,55.0,117.0,78.0,3.0,6.0,3.0,,72.0,15.0,20.0,39.0,22.0,,4.0,4.0,99.0,110.0,5.0,64.0,55.0,162.0,3.0,,24.0,8.0,84.0,114.0,,51.0,186.0,19.0,19.0,16.0,6.0,69.0,3.0,,33.0,57.0,70.0,248.0,15.0,4.0,29.0,143.0,1284.0,13.0,46.0,76.0,29466.0
"Boston-Cambridge-Newton, MA-NH",38.0,427.0,101.0,18.0,,,49.0,51.0,3.0,54.0,12.0,24.0,6.0,4.0,154.0,29.0,73.0,18.0,,,3.0,53.0,18.0,16.0,4.0,1125.0,,,88.0,5.0,73.0,10.0,190.0,155.0,285.0,848.0,,9.0,5.0,20.0,2182.0,411.0,101.0,4.0,22.0,8.0,53.0,,,13.0,19.0,9.0,6.0,3565.0,68.0,215.0,526.0,,37.0,10.0,195.0,,11.0,,,9.0,9.0,127.0,82.0,85.0,5.0,429.0,29.0,,27.0,1348.0,131.0,79.0,23.0,4.0,1297.0,54.0,214.0,269.0,117.0,157.0,138.0,232.0,83.0,66.0,30.0,217.0,,224.0,14.0,10.0,7.0,10.0,149.0,3.0,88.0,18.0,11.0,,9.0,8.0,,,30.0,,,,,,186.0,46.0,,,,8.0,411.0,5.0,,389.0,40.0,20.0,13.0,,279.0,,247.0,,13.0,3.0,136.0,239.0,68.0,69.0,3.0,52.0,264.0,14.0,,9.0,8.0,,25.0,20.0,33.0,51.0,22.0,,12.0,,69.0,51.0,8.0,84.0,37.0,51.0,,,29.0,27.0,69.0,122.0,,21.0,109.0,8.0,,65.0,11.0,103.0,3.0,,264.0,126.0,28.0,384.0,3.0,5.0,13.0,114.0,745.0,10.0,9.0,15.0,22533.0
"Atlanta-Sandy Springs-Roswell, GA",201.0,13.0,27.0,4.0,,18.0,62.0,8.0,3.0,38.0,10.0,11.0,52.0,3.0,312.0,18.0,20.0,18.0,8.0,24.0,20.0,322.0,14.0,30.0,,392.0,,,49.0,11.0,559.0,6.0,42.0,186.0,202.0,,,65.0,23.0,33.0,988.0,489.0,200.0,13.0,40.0,6.0,240.0,,,15.0,9.0,7.0,3.0,305.0,89.0,85.0,312.0,3.0,91.0,,681.0,,9.0,,10.0,109.0,19.0,120.0,334.0,19.0,10.0,203.0,77.0,3.0,115.0,187.0,215.0,19.0,11.0,,1987.0,53.0,282.0,275.0,18.0,101.0,53.0,741.0,51.0,43.0,7.0,196.0,,764.0,26.0,11.0,15.0,21.0,36.0,,160.0,30.0,11.0,,,4.0,,4.0,107.0,14.0,,,4.0,4.0,2059.0,52.0,,3.0,,,73.0,,,337.0,16.0,14.0,38.0,,874.0,4.0,387.0,,29.0,6.0,181.0,288.0,46.0,8.0,6.0,125.0,119.0,20.0,6.0,21.0,16.0,,31.0,79.0,11.0,57.0,8.0,,7.0,4.0,104.0,122.0,5.0,59.0,26.0,85.0,,,12.0,11.0,41.0,41.0,9.0,22.0,153.0,86.0,,99.0,4.0,104.0,,,33.0,90.0,19.0,268.0,12.0,58.0,26.0,208.0,1054.0,12.0,36.0,46.0,20628.0
