NAME,Afghanistan,Albania,Algeria,Angola,Anguilla,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia,Bosnia and Herzegovina,Botswana,Brazil,Brunei,Bulgaria,Burkina Faso,Burma,Burundi,Cabo Verde,Cambodia,Cameroon,Canada,Cayman Islands,Central African Republic,Chad,Chile,"China, People's Republic",Colombia,"Congo, Democratic Republic","Congo, Republic",Costa Rica,Croatia,Cuba,Curacao,Cyprus,Czechia,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Eritrea,Estonia,Swaziland,Ethiopia,Fiji,Finland,Gabon,Gambia,Georgia,Germany,Ghana,Greece,Grenada,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,Hong Kong,Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,"Korea, North","Korea, South",Kuwait,Kyrgyzstan,Laos,Latvia,Lebanon,Liberia,Libya,Lithuania,Luxembourg,Macau,North Macedonia,Madagascar,Malawi,Malaysia,Mali,Malta,Mauritania,Mauritius,Mexico,Moldova,Mongolia,Montenegro,Montserrat,Morocco,Mozambique,Namibia,Nepal,Netherlands,New Zealand,Nicaragua,Niger,Nigeria,Oman,Pakistan,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russia,Rwanda,Saint Kitts and Nevis,Saint Lucia,Saint Vincent and the Grenadines,Samoa,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Sierra Leone,Singapore,Sint Maarten,Slovakia,Slovenia,Somalia,South Africa,South Sudan,Spain,Sri Lanka,Sudan,Suriname,Sweden,Switzerland,Syria,Taiwan,Tajikistan,Tanzania,Thailand,Togo,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Turks and Caicos Islands,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States,Uruguay,Uzbekistan,Venezuela,Vietnam,"Virgin Islands, British",Yemen,Zambia,Zimbabwe,Total
"New York-Newark-Jersey City, NY-NJ-PA",340.0,1480.0,357.0,13.0,4.0,130.0,406.0,151.0,5.0,411.0,47.0,205.0,27.0,18.0,8186.0,145.0,357.0,88.0,95.0,71.0,6.0,39.0,183.0,41.0,7.0,1982.0,4.0,163.0,226.0,208.0,12.0,16.0,30.0,166.0,949.0,3.0,7.0,22.0,216.0,17122.0,4098.0,55.0,40.0,588.0,68.0,1318.0,8.0,39.0,54.0,54.0,8.0,135.0,32585.0,6413.0,2740.0,3762.0,23.0,22.0,,147.0,9.0,31.0,19.0,273.0,949.0,524.0,2195.0,344.0,348.0,1496.0,585.0,4.0,3734.0,5195.0,2101.0,368.0,148.0,8.0,9143.0,177.0,321.0,89.0,362.0,880.0,708.0,7018.0,536.0,405.0,266.0,204.0,4.0,2790.0,95.0,227.0,,64.0,168.0,194.0,21.0,73.0,4.0,6.0,321.0,7.0,9.0,230.0,196.0,3.0,45.0,11.0,3417.0,155.0,11.0,154.0,10.0,530.0,4.0,4.0,1280.0,115.0,78.0,203.0,14.0,1781.0,9.0,3523.0,168.0,,173.0,2672.0,3301.0,1235.0,243.0,27.0,281.0,1554.0,7.0,74.0,287.0,217.0,,,205.0,437.0,211.0,196.0,125.0,6.0,84.0,15.0,3.0,238.0,,441.0,302.0,159.0,91.0,117.0,87.0,501.0,485.0,457.0,45.0,248.0,209.0,,1369.0,52.0,1275.0,89.0,11.0,48.0,1900.0,153.0,1470.0,46.0,262.0,2729.0,826.0,732.0,5.0,492.0,37.0,59.0,166747.0
"Miami-Fort Lauderdale-Pompano Beach, FL",9.0,52.0,22.0,10.0,,20.0,736.0,15.0,7.0,25.0,23.0,16.0,251.0,,383.0,18.0,56.0,28.0,17.0,,5.0,,103.0,10.0,,1901.0,,51.0,,15.0,,3.0,4.0,12.0,379.0,11.0,,,233.0,714.0,3592.0,8.0,,181.0,13.0,39973.0,11.0,,16.0,15.0,,31.0,2341.0,799.0,107.0,609.0,4.0,3.0,,14.0,,20.0,,7.0,13.0,125.0,35.0,43.0,16.0,679.0,,,134.0,6875.0,1449.0,37.0,73.0,3.0,462.0,17.0,61.0,21.0,19.0,170.0,346.0,3370.0,35.0,73.0,62.0,18.0,,65.0,14.0,11.0,,14.0,72.0,6.0,8.0,21.0,,,31.0,,6.0,5.0,,,,,1178.0,53.0,,3.0,,64.0,,,35.0,27.0,10.0,1057.0,,117.0,,165.0,108.0,,27.0,1211.0,678.0,69.0,68.0,,126.0,395.0,5.0,25.0,39.0,8.0,,,35.0,5.0,64.0,,8.0,,17.0,,,117.0,,427.0,13.0,26.0,24.0,24.0,25.0,145.0,66.0,3.0,,92.0,,,233.0,14.0,135.0,6.0,15.0,6.0,246.0,35.0,226.0,18.0,188.0,31.0,4576.0,352.0,,,,10.0,79912.0
"Los Angeles-Long Beach-Anaheim, CA",378.0,27.0,46.0,3.0,,,192.0,2349.0,,311.0,24.0,143.0,6.0,10.0,545.0,,88.0,25.0,145.0,,,,72.0,14.0,,463.0,3.0,71.0,,210.0,3.0,,474.0,76.0,602.0,,,,54.0,8553.0,399.0,12.0,3.0,75.0,15.0,289.0,,6.0,35.0,36.0,,,87.0,237.0,800.0,4819.0,37.0,10.0,,251.0,38.0,17.0,3.0,,123.0,238.0,74.0,49.0,3.0,2567.0,8.0,,11.0,18.0,915.0,337.0,65.0,14.0,1941.0,210.0,3003.0,291.0,50.0,303.0,209.0,132.0,663.0,239.0,87.0,73.0,10.0,3581.0,60.0,26.0,15.0,20.0,289.0,8.0,15.0,31.0,,17.0,15.0,,3.0,88.0,,,,,17289.0,56.0,41.0,6.0,,79.0,,,239.0,75.0,72.0,247.0,,417.0,7.0,459.0,27.0,,15.0,522.0,5205.0,106.0,20.0,4.0,147.0,676.0,,,,,24.0,,125.0,16.0,57.0,20.0,70.0,,12.0,5.0,12.0,180.0,,128.0,192.0,41.0,,77.0,45.0,532.0,966.0,25.0,8.0,407.0,6.0,9.0,26.0,34.0,306.0,7.0,,63.0,361.0,97.0,710.0,22.0,27.0,77.0,143.0,5050.0,,11.0,5.0,17.0,73479.0
"Washington-Arlington-Alexandria, DC-VA-MD-WV",1558.0,72.0,80.0,4.0,,6.0,139.0,28.0,,80.0,17.0,66.0,12.0,6.0,720.0,10.0,55.0,28.0,6.0,88.0,,,619.0,22.0,5.0,375.0,,65.0,44.0,45.0,16.0,3.0,98.0,1131.0,188.0,,16.0,8.0,66.0,1650.0,462.0,193.0,23.0,56.0,8.0,108.0,4.0,,16.0,10.0,6.0,20.0,521.0,183.0,395.0,4062.0,194.0,4.0,3.0,2433.0,,28.0,12.0,48.0,47.0,149.0,1115.0,37.0,11.0,824.0,75.0,,126.0,220.0,849.0,63.0,21.0,4.0,1949.0,76.0,517.0,291.0,43.0,83.0,100.0,494.0,85.0,96.0,52.0,159.0,3.0,805.0,46.0,34.0,12.0,5.0,87.0,170.0,14.0,10.0,,,21.0,15.0,19.0,52.0,27.0,,11.0,,803.0,46.0,116.0,3.0,,277.0,7.0,,909.0,36.0,17.0,131.0,5.0,1002.0,4.0,1329.0,41.0,,29.0,820.0,1209.0,59.0,17.0,24.0,85.0,278.0,9.0,8.0,12.0,5.0,,,173.0,79.0,60.0,467.0,23.0,,9.0,3.0,27.0,103.0,,91.0,164.0,291.0,6.0,26.0,27.0,261.0,212.0,36.0,98.0,211.0,226.0,,101.0,59.0,260.0,7.0,,64.0,213.0,59.0,300.0,27.0,36.0,51.0,222.0,1113.0,,26.0,24.0,32.0,37400.0
"Houston-The Woodlands-Sugar Land, TX",499.0,27.0,51.0,22.0,7.0,,118.0,13.0,,67.0,8.0,96.0,14.0,4.0,154.0,10.0,6.0,13.0,39.0,15.0,,17.0,33.0,14.0,6.0,308.0,,24.0,18.0,131.0,12.0,,110.0,196.0,305.0,,,5.0,33.0,1518.0,562.0,196.0,32.0,47.0,7.0,4467.0,,8.0,6.0,18.0,3.0,21.0,173.0,127.0,236.0,2050.0,86.0,,,187.0,3.0,9.0,4.0,4.0,5.0,69.0,132.0,13.0,13.0,381.0,4.0,,9.0,34.0,900.0,50.0,11.0,,2154.0,75.0,320.0,710.0,18.0,40.0,73.0,140.0,42.0,208.0,63.0,134.0,,271.0,41.0,10.0,6.0,5.0,142.0,38.0,17.0,6.0,,4.0,10.0,,5.0,82.0,10.0,,,4.0,7740.0,27.0,,,,30.0,,,244.0,47.0,7.0,94.0,,1353.0,9.0,1087.0,26.0,,4.0,132.0,869.0,23.0,18.0,10.0,43.0,199.0,63.0,5.0,42.0,,,,111.0,18.0,8.0,33.0,30.0,,5.0,,16.0,83.0,,91.0,50.0,77.0,3.0,14.0,10.0,383.0,151.0,6.0,63.0,101.0,18.0,,79.0,13.0,323.0,19.0,,45.0,77.0,102.0,334.0,12.0,16.0,17.0,876.0,2343.0,,,10.0,21.0,36018.0
"Chicago-Naperville-Elgin, IL-IN-WI",133.0,239.0,140.0,,,,80.0,17.0,,72.0,17.0,36.0,6.0,8.0,118.0,,109.0,11.0,66.0,32.0,,68.0,26.0,55.0,,262.0,,327.0,4.0,276.0,8.0,,38.0,107.0,274.0,,23.0,13.0,45.0,1688.0,319.0,176.0,29.0,31.0,18.0,170.0,,,44.0,7.0,,4.0,172.0,376.0,195.0,188.0,40.0,12.0,,166.0,,8.0,5.0,6.0,22.0,127.0,275.0,81.0,,329.0,13.0,,5.0,103.0,219.0,31.0,15.0,,3692.0,43.0,284.0,430.0,81.0,98.0,105.0,145.0,96.0,557.0,52.0,54.0,5.0,562.0,69.0,188.0,10.0,23.0,41.0,38.0,14.0,243.0,,,244.0,,8.0,149.0,12.0,,4.0,,9030.0,317.0,96.0,20.0,,97.0,6.0,,277.0,32.0,20.0,28.0,,655.0,4.0,910.0,12.0,,3.0,155.0,1631.0,1397.0,20.0,6.0,252.0,316.0,25.0,,3.0,,,,142.0,14.0,211.0,10.0,26.0,,31.0,3.0,36.0,71.0,,94.0,38.0,126.0,,36.0,11.0,764.0,79.0,31.0,49.0,116.0,40.0,,4.0,12.0,177.0,29.0,,43.0,1163.0,61.0,298.0,8.0,12.0,96.0,127.0,577.0,,34.0,23.0,15.0,34650.0
"San Francisco-Oakland-Berkeley, CA",605.0,18.0,170.0,,,,64.0,33.0,,152.0,37.0,37.0,,5.0,91.0,,86.0,43.0,5.0,,,9.0,11.0,15.0,,416.0,,51.0,4.0,278.0,,,97.0,38.0,527.0,,,,38.0,5583.0,156.0,11.0,,21.0,9.0,52.0,,7.0,17.0,23.0,,,27.0,24.0,149.0,1383.0,186.0,8.0,,233.0,122.0,30.0,,3.0,17.0,272.0,41.0,36.0,,1214.0,3.0,,10.0,35.0,295.0,321.0,31.0,,3079.0,70.0,316.0,69.0,81.0,206.0,144.0,26.0,185.0,110.0,43.0,52.0,,525.0,32.0,19.0,11.0,4.0,41.0,16.0,6.0,11.0,3.0,27.0,6.0,,,74.0,6.0,,,4.0,3863.0,38.0,123.0,,,48.0,,,497.0,66.0,40.0,175.0,,187.0,4.0,401.0,13.0,,4.0,327.0,2827.0,76.0,19.0,3.0,57.0,420.0,5.0,,,3.0,3.0,,67.0,12.0,18.0,11.0,76.0,,10.0,4.0,,92.0,,145.0,39.0,51.0,,72.0,38.0,71.0,395.0,11.0,11.0,175.0,3.0,35.0,9.0,25.0,170.0,10.0,,33.0,279.0,48.0,504.0,6.0,11.0,37.0,83.0,1138.0,,160.0,7.0,12.0,31382.0
"Dallas-Fort Worth-Arlington, TX",589.0,33.0,37.0,5.0,,5.0,59.0,,,43.0,,6.0,6.0,6.0,357.0,,13.0,9.0,8.0,12.0,,80.0,18.0,15.0,,247.0,,23.0,,469.0,30.0,,98.0,225.0,166.0,,13.0,5.0,33.0,817.0,224.0,661.0,23.0,37.0,,840.0,,3.0,4.0,,5.0,3.0,92.0,55.0,291.0,1116.0,132.0,,,537.0,3.0,16.0,6.0,16.0,,53.0,209.0,13.0,3.0,225.0,19.0,,11.0,23.0,429.0,27.0,11.0,,2340.0,30.0,327.0,625.0,13.0,67.0,26.0,90.0,55.0,206.0,18.0,471.0,,560.0,55.0,8.0,7.0,8.0,63.0,64.0,19.0,5.0,,,10.0,,8.0,187.0,,,,3.0,7874.0,35.0,3.0,6.0,,53.0,,,908.0,7.0,6.0,40.0,,822.0,5.0,631.0,19.0,5.0,6.0,138.0,462.0,24.0,11.0,12.0,30.0,100.0,145.0,,4.0,,,,65.0,16.0,16.0,39.0,15.0,,,3.0,128.0,67.0,4.0,52.0,43.0,144.0,,12.0,7.0,421.0,111.0,3.0,120.0,96.0,37.0,10.0,9.0,3.0,87.0,3.0,,64.0,74.0,54.0,183.0,10.0,11.0,17.0,203.0,1367.0,,3.0,26.0,70.0,28718.0
"Boston-Cambridge-Newton, MA-NH",90.0,460.0,90.0,23.0,,13.0,36.0,79.0,,60.0,21.0,57.0,8.0,,256.0,15.0,53.0,15.0,6.0,5.0,4.0,10.0,18.0,16.0,,1643.0,,66.0,,27.0,10.0,1316.0,323.0,147.0,218.0,,,,36.0,2038.0,519.0,132.0,4.0,29.0,3.0,62.0,,,13.0,13.0,,13.0,4614.0,80.0,227.0,867.0,39.0,4.0,,234.0,,6.0,,4.0,13.0,131.0,137.0,72.0,8.0,499.0,33.0,7.0,19.0,1946.0,275.0,72.0,24.0,,1272.0,33.0,221.0,85.0,130.0,164.0,130.0,334.0,96.0,52.0,18.0,242.0,,322.0,23.0,6.0,4.0,8.0,127.0,55.0,14.0,12.0,,,14.0,,3.0,30.0,6.0,,,,239.0,42.0,3.0,4.0,3.0,289.0,3.0,,406.0,30.0,21.0,17.0,,360.0,,187.0,11.0,,,121.0,211.0,49.0,61.0,3.0,51.0,277.0,18.0,6.0,8.0,11.0,,3.0,37.0,13.0,32.0,25.0,15.0,,7.0,4.0,61.0,31.0,,127.0,41.0,64.0,,13.0,20.0,114.0,120.0,,41.0,105.0,,,67.0,7.0,211.0,5.0,,273.0,182.0,15.0,267.0,,12.0,21.0,157.0,878.0,,3.0,15.0,26.0,26102.0
"Atlanta-Sandy Springs-Alpharetta, GA",216.0,4.0,24.0,,,19.0,53.0,5.0,,39.0,8.0,20.0,48.0,3.0,491.0,12.0,31.0,4.0,11.0,23.0,10.0,96.0,7.0,20.0,4.0,405.0,,48.0,10.0,327.0,23.0,,52.0,173.0,135.0,,35.0,18.0,31.0,810.0,508.0,417.0,17.0,40.0,3.0,449.0,,,17.0,4.0,6.0,24.0,391.0,91.0,91.0,423.0,80.0,,3.0,690.0,,,7.0,88.0,14.0,72.0,409.0,15.0,7.0,275.0,60.0,,95.0,324.0,307.0,28.0,8.0,,1902.0,48.0,284.0,182.0,13.0,69.0,32.0,845.0,46.0,85.0,25.0,211.0,,635.0,12.0,7.0,13.0,6.0,24.0,129.0,3.0,10.0,,,4.0,,10.0,124.0,13.0,,,,2155.0,58.0,4.0,,,53.0,,3.0,223.0,15.0,8.0,53.0,,957.0,,416.0,17.0,,5.0,169.0,255.0,22.0,5.0,7.0,75.0,134.0,58.0,8.0,20.0,5.0,,,31.0,93.0,9.0,57.0,14.0,,7.0,,78.0,64.0,7.0,32.0,19.0,68.0,3.0,10.0,6.0,375.0,45.0,7.0,221.0,107.0,67.0,,54.0,14.0,121.0,,,80.0,121.0,21.0,199.0,6.0,51.0,27.0,255.0,1135.0,3.0,,20.0,41.0,21103.0
