NAME,Afghanistan,Albania,Algeria,Angola,Anguilla,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia,Bosnia and Herzegovina,Botswana,Brazil,Brunei,Bulgaria,Burkina Faso,Burma,Burundi,Cabo Verde,Cambodia,Cameroon,Canada,Cayman Islands,Central African Republic,Chad,Chile,"China, People's Republic",Colombia,"Congo, Democratic Republic","Congo, Republic",Costa Rica,Croatia,Cuba,Curacao,Cyprus,Czechia,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,Swaziland,Ethiopia,Fiji,Finland,French Polynesia,Gabon,Gambia,Georgia,Germany,Ghana,Greece,Grenada,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,Hong Kong,Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,"Korea, North","Korea, South",Kuwait,Kyrgyzstan,Laos,Latvia,Lebanon,Liberia,Libya,Lithuania,Luxembourg,Macau,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Mauritania,Mauritius,Mexico,Moldova,Mongolia,Montenegro,Montserrat,Morocco,Mozambique,Namibia,Nepal,Netherlands,New Zealand,Nicaragua,Niger,Nigeria,North Macedonia,Oman,Pakistan,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russia,Rwanda,Saint Kitts and Nevis,Saint Lucia,Saint Vincent and the Grenadines,Samoa,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Sierra Leone,Singapore,Sint Maarten,Slovakia,Slovenia,Somalia,South Africa,South Sudan,Spain,Sri Lanka,Sudan,Suriname,Sweden,Switzerland,Syria,Taiwan,Tajikistan,Tanzania,Thailand,Togo,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Turks and Caicos Islands,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States,Uruguay,Uzbekistan,Venezuela,Vietnam,"Virgin Islands, British",Yemen,Zambia,Zimbabwe,Total
"New York-Newark-Jersey City, NY-NJ-PA",272.0,1517.0,387.0,14.0,3.0,140.0,468.0,120.0,8.0,468.0,66.0,261.0,40.0,15.0,7621.0,164.0,457.0,113.0,108.0,73.0,8.0,32.0,161.0,49.0,4.0,2175.0,3.0,152.0,242.0,244.0,4.0,14.0,36.0,121.0,1122.0,3.0,10.0,23.0,240.0,13570.0,4173.0,60.0,37.0,524.0,77.0,611.0,8.0,34.0,63.0,58.0,,151.0,27399.0,5886.0,2448.0,3444.0,,16.0,29.0,,109.0,9.0,35.0,,10.0,338.0,1017.0,534.0,2200.0,365.0,403.0,1183.0,676.0,9.0,3847.0,3923.0,2169.0,339.0,214.0,6.0,8221.0,160.0,297.0,59.0,464.0,1067.0,816.0,6861.0,538.0,438.0,248.0,221.0,5.0,2876.0,93.0,137.0,,38.0,188.0,181.0,14.0,79.0,5.0,18.0,5.0,9.0,285.0,,249.0,7.0,33.0,14.0,3021.0,164.0,19.0,201.0,11.0,640.0,4.0,7.0,1060.0,173.0,100.0,199.0,34.0,1888.0,288.0,12.0,2863.0,171.0,,166.0,2346.0,3194.0,1213.0,238.0,22.0,269.0,1736.0,9.0,66.0,340.0,256.0,,,193.0,484.0,237.0,185.0,137.0,4.0,85.0,22.0,,255.0,,459.0,328.0,132.0,86.0,152.0,108.0,215.0,624.0,568.0,29.0,287.0,247.0,,1623.0,56.0,1239.0,116.0,5.0,40.0,1836.0,177.0,1641.0,41.0,235.0,1196.0,923.0,765.0,8.0,877.0,34.0,49.0,152966.0
"Los Angeles-Long Beach-Anaheim, CA",301.0,32.0,30.0,,,,205.0,2298.0,,422.0,57.0,132.0,,5.0,509.0,,121.0,47.0,195.0,,,5.0,68.0,7.0,,652.0,,88.0,7.0,224.0,,,360.0,95.0,752.0,,3.0,,82.0,9136.0,507.0,31.0,4.0,81.0,22.0,157.0,,11.0,48.0,48.0,,,76.0,233.0,755.0,5146.0,,47.0,10.0,,189.0,37.0,31.0,4.0,,10.0,105.0,332.0,78.0,52.0,3.0,2259.0,7.0,,14.0,27.0,1246.0,325.0,68.0,,1808.0,225.0,1563.0,124.0,62.0,484.0,286.0,114.0,792.0,218.0,104.0,79.0,5.0,4274.0,85.0,38.0,15.0,24.0,289.0,11.0,23.0,33.0,,17.0,,,103.0,,,,,4.0,16261.0,60.0,58.0,10.0,,95.0,,,280.0,70.0,94.0,281.0,,468.0,15.0,6.0,321.0,31.0,,13.0,590.0,5296.0,149.0,28.0,20.0,151.0,919.0,6.0,,5.0,,21.0,,122.0,16.0,71.0,23.0,61.0,,22.0,4.0,,148.0,,186.0,190.0,58.0,,148.0,53.0,330.0,1187.0,22.0,19.0,542.0,5.0,8.0,29.0,49.0,350.0,22.0,,103.0,432.0,95.0,862.0,14.0,31.0,69.0,225.0,5840.0,,6.0,5.0,21.0,75192.0
"Miami-Fort Lauderdale-Pompano Beach, FL",8.0,44.0,20.0,9.0,,26.0,1216.0,15.0,11.0,53.0,14.0,21.0,372.0,4.0,357.0,18.0,110.0,48.0,19.0,,8.0,,179.0,13.0,,3311.0,,73.0,,28.0,,4.0,10.0,15.0,461.0,9.0,,,331.0,783.0,4798.0,9.0,,241.0,27.0,23781.0,13.0,5.0,34.0,13.0,,37.0,2362.0,934.0,94.0,571.0,,7.0,6.0,,17.0,3.0,17.0,,,8.0,17.0,207.0,40.0,62.0,12.0,707.0,,,188.0,5967.0,1812.0,33.0,104.0,,476.0,25.0,62.0,34.0,35.0,333.0,495.0,4056.0,50.0,85.0,83.0,12.0,,84.0,35.0,15.0,,16.0,61.0,5.0,6.0,46.0,,3.0,,,5.0,,,,,4.0,1445.0,89.0,,10.0,,90.0,3.0,,66.0,55.0,12.0,1414.0,,169.0,39.0,3.0,177.0,143.0,,59.0,1458.0,615.0,111.0,76.0,11.0,173.0,528.0,,28.0,40.0,27.0,,,55.0,6.0,119.0,5.0,5.0,3.0,27.0,8.0,,149.0,,596.0,7.0,18.0,22.0,51.0,46.0,73.0,44.0,7.0,,96.0,,,244.0,18.0,209.0,9.0,21.0,9.0,325.0,31.0,325.0,24.0,265.0,40.0,6446.0,552.0,11.0,,4.0,7.0,72460.0
"Houston-The Woodlands-Sugar Land, TX",331.0,35.0,84.0,39.0,,6.0,181.0,6.0,4.0,95.0,5.0,85.0,17.0,8.0,212.0,4.0,25.0,21.0,66.0,16.0,,6.0,60.0,20.0,,453.0,4.0,38.0,36.0,82.0,23.0,,81.0,240.0,436.0,3.0,,6.0,55.0,1519.0,848.0,198.0,26.0,78.0,10.0,3395.0,6.0,3.0,8.0,11.0,,29.0,208.0,188.0,268.0,2107.0,8.0,77.0,4.0,,180.0,,12.0,,30.0,6.0,,120.0,117.0,33.0,11.0,335.0,16.0,,10.0,42.0,1284.0,51.0,14.0,,1731.0,73.0,202.0,337.0,13.0,83.0,116.0,215.0,60.0,259.0,86.0,176.0,,276.0,40.0,10.0,6.0,,146.0,44.0,34.0,,,,,3.0,87.0,,16.0,,,3.0,9649.0,23.0,7.0,,,57.0,,5.0,247.0,53.0,22.0,155.0,5.0,1908.0,23.0,7.0,1130.0,42.0,,11.0,217.0,961.0,30.0,15.0,16.0,58.0,209.0,43.0,3.0,42.0,,,,128.0,22.0,12.0,32.0,31.0,,5.0,,11.0,121.0,5.0,112.0,49.0,61.0,,18.0,6.0,160.0,171.0,15.0,84.0,147.0,13.0,,96.0,18.0,312.0,14.0,,77.0,104.0,128.0,486.0,9.0,36.0,28.0,1262.0,3001.0,,10.0,9.0,23.0,39805.0
"Chicago-Naperville-Elgin, IL-IN-WI",110.0,271.0,177.0,,,,65.0,20.0,,80.0,10.0,41.0,10.0,16.0,158.0,6.0,143.0,16.0,84.0,36.0,,22.0,22.0,80.0,3.0,331.0,,354.0,7.0,138.0,7.0,,39.0,99.0,298.0,,14.0,5.0,28.0,1828.0,355.0,119.0,9.0,29.0,34.0,107.0,3.0,,80.0,9.0,,5.0,170.0,350.0,179.0,191.0,,59.0,4.0,,137.0,,14.0,,,7.0,45.0,147.0,293.0,65.0,,289.0,14.0,,13.0,77.0,270.0,33.0,11.0,,3344.0,39.0,168.0,268.0,75.0,122.0,113.0,181.0,97.0,670.0,76.0,57.0,,593.0,61.0,218.0,11.0,9.0,50.0,19.0,12.0,256.0,3.0,,,7.0,107.0,5.0,6.0,,,,8637.0,381.0,175.0,36.0,,147.0,5.0,5.0,176.0,40.0,25.0,33.0,,682.0,222.0,5.0,877.0,19.0,,3.0,146.0,1499.0,1543.0,9.0,11.0,256.0,395.0,20.0,,3.0,,,,164.0,33.0,309.0,9.0,27.0,,36.0,6.0,24.0,103.0,5.0,89.0,45.0,83.0,,32.0,17.0,318.0,135.0,74.0,39.0,174.0,60.0,,17.0,23.0,160.0,27.0,,50.0,1141.0,79.0,370.0,3.0,13.0,76.0,222.0,716.0,,111.0,21.0,16.0,34380.0
"Washington-Arlington-Alexandria, DC-VA-MD-WV",1504.0,69.0,70.0,14.0,,5.0,142.0,28.0,3.0,70.0,18.0,129.0,12.0,7.0,766.0,18.0,48.0,30.0,18.0,72.0,,,521.0,9.0,5.0,388.0,,44.0,40.0,56.0,16.0,,79.0,1138.0,190.0,,14.0,14.0,70.0,1560.0,425.0,140.0,34.0,69.0,8.0,54.0,,5.0,19.0,11.0,3.0,13.0,471.0,149.0,411.0,3596.0,,199.0,9.0,6.0,1759.0,,17.0,,31.0,44.0,37.0,142.0,1002.0,36.0,12.0,634.0,86.0,,148.0,144.0,807.0,53.0,20.0,,1670.0,44.0,257.0,190.0,31.0,56.0,86.0,508.0,81.0,148.0,66.0,146.0,,651.0,48.0,40.0,15.0,6.0,75.0,164.0,26.0,13.0,,3.0,27.0,9.0,29.0,,29.0,,18.0,6.0,665.0,38.0,115.0,,,276.0,,4.0,774.0,44.0,25.0,135.0,11.0,1011.0,15.0,5.0,1076.0,53.0,,29.0,756.0,978.0,58.0,21.0,11.0,71.0,332.0,16.0,13.0,12.0,5.0,,,159.0,93.0,71.0,395.0,15.0,,13.0,,18.0,113.0,7.0,88.0,113.0,254.0,4.0,26.0,18.0,95.0,150.0,46.0,63.0,194.0,173.0,,121.0,37.0,270.0,12.0,,81.0,170.0,65.0,305.0,24.0,22.0,51.0,235.0,1152.0,,24.0,21.0,47.0,33497.0
"Dallas-Fort Worth-Arlington, TX",363.0,45.0,55.0,10.0,,,105.0,8.0,,64.0,8.0,8.0,19.0,11.0,367.0,,32.0,17.0,26.0,13.0,,53.0,20.0,21.0,,408.0,,17.0,8.0,260.0,46.0,,69.0,282.0,281.0,,31.0,10.0,41.0,949.0,306.0,802.0,22.0,67.0,,608.0,,,7.0,3.0,,7.0,120.0,59.0,381.0,1353.0,,171.0,4.0,,445.0,3.0,17.0,,5.0,41.0,16.0,94.0,263.0,4.0,6.0,198.0,20.0,,20.0,17.0,559.0,29.0,18.0,,2050.0,44.0,245.0,413.0,38.0,65.0,38.0,108.0,68.0,271.0,18.0,508.0,,735.0,44.0,7.0,18.0,7.0,55.0,86.0,16.0,4.0,,,,18.0,116.0,,4.0,4.0,3.0,5.0,9555.0,13.0,3.0,3.0,,72.0,5.0,3.0,895.0,24.0,22.0,47.0,,1300.0,12.0,10.0,649.0,39.0,4.0,4.0,181.0,601.0,20.0,10.0,23.0,42.0,99.0,161.0,5.0,7.0,4.0,,,133.0,26.0,25.0,38.0,13.0,,4.0,,80.0,86.0,12.0,70.0,65.0,150.0,,29.0,8.0,272.0,167.0,7.0,197.0,111.0,25.0,17.0,23.0,9.0,118.0,12.0,,84.0,111.0,55.0,238.0,8.0,17.0,11.0,317.0,1929.0,,9.0,46.0,69.0,32704.0
"San Francisco-Oakland-Berkeley, CA",556.0,9.0,176.0,,,,75.0,44.0,,203.0,20.0,33.0,,5.0,48.0,,86.0,28.0,14.0,3.0,,3.0,15.0,17.0,3.0,473.0,,38.0,5.0,276.0,,,61.0,37.0,495.0,,,,47.0,5954.0,139.0,10.0,3.0,30.0,7.0,43.0,,,31.0,39.0,,,26.0,30.0,138.0,1569.0,,245.0,18.0,,204.0,147.0,11.0,,,4.0,14.0,229.0,33.0,38.0,,1107.0,4.0,,4.0,24.0,354.0,287.0,27.0,4.0,2972.0,82.0,279.0,36.0,129.0,172.0,129.0,25.0,199.0,88.0,48.0,46.0,,588.0,29.0,21.0,11.0,8.0,34.0,18.0,10.0,18.0,3.0,16.0,3.0,,91.0,,3.0,,,5.0,4025.0,35.0,104.0,,,65.0,,,382.0,95.0,45.0,208.0,,194.0,10.0,9.0,366.0,11.0,,,347.0,2790.0,92.0,24.0,11.0,58.0,449.0,3.0,,,,6.0,,80.0,15.0,34.0,9.0,90.0,,7.0,20.0,,89.0,,138.0,36.0,48.0,3.0,70.0,36.0,54.0,494.0,16.0,9.0,158.0,3.0,44.0,11.0,20.0,197.0,6.0,,25.0,266.0,42.0,562.0,11.0,23.0,49.0,78.0,1238.0,,293.0,9.0,4.0,32222.0
"Boston-Cambridge-Newton, MA-NH",43.0,461.0,97.0,35.0,,3.0,39.0,67.0,,67.0,19.0,79.0,9.0,3.0,253.0,17.0,62.0,27.0,9.0,,4.0,,24.0,12.0,3.0,1604.0,,49.0,7.0,27.0,12.0,1251.0,312.0,106.0,268.0,,,,27.0,1946.0,528.0,71.0,,25.0,5.0,36.0,3.0,5.0,8.0,15.0,7.0,10.0,4053.0,102.0,195.0,824.0,,26.0,4.0,,163.0,,5.0,,,15.0,16.0,109.0,151.0,71.0,5.0,517.0,28.0,10.0,22.0,1446.0,269.0,45.0,41.0,,1031.0,40.0,174.0,48.0,133.0,176.0,126.0,257.0,93.0,58.0,27.0,218.0,,339.0,20.0,12.0,6.0,10.0,133.0,70.0,8.0,16.0,3.0,4.0,,,22.0,,,,3.0,3.0,209.0,54.0,,6.0,3.0,409.0,,3.0,401.0,54.0,13.0,21.0,,342.0,18.0,4.0,169.0,11.0,,6.0,143.0,216.0,60.0,80.0,3.0,65.0,299.0,11.0,4.0,10.0,4.0,,6.0,42.0,27.0,28.0,36.0,25.0,3.0,8.0,4.0,32.0,49.0,,97.0,33.0,33.0,3.0,22.0,16.0,79.0,125.0,4.0,15.0,134.0,18.0,,53.0,7.0,206.0,3.0,,296.0,148.0,18.0,313.0,5.0,9.0,15.0,128.0,936.0,,6.0,4.0,20.0,24426.0
"Atlanta-Sandy Springs-Alpharetta, GA",205.0,20.0,25.0,9.0,,14.0,73.0,,,58.0,10.0,9.0,60.0,,417.0,6.0,34.0,23.0,9.0,9.0,10.0,46.0,6.0,20.0,3.0,698.0,,44.0,19.0,164.0,6.0,,88.0,190.0,162.0,3.0,14.0,4.0,21.0,849.0,575.0,228.0,22.0,67.0,5.0,215.0,,3.0,35.0,7.0,,25.0,389.0,93.0,84.0,495.0,5.0,95.0,,,511.0,,7.0,,6.0,130.0,24.0,130.0,384.0,21.0,11.0,255.0,92.0,7.0,94.0,227.0,387.0,32.0,12.0,,1759.0,54.0,147.0,57.0,30.0,91.0,55.0,972.0,56.0,61.0,19.0,211.0,,762.0,15.0,9.0,7.0,7.0,40.0,123.0,4.0,12.0,3.0,,,8.0,58.0,,14.0,,,3.0,2250.0,42.0,3.0,3.0,,75.0,5.0,,114.0,43.0,15.0,45.0,7.0,1131.0,5.0,,410.0,27.0,,8.0,198.0,271.0,56.0,17.0,,105.0,148.0,25.0,9.0,13.0,5.0,,,33.0,82.0,10.0,62.0,16.0,,3.0,,30.0,128.0,,51.0,21.0,25.0,,14.0,8.0,112.0,93.0,6.0,130.0,120.0,58.0,,75.0,9.0,130.0,3.0,5.0,33.0,125.0,36.0,259.0,10.0,66.0,35.0,454.0,1393.0,5.0,11.0,22.0,29.0,21310.0
