NAME,Afghanistan,Albania,Algeria,Angola,Anguilla,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia,Bosnia and Herzegovina,Botswana,Brazil,Bulgaria,Burkina Faso,Burma,Burundi,Cabo Verde,Cambodia,Cameroon,Canada,Cayman Islands,Central African Republic,Chad,Chile,"China, People's Republic",Colombia,"Congo, Democratic Republic","Congo, Republic",Costa Rica,Croatia,Cuba,Curacao,Cyprus,Czechia,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,Swaziland,Ethiopia,Fiji,Finland,Gabon,Gambia,Georgia,Germany,Ghana,Greece,Grenada,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,Hong Kong,Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,"Korea, North","Korea, South",Kuwait,Kyrgyzstan,Laos,Latvia,Lebanon,Liberia,Libya,Lithuania,Luxembourg,Macau,Madagascar,Malawi,Malaysia,Mali,Malta,Mauritania,Mauritius,Mexico,Moldova,Mongolia,Montenegro,Montserrat,Morocco,Mozambique,Namibia,Nepal,Netherlands,New Zealand,Nicaragua,Niger,Nigeria,North Macedonia,Oman,Pakistan,Panama,Paraguay,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russia,Rwanda,Saint Kitts and Nevis,Saint Lucia,Saint Vincent and the Grenadines,Samoa,Saudi Arabia,Senegal,Serbia,Sierra Leone,Singapore,Sint Maarten,Slovakia,Slovenia,Somalia,South Africa,South Sudan,Spain,Sri Lanka,Sudan,Suriname,Sweden,Switzerland,Syria,Taiwan,Tajikistan,Tanzania,Thailand,Togo,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Turks and Caicos Islands,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States,Uruguay,Uzbekistan,Venezuela,Vietnam,"Virgin Islands, British",Yemen,Zambia,Zimbabwe,Total
"New York-Newark-Jersey City, NY-NJ-PA",208.0,1055.0,218.0,14.0,,87.0,335.0,138.0,3.0,393.0,46.0,170.0,32.0,14.0,4268.0,92.0,269.0,92.0,66.0,46.0,15.0,25.0,68.0,48.0,11.0,1670.0,106.0,214.0,122.0,5.0,8.0,29.0,105.0,931.0,4.0,4.0,9.0,148.0,8199.0,2159.0,27.0,28.0,294.0,46.0,236.0,5.0,28.0,43.0,47.0,,85.0,16477.0,3214.0,1402.0,2165.0,,9.0,17.0,,54.0,4.0,25.0,11.0,202.0,688.0,374.0,1200.0,233.0,197.0,616.0,362.0,3.0,2138.0,1919.0,1080.0,316.0,120.0,16.0,6326.0,100.0,378.0,32.0,438.0,931.0,692.0,4235.0,532.0,290.0,201.0,140.0,,2422.0,56.0,89.0,,33.0,164.0,66.0,13.0,56.0,8.0,9.0,11.0,,170.0,187.0,6.0,20.0,14.0,2332.0,88.0,14.0,165.0,,451.0,5.0,5.0,666.0,164.0,80.0,109.0,23.0,1450.0,140.0,13.0,1867.0,92.0,87.0,1154.0,1856.0,807.0,142.0,17.0,207.0,1343.0,8.0,23.0,234.0,128.0,,158.0,316.0,150.0,81.0,114.0,6.0,68.0,11.0,5.0,206.0,,440.0,229.0,94.0,69.0,119.0,94.0,228.0,416.0,272.0,26.0,238.0,147.0,,829.0,55.0,807.0,61.0,6.0,28.0,1258.0,119.0,1516.0,39.0,132.0,556.0,681.0,515.0,4.0,1524.0,24.0,33.0,98070.0
"Los Angeles-Long Beach-Anaheim, CA",254.0,19.0,33.0,4.0,,,136.0,1587.0,,316.0,42.0,83.0,,5.0,276.0,,105.0,28.0,103.0,3.0,,,45.0,13.0,,620.0,33.0,3.0,117.0,,,232.0,49.0,599.0,5.0,,,64.0,5952.0,312.0,18.0,5.0,59.0,16.0,73.0,,5.0,29.0,35.0,,6.0,63.0,136.0,505.0,2786.0,,32.0,9.0,,137.0,22.0,18.0,3.0,7.0,63.0,259.0,29.0,45.0,3.0,1156.0,5.0,,9.0,15.0,542.0,281.0,60.0,4.0,1337.0,198.0,1770.0,54.0,54.0,408.0,209.0,85.0,592.0,160.0,84.0,47.0,4.0,3186.0,43.0,22.0,8.0,16.0,192.0,9.0,22.0,24.0,,15.0,,3.0,74.0,4.0,4.0,,,10399.0,30.0,51.0,4.0,,81.0,,,184.0,75.0,68.0,165.0,,338.0,6.0,8.0,268.0,22.0,5.0,349.0,3011.0,81.0,11.0,12.0,123.0,721.0,6.0,,,,14.0,110.0,9.0,48.0,9.0,53.0,,22.0,4.0,3.0,121.0,,112.0,124.0,33.0,,93.0,46.0,394.0,723.0,12.0,8.0,340.0,,7.0,11.0,35.0,284.0,13.0,,67.0,350.0,65.0,728.0,15.0,9.0,50.0,186.0,4587.0,,15.0,6.0,16.0,50837.0
"Miami-Fort Lauderdale-Pompano Beach, FL",9.0,28.0,13.0,6.0,,10.0,923.0,11.0,4.0,33.0,10.0,23.0,251.0,,162.0,15.0,76.0,43.0,10.0,,4.0,,76.0,11.0,,2364.0,50.0,,12.0,,3.0,3.0,5.0,313.0,12.0,,,257.0,336.0,2696.0,7.0,,134.0,14.0,8981.0,5.0,5.0,18.0,16.0,,15.0,1258.0,419.0,52.0,441.0,,3.0,18.0,,14.0,,13.0,,,13.0,122.0,11.0,44.0,10.0,376.0,,,87.0,3381.0,971.0,17.0,65.0,,331.0,8.0,89.0,13.0,32.0,205.0,355.0,2018.0,28.0,53.0,70.0,17.0,,55.0,12.0,4.0,,11.0,59.0,3.0,11.0,21.0,,,,,13.0,,4.0,,6.0,956.0,35.0,,12.0,,79.0,,,34.0,30.0,8.0,968.0,,94.0,23.0,,127.0,89.0,28.0,772.0,308.0,59.0,59.0,,108.0,415.0,,10.0,20.0,5.0,,26.0,4.0,84.0,,7.0,,15.0,,,110.0,,434.0,11.0,9.0,10.0,26.0,40.0,50.0,29.0,4.0,,63.0,,,165.0,22.0,151.0,5.0,11.0,,188.0,32.0,224.0,10.0,174.0,29.0,4591.0,390.0,,,,8.0,38858.0
"San Francisco-Oakland-Berkeley, CA",591.0,13.0,124.0,4.0,,,105.0,23.0,,183.0,30.0,6.0,3.0,6.0,45.0,3.0,90.0,49.0,6.0,,,,13.0,12.0,,586.0,38.0,,237.0,,,32.0,27.0,594.0,,,,40.0,4435.0,158.0,7.0,,25.0,19.0,27.0,,3.0,15.0,28.0,,,28.0,36.0,146.0,1004.0,,164.0,5.0,,131.0,56.0,21.0,,,19.0,246.0,25.0,36.0,,829.0,3.0,,3.0,19.0,210.0,284.0,28.0,3.0,2773.0,98.0,443.0,17.0,138.0,161.0,184.0,24.0,260.0,81.0,45.0,40.0,3.0,520.0,21.0,19.0,10.0,11.0,39.0,10.0,9.0,13.0,,13.0,4.0,,79.0,,,,,3035.0,26.0,84.0,,,76.0,3.0,,335.0,62.0,38.0,139.0,,189.0,9.0,4.0,251.0,13.0,4.0,235.0,1605.0,95.0,28.0,3.0,78.0,419.0,3.0,,,,7.0,65.0,11.0,27.0,4.0,103.0,,7.0,4.0,6.0,78.0,,119.0,24.0,24.0,,86.0,46.0,32.0,478.0,3.0,6.0,198.0,3.0,44.0,13.0,24.0,203.0,,,30.0,210.0,41.0,539.0,8.0,11.0,35.0,116.0,1008.0,,497.0,3.0,15.0,26750.0
"Houston-The Woodlands-Sugar Land, TX",435.0,19.0,63.0,34.0,,7.0,140.0,5.0,3.0,70.0,7.0,62.0,11.0,12.0,133.0,,16.0,24.0,23.0,9.0,3.0,8.0,31.0,6.0,,382.0,14.0,24.0,98.0,17.0,,44.0,141.0,392.0,,3.0,3.0,42.0,969.0,557.0,150.0,8.0,32.0,7.0,1145.0,,4.0,8.0,10.0,,17.0,121.0,72.0,189.0,1411.0,5.0,52.0,,,108.0,,7.0,10.0,6.0,5.0,104.0,56.0,25.0,8.0,179.0,8.0,,16.0,26.0,724.0,42.0,16.0,,1632.0,73.0,350.0,117.0,13.0,51.0,69.0,125.0,54.0,144.0,67.0,128.0,,305.0,39.0,3.0,,3.0,127.0,28.0,28.0,,,,4.0,,76.0,7.0,,,,5726.0,9.0,,,,43.0,,3.0,148.0,44.0,13.0,121.0,6.0,1435.0,9.0,8.0,955.0,21.0,4.0,111.0,510.0,26.0,21.0,14.0,55.0,191.0,54.0,5.0,12.0,4.0,,101.0,23.0,26.0,11.0,47.0,,5.0,,10.0,114.0,,75.0,61.0,39.0,,20.0,5.0,51.0,118.0,5.0,85.0,97.0,30.0,,76.0,21.0,234.0,11.0,,50.0,85.0,101.0,467.0,9.0,31.0,7.0,950.0,2229.0,,10.0,4.0,50.0,26627.0
"Chicago-Naperville-Elgin, IL-IN-WI",111.0,224.0,158.0,,,,83.0,9.0,,73.0,7.0,34.0,,5.0,78.0,,154.0,15.0,64.0,27.0,,16.0,21.0,45.0,,354.0,196.0,7.0,191.0,,,17.0,60.0,257.0,,7.0,,41.0,1254.0,282.0,103.0,10.0,22.0,10.0,38.0,,4.0,40.0,8.0,,3.0,95.0,174.0,154.0,135.0,,32.0,5.0,,144.0,4.0,,7.0,3.0,31.0,132.0,166.0,44.0,,181.0,6.0,,9.0,44.0,132.0,53.0,16.0,,2717.0,29.0,247.0,115.0,67.0,78.0,104.0,115.0,103.0,397.0,80.0,35.0,,480.0,49.0,167.0,14.0,11.0,41.0,11.0,6.0,156.0,,,,4.0,108.0,5.0,,,,5301.0,281.0,102.0,35.0,,114.0,,,131.0,41.0,22.0,22.0,3.0,640.0,129.0,4.0,693.0,20.0,,79.0,881.0,1079.0,17.0,6.0,223.0,330.0,14.0,,,,,119.0,8.0,240.0,,29.0,,29.0,4.0,27.0,73.0,,77.0,49.0,47.0,,12.0,14.0,158.0,87.0,21.0,10.0,158.0,36.0,,14.0,19.0,141.0,17.0,,52.0,821.0,64.0,335.0,,8.0,35.0,326.0,564.0,,133.0,14.0,18.0,24660.0
"Washington-Arlington-Alexandria, DC-VA-MD-WV",1726.0,52.0,30.0,6.0,,,98.0,9.0,,40.0,14.0,66.0,6.0,5.0,570.0,6.0,35.0,25.0,13.0,53.0,,,333.0,6.0,4.0,283.0,34.0,19.0,32.0,10.0,,54.0,766.0,147.0,,9.0,4.0,44.0,924.0,253.0,90.0,16.0,39.0,9.0,25.0,,4.0,12.0,10.0,,4.0,280.0,112.0,267.0,2643.0,3.0,114.0,,4.0,1106.0,3.0,12.0,12.0,28.0,26.0,132.0,502.0,38.0,7.0,430.0,47.0,,62.0,82.0,530.0,22.0,13.0,5.0,1377.0,51.0,498.0,81.0,32.0,61.0,82.0,330.0,72.0,99.0,51.0,102.0,,628.0,29.0,29.0,4.0,4.0,70.0,93.0,33.0,7.0,,,29.0,11.0,23.0,17.0,,10.0,3.0,520.0,40.0,80.0,,,228.0,6.0,,575.0,29.0,17.0,106.0,14.0,851.0,6.0,8.0,804.0,22.0,26.0,401.0,637.0,44.0,16.0,8.0,33.0,231.0,14.0,,5.0,4.0,,107.0,63.0,40.0,226.0,21.0,,8.0,,23.0,92.0,,89.0,114.0,158.0,,20.0,18.0,88.0,111.0,27.0,46.0,138.0,161.0,,55.0,22.0,189.0,8.0,,57.0,146.0,69.0,242.0,12.0,29.0,30.0,155.0,821.0,,24.0,26.0,43.0,24394.0
"Dallas-Fort Worth-Arlington, TX",450.0,26.0,27.0,10.0,,6.0,85.0,4.0,,42.0,6.0,8.0,12.0,,227.0,,18.0,14.0,18.0,12.0,,32.0,26.0,17.0,,355.0,9.0,4.0,196.0,87.0,,21.0,114.0,234.0,,6.0,5.0,33.0,749.0,237.0,477.0,13.0,49.0,12.0,227.0,,4.0,3.0,13.0,,5.0,68.0,37.0,180.0,716.0,,101.0,,3.0,282.0,,17.0,4.0,20.0,6.0,76.0,91.0,12.0,4.0,86.0,,,5.0,13.0,242.0,24.0,7.0,,2377.0,26.0,267.0,124.0,30.0,73.0,44.0,75.0,60.0,142.0,17.0,262.0,,577.0,24.0,6.0,13.0,6.0,65.0,55.0,11.0,,,,,12.0,95.0,3.0,,,,5671.0,17.0,,,,65.0,,4.0,703.0,13.0,19.0,28.0,,948.0,7.0,5.0,547.0,27.0,8.0,97.0,343.0,35.0,8.0,10.0,33.0,94.0,76.0,,6.0,,,78.0,11.0,10.0,10.0,6.0,,4.0,,21.0,102.0,3.0,71.0,44.0,101.0,,26.0,9.0,98.0,121.0,4.0,109.0,93.0,28.0,,8.0,11.0,69.0,6.0,,52.0,91.0,40.0,225.0,4.0,16.0,14.0,244.0,1428.0,,17.0,23.0,69.0,22281.0
"Boston-Cambridge-Newton, MA-NH",24.0,299.0,43.0,10.0,,,28.0,45.0,,53.0,7.0,51.0,6.0,4.0,134.0,16.0,37.0,17.0,5.0,,,,16.0,17.0,,1386.0,38.0,3.0,21.0,6.0,630.0,177.0,76.0,285.0,,,,44.0,1410.0,372.0,46.0,,32.0,3.0,21.0,,4.0,11.0,17.0,4.0,8.0,2363.0,53.0,155.0,552.0,,23.0,3.0,,119.0,,8.0,,6.0,16.0,117.0,57.0,79.0,4.0,254.0,24.0,4.0,18.0,854.0,139.0,77.0,35.0,4.0,921.0,34.0,245.0,18.0,94.0,158.0,108.0,151.0,98.0,40.0,20.0,131.0,,286.0,13.0,3.0,6.0,7.0,124.0,31.0,33.0,11.0,,,4.0,7.0,39.0,,,,4.0,189.0,29.0,6.0,,4.0,234.0,,,291.0,24.0,5.0,15.0,,254.0,8.0,3.0,156.0,24.0,,81.0,166.0,37.0,69.0,,53.0,243.0,6.0,,4.0,,,29.0,21.0,18.0,17.0,31.0,,7.0,3.0,31.0,54.0,,114.0,46.0,38.0,,46.0,27.0,51.0,156.0,4.0,16.0,101.0,4.0,,24.0,10.0,142.0,3.0,,151.0,120.0,30.0,317.0,3.0,5.0,13.0,110.0,778.0,,4.0,6.0,11.0,17398.0
"Seattle-Tacoma-Bellevue, WA",655.0,22.0,12.0,3.0,,,49.0,16.0,,144.0,6.0,29.0,,7.0,79.0,,90.0,21.0,3.0,9.0,,6.0,9.0,10.0,,235.0,20.0,15.0,52.0,13.0,,114.0,25.0,553.0,,6.0,4.0,51.0,1925.0,87.0,90.0,4.0,30.0,13.0,9.0,,,19.0,18.0,,,20.0,17.0,151.0,165.0,,161.0,8.0,,491.0,48.0,64.0,,61.0,6.0,99.0,39.0,12.0,,83.0,18.0,,3.0,9.0,70.0,115.0,10.0,5.0,1712.0,52.0,255.0,70.0,44.0,156.0,68.0,40.0,171.0,37.0,38.0,236.0,,719.0,19.0,25.0,5.0,4.0,21.0,8.0,14.0,11.0,,4.0,,4.0,43.0,3.0,,,,1235.0,121.0,32.0,,,38.0,,,110.0,22.0,36.0,13.0,4.0,82.0,5.0,8.0,190.0,4.0,,60.0,553.0,70.0,11.0,,89.0,462.0,9.0,,,,28.0,61.0,10.0,16.0,4.0,62.0,,11.0,4.0,100.0,121.0,4.0,57.0,40.0,41.0,,30.0,10.0,21.0,276.0,5.0,15.0,141.0,5.0,5.0,3.0,11.0,106.0,13.0,,26.0,1145.0,34.0,302.0,,,36.0,67.0,1243.0,,21.0,8.0,9.0,17112.0
