NAME,Afghanistan,Albania,Algeria,Angola,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia,Bosnia and Herzegovina,Botswana,Brazil,Brunei,Bulgaria,Burkina Faso,Burma,Burundi,Cabo Verde,Cambodia,Cameroon,Canada,Cayman Islands,Central African Republic,Chad,Chile,"China, People's Republic",Colombia,"Congo, Democratic Republic","Congo, Republic",Costa Rica,Croatia,Cuba,Curacao,Cyprus,Czechia,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,Eswatini,Ethiopia,Fiji,Finland,Gabon,Gambia,Georgia,Germany,Ghana,Greece,Grenada,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,Hong Kong,Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,"Korea, North","Korea, South",Kuwait,Kyrgyzstan,Laos,Latvia,Lebanon,Liberia,Libya,Lithuania,Luxembourg,Macau,Madagascar,Malawi,Malaysia,Mali,Malta,Mauritania,Mauritius,Mexico,Moldova,Mongolia,Montenegro,Montserrat,Morocco,Mozambique,Namibia,Nepal,Netherlands,New Zealand,Nicaragua,Niger,Nigeria,North Macedonia,Oman,Pakistan,Panama,Paraguay,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russia,Rwanda,Saint Kitts and Nevis,Saint Lucia,Saint Martin (French),Saint Vincent and the Grenadines,Samoa,Saudi Arabia,Senegal,Serbia,Sierra Leone,Singapore,Sint Maarten,Slovakia,Slovenia,Somalia,South Africa,South Sudan,Spain,Sri Lanka,Sudan,Suriname,Sweden,Switzerland,Syria,Taiwan,Tajikistan,Tanzania,Thailand,Togo,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Turks and Caicos Islands,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States,Uruguay,Uzbekistan,Venezuela,Vietnam,"Virgin Islands, British",Yemen,Zambia,Zimbabwe,Total
"New York-Newark-Jersey City, NY-NJ-PA",144.0,812.0,305.0,13.0,85.0,365.0,77.0,9.0,410.0,50.0,105.0,47.0,18.0,2628.0,90.0,239.0,101.0,83.0,66.0,7.0,32.0,84.0,41.0,4.0,1886.0,3.0,83.0,227.0,64.0,,10.0,7.0,125.0,961.0,5.0,7.0,20.0,211.0,8947.0,2840.0,17.0,18.0,427.0,54.0,389.0,3.0,32.0,50.0,46.0,4.0,94.0,12331.0,3841.0,914.0,2591.0,,,14.0,4.0,43.0,4.0,25.0,16.0,188.0,713.0,447.0,1028.0,219.0,217.0,966.0,300.0,7.0,2336.0,2461.0,1354.0,238.0,123.0,8.0,11699.0,145.0,272.0,41.0,392.0,798.0,600.0,4142.0,459.0,299.0,231.0,108.0,,2078.0,76.0,95.0,3.0,28.0,169.0,170.0,26.0,49.0,4.0,6.0,6.0,5.0,187.0,175.0,5.0,25.0,8.0,2542.0,83.0,12.0,144.0,6.0,565.0,6.0,5.0,831.0,137.0,58.0,221.0,30.0,1663.0,172.0,14.0,2110.0,112.0,137.0,985.0,2060.0,757.0,189.0,23.0,165.0,855.0,10.0,29.0,201.0,,134.0,,175.0,336.0,143.0,168.0,110.0,7.0,56.0,14.0,,193.0,,460.0,184.0,53.0,60.0,107.0,96.0,129.0,437.0,234.0,36.0,269.0,163.0,,816.0,59.0,878.0,40.0,4.0,24.0,1019.0,128.0,1411.0,38.0,150.0,373.0,793.0,333.0,6.0,1118.0,27.0,37.0,99974.0
"Los Angeles-Long Beach-Anaheim, CA",227.0,18.0,40.0,5.0,3.0,184.0,1370.0,,314.0,33.0,79.0,4.0,4.0,212.0,,82.0,40.0,154.0,5.0,,3.0,40.0,14.0,,716.0,,33.0,3.0,71.0,,,237.0,55.0,635.0,,,,96.0,6638.0,403.0,11.0,4.0,63.0,25.0,83.0,,9.0,28.0,34.0,,6.0,45.0,164.0,516.0,2535.0,,15.0,9.0,,82.0,13.0,16.0,3.0,9.0,72.0,255.0,33.0,55.0,,1161.0,4.0,,12.0,18.0,591.0,206.0,41.0,4.0,2552.0,231.0,1219.0,58.0,68.0,371.0,229.0,70.0,622.0,165.0,135.0,37.0,4.0,2597.0,74.0,34.0,4.0,20.0,198.0,5.0,18.0,40.0,,5.0,4.0,7.0,94.0,,,,,11749.0,41.0,74.0,7.0,,102.0,,,171.0,58.0,68.0,260.0,3.0,426.0,12.0,10.0,239.0,26.0,9.0,303.0,2817.0,97.0,21.0,29.0,77.0,708.0,10.0,,,,,16.0,113.0,16.0,26.0,12.0,53.0,,15.0,5.0,4.0,126.0,,159.0,129.0,20.0,4.0,101.0,47.0,227.0,625.0,18.0,13.0,401.0,6.0,9.0,13.0,35.0,307.0,,,37.0,365.0,76.0,774.0,16.0,19.0,53.0,237.0,2139.0,,12.0,5.0,27.0,50278.0
"Miami-Fort Lauderdale-Pompano Beach, FL",9.0,45.0,22.0,18.0,20.0,1007.0,14.0,5.0,45.0,13.0,22.0,384.0,8.0,161.0,25.0,83.0,31.0,17.0,,3.0,,115.0,16.0,,2771.0,,56.0,,8.0,,,7.0,12.0,376.0,9.0,,,258.0,371.0,3671.0,6.0,,203.0,13.0,13005.0,8.0,6.0,28.0,13.0,,25.0,1291.0,621.0,64.0,401.0,,5.0,10.0,,7.0,,20.0,,3.0,14.0,144.0,14.0,27.0,16.0,418.0,4.0,,133.0,3829.0,1122.0,18.0,64.0,,803.0,28.0,64.0,7.0,16.0,281.0,387.0,2312.0,35.0,53.0,76.0,28.0,,49.0,31.0,11.0,,14.0,88.0,5.0,4.0,29.0,5.0,,,,10.0,3.0,,,,1036.0,37.0,,7.0,,115.0,,4.0,59.0,37.0,6.0,1648.0,,92.0,42.0,,132.0,116.0,44.0,807.0,498.0,80.0,70.0,7.0,122.0,427.0,,21.0,36.0,,14.0,,36.0,14.0,91.0,3.0,12.0,6.0,22.0,4.0,,155.0,,457.0,10.0,8.0,10.0,41.0,34.0,36.0,36.0,3.0,4.0,78.0,,,212.0,15.0,158.0,4.0,25.0,5.0,254.0,22.0,287.0,18.0,219.0,26.0,5202.0,237.0,6.0,,4.0,7.0,48691.0
"Washington-Arlington-Alexandria, DC-VA-MD-WV",1470.0,39.0,58.0,12.0,4.0,116.0,25.0,,77.0,17.0,42.0,11.0,8.0,351.0,13.0,20.0,25.0,13.0,59.0,4.0,,409.0,7.0,3.0,445.0,,68.0,40.0,27.0,11.0,4.0,61.0,826.0,174.0,,34.0,6.0,65.0,1169.0,394.0,60.0,19.0,61.0,10.0,22.0,,11.0,19.0,15.0,,13.0,294.0,117.0,202.0,2970.0,,90.0,3.0,,784.0,,11.0,16.0,38.0,32.0,143.0,462.0,40.0,15.0,471.0,39.0,,60.0,96.0,655.0,25.0,20.0,5.0,3683.0,68.0,319.0,65.0,29.0,64.0,104.0,303.0,96.0,100.0,70.0,79.0,,522.0,38.0,21.0,3.0,11.0,107.0,162.0,13.0,16.0,,3.0,23.0,17.0,35.0,15.0,,14.0,5.0,554.0,39.0,109.0,,,306.0,3.0,3.0,562.0,23.0,21.0,175.0,7.0,841.0,5.0,6.0,851.0,34.0,26.0,438.0,683.0,59.0,18.0,16.0,58.0,190.0,5.0,,9.0,,,,93.0,55.0,42.0,306.0,17.0,,14.0,,15.0,102.0,,114.0,67.0,77.0,3.0,25.0,30.0,48.0,124.0,30.0,46.0,180.0,118.0,,50.0,43.0,219.0,6.0,,51.0,151.0,55.0,320.0,26.0,26.0,34.0,206.0,501.0,,34.0,14.0,46.0,27239.0
"Houston-The Woodlands-Sugar Land, TX",357.0,18.0,62.0,32.0,,132.0,,,63.0,9.0,17.0,14.0,16.0,115.0,5.0,29.0,18.0,33.0,9.0,,,26.0,4.0,,324.0,,14.0,34.0,27.0,28.0,,69.0,226.0,426.0,,,3.0,40.0,1219.0,565.0,110.0,13.0,48.0,9.0,1517.0,,3.0,7.0,5.0,,13.0,107.0,108.0,135.0,1369.0,12.0,24.0,6.0,,71.0,,9.0,9.0,4.0,3.0,75.0,65.0,13.0,11.0,192.0,11.0,,21.0,20.0,715.0,27.0,17.0,,2748.0,54.0,176.0,85.0,13.0,41.0,52.0,151.0,51.0,136.0,69.0,120.0,,176.0,55.0,17.0,,9.0,146.0,34.0,31.0,5.0,,,,,58.0,7.0,,,3.0,5419.0,8.0,5.0,,,69.0,,,185.0,43.0,10.0,137.0,,1292.0,10.0,4.0,787.0,36.0,10.0,89.0,583.0,25.0,16.0,17.0,50.0,80.0,46.0,,10.0,,,,129.0,21.0,21.0,19.0,35.0,,,,5.0,74.0,,82.0,34.0,21.0,3.0,11.0,11.0,72.0,105.0,5.0,66.0,88.0,4.0,,71.0,21.0,196.0,13.0,,22.0,76.0,124.0,333.0,7.0,23.0,8.0,868.0,1426.0,,15.0,6.0,12.0,25878.0
"Dallas-Fort Worth-Arlington, TX",473.0,22.0,36.0,8.0,,74.0,14.0,,52.0,8.0,5.0,5.0,7.0,165.0,3.0,25.0,14.0,24.0,10.0,,,18.0,11.0,,362.0,,12.0,10.0,107.0,56.0,,42.0,221.0,227.0,,8.0,,24.0,855.0,267.0,242.0,6.0,39.0,7.0,396.0,,,7.0,,,8.0,100.0,41.0,67.0,800.0,,59.0,4.0,,211.0,,7.0,6.0,22.0,6.0,75.0,72.0,11.0,10.0,113.0,3.0,,19.0,24.0,320.0,30.0,4.0,,6040.0,44.0,154.0,82.0,20.0,47.0,39.0,62.0,85.0,207.0,20.0,212.0,,454.0,53.0,14.0,10.0,7.0,62.0,61.0,6.0,7.0,,,,11.0,41.0,4.0,,3.0,,6071.0,20.0,5.0,3.0,,74.0,5.0,,752.0,20.0,21.0,53.0,,1046.0,6.0,8.0,477.0,28.0,,92.0,342.0,26.0,13.0,17.0,23.0,64.0,56.0,4.0,8.0,,,,73.0,12.0,11.0,25.0,28.0,,3.0,,15.0,77.0,,53.0,49.0,52.0,,21.0,18.0,39.0,135.0,5.0,54.0,103.0,23.0,11.0,12.0,9.0,93.0,4.0,,43.0,83.0,60.0,240.0,14.0,23.0,15.0,291.0,818.0,,16.0,27.0,65.0,25473.0
"San Francisco-Oakland-Berkeley, CA",434.0,8.0,121.0,,,60.0,15.0,,122.0,8.0,19.0,,7.0,50.0,,61.0,32.0,6.0,,,5.0,11.0,5.0,,388.0,3.0,26.0,3.0,69.0,,,32.0,19.0,351.0,,,,44.0,4222.0,99.0,3.0,3.0,15.0,12.0,16.0,,,16.0,14.0,,,13.0,23.0,119.0,772.0,,170.0,,,86.0,46.0,20.0,,,14.0,166.0,16.0,32.0,5.0,698.0,3.0,,,9.0,184.0,140.0,20.0,5.0,6041.0,61.0,224.0,8.0,96.0,96.0,97.0,23.0,190.0,80.0,47.0,32.0,,383.0,25.0,12.0,5.0,6.0,48.0,7.0,11.0,7.0,3.0,6.0,,,55.0,,,3.0,4.0,2522.0,14.0,126.0,3.0,,88.0,,4.0,329.0,35.0,33.0,205.0,,137.0,6.0,,241.0,13.0,,121.0,970.0,61.0,13.0,6.0,37.0,252.0,5.0,,,,,3.0,54.0,4.0,14.0,6.0,75.0,,11.0,,,80.0,,92.0,26.0,12.0,,41.0,18.0,20.0,379.0,3.0,5.0,99.0,,30.0,5.0,32.0,160.0,6.0,,15.0,156.0,38.0,390.0,5.0,11.0,22.0,93.0,421.0,,295.0,4.0,5.0,24261.0
"Chicago-Naperville-Elgin, IL-IN-WI",77.0,125.0,165.0,,,54.0,10.0,,90.0,12.0,19.0,7.0,6.0,42.0,,103.0,14.0,74.0,22.0,,,9.0,46.0,,316.0,,154.0,5.0,56.0,6.0,,31.0,71.0,240.0,,18.0,7.0,33.0,1374.0,301.0,71.0,11.0,29.0,15.0,42.0,,,37.0,12.0,3.0,,90.0,183.0,104.0,120.0,,39.0,10.0,,53.0,,10.0,,4.0,18.0,118.0,117.0,35.0,,139.0,8.0,,9.0,48.0,139.0,26.0,19.0,,3896.0,28.0,135.0,63.0,57.0,49.0,100.0,81.0,91.0,413.0,67.0,33.0,,319.0,41.0,218.0,3.0,18.0,44.0,18.0,4.0,145.0,,,,3.0,60.0,6.0,,,,5375.0,197.0,157.0,27.0,,134.0,,5.0,106.0,36.0,21.0,27.0,,569.0,142.0,4.0,561.0,15.0,,61.0,892.0,787.0,18.0,10.0,157.0,179.0,26.0,,5.0,,5.0,,111.0,7.0,138.0,10.0,30.0,,25.0,3.0,16.0,93.0,,77.0,26.0,31.0,,25.0,15.0,98.0,62.0,17.0,23.0,100.0,42.0,,12.0,15.0,168.0,14.0,,35.0,618.0,43.0,238.0,3.0,13.0,42.0,513.0,262.0,,165.0,21.0,13.0,23528.0
"Seattle-Tacoma-Bellevue, WA",537.0,19.0,21.0,4.0,,48.0,11.0,,120.0,9.0,20.0,,3.0,40.0,,61.0,14.0,5.0,5.0,,,7.0,7.0,,230.0,,17.0,13.0,30.0,6.0,,114.0,33.0,409.0,,13.0,4.0,46.0,3035.0,96.0,60.0,,25.0,9.0,19.0,,,12.0,6.0,6.0,,28.0,33.0,76.0,106.0,,128.0,4.0,,306.0,38.0,18.0,,84.0,3.0,104.0,43.0,20.0,,68.0,13.0,,,15.0,46.0,90.0,18.0,,4790.0,76.0,159.0,54.0,29.0,73.0,56.0,27.0,168.0,47.0,43.0,193.0,,409.0,8.0,27.0,4.0,,15.0,12.0,21.0,9.0,3.0,,6.0,4.0,38.0,11.0,,,6.0,1191.0,77.0,32.0,,,31.0,,,119.0,24.0,33.0,33.0,3.0,113.0,8.0,7.0,145.0,8.0,,46.0,490.0,38.0,7.0,5.0,69.0,186.0,16.0,,,,,21.0,42.0,11.0,10.0,13.0,47.0,,6.0,,62.0,88.0,,32.0,13.0,36.0,,21.0,10.0,15.0,255.0,3.0,18.0,132.0,,,4.0,7.0,125.0,24.0,,31.0,604.0,37.0,246.0,,4.0,13.0,54.0,632.0,,12.0,6.0,25.0,17983.0
"Boston-Cambridge-Newton, MA-NH",41.0,183.0,77.0,9.0,4.0,37.0,20.0,,71.0,10.0,26.0,4.0,5.0,103.0,16.0,48.0,12.0,14.0,,,,16.0,14.0,,1472.0,,26.0,,13.0,5.0,609.0,191.0,80.0,257.0,,,,32.0,1913.0,404.0,26.0,5.0,42.0,4.0,26.0,,,9.0,16.0,,3.0,1680.0,68.0,95.0,542.0,,16.0,,,66.0,,12.0,3.0,10.0,5.0,125.0,40.0,61.0,4.0,300.0,19.0,,10.0,917.0,180.0,31.0,16.0,9.0,2491.0,36.0,162.0,25.0,90.0,123.0,111.0,185.0,84.0,41.0,23.0,103.0,,220.0,10.0,5.0,,10.0,110.0,44.0,14.0,9.0,,3.0,,,34.0,,,,,215.0,30.0,7.0,3.0,,377.0,,,221.0,52.0,14.0,26.0,4.0,262.0,7.0,,135.0,13.0,3.0,59.0,128.0,64.0,64.0,4.0,50.0,143.0,6.0,3.0,8.0,,3.0,,37.0,8.0,14.0,37.0,21.0,,7.0,,13.0,47.0,5.0,98.0,35.0,8.0,,22.0,31.0,34.0,109.0,,23.0,110.0,9.0,,31.0,12.0,162.0,,,133.0,130.0,15.0,262.0,6.0,8.0,5.0,122.0,362.0,,4.0,10.0,31.0,17847.0
