,Country,"New York-Newark-Jersey City, NY-NJ-PA","Los Angeles-Long Beach-Anaheim, CA","Miami-Fort Lauderdale-Pompano Beach, FL","Washington-Arlington-Alexandria, DC-VA-MD-WV","Houston-The Woodlands-Sugar Land, TX","Dallas-Fort Worth-Arlington, TX","San Francisco-Oakland-Berkeley, CA","Chicago-Naperville-Elgin, IL-IN-WI","Seattle-Tacoma-Bellevue, WA","Boston-Cambridge-Newton, MA-NH","San Jose-Sunnyvale-Santa Clara, CA","Atlanta-Sandy Springs-Alpharetta, GA","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","Orlando-Kissimmee-Sanford, FL","San Diego-Chula Vista-Carlsbad, CA","Phoenix-Mesa-Chandler, AZ","Detroit-Warren-Dearborn, MI","Riverside-San Bernardino-Ontario, CA","Tampa-Saint Petersburg-Clearwater, FL","Minneapolis-Saint Paul-Bloomington, MN-WI","Austin-Round Rock-Georgetown, TX","Denver-Aurora-Lakewood, CO","Sacramento-Roseville-Folsom, CA","Las Vegas-Henderson-Paradise, NV","Charlotte-Concord-Gastonia, NC-SC","Baltimore-Columbia-Towson, MD","Portland-Vancouver-Hillsboro, OR-WA","San Antonio-New Braunfels, TX","Columbus, OH","Raleigh-Cary, NC","Indianapolis-Carmel-Anderson, IN","Nashville-Davidson--Murfreesboro--Franklin, TN","Bridgeport-Stamford-Norwalk, CT","Salt Lake City, UT","Cincinnati, OH-KY-IN","Providence-Warwick, RI-MA","El Paso, TX","Hartford-East Hartford-Middletown, CT","Saint Louis, MO-IL","Kansas City, MO-KS","Jacksonville, FL","Worcester, MA-CT","Louisville/Jefferson County, KY-IN","McAllen-Edinburg-Mission, TX","Stockton, CA","Cleveland-Elyria, OH","Trenton-Princeton, NJ","Milwaukee-Waukesha, WI","Oklahoma City, OK","Cape Coral-Fort Myers, FL"
0,Afghanistan,144.0,227.0,9.0,1470.0,357.0,473.0,434.0,77.0,537.0,41.0,49.0,141.0,69.0,3.0,341.0,74.0,20.0,75.0,5.0,34.0,123.0,215.0,2092.0,30.0,37.0,61.0,45.0,440.0,25.0,22.0,25.0,27.0,,23.0,3.0,,,14.0,84.0,35.0,43.0,,16.0,,66.0,58.0,4.0,5.0,,5.0
1,Albania,812.0,18.0,45.0,39.0,18.0,22.0,8.0,125.0,19.0,183.0,3.0,14.0,149.0,18.0,4.0,10.0,307.0,4.0,95.0,4.0,,3.0,,11.0,3.0,8.0,4.0,3.0,18.0,,4.0,7.0,17.0,4.0,,4.0,,50.0,29.0,,89.0,75.0,,,,34.0,,19.0,4.0,4.0
2,Algeria,305.0,40.0,22.0,58.0,62.0,36.0,121.0,165.0,21.0,77.0,,8.0,204.0,14.0,13.0,15.0,17.0,4.0,13.0,13.0,34.0,41.0,10.0,9.0,5.0,5.0,4.0,13.0,125.0,11.0,32.0,,,,5.0,4.0,,10.0,,90.0,,13.0,9.0,,,,,4.0,,4.0
3,Angola,13.0,5.0,18.0,12.0,32.0,8.0,,,4.0,9.0,,4.0,6.0,,,,,,3.0,,,,,,,,,,,,,,,,6.0,10.0,,,,,,,,,,,,,,
5,Antigua and Barbuda,85.0,3.0,20.0,4.0,,,,,,4.0,,7.0,12.0,7.0,,,,,,,,,,,3.0,,,,,,,,4.0,,,,,4.0,,,,,,,,,,,,
6,Argentina,365.0,184.0,1007.0,116.0,132.0,74.0,60.0,54.0,48.0,37.0,26.0,45.0,26.0,56.0,25.0,23.0,13.0,22.0,33.0,18.0,10.0,18.0,5.0,23.0,14.0,14.0,23.0,6.0,14.0,15.0,20.0,5.0,20.0,34.0,6.0,11.0,4.0,5.0,10.0,10.0,5.0,,5.0,6.0,,12.0,,11.0,6.0,16.0
7,Armenia,77.0,1370.0,14.0,25.0,,14.0,15.0,10.0,11.0,20.0,28.0,4.0,7.0,3.0,6.0,11.0,5.0,9.0,4.0,,,5.0,26.0,24.0,,6.0,9.0,,,,,,,,4.0,3.0,,3.0,,,4.0,,4.0,,,,5.0,,,
8,Aruba,9.0,,5.0,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Australia,410.0,314.0,45.0,77.0,63.0,52.0,122.0,90.0,120.0,71.0,58.0,48.0,37.0,26.0,47.0,42.0,33.0,23.0,17.0,14.0,39.0,58.0,6.0,24.0,19.0,17.0,46.0,6.0,5.0,10.0,7.0,27.0,13.0,14.0,11.0,4.0,,4.0,7.0,6.0,7.0,,7.0,,,4.0,6.0,5.0,9.0,3.0
10,Austria,50.0,33.0,13.0,17.0,9.0,8.0,8.0,12.0,9.0,10.0,10.0,10.0,5.0,6.0,4.0,5.0,7.0,3.0,4.0,,,3.0,4.0,,3.0,,3.0,,,,,,7.0,,,,,,,,,,,,,3.0,,,,5.0
11,Azerbaijan,105.0,79.0,22.0,42.0,17.0,5.0,19.0,19.0,20.0,26.0,18.0,5.0,8.0,4.0,6.0,,,,3.0,3.0,6.0,3.0,,,5.0,9.0,,,5.0,,,,,3.0,,7.0,,3.0,,6.0,,3.0,,,,3.0,,,,
12,Bahamas,47.0,4.0,384.0,11.0,14.0,5.0,,7.0,,4.0,,68.0,7.0,95.0,,4.0,7.0,,36.0,,7.0,,,,7.0,6.0,,6.0,3.0,11.0,3.0,8.0,,,,,,4.0,5.0,,6.0,,4.0,,,5.0,,,,9.0
13,Bahrain,18.0,4.0,8.0,8.0,16.0,7.0,7.0,6.0,3.0,5.0,,,,3.0,,,,,,,,,,,,,,,,,,4.0,4.0,,6.0,,,3.0,,,,,,,,,,,,
