,NAME,Total
0,"Atlanta-Sandy Springs-Alpharetta, GA",57021.0
1,"Atlanta-Sandy Springs-Roswell, GA",21098.0
2,"Austin-Round Rock, TX",7784.0
3,"Austin-Round Rock-Georgetown, TX",22811.0
4,"Baltimore-Columbia-Towson, MD",29014.0
5,"Boston-Cambridge-Newton, MA-NH",97466.0
6,"Bridgeport-Stamford-Norwalk, CT",15578.0
7,"Cape Coral-Fort Myers, FL",9306.0
8,"Charlotte-Concord-Gastonia, NC-SC",24255.0
9,"Chicago-Naperville-Elgin, IL-IN-WI",130034.0
10,"Cincinnati, OH-KY-IN",14920.0
11,"Cleveland-Elyria, OH",11831.0
12,"Columbus, OH",23465.0
13,"Dallas-Fort Worth-Arlington, TX",118011.0
14,"Denver-Aurora-Lakewood, CO",33814.0
15,"Detroit-Warren-Dearborn, MI",45591.0
16,"El Paso, TX",15058.0
17,"Fresno, CA",12027.0
18,"Hartford-East Hartford-Middletown, CT",9296.0
19,"Hartford-West Hartford-East Hartford, CT",3738.0
20,"Houston-The Woodlands-Sugar Land, TX",140813.0
21,"Indianapolis-Carmel-Anderson, IN",18567.0
22,"Jacksonville, FL",13920.0
23,"Kansas City, MO-KS",16540.0
24,"Las Vegas-Henderson-Paradise, NV",35642.0
25,"Los Angeles-Long Beach-Anaheim, CA",281368.0
26,"Louisville/Jefferson County, KY-IN",14872.0
27,"McAllen-Edinburg-Mission, TX",8592.0
28,"Miami-Fort Lauderdale-Pompano Beach, FL",191230.0
29,"Miami-Fort Lauderdale-West Palm Beach, FL",79591.0
30,"Milwaukee-Waukesha, WI",8310.0
31,"Milwaukee-Waukesha-West Allis, WI",3088.0
32,"Minneapolis-Saint Paul-Bloomington, MN-WI",44292.0
33,"Nashville-Davidson--Murfreesboro--Franklin, TN",18334.0
34,"New York-Newark-Jersey City, NY-NJ-PA",589901.0
35,"Orlando-Kissimmee-Sanford, FL",47332.0
36,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",66488.0
37,"Phoenix-Mesa-Chandler, AZ",34868.0
38,"Phoenix-Mesa-Scottsdale, AZ",13442.0
39,"Pittsburgh, PA",2000.0
40,"Portland-Vancouver-Hillsboro, OR-WA",28424.0
41,"Providence-Warwick, RI-MA",18137.0
42,"Raleigh, NC",4835.0
43,"Raleigh-Cary, NC",12397.0
44,"Riverside-San Bernardino-Ontario, CA",53918.0
45,"Sacramento--Roseville--Arden-Arcade, CA",12426.0
46,"Sacramento-Roseville-Folsom, CA",29918.0
47,"Saint Louis, MO-IL",13078.0
48,"Salt Lake City, UT",14832.0
49,"San Antonio-New Braunfels, TX",23674.0
50,"San Diego-Carlsbad, CA",17947.0
51,"San Diego-Chula Vista-Carlsbad, CA",43000.0
52,"San Francisco-Oakland-Berkeley, CA",90354.0
53,"San Francisco-Oakland-Hayward, CA",34866.0
54,"San Jose-Sunnyvale-Santa Clara, CA",73879.0
55,"San Juan-Carolina-Caguas, PR",2937.0
56,"Seattle-Tacoma-Bellevue, WA",76651.0
57,"Stockton, CA",8430.0
58,"Stockton-Lodi, CA",3391.0
59,"Tampa-Saint Petersburg-Clearwater, FL",43494.0
60,"Urban Honolulu, HI",13662.0
61,"Washington-Arlington-Alexandria, DC-VA-MD-WV",134708.0
62,"Worcester, MA-CT",11852.0
