,NAME,Total
0,"Atlanta-Sandy Springs-Marietta, GA",19787.0
1,"Atlanta-Sandy Springs-Roswell, GA",63345.0
2,"Austin-Round Rock, TX",20976.0
3,"Austin-Round Rock-San Marcos, TX",5909.0
4,"Bakersfield, CA",3252.0
5,"Baltimore-Columbia-Towson, MD",24308.0
6,"Baltimore-Towson, MD",8457.0
7,"Boston-Cambridge-Newton, MA-NH",74494.0
8,"Boston-Cambridge-Quincy, MA-NH",23483.0
9,"Bridgeport-Stamford-Norwalk, CT",17506.0
10,"Cape Coral-Fort Myers, FL",3143.0
11,"Charlotte-Concord-Gastonia, NC-SC",17610.0
12,"Charlotte-Gastonia-Rock Hill, NC-SC",4937.0
13,"Chicago-Joliet-Naperville, IL-IN-WI",32351.0
14,"Chicago-Naperville-Elgin, IL-IN-WI",108353.0
15,"Cincinnati, OH-KY-IN",9894.0
16,"Cincinnati-Middletown, OH-KY-IN",2657.0
17,"Cleveland-Elyria, OH",9215.0
18,"Cleveland-Elyria-Mentor, OH",2973.0
19,"Columbus, OH",22108.0
20,"Dallas-Fort Worth-Arlington, TX",117700.0
21,"Denver-Aurora-Broomfield, CO",7385.0
22,"Denver-Aurora-Lakewood, CO",25379.0
23,"Detroit-Warren-Dearborn, MI",40396.0
24,"Detroit-Warren-Livonia, MI",10939.0
25,"El Paso, TX",19212.0
26,"Fresno, CA",12266.0
27,"Hartford-West Hartford-East Hartford, CT",13864.0
28,"Honolulu, HI",4539.0
29,"Houston-Sugar Land-Baytown, TX",31614.0
30,"Houston-The Woodlands-Sugar Land, TX",105243.0
31,"Indianapolis-Carmel, IN",3838.0
32,"Indianapolis-Carmel-Anderson, IN",13616.0
33,"Jacksonville, FL",13711.0
34,"Kansas City, MO-KS",15625.0
35,"Las Vegas-Henderson-Paradise, NV",27554.0
36,"Las Vegas-Paradise, NV",8240.0
37,"Los Angeles-Long Beach-Anaheim, CA",250245.0
38,"Los Angeles-Long Beach-Santa Ana, CA",79118.0
39,"Louisville/Jefferson County, KY-IN",10137.0
40,"McAllen-Edinburg-Mission, TX",12490.0
41,"Miami-Fort Lauderdale-Pompano Beach, FL",66038.0
42,"Miami-Fort Lauderdale-West Palm Beach, FL",236698.0
43,"Milwaukee-Waukesha-West Allis, WI",8197.0
44,"Minneapolis-Saint Paul-Bloomington, MN-WI",34686.0
45,"Minneapolis-St. Paul-Bloomington, MN-WI",10326.0
46,"Nashville-Davidson--Murfreesboro--Franklin, TN",18518.0
47,"New York-Newark-Jersey City, NY-NJ-PA",525191.0
48,"New York-Northern New Jersey-Long Island, NY-NJ-PA",164343.0
49,"Orlando-Kissimmee-Sanford, FL",43910.0
50,"Oxnard-Thousand Oaks-Ventura, CA",2715.0
51,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",72283.0
52,"Phoenix-Mesa-Glendale, AZ",10888.0
53,"Phoenix-Mesa-Scottsdale, AZ",38474.0
54,"Pittsburgh, PA",2556.0
55,"Portland-Vancouver-Hillsboro, OR-WA",27428.0
56,"Providence-New Bedford-Fall River, RI-MA",4167.0
57,"Providence-Warwick, RI-MA",13833.0
58,"Raleigh, NC",12624.0
59,"Raleigh-Cary, NC",3744.0
60,"Riverside-San Bernardino-Ontario, CA",59427.0
61,"Sacramento--Arden-Arcade--Roseville, CA",7379.0
62,"Sacramento--Roseville--Arden-Arcade, CA",28688.0
63,"Saint Louis, MO-IL",6309.0
64,"Salt Lake City, UT",16085.0
65,"San Antonio-New Braunfels, TX",22351.0
66,"San Diego-Carlsbad, CA",54366.0
67,"San Diego-Carlsbad-San Marcos, CA",16322.0
68,"San Francisco-Oakland-Fremont, CA",30057.0
69,"San Francisco-Oakland-Hayward, CA",101856.0
70,"San Jose-Sunnyvale-Santa Clara, CA",74423.0
71,"San Juan-Caguas-Guaynabo, PR",2634.0
72,"San Juan-Carolina-Caguas, PR",6138.0
73,"Seattle-Tacoma-Bellevue, WA",74001.0
74,"St. Louis, MO-IL",3080.0
75,"Stockton-Lodi, CA",9536.0
76,"Tampa-Saint Petersburg-Clearwater, FL",32136.0
77,"Tampa-St. Petersburg-Clearwater, FL",8216.0
78,"Urban Honolulu, HI",13555.0
79,"Virginia Beach-Norfolk-Newport News, VA-NC",2667.0
80,"Washington-Arlington-Alexandria, DC-VA-MD-WV",154787.0
81,"Worcester, MA",2767.0
82,"Worcester, MA-CT",9331.0
