Supplemental Table 2.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERSONS OBTAINING LAWFUL PERMANENT RESIDENT STATUS BY LEADING CORE BASED STATISTICAL AREAS (CBSA) OF RESIDENCE AND REGION AND COUNTRY OF BIRTH: FISCAL YEAR 2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region and country of birth,Total,"New York-Newark-Jersey City, NY-NJ-PA","Los Angeles-Long Beach-Anaheim, CA","Miami-Fort Lauderdale-West Palm Beach, FL","Washington-Arlington-Alexandria, DC-VA-MD-WV","Chicago-Naperville-Elgin, IL-IN-WI","Houston-The Woodlands-Sugar Land, TX","San Francisco-Oakland-Hayward, CA","Dallas-Fort Worth-Arlington, TX","Boston-Cambridge-Newton, MA-NH","Atlanta-Sandy Springs-Roswell, GA","Seattle-Tacoma-Bellevue, WA","San Jose-Sunnyvale-Santa Clara, CA","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","San Diego-Carlsbad, CA","Riverside-San Bernardino-Ontario, CA","Detroit-Warren-Dearborn, MI","Phoenix-Mesa-Scottsdale, AZ","Orlando-Kissimmee-Sanford, FL","Minneapolis-Saint Paul-Bloomington, MN-WI","Tampa-Saint Petersburg-Clearwater, FL","Sacramento--Roseville--Arden-Arcade, CA","Las Vegas-Henderson-Paradise, NV","Denver-Aurora-Lakewood, CO","Baltimore-Columbia-Towson, MD","Portland-Vancouver-Hillsboro, OR-WA","Austin-Round Rock, TX","Charlotte-Concord-Gastonia, NC-SC","San Antonio-New Braunfels, TX","Columbus, OH","Providence-Warwick, RI-MA","Indianapolis-Carmel-Anderson, IN","Nashville-Davidson--Murfreesboro--Franklin, TN","El Paso, TX","Bridgeport-Stamford-Norwalk, CT","Urban Honolulu, HI","Raleigh, NC","Salt Lake City, UT","Kansas City, MO-KS","Jacksonville, FL","Louisville/Jefferson County, KY-IN","Cincinnati, OH-KY-IN","Hartford-West Hartford-East Hartford, CT","Stockton-Lodi, CA","Fresno, CA","Worcester, MA-CT","Cleveland-Elyria, OH","Bakersfield, CA","McAllen-Edinburg-Mission, TX","Cape Coral-Fort Myers, FL","San Juan-Carolina-Caguas, PR",Non-CBSA,Other & Unknown
REGION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,"1,183,505","195,593","88,743","88,651","40,642","39,749","37,777","36,476","33,605","28,677","23,620","20,582","19,790","19,318","18,690","16,559","15,864","14,485","13,273","12,233","11,792","11,306","9,832","9,738","8,599","8,443","8,336","6,693","6,462","6,443","5,363","5,241","5,218","5,082","4,810","4,735","4,625","4,493","4,473","4,306","4,126","4,001","3,925","3,600","3,591","3,575","3,315","3,312","3,308","3,223","3,222","14,823","229,167"
Africa,"113,426","14,023","3,047",782,"10,489","2,707","3,487","1,488","4,678","4,501","4,435","2,935",544,"3,194",726,767,809,"1,131",787,"5,223",592,449,794,"1,862","2,164",805,639,918,421,"2,829","1,228","1,003","1,481",54,244,43,803,535,835,353,707,823,336,81,58,834,429,86,41,46,10,"1,015","25,155"
Asia,"462,299","75,287","47,853","5,061","16,547","16,021","14,257","22,261","13,981","9,029","9,690","11,476","13,760","8,958","8,267","5,660","11,198","4,648","2,438","4,074","2,295","7,312","3,454","3,372","4,123","3,884","3,391","2,374","2,056","2,473",998,"2,748","2,213",264,"1,033","4,190","2,046","1,515","1,857","1,802","1,410","2,205","1,439","2,148","1,550","1,186","1,740","1,295",181,238,89,"5,662","89,290"
Europe,"93,567","17,484","5,212","4,542","2,518","7,693","1,960","3,412","1,309","3,365","1,553","2,682","2,002","2,165","1,099",492,"2,077",860,"1,106",629,"1,035","1,212",693,760,601,"1,113",647,610,255,328,397,257,237,64,715,182,442,243,224,544,143,334,552,52,81,422,596,D,D,218,82,"1,012","17,286"
North America,"427,293","66,627","29,291","62,845","8,089","11,670","15,325","7,586","12,378","9,156","5,982","2,640","2,919","4,120","8,065","9,122","1,447","7,386","6,004","1,710","6,670","1,863","4,495","3,335","1,336","2,277","3,282","2,137","3,457",617,"2,306","1,058","1,096","4,652","1,750",120,"1,068","1,545","1,370","1,212","1,759",460,"1,178","1,240","1,861",733,404,"1,813","3,011","2,419","2,710","6,538","85,159"
Oceania,"5,588",578,634,72,88,126,109,492,89,95,63,276,120,42,95,54,30,73,40,40,25,289,45,64,31,117,41,36,21,13,9,8,30,D,30,119,18,114,21,24,7,27,D,28,7,10,11,D,D,3,-,106,"1,202"
South America,"79,608","21,311","2,647","15,305","2,883","1,370","2,594","1,192","1,138","2,498","1,879",566,439,781,416,448,226,375,"2,889",530,"1,145",172,351,338,338,242,335,611,239,149,425,161,152,42,"1,034",79,241,537,158,360,96,140,409,45,27,389,108,59,52,295,327,457,"10,608"
Unknown,"1,724",283,59,44,28,162,45,45,32,33,18,7,6,58,22,16,77,12,9,27,30,9,-,7,6,5,1,7,13,34,-,6,9,D,4,2,7,4,8,11,4,12,D,6,7,1,27,7,-,4,4,33,467
COUNTRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,"1,183,505","195,593","88,743","88,651","40,642","39,749","37,777","36,476","33,605","28,677","23,620","20,582","19,790","19,318","18,690","16,559","15,864","14,485","13,273","12,233","11,792","11,306","9,832","9,738","8,599","8,443","8,336","6,693","6,462","6,443","5,363","5,241","5,218","5,082","4,810","4,735","4,625","4,493","4,473","4,306","4,126","4,001","3,925","3,600","3,591","3,575","3,315","3,312","3,308","3,223","3,222","14,823","229,167"
Afghanistan,"12,513",329,507,9,"1,648",98,558,780,490,51,197,446,170,106,503,89,81,155,5,55,41,"2,022",95,175,76,154,153,11,181,22,15,30,45,8,D,D,42,55,23,93,56,11,17,172,4,3,41,D,-,5,-,50,"2,631"
Albania,"5,773","1,681",49,64,94,293,42,12,49,497,20,18,-,386,13,12,711,36,29,6,200,D,31,9,21,8,13,10,D,35,9,11,7,D,38,D,11,5,5,179,D,D,102,-,3,183,92,D,-,16,-,39,722
Algeria,"2,180",400,37,31,108,147,59,152,31,84,29,20,8,241,8,8,13,4,8,17,6,21,6,52,8,4,37,3,28,127,3,39,4,D,D,-,12,-,79,D,15,8,14,D,3,3,6,-,D,D,-,17,271
Andorra,5,D,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Angola,198,15,D,8,9,-,31,-,9,27,4,D,-,6,-,-,D,D,D,D,3,-,-,D,-,-,-,D,-,D,16,-,-,-,D,D,3,D,-,-,D,-,-,D,-,-,D,-,-,D,D,5,39
Anguilla,20,6,-,D,D,-,-,-,-,-,D,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,7
Antigua and Barbuda,324,165,D,12,8,-,D,-,3,9,18,D,D,4,-,-,-,-,9,5,4,-,D,-,D,D,-,-,-,-,-,-,D,-,D,-,-,-,-,-,-,-,6,-,-,D,D,-,-,-,3,24,42
Argentina,"4,091",544,262,"1,218",130,54,172,99,93,56,78,37,58,44,30,38,13,27,75,6,37,16,28,29,14,41,16,13,16,10,6,7,7,5,25,3,12,45,10,16,D,7,7,3,D,10,4,8,4,15,30,26,584
Armenia,"3,543",217,"2,466",12,61,16,7,48,9,62,17,21,25,28,14,5,16,9,5,D,7,106,63,11,8,7,6,4,-,7,12,-,4,-,3,4,-,23,3,D,-,7,3,-,41,5,4,3,-,D,-,5,165
Aruba,23,D,D,D,-,-,-,D,-,-,D,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,D,D,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10
Australia,"3,239",482,432,56,55,99,80,184,59,75,47,134,62,30,73,16,22,43,28,23,20,20,26,48,22,46,31,24,13,9,6,6,27,D,24,31,9,28,16,19,5,19,4,D,4,8,8,D,D,D,-,59,699
Austria,432,69,40,24,12,14,12,21,8,14,9,6,13,5,4,6,4,4,4,4,3,D,D,D,4,5,D,8,D,3,-,3,D,-,4,4,4,-,D,D,-,D,-,-,D,D,-,-,-,6,D,7,88
Azerbaijan,784,179,139,21,53,30,38,26,10,21,3,20,16,12,5,D,3,D,10,D,-,7,24,D,10,6,-,3,D,4,D,-,D,-,-,-,6,D,4,D,D,6,-,-,-,D,4,-,-,-,-,D,106
Bahamas,656,34,8,242,10,D,13,D,11,6,53,3,-,4,-,-,5,D,40,4,23,D,D,D,11,D,-,D,D,4,D,D,5,-,D,-,5,-,4,7,D,D,D,-,D,-,D,D,-,-,-,8,132
Bahrain,138,25,7,D,7,19,3,4,4,D,3,D,7,7,5,-,D,3,-,D,3,-,-,D,D,D,6,D,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,D,19
Bangladesh,"18,723","10,159",567,437,919,125,247,95,400,285,472,65,99,707,17,111,"1,181",86,99,32,55,51,9,25,118,56,91,10,42,26,28,19,28,-,112,8,93,5,37,10,3,5,94,3,D,10,56,9,D,15,-,63,"1,536"
Barbados,371,180,4,29,14,4,4,D,D,10,16,D,-,10,D,D,D,-,4,D,D,-,D,-,4,-,D,3,-,-,3,-,D,-,D,-,3,-,-,D,-,-,3,-,-,3,D,-,-,D,-,3,53
Belarus,"2,127",501,83,96,44,139,16,80,7,57,25,94,101,102,25,D,13,4,22,60,17,79,10,27,14,25,24,18,D,13,10,3,3,-,12,D,20,3,D,12,-,6,12,3,-,4,16,-,-,-,D,12,308
Belgium,691,113,62,36,21,9,23,30,25,23,33,15,21,5,11,4,10,5,6,D,4,D,5,6,3,7,9,8,D,D,D,D,5,D,6,D,4,D,D,D,-,4,D,D,D,D,6,-,D,D,-,18,129
Belize,851,134,208,23,D,106,33,7,26,3,11,5,D,12,4,21,D,14,D,D,18,D,12,3,6,D,6,-,8,D,D,D,3,-,D,D,D,-,3,4,D,-,D,-,D,D,-,D,D,3,3,14,132
Benin,577,109,D,D,72,38,7,D,12,5,24,D,D,30,6,-,6,D,D,9,D,-,-,12,10,D,D,9,-,7,-,35,-,D,11,-,D,3,D,D,D,6,D,-,D,-,-,D,-,-,-,4,136
Bermuda,99,11,D,4,D,3,D,D,4,4,13,D,4,3,-,-,-,-,7,-,D,-,-,-,3,-,-,D,-,3,D,-,-,-,-,-,-,-,-,D,-,-,D,-,-,-,-,-,-,-,-,D,27
Bhutan,"4,217",39,4,-,19,92,51,10,145,30,256,70,-,65,D,-,-,33,D,61,-,D,9,114,26,35,29,116,35,262,5,13,91,D,-,-,9,28,39,-,129,67,D,-,-,73,116,-,-,-,-,D,"2,137"
Bolivia,"1,595",163,67,141,615,26,32,5,36,28,18,8,3,4,5,11,D,4,11,10,18,6,14,7,D,11,9,6,6,3,35,3,D,-,9,-,3,9,3,5,3,5,11,3,-,D,D,D,D,8,8,16,198
Bosnia and Herzegovina,971,79,24,13,34,107,12,6,19,10,26,26,13,10,7,10,18,23,6,9,19,5,10,15,4,8,7,6,D,-,-,D,5,-,3,D,-,17,3,15,10,11,7,-,-,-,9,D,-,D,-,6,351
Botswana,78,8,-,D,7,D,D,D,-,D,5,-,3,D,D,D,-,D,-,4,D,D,-,-,5,6,-,-,-,D,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,D,-,-,-,-,-,18
Brazil,"13,812","1,735",511,"1,918",319,221,408,425,283,"1,462",514,188,172,178,175,46,93,70,644,53,144,42,69,57,78,55,117,100,34,33,136,29,27,5,311,35,61,122,50,72,13,33,51,14,8,212,22,7,12,70,10,107,"2,261"
Brunei,31,3,7,-,D,D,-,-,D,D,D,D,-,D,D,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,8
Bulgaria,"2,670",232,110,63,107,502,16,79,48,99,65,60,19,51,22,10,28,35,10,9,46,22,130,23,15,13,9,18,7,4,11,12,8,-,15,6,11,7,10,18,5,12,4,-,D,6,11,-,-,5,D,49,625
Burkina Faso,642,306,3,D,37,3,21,D,5,D,16,13,-,31,-,D,4,D,-,4,D,D,-,D,11,D,D,-,D,3,D,7,-,-,-,-,-,D,4,D,D,16,-,-,-,-,10,-,-,-,-,8,114
Burma,"13,065",304,273,53,104,391,209,337,863,49,565,199,40,107,65,18,3,212,25,470,21,23,29,240,273,105,67,249,98,86,7,"1,071",273,-,3,13,31,94,265,261,91,27,33,9,D,4,22,13,-,D,-,139,"5,227"
Burundi,415,10,3,D,21,5,8,D,19,7,10,5,D,D,16,-,D,21,D,4,-,D,-,8,8,7,D,D,D,D,8,D,4,-,-,-,D,15,-,3,5,4,-,-,-,D,-,-,-,-,-,D,201
Cabo Verde,"2,242",24,D,3,D,-,-,D,-,"1,474",D,D,-,3,D,D,-,-,4,-,D,-,-,-,3,D,-,-,D,-,614,-,D,D,11,-,-,D,-,-,-,-,D,-,-,4,-,-,-,-,-,15,70
Cambodia,"3,173",48,509,5,100,43,93,66,75,335,65,217,54,140,47,54,15,29,7,160,18,27,20,32,8,42,16,22,9,19,66,5,9,-,9,8,4,20,4,15,10,38,3,39,22,3,15,7,-,-,-,54,567
Cameroon,"4,899",207,99,14,"1,441",128,273,35,234,170,184,29,18,86,8,17,42,40,17,208,21,5,11,30,240,13,40,17,34,91,D,22,8,D,4,3,11,6,35,9,6,59,3,5,D,50,6,5,5,-,D,32,872
Canada,"12,793","1,208",772,459,245,329,512,502,253,381,208,591,301,142,212,113,410,275,115,118,214,71,99,156,95,137,125,94,53,65,39,38,90,11,82,43,93,43,31,50,28,56,40,22,17,26,46,19,D,49,D,236,"3,476"
Cayman Islands,55,7,-,11,D,-,-,-,-,D,3,-,-,-,-,-,D,D,3,-,7,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,14
Central African Republic,202,12,-,-,15,10,D,-,9,-,6,9,-,3,D,-,D,4,-,-,-,-,-,11,10,D,D,D,-,5,-,6,-,-,D,-,-,-,3,12,-,3,-,-,-,12,-,D,-,-,-,-,62
Chad,136,14,D,-,8,D,D,-,D,-,D,D,-,D,D,-,-,D,-,-,D,-,-,4,D,-,-,D,-,10,D,-,-,-,D,-,D,D,D,4,D,-,D,-,-,-,-,-,-,-,-,D,71
Chile,"1,698",222,63,318,64,42,28,45,26,37,24,39,27,24,20,25,7,21,49,16,10,11,9,23,11,15,20,14,D,4,4,4,4,3,23,7,4,44,4,13,4,4,5,D,D,9,-,D,-,3,4,14,325
"China, People's Republic","81,772","22,726","11,425",923,"2,060","2,078","1,706","7,517","1,218","2,485","1,012","2,088","2,705","1,689",807,"1,157",465,447,301,416,272,707,615,361,555,599,303,237,113,261,191,205,152,27,135,576,258,177,211,117,114,188,142,104,79,140,248,59,13,39,51,662,"10,636"
Christmas Island,D,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Colombia,"18,610","4,229",531,"4,209",413,325,742,143,261,506,551,107,56,183,80,114,38,91,817,74,486,27,82,69,70,41,80,197,95,35,165,33,42,8,218,11,67,42,21,114,25,20,85,6,9,45,13,7,10,78,120,100,"2,719"
Comoros,4,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Congo, Democratic Republic","6,791",71,52,7,225,138,115,17,595,137,300,146,8,75,40,9,4,128,14,52,8,16,22,189,94,50,44,229,33,30,13,72,78,-,41,-,155,96,45,39,100,75,3,D,D,57,37,-,D,D,-,149,"2,978"
"Congo, Republic",625,42,3,D,14,38,28,5,16,7,30,39,3,3,9,-,D,60,12,D,6,D,-,11,6,3,-,13,3,16,7,4,5,-,-,-,12,6,5,3,13,D,-,-,-,D,9,-,-,-,D,4,180
Cook Islands,D,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Costa Rica,"2,224",500,78,223,48,47,50,34,51,33,61,11,11,44,17,15,5,54,63,14,49,8,16,21,12,29,28,46,8,D,3,7,18,-,31,3,17,10,D,16,4,7,D,D,D,4,6,3,-,11,8,13,478
Cote d'Ivoire,"1,617",440,23,5,162,26,44,18,73,26,94,30,D,59,18,6,19,7,3,30,5,5,11,9,23,-,3,15,3,20,18,12,4,4,D,4,D,3,D,5,7,20,4,-,-,11,46,-,-,-,-,15,281
Croatia,388,59,37,11,8,27,4,11,7,9,10,9,5,3,4,D,9,5,D,3,5,D,6,5,D,5,D,3,D,D,-,-,D,D,D,D,D,4,D,3,D,D,-,-,-,-,6,-,-,-,-,4,104
Cuba,"66,516","1,178",252,"41,042",102,125,"3,170",62,483,57,284,20,22,74,82,77,9,519,"1,446",23,"4,234",19,"1,599",48,27,198,623,164,244,20,16,31,153,20,12,D,37,26,103,519,"1,344",9,21,D,D,18,14,4,93,"1,307",56,193,"6,333"
Curacao,35,5,3,9,D,-,D,D,-,D,D,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,D,D,-,-,-,-,D,7
Cyprus,131,40,12,6,4,5,D,D,3,D,-,3,4,4,D,-,-,D,-,D,D,3,D,D,D,D,-,D,D,-,-,-,-,-,3,-,D,-,-,-,-,-,-,-,-,-,D,-,-,-,-,D,20
Czechia,650,64,37,21,26,63,7,26,14,17,17,24,19,14,7,5,4,9,3,3,6,3,7,13,5,9,D,D,D,D,D,D,8,D,D,3,10,3,5,4,-,D,-,D,-,5,D,-,-,D,-,13,159
Czechoslovakia (former),62,10,3,3,3,3,D,3,D,D,-,D,D,-,-,D,-,-,D,-,3,-,-,D,-,-,-,D,D,D,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,D,18
Denmark,521,75,45,17,17,17,20,31,6,16,21,15,15,10,5,3,D,D,14,5,5,3,D,D,10,5,D,D,D,D,D,D,-,-,12,D,11,4,3,3,D,3,4,-,-,D,D,D,-,D,-,8,95
Djibouti,281,4,-,D,6,7,D,D,D,6,8,7,D,-,D,-,-,D,-,59,-,-,-,9,5,-,-,D,-,8,-,-,D,-,-,-,-,-,-,-,13,-,-,-,-,-,D,D,-,-,-,5,129
Dominica,298,101,D,19,12,3,4,D,6,3,7,D,-,5,-,-,-,-,D,-,4,-,-,-,9,-,-,-,-,D,-,-,-,-,8,-,-,-,-,3,D,-,3,-,-,-,-,-,-,-,-,68,34
Dominican Republic,"61,161","35,495",118,"2,635",635,170,201,42,161,"4,660",425,28,6,"1,593",37,26,86,51,"1,075",54,481,22,55,31,141,17,25,215,48,106,"1,465",83,8,16,461,D,136,39,34,74,17,63,243,D,D,336,72,3,8,118,"2,513",543,"6,284"
Ecuador,"10,757","6,249",235,770,129,383,113,34,41,87,100,21,8,121,19,34,10,19,196,243,70,3,29,15,35,10,17,120,16,16,27,8,9,5,276,D,10,28,16,16,3,7,55,D,-,38,5,8,-,14,12,41,"1,033"
Egypt,"12,045","3,624","1,323",127,475,192,251,236,341,262,91,145,91,278,64,318,159,54,169,91,183,42,31,23,97,85,25,52,27,60,55,64,763,D,15,4,54,10,21,15,13,37,24,3,6,89,78,36,7,11,D,88,"1,733"
