Supplemental Table 2.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERSONS OBTAINING LAWFUL PERMANENT RESIDENT STATUS BY LEADING CORE BASED STATISTICAL AREAS (CBSA) OF RESIDENCE AND REGION AND COUNTRY OF BIRTH: FISCAL YEAR 2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region and country of birth,Total,"New York-Newark-Jersey City, NY-NJ-PA","Los Angeles-Long Beach-Anaheim, CA","Miami-Fort Lauderdale-West Palm Beach, FL","Washington-Arlington-Alexandria, DC-VA-MD-WV","Houston-The Woodlands-Sugar Land, TX","Chicago-Naperville-Elgin, IL-IN-WI","San Francisco-Oakland-Hayward, CA","Dallas-Fort Worth-Arlington, TX","Boston-Cambridge-Newton, MA-NH","Atlanta-Sandy Springs-Roswell, GA","Seattle-Tacoma-Bellevue, WA","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","San Jose-Sunnyvale-Santa Clara, CA","San Diego-Carlsbad, CA","Riverside-San Bernardino-Ontario, CA","Phoenix-Mesa-Scottsdale, AZ","Tampa-Saint Petersburg-Clearwater, FL","Minneapolis-Saint Paul-Bloomington, MN-WI","Sacramento--Roseville--Arden-Arcade, CA","Orlando-Kissimmee-Sanford, FL","Detroit-Warren-Dearborn, MI","Las Vegas-Henderson-Paradise, NV","Denver-Aurora-Lakewood, CO","Baltimore-Columbia-Towson, MD","Austin-Round Rock, TX","Portland-Vancouver-Hillsboro, OR-WA","Charlotte-Concord-Gastonia, NC-SC","Columbus, OH","San Antonio-New Braunfels, TX","Indianapolis-Carmel-Anderson, IN","Providence-Warwick, RI-MA","Nashville-Davidson--Murfreesboro--Franklin, TN","Raleigh, NC","Kansas City, MO-KS","Louisville/Jefferson County, KY-IN","Bridgeport-Stamford-Norwalk, CT","El Paso, TX","Jacksonville, FL","Urban Honolulu, HI","Salt Lake City, UT","Cincinnati, OH-KY-IN","Hartford-West Hartford-East Hartford, CT","Saint Louis, MO-IL","Worcester, MA-CT","Stockton-Lodi, CA","Fresno, CA","Milwaukee-Waukesha-West Allis, WI","Cleveland-Elyria, OH","Cape Coral-Fort Myers, FL","San Juan-Carolina-Caguas, PR",Non-CBSA,Other & Unknown
REGION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,"1,127,167","174,421","82,470","80,133","39,927","38,686","36,832","35,420","34,620","29,908","21,341","20,814","19,948","19,880","18,106","15,987","13,556","13,420","12,680","12,533","12,379","12,310","11,052","9,798","8,390","7,908","7,741","6,811","6,463","6,274","5,617","5,382","5,205","4,924","4,600","4,408","4,400","4,397","4,082","4,081","4,065","3,845","3,834","3,760","3,624","3,476","3,377","3,176","3,091","3,016","2,989","14,357","217,653"
Africa,"118,824","12,839","2,502",660,"10,422","3,598","2,807","1,403","5,050","5,020","4,398","3,290","3,499",582,915,588,"1,441",701,"6,034",372,720,804,"1,025","1,862","2,136",641,740,917,"3,025",431,"1,028","1,257","1,471",878,"1,061",834,278,90,430,32,571,969,419,619,927,111,63,314,480,D,5,"1,106","27,424"
Asia,"424,743","62,240","43,693","4,497","16,625","14,287","14,336","20,798","14,108","8,782","8,947","11,384","8,632","13,590","7,595","5,590","4,134","2,620","3,938","8,703","2,155","8,020","3,638","3,448","4,048","3,042","3,473","2,351","2,339","2,050","3,009",866,"2,179","2,211","1,728","1,215",918,205,"1,493","3,660","1,363","1,953","1,462","1,965","1,189","2,003","1,351","1,726","1,546",240,79,"5,204","78,115"
Europe,"84,335","15,568","4,544","3,692","2,251","1,841","6,703","3,342","1,286","3,164","1,230","2,628","2,201","2,105","1,047",391,663,"1,255",558,"1,217",850,"1,799",709,789,523,583,"1,054",581,295,218,233,364,222,422,160,139,606,58,500,127,208,258,491,443,361,48,79,297,527,218,49,851,"14,587"
North America,"413,650","62,548","28,661","56,055","7,646","16,195","11,390","8,078","12,742","9,950","5,180","2,653","4,615","3,098","7,929","8,869","6,861","7,354","1,559","1,797","5,735","1,412","5,133","3,304","1,325","3,246","2,184","2,256",620,"3,324","1,154","2,449","1,137","1,129","1,429","2,142","1,596","3,990","1,262",120,"1,375",497,"1,070",484,701,"1,236","1,836",734,395,"2,230","2,583","6,603","85,779"
Oceania,"5,071",519,537,56,106,114,83,465,102,68,50,306,55,113,95,70,64,29,47,280,28,27,57,73,22,61,85,29,9,16,7,9,31,7,16,7,20,-,19,79,113,11,9,18,3,44,8,6,12,D,-,70,"1,014"
South America,"79,076","20,524","2,486","15,133","2,842","2,608","1,296","1,310","1,283","2,909","1,521",543,885,387,521,457,381,"1,439",526,156,"2,887",220,483,320,333,328,201,669,156,226,177,432,164,274,201,71,974,54,375,63,435,146,379,200,443,29,35,82,112,289,267,498,"10,346"
Unknown,"1,468",183,47,40,35,43,217,24,49,15,15,10,61,5,4,22,12,22,18,8,4,28,7,2,3,7,4,8,19,9,9,5,1,3,5,-,8,-,3,-,-,11,4,31,-,5,5,17,19,2,6,25,388
COUNTRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
