Supplemental Table 2.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERSONS OBTAINING LAWFUL PERMANENT RESIDENT STATUS BY LEADING CORE BASED STATISTICAL AREAS (CBSA) OF RESIDENCE AND REGION AND COUNTRY OF BIRTH: FISCAL YEAR 2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region and country of birth,Total,"New York-Newark-Jersey City, NY-NJ-PA","Miami-Fort Lauderdale-Pompano Beach, FL","Los Angeles-Long Beach-Anaheim, CA","Washington-Arlington-Alexandria, DC-VA-MD-WV","Houston-The Woodlands-Sugar Land, TX","Chicago-Naperville-Elgin, IL-IN-WI","San Francisco-Oakland-Berkeley, CA","Dallas-Fort Worth-Arlington, TX","Boston-Cambridge-Newton, MA-NH","Atlanta-Sandy Springs-Alpharetta, GA","San Jose-Sunnyvale-Santa Clara, CA","Seattle-Tacoma-Bellevue, WA","San Diego-Chula Vista-Carlsbad, CA","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","Riverside-San Bernardino-Ontario, CA","Tampa-Saint Petersburg-Clearwater, FL","Minneapolis-Saint Paul-Bloomington, MN-WI","Orlando-Kissimmee-Sanford, FL","Phoenix-Mesa-Chandler, AZ","Detroit-Warren-Dearborn, MI","Sacramento-Roseville-Folsom, CA","Austin-Round Rock-Georgetown, TX","Denver-Aurora-Lakewood, CO","Las Vegas-Henderson-Paradise, NV","Portland-Vancouver-Hillsboro, OR-WA","Baltimore-Columbia-Towson, MD","Columbus, OH","San Antonio-New Braunfels, TX","Charlotte-Concord-Gastonia, NC-SC","Louisville/Jefferson County, KY-IN","Providence-Warwick, RI-MA","Indianapolis-Carmel-Anderson, IN","Nashville-Davidson--Murfreesboro--Franklin, TN","Raleigh-Cary, NC","Kansas City, MO-KS","Bridgeport-Stamford-Norwalk, CT","Jacksonville, FL","El Paso, TX","Urban Honolulu, HI","Cincinnati, OH-KY-IN","Salt Lake City, UT","Fresno, CA","Saint Louis, MO-IL","Hartford-East Hartford-Middletown, CT","Cleveland-Elyria, OH","Cape Coral-Fort Myers, FL","Worcester, MA-CT","Milwaukee-Waukesha, WI","McAllen-Edinburg-Mission, TX","Stockton, CA",Non-CBSA,Other & Unknown
REGION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,"1,096,611","168,931","80,341","74,032","37,796","36,263","35,045","31,918","28,915","26,411","21,334","19,906","19,553","19,381","17,705","15,000","14,399","12,859","12,730","12,707","12,454","11,646","9,366","9,285","9,181","8,299","8,244","7,184","7,155","6,892","5,538","5,516","5,184","5,144","4,642","4,598","4,431","4,319","4,317","4,152","4,121","3,701","3,667","3,663","3,618","3,511","3,398","3,344","3,331","3,302","3,226","13,541","221,415"
Africa,"115,736","11,857",653,"2,345","9,214","3,301","2,615","1,439","4,614","3,987","4,519",541,"2,866","1,117","2,905",580,600,"5,711",732,"1,637",671,357,677,"1,663",675,763,"2,078","3,321",412,876,"1,223","1,160","1,237","1,657",824,"1,111",271,387,73,49,972,624,83,614,397,581,28,789,475,29,68,"1,001","29,357"
Asia,"397,187","58,943","4,082","37,775","14,660","12,634","13,810","18,144","11,311","7,802","8,335","13,430","10,531","8,685","7,790","5,042","2,402","3,919","2,154","4,267","8,184","7,243","3,143","3,186","3,050","3,493","4,002","2,694","1,921","2,130","1,341",998,"2,427","1,894","1,902","1,668","1,008","1,497",205,"3,703","2,204","1,203","1,393","2,032","1,351","1,632",235,"1,106","1,690",177,"1,794","4,700","76,265"
Europe,"80,024","14,690","3,069","3,994","2,191","1,403","6,178","3,142",889,"2,605","1,102","2,258","2,985","1,249","1,946",349,"1,077",751,755,560,"1,609","1,733",561,711,554,"1,340",414,276,264,579,95,343,182,201,345,187,574,492,D,137,219,188,81,343,409,679,207,294,280,D,58,783,"14,616"
North America,"418,991","61,735","58,934","27,279","8,523","16,611","10,797","7,663","11,008","9,277","5,645","3,074","2,352","7,638","4,248","8,509","8,609","1,816","5,952","5,883","1,488","1,889","4,517","3,211","4,498","2,306","1,415",664,"4,256","2,647","2,744","2,506","1,148","1,182","1,228","1,446","1,518","1,554","3,928",101,569,"1,218","2,075",448,"1,042",449,"2,600",695,770,"3,007","1,224","6,489","88,606"
Oceania,"4,653",504,36,459,103,79,94,356,68,82,49,142,275,101,48,66,19,41,40,57,64,224,34,76,35,118,25,8,13,27,7,12,11,37,16,15,12,16,D,78,18,53,9,9,6,14,5,6,11,D,27,87,958
South America,"78,869","21,056","13,524","2,137","3,083","2,221","1,412","1,145","1,005","2,643","1,673",448,535,585,739,438,"1,670",614,"3,089",297,412,190,431,426,367,276,307,204,280,629,122,495,174,167,321,167,"1,041",372,61,83,129,411,24,201,408,140,319,451,92,56,53,449,"11,297"
Unknown,"1,151",146,43,43,22,14,139,29,20,15,11,13,9,6,29,16,22,7,8,6,26,10,3,12,2,3,3,17,9,4,6,2,5,6,6,4,7,1,-,1,10,4,2,16,5,16,4,3,13,3,2,32,316
COUNTRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
