Supplemental Table 2.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERSONS OBTAINING LAWFUL PERMANENT RESIDENT STATUS BY LEADING CORE BASED STATISTICAL AREAS (CBSA) OF RESIDENCE AND REGION AND COUNTRY OF BIRTH: FISCAL YEAR 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region and country of birth,Total,"New York-Newark-Jersey City, NY-NJ-PA","Los Angeles-Long Beach-Anaheim, CA","Miami-Fort Lauderdale-Pompano Beach, FL","Houston-The Woodlands-Sugar Land, TX","Chicago-Naperville-Elgin, IL-IN-WI","Washington-Arlington-Alexandria, DC-VA-MD-WV","Dallas-Fort Worth-Arlington, TX","San Francisco-Oakland-Berkeley, CA","Boston-Cambridge-Newton, MA-NH","Atlanta-Sandy Springs-Alpharetta, GA","Seattle-Tacoma-Bellevue, WA","San Jose-Sunnyvale-Santa Clara, CA","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","San Diego-Chula Vista-Carlsbad, CA","Riverside-San Bernardino-Ontario, CA","Orlando-Kissimmee-Sanford, FL","Phoenix-Mesa-Chandler, AZ","Detroit-Warren-Dearborn, MI","Minneapolis-Saint Paul-Bloomington, MN-WI","Sacramento-Roseville-Folsom, CA","Tampa-Saint Petersburg-Clearwater, FL","Las Vegas-Henderson-Paradise, NV","Denver-Aurora-Lakewood, CO","Austin-Round Rock-Georgetown, TX","Baltimore-Columbia-Towson, MD","Portland-Vancouver-Hillsboro, OR-WA","Charlotte-Concord-Gastonia, NC-SC","San Antonio-New Braunfels, TX","Columbus, OH","Nashville-Davidson--Murfreesboro--Franklin, TN","Providence-Warwick, RI-MA","Cincinnati, OH-KY-IN","Indianapolis-Carmel-Anderson, IN","Kansas City, MO-KS","Raleigh-Cary, NC","Salt Lake City, UT","El Paso, TX","Bridgeport-Stamford-Norwalk, CT","Urban Honolulu, HI","Jacksonville, FL","Hartford-East Hartford-Middletown, CT","Milwaukee-Waukesha, WI","Fresno, CA","Louisville/Jefferson County, KY-IN","Saint Louis, MO-IL","Stockton, CA","Cape Coral-Fort Myers, FL","McAllen-Edinburg-Mission, TX","Cleveland-Elyria, OH","Worcester, MA-CT",Non-CBSA,Other & Unknown
REGION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,"1,031,765","155,187","75,859","73,040","40,137","34,881","33,964","32,984","32,787","24,717","21,573","19,850","18,418","17,942","15,025","14,227","14,191","13,327","11,772","11,201","10,578","10,040","9,996","9,005","7,559","7,453","7,328","6,336","5,924","5,662","4,898","4,536","4,466","4,399","4,320","4,314","4,156","4,145","4,102","3,728","3,657","3,394","3,225","3,222","3,193","3,130","3,129","3,122","3,093","3,044","2,994","12,053","200,482"
Africa,"111,194","11,978","2,418",748,"4,205","2,616","8,315","5,714","1,470","3,824","4,170","2,625",447,"3,163",717,616,"1,263","1,432",713,"4,338",408,712,672,"1,479",642,"2,010",590,852,523,"2,589","1,547","1,062","1,129","1,277","1,258",756,581,97,220,55,439,406,405,77,"1,128",583,80,47,19,600,828,868,"26,483"
Asia,"364,761","52,088","38,374","4,637","12,347","13,132","12,909","11,370","18,367","7,401","7,786","10,492","12,910","7,344","6,036","5,131","2,651","3,587","7,219","3,596","6,507","2,155","3,364","2,965","2,688","3,075","3,338","2,054","1,741","1,894","1,568",775,"2,415","1,605","1,416","1,720","1,148",211,846,"3,194","1,327","1,219","1,565","1,318",739,"1,480","1,806",269,123,"1,274",780,"4,191","66,614"
Europe,"87,597","15,706","5,149","4,452","1,855","6,859","2,145","1,209","3,283","2,681","1,477","3,089","2,059","2,313","1,194",385,904,826,"1,827",537,"1,456","1,072",759,799,647,526,"1,273",609,216,304,278,302,239,210,186,415,261,66,648,175,542,395,330,64,112,357,47,202,23,575,340,789,"15,430"
North America,"370,860","54,020","26,685","43,890","18,245","10,437","7,587","13,065","7,962","8,081","5,758","2,579","2,481","3,994","6,348","7,549","5,143","6,971","1,467","1,952","1,740","4,577","4,659","3,247","3,011","1,450","1,698","2,134","3,157",651,"1,204","1,998",497,"1,058","1,258","1,052","1,487","3,676","1,399",128,911,918,765,"1,724","1,109",465,"1,122","2,172","2,858",444,620,"5,630","77,827"
Oceania,"5,359",580,588,69,121,108,99,110,449,82,75,340,119,54,83,73,26,63,61,27,281,28,72,83,57,21,88,24,12,17,45,11,17,19,15,23,80,3,18,92,14,8,9,8,7,17,38,D,D,13,3,79,"1,024"
South America,"90,850","20,706","2,621","19,207","3,323","1,549","2,889","1,481","1,235","2,635","2,288",722,399,"1,038",637,437,"4,198",439,469,723,182,"1,482",469,428,508,369,339,662,270,193,253,387,161,221,187,343,593,91,970,84,423,444,137,26,94,213,36,426,64,124,423,488,"12,764"
Unknown,"1,144",109,24,37,41,180,20,35,21,13,19,3,3,36,10,36,6,9,16,28,4,14,1,4,6,2,2,1,5,14,3,1,8,9,-,5,6,1,1,-,1,4,14,5,4,15,-,D,D,14,-,8,340
COUNTRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
