Supplemental Table 2.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERSONS OBTAINING LAWFUL PERMANENT RESIDENT STATUS BY LEADING CORE BASED STATISTICAL AREAS (CBSA) OF RESIDENCE AND REGION AND COUNTRY OF BIRTH: FISCAL YEAR 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region and country of birth,Total,"New York-Newark-Jersey City, NY-NJ-PA","Los Angeles-Long Beach-Anaheim, CA","Miami-Fort Lauderdale-Pompano Beach, FL","San Francisco-Oakland-Berkeley, CA","Houston-The Woodlands-Sugar Land, TX","Chicago-Naperville-Elgin, IL-IN-WI","Washington-Arlington-Alexandria, DC-VA-MD-WV","Dallas-Fort Worth-Arlington, TX","Boston-Cambridge-Newton, MA-NH","Seattle-Tacoma-Bellevue, WA","San Jose-Sunnyvale-Santa Clara, CA","Atlanta-Sandy Springs-Alpharetta, GA","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","Detroit-Warren-Dearborn, MI","Phoenix-Mesa-Chandler, AZ","San Diego-Chula Vista-Carlsbad, CA","Riverside-San Bernardino-Ontario, CA","Orlando-Kissimmee-Sanford, FL","Minneapolis-Saint Paul-Bloomington, MN-WI","Sacramento-Roseville-Folsom, CA","Austin-Round Rock-Georgetown, TX","Denver-Aurora-Lakewood, CO","Tampa-Saint Petersburg-Clearwater, FL","Las Vegas-Henderson-Paradise, NV","Portland-Vancouver-Hillsboro, OR-WA","Baltimore-Columbia-Towson, MD","San Antonio-New Braunfels, TX","Charlotte-Concord-Gastonia, NC-SC","Columbus, OH","Raleigh-Cary, NC","Indianapolis-Carmel-Anderson, IN","Nashville-Davidson--Murfreesboro--Franklin, TN","Kansas City, MO-KS","Salt Lake City, UT","Bridgeport-Stamford-Norwalk, CT","Providence-Warwick, RI-MA","Saint Louis, MO-IL","Cincinnati, OH-KY-IN","Cleveland-Elyria, OH","Hartford-East Hartford-Middletown, CT","El Paso, TX","McAllen-Edinburg-Mission, TX","Stockton, CA","Jacksonville, FL","Worcester, MA-CT","Pittsburgh, PA","Urban Honolulu, HI","Milwaukee-Waukesha, WI","Louisville/Jefferson County, KY-IN","Fresno, CA",Non-CBSA,Other & Unknown
REGION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,"707,362","99,746","51,429","39,318","27,376","26,861","25,043","24,693","22,462","17,695","17,347","16,703","14,803","11,882","9,738","9,150","9,109","9,107","8,481","8,106","7,982","6,249","6,169","6,167","5,826","5,481","5,366","4,637","4,607","4,486","3,682","3,660","3,388","3,316","3,235","3,051","3,039","2,921","2,878","2,645","2,502","2,485","2,342","2,231","2,197","2,175","2,082","2,039","2,026","2,017","2,009","7,978","137,445"
Africa,"76,649","7,589","1,672",503,"1,197","3,087","2,047","5,507","3,483","2,294","1,884",409,"2,974","1,978",461,"1,361",422,456,635,"2,900",272,481,"1,125",417,459,494,"1,530",375,612,"1,805",592,"1,082","1,001",943,477,173,754,471,797,410,271,D,D,82,243,459,269,D,229,711,45,604,"18,498"
Asia,"272,597","35,577","27,308","2,807","15,239","9,567","9,820","10,372","9,219","5,979","9,288","11,696","5,877","5,088","6,052","2,807","4,022","3,464","1,747","2,757","5,267","2,569","2,160","1,487","2,059","2,436","2,241","1,651","1,656","1,769","1,633","1,436","1,123","1,055",824,725,505,"1,460","1,330","1,154",988,158,94,"1,290",787,712,"1,163","1,706","1,038",544,876,"2,997","47,018"
Europe,"68,994","11,828","3,992","3,092","3,300","1,558","5,151","1,659","1,027","2,278","3,086","1,895",992,"1,477","1,192",660,783,285,540,611,"1,263",627,592,805,511,"1,099",371,180,500,290,372,175,218,144,223,559,222,346,247,535,304,38,D,53,373,D,264,98,201,57,68,551,"12,048"
North America,"222,272","32,349","16,119","20,449","5,986","10,203","6,455","5,271","7,506","4,964","2,242","2,154","3,455","2,538","1,257","3,916","3,468","4,495","2,662","1,318",952,"2,092","1,877","2,486","2,391","1,163",939,"2,222","1,356",431,787,742,812,946,"1,064",927,"1,250",411,373,405,632,"2,202","2,102",752,521,427,234,70,442,639,979,"3,445","49,394"
Oceania,"3,998",483,432,41,329,84,101,65,67,62,264,101,55,53,50,58,D,62,31,27,120,34,60,24,D,54,D,11,12,6,21,16,D,12,D,D,D,13,D,D,D,D,-,D,12,D,13,69,7,D,D,56,786
South America,"62,219","11,855","1,871","12,397","1,309","2,338","1,379","1,798","1,145","2,114",580,445,"1,439",730,715,344,344,331,"2,856",487,108,440,349,938,373,228,267,194,466,176,272,206,209,210,569,644,300,201,116,129,298,43,81,30,261,345,136,65,101,59,32,316,"9,580"
Unknown,633,65,35,29,16,24,90,21,15,4,3,3,11,18,11,4,D,14,10,6,-,6,6,10,D,7,D,4,5,9,5,3,D,6,D,D,D,19,D,D,D,D,-,D,-,-,3,D,8,D,D,9,121
COUNTRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
