Country,Total,NAME_LONG,ISO_A3
Afghanistan,"3,165",Afghanistan,AFG
Albania,"5,137",Albania,ALB
Algeria,"1,485",Algeria,DZA
American Samoa,19,American Samoa,ASM
Angola,173,Angola,AGO
Anguilla,21,Anguilla,AIA
Antigua and Barbuda,437,Antigua and Barbuda,ATG
Argentina,"5,780",Argentina,ARG
Armenia,"3,442",Armenia,ARM
Aruba,38,Aruba,ABW
Australia,"2,622",Australia,AUS
Austria,512,Austria,AUT
Azerbaijan,834,Azerbaijan,AZE
Bahamas,751,Bahamas,BHS
Bahrain,120,Bahrain,BHR
Bangladesh,"16,651",Bangladesh,BGD
Barbados,603,Barbados,BRB
Belarus,"2,407",Belarus,BLR
Belgium,686,Belgium,BEL
Belize,"1,041",Belize,BLZ
Benin,401,Benin,BEN
Bermuda,108,Bermuda,BMU
Bhutan,594,Bhutan,BTN
Bolivia,"2,837",Bolivia,BOL
Bosnia and Herzegovina,"1,501",Bosnia and Herzegovina,BIH
Botswana,55,Botswana,BWA
Brazil,"14,701",Brazil,BRA
"Virgin Islands, British",46,"Virgin Islands, British",VGB
Brunei,26,Brunei,BRN
Bulgaria,"3,133",Bulgaria,BGR
Burkina Faso,416,Burkina Faso,BFA
Burma,"13,621",Burma,MMR
Burundi,"1,505",Burundi,BDI
Cambodia,"3,771",Cambodia,KHM
Cameroon,"3,463",Cameroon,CMR
Canada,"16,140",Canada,CAN
Cabo Verde,"2,238",Cabo Verde,CIV
Cayman Islands,45,Cayman Islands,CYM
Central African Republic,107,Central African Republic,CAF
Chad,102,Chad,TCD
Chile,"2,250",Chile,CHL
"China, People's Republic","64,238","China, People's Republic",CHN
Colombia,"27,849",Colombia,COL
"Congo, Democratic Republic","2,122","Congo, Democratic Republic",COD
"Congo, Republic","1,563","Congo, Republic",COG
Costa Rica,"2,384",Costa Rica,CRI
Croatia,496,Croatia,HRV
Cuba,"38,954",Cuba,CUB
Cyprus,142,Cyprus,CYP
Czechia,146,Czechia,CZE
Denmark,603,Denmark,DNK
