Country,Total,"New York-Northern New Jersey-Long Island, NY-NJ-PA","Los Angeles-Long Beach-Santa Ana, CA","Miami-Fort Lauderdale-Pompano Beach, FL","Washington-Arlington-Alexandria, DC-VA-MD-WV","Chicago-Naperville-Joliet, IL-IN-WI","San Francisco-Oakland-Fremont, CA","Houston-Sugar Land-Baytown, TX","Dallas-Fort Worth-Arlington, TX","Boston-Cambridge-Quincy, MA-NH","Atlanta-Sandy Springs-Marietta, GA","San Diego-Carlsbad-San Marcos, CA","San Jose-Sunnyvale-Santa Clara, CA","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","Seattle-Tacoma-Bellevue, WA","Riverside-San Bernardino-Ontario, CA","Detroit-Warren-Livonia, MI","Phoenix-Mesa-Scottsdale, AZ","Orlando-Kissimmee, FL","Minneapolis-St. Paul-Bloomington, MN-WI","Las Vegas-Paradise, NV","Tampa-St. Petersburg-Clearwater, FL","Denver-Aurora-Broomfield, CO","Baltimore-Towson, MD","Sacramento--Arden-Arcade--Roseville, CA","Portland-Vancouver-Beaverton, OR-WA","Austin-Round Rock, TX","Honolulu, HI","Providence-New Bedford-Fall River, RI-MA","San Antonio, TX","El Paso, TX","Bridgeport-Stamford-Norwalk, CT","Columbus, OH","Kansas City, MO-KS","Charlotte-Gastonia-Concord, NC-SC","Raleigh-Cary, NC","Nashville-Davidson--Murfreesboro--Franklin, TN","San Juan-Caguas-Guaynabo, PR","Salt Lake City, UT","Hartford-West Hartford-East Hartford, CT","Indianapolis-Carmel, IN","Saint Louis, MO-IL","Jacksonville, FL","Worcester, MA","Cleveland-Elyria-Mentor, OH","Oxnard-Thousand Oaks-Ventura, CA","Stockton, CA","Fresno, CA","Tucson, AZ","Cincinnati-Middletown, OH-KY-IN","Virginia Beach-Norfolk-Newport News, VA-NC"
Afghanistan,2017,195,138,3,287,31,280,42,39,11,56,55,21,38,25,41,,55,6,7,15,4,20,11,52,18,4,,,12,,,,10,6,10,11,,19,8,3,30,20,,,5,36,4,24,,5
Albania,4711,1331,21,48,66,298,12,25,27,403,,15,7,333,20,6,595,37,18,12,22,143,4,18,,8,3,,3,7,,38,30,4,7,4,6,,6,87,,38,122,151,83,6,,,,4,5
Algeria,1305,283,55,23,68,78,126,20,10,92,18,16,13,114,12,5,11,5,14,4,,5,17,4,,4,15,,,18,,,25,17,,16,,,,8,11,4,3,,5,,,,,,
American Samoa,14,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,148,20,4,4,8,,,8,,29,4,,,3,,,,3,,,,,,,,,,,13,,,,,,5,,,,,,,,,,,,,,,,
Anguilla,19,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua-Barbuda,359,160,3,32,5,,,6,,3,8,,,11,,,3,,6,,,6,,,,,,,,,,,,,,,,,,3,,,3,,,,,,,,4
Argentina,4399,557,387,1325,192,86,75,123,95,55,61,35,26,36,36,65,19,26,92,10,51,40,17,13,13,25,20,4,6,11,,41,13,8,6,10,8,42,37,9,7,18,8,,14,17,,4,3,6,
Armenia,2979,263,2020,13,41,9,34,3,8,74,12,7,15,11,15,7,10,7,7,,61,,26,6,45,4,,,3,,,10,6,,10,,,,5,,,4,4,,8,6,,51,,12,7
Aruba,49,8,,7,,,,,,,,,,,,,,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
