Country,Total,NAME,ISO_A3
Afghanistan,"1,648",Afghanistan,AFG
Albania,"3,612",Albania,ALB
Algeria,"1,364",Algeria,DZA
Andorra,3,Andorra,AND
Angola,148,Angola,AGO
Anguilla,25,Anguilla,AIA
Antigua and Barbuda,368,Antigua and Barbuda,ATG
Argentina,"4,473",Argentina,ARG
Armenia,"2,983",Armenia,ARM
Aruba,39,Aruba,ABW
Australia,"2,343",Australia,AUS
Austria,424,Austria,AUT
Azerbaijan,728,Azerbaijan,AZE
Bahamas,668,Bahamas,BHS
Bahrain,119,Bahrain,BHR
Bangladesh,"16,707",Bangladesh,BGD
Barbados,455,Barbados,BRB
Belarus,"1,964",Belarus,BLR
Belgium,567,Belgium,BEL
Belize,905,Belize,BLZ
Benin,462,Benin,BEN
Bermuda,71,Bermuda,BMU
Bhutan,"10,137",Bhutan,BTN
Bolivia,"2,173",Bolivia,BOL
Bosnia and Herzegovina,878,Bosnia and Herzegovina,BIH
Botswana,76,Botswana,BWA
Brazil,"11,763",Brazil,BRA
"Virgin Islands, British",37,"Virgin Islands, British",VGB
Brunei,25,Brunei,BRN
Bulgaria,"2,661",Bulgaria,BGR
Burkina Faso,433,Burkina Faso,BFA
Burma,"16,518",Burma,MMR
Burundi,593,Burundi,BDI
Cambodia,"2,745",Cambodia,KHM
Cameroon,"4,754",Cameroon,CMR
Canada,"12,800",Canada,CAN
Cabo Verde,"1,808",Cabo Verde,CIV
Cayman Islands,41,Cayman Islands,CYM
Central African Republic,134,Central African Republic,CAF
Chad,171,Chad,TCD
Chile,"1,853",Chile,CHL
"China, People's Republic","87,016","China, People's Republic",CHN
Colombia,"22,635",Colombia,COL
Comoros,8,Comoros,COM
"Congo, Democratic Republic","2,424","Congo, Democratic Republic",COD
"Congo, Republic","1,371","Congo, Republic",COG
Cook Islands,3,Cook Islands,COK
Costa Rica,"2,135",Costa Rica,CRI
Croatia,349,Croatia,HRV
Cuba,"36,452",Cuba,CUB
Cyprus,101,Cyprus,CYP
Czechia,303,Czechia,CZE
Denmark,459,Denmark,DNK
Djibouti,56,Djibouti,DJI
Dominica,287,Dominica,DMA
Dominican Republic,"46,109",Dominican Republic,DOM
Ecuador,"11,103",Ecuador,ECU
Egypt,"7,778",Egypt,EGY
El Salvador,"18,667",El Salvador,SLV
Equatorial Guinea,13,Equatorial Guinea,GNQ
Eritrea,"2,102",Eritrea,ERI
Estonia,191,Estonia,EST
Ethiopia,"13,793",Ethiopia,ETH
Fiji,"1,041",Fiji,FJI
Finland,363,Finland,FIN
French Polynesia,21,French Polynesia,PYF
Gabon,204,Gabon,GAB
Gambia,972,Gambia,GMB
Georgia,"1,490",Georgia,GEO
Germany,"6,125",Germany,DEU
Ghana,"8,798",Ghana,GHA
Greece,949,Greece,GRC
Grenada,579,Grenada,GRD
Guatemala,"11,092",Guatemala,GTM
Guinea,"1,555",Guinea,GIN
Guinea-Bissau,29,Guinea-Bissau,GNB
Guyana,"6,599",Guyana,GUY
Haiti,"22,111",Haiti,HTI
Honduras,"6,133",Honduras,HND
Hong Kong,"2,306",Hong Kong,HKG
Hungary,"1,044",Hungary,HUN
Iceland,90,Iceland,ISL
India,"69,013",India,IND
Indonesia,"2,856",Indonesia,IDN
Iran,"14,822",Iran,IRN
Iraq,"21,133",Iraq,IRQ
Ireland,"1,371",Ireland,IRL
Israel,"3,826",Israel,ISR
Italy,"2,443",Italy,ITA
Jamaica,"19,662",Jamaica,JAM
Japan,"6,161",Japan,JPN
Jordan,"3,876",Jordan,JOR
Kazakhstan,"1,235",Kazakhstan,KAZ
Kenya,"7,762",Kenya,KEN
"Korea, North",36,"Korea, North",PRK
"Korea, South","22,824","Korea, South",KOR
Kuwait,973,Kuwait,KWT
Kyrgyzstan,542,Kyrgyzstan,KGZ
Laos,956,Laos,LAO
Latvia,426,Latvia,LVA
Lebanon,"3,295",Lebanon,LBN
Lesotho,25,Lesotho,LSO
Liberia,"4,151",Liberia,LBR
Libya,357,Libya,LBY
Lithuania,936,Lithuania,LTU
Luxembourg,24,Luxembourg,LUX
Macau,130,Macau,MAC
North Macedonia,"1,078",North Macedonia,MKD
Madagascar,83,Madagascar,MDG
Malawi,123,Malawi,MWI
Malaysia,"2,273",Malaysia,MYS
Mali,629,Mali,MLI
Malta,51,Malta,MLT
Marshall Islands,38,Marshall Islands,MHL
Mauritania,393,Mauritania,MRT
Mauritius,101,Mauritius,MUS
Mexico,"143,446",Mexico,MEX
"Micronesia, Federated States",9,"Micronesia, Federated States",FSM
Moldova,"2,258",Moldova,MDA
Monaco,6,Monaco,MCO
Mongolia,774,Mongolia,MNG
Montenegro,204,Montenegro,MNE
Montserrat,30,Montserrat,MSR
Morocco,"4,399",Morocco,MAR
Mozambique,60,Mozambique,MOZ
Namibia,43,Namibia,NAM
Nepal,"10,166",Nepal,NPL
Netherlands,"1,085",Netherlands,NLD
New Caledonia,5,New Caledonia,NCL
New Zealand,803,New Zealand,NZL
Nicaragua,"3,401",Nicaragua,NIC
