Country,Total,"New York-Newark-Jersey City, NY-NJ-PA","Los Angeles-Long Beach-Anaheim, CA","Miami-Fort Lauderdale-Pompano Beach, FL","Washington-Arlington-Alexandria, DC-VA-MD-WV","Houston-The Woodlands-Sugar Land, TX","Dallas-Fort Worth-Arlington, TX","San Francisco-Oakland-Berkeley, CA","Chicago-Naperville-Elgin, IL-IN-WI","Seattle-Tacoma-Bellevue, WA","Boston-Cambridge-Newton, MA-NH","San Jose-Sunnyvale-Santa Clara, CA","Atlanta-Sandy Springs-Alpharetta, GA","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","Orlando-Kissimmee-Sanford, FL","San Diego-Chula Vista-Carlsbad, CA","Phoenix-Mesa-Chandler, AZ","Detroit-Warren-Dearborn, MI","Riverside-San Bernardino-Ontario, CA","Tampa-Saint Petersburg-Clearwater, FL","Minneapolis-Saint Paul-Bloomington, MN-WI","Austin-Round Rock-Georgetown, TX","Denver-Aurora-Lakewood, CO","Sacramento-Roseville-Folsom, CA","Las Vegas-Henderson-Paradise, NV","Charlotte-Concord-Gastonia, NC-SC","Baltimore-Columbia-Towson, MD","Portland-Vancouver-Hillsboro, OR-WA","San Antonio-New Braunfels, TX","Columbus, OH","Raleigh-Cary, NC","Indianapolis-Carmel-Anderson, IN","Nashville-Davidson--Murfreesboro--Franklin, TN","Bridgeport-Stamford-Norwalk, CT","Salt Lake City, UT","Cincinnati, OH-KY-IN","Providence-Warwick, RI-MA","El Paso, TX","Hartford-East Hartford-Middletown, CT","Saint Louis, MO-IL","Kansas City, MO-KS","Jacksonville, FL","Worcester, MA-CT","Louisville/Jefferson County, KY-IN","McAllen-Edinburg-Mission, TX","Stockton, CA","Cleveland-Elyria, OH","Trenton-Princeton, NJ","Milwaukee-Waukesha, WI","Oklahoma City, OK","Cape Coral-Fort Myers, FL",Non-CBSA,Other & Unknown
Afghanistan,9488,144,227,9,1470,357,473,434,77,537,41,49,141,69,3,341,74,20,75,5,34,123,215,2092,30,37,61,45,440,25,22,25,27,,23,3,,,14,84,35,43,,16,,66,58,4,5,,5,18,1389
Albania,2612,812,18,45,39,18,22,8,125,19,183,3,14,149,18,4,10,307,4,95,4,,3,,11,3,8,4,3,18,,4,7,17,4,,4,,50,29,,89,75,,,,34,,19,4,4,10,307
Algeria,1898,305,40,22,58,62,36,121,165,21,77,,8,204,14,13,15,17,4,13,13,34,41,10,9,5,5,4,13,125,11,32,,,,5,4,,10,,90,,13,9,,,,,4,,4,13,236
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,208,13,5,18,12,32,8,,,4,9,,4,6,,,,,,3,,,,,,,,,,,,,,,,6,10,,,,,,,,,,,,,,,4,53
Anguilla,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
Antigua and Barbuda,201,85,3,20,4,,,,,,4,,7,12,7,,,,,,,,,,,3,,,,,,,,4,,,,,4,,,,,,,,,,,,,5,27
Argentina,3248,365,184,1007,116,132,74,60,54,48,37,26,45,26,56,25,23,13,22,33,18,10,18,5,23,14,14,23,6,14,15,20,5,20,34,6,11,4,5,10,10,5,,5,6,,12,,11,6,16,14,537
Armenia,1833,77,1370,14,25,,14,15,10,11,20,28,4,7,3,6,11,5,9,4,,,5,26,24,,6,9,,,,,,,,4,3,,3,,,4,,4,,,,5,,,,,94
Aruba,28,9,,5,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
