Country,Total,"New York-Northern New Jersey-Long Island, NY-NJ-PA","Los Angeles-Long Beach-Santa Ana, CA","Miami-Fort Lauderdale-Pompano Beach, FL","Washington-Arlington-Alexandria, DC-VA-MD-WV","Chicago-Naperville-Joliet, IL-IN-WI","San Francisco-Oakland-Fremont, CA","Houston-Sugar Land-Baytown, TX","Dallas-Fort Worth-Arlington, TX","Boston-Cambridge-Quincy, MA-NH","Atlanta-Sandy Springs-Marietta, GA","San Diego-Carlsbad-San Marcos, CA","Seattle-Tacoma-Bellevue, WA","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","San Jose-Sunnyvale-Santa Clara, CA","Riverside-San Bernardino-Ontario, CA","Minneapolis-St. Paul-Bloomington, MN-WI","Phoenix-Mesa-Scottsdale, AZ","Detroit-Warren-Livonia, MI","Orlando-Kissimmee, FL","Las Vegas-Paradise, NV","Tampa-St. Petersburg-Clearwater, FL","Sacramento--Arden-Arcade-Roseville, CA","Denver-Aurora-Broomfield, CO","Baltimore-Towson, MD","Portland-Vancouver-Beaverton, OR-WA","Columbus, OH","Austin-Round Rock, TX","Bridgeport-Stamford-Norwalk, CT","Providence-New Bedford-Fall River, RI-MA","Honolulu, HI","San Antonio, TX","Charlotte-Gastonia-Concord, NC-SC","El Paso, TX","Nashville-Davidson-Murfreesboro-Franklin, TN","Salt Lake City, UT","Hartford-West Hartford-East Hartford, CT","Indianapolis-Carmel, IN","Raleigh-Cary, NC","Kansas City, MO-KS","Saint Louis, MO-IL","San Juan-Caguas-Guaynabo, PR","Jacksonville, FL","Tucson, AZ","Fresno, CA","Oxnard-Thousand Oaks-Ventura, CA","Stockton, CA","Bakersfield, CA","Worcester, MA","McAllen-Edinburg-Mission, TX","Cleveland-Elyria-Mentor, OH",NAME_LONG,ISO_A3
Afghanistan,"3,165",236,159,,475,34,413,43,77,15,85,96,45,46,27,61,8,69,11,11,35,3,89,52,24.0,27,,16,3.0,5,6,21,,,20.0,23.0,19.0,3.0,12.0,28.0,39.0,,28.0,33,,11,47,,4.0,,,Afghanistan,AFG
Albania,"5,137","1,382",23,39,92,335,13,19,36,364,8,13,19,342,8,7,10,52,725,24,23,166,,11,31.0,17,33,9,38.0,10,,6,,,15.0,8.0,105.0,3.0,3.0,6.0,58.0,,158.0,,,8,,,167.0,,81.0,Albania,ALB
Algeria,"1,485",308,48,28,97,70,132,32,15,107,19,14,17,101,14,7,16,11,17,9,8,18,16,14,7.0,5,28,12,,3,3,16,,,,,10.0,19.0,25.0,11.0,,,,,,,,,,,5.0,Algeria,DZA
American Samoa,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,American Samoa,ASM
Angola,173,15,,10,7,,,14,4,35,5,,3,7,,,,4,,,,,,,3.0,,,,,26,,,,,,,,,,,,,,,,,,,,,,Angola,AGO
Anguilla,21,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anguilla,AIA
Antigua and Barbuda,437,198,,34,8,3,,3,5,16,14,,,10,,,,4,,9,,6,,,5.0,,,,5.0,,,,,,,,,,,,,4,,,,,,,,,,Antigua and Barbuda,ATG
Argentina,"5,780",776,433,"2,092",198,77,83,153,76,70,70,44,50,52,31,58,31,33,18,85,62,60,17,17,14.0,22,24,16,49.0,10,7,18,19.0,9,9.0,56.0,15.0,6.0,6.0,9.0,14.0,64,12.0,8,,9,,6,6.0,,4.0,Argentina,ARG
Armenia,"3,442",223,"2,399",24,51,29,42,7,19,52,8,13,33,23,16,11,,13,10,6,58,3,89,9,,8,,3,9.0,12,,,4.0,,,9.0,11.0,,,,3.0,,4.0,6,56,6,,,,,7.0,Armenia,ARM
Aruba,38,5,,9,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aruba,ABW
