Country,Total,"New York-Northern New Jersey-Long Island, NY-NJ-PA","Los Angeles-Long Beach-Santa Ana, CA","Miami-Fort Lauderdale-Pompano Beach, FL","Washington-Arlington-Alexandria, DC-VA-MD-WV","Chicago-Naperville-Joliet, IL-IN-WI","San Francisco-Oakland-Fremont, CA","Houston-Sugar Land-Baytown, TX","Dallas-Fort Worth-Arlington, TX","Boston-Cambridge-Quincy, MA-NH","Atlanta-Sandy Springs-Marietta, GA","San Diego-Carlsbad-San Marcos, CA","San Jose-Sunnyvale-Santa Clara, CA","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","Seattle-Tacoma-Bellevue, WA","Riverside-San Bernardino-Ontario, CA","Detroit-Warren-Livonia, MI","Phoenix-Mesa-Scottsdale, AZ","Orlando-Kissimmee, FL","Minneapolis-St. Paul-Bloomington, MN-WI","Las Vegas-Paradise, NV","Tampa-St. Petersburg-Clearwater, FL","Denver-Aurora-Broomfield, CO","Baltimore-Towson, MD","Sacramento--Arden-Arcade--Roseville, CA","Portland-Vancouver-Beaverton, OR-WA","Austin-Round Rock, TX","Honolulu, HI","Providence-New Bedford-Fall River, RI-MA","San Antonio, TX","El Paso, TX","Bridgeport-Stamford-Norwalk, CT","Columbus, OH","Kansas City, MO-KS","Charlotte-Gastonia-Concord, NC-SC","Raleigh-Cary, NC","Nashville-Davidson--Murfreesboro--Franklin, TN","San Juan-Caguas-Guaynabo, PR","Salt Lake City, UT","Hartford-West Hartford-East Hartford, CT","Indianapolis-Carmel, IN","Saint Louis, MO-IL","Jacksonville, FL","Worcester, MA","Cleveland-Elyria-Mentor, OH","Oxnard-Thousand Oaks-Ventura, CA","Stockton, CA","Fresno, CA","Tucson, AZ","Cincinnati-Middletown, OH-KY-IN","Virginia Beach-Norfolk-Newport News, VA-NC",NAME,ISO_A3
Afghanistan,2017,195.0,138.0,3.0,287.0,31.0,280.0,42.0,39.0,11.0,56.0,55.0,21.0,38.0,25.0,41.0,,55.0,6.0,7.0,15.0,4.0,20.0,11.0,52.0,18.0,4.0,,,12.0,,,,10.0,6.0,10.0,11.0,,19.0,8.0,3.0,30.0,20.0,,,5.0,36.0,4.0,24.0,,5.0,Afghanistan,AFG
Albania,4711,1331.0,21.0,48.0,66.0,298.0,12.0,25.0,27.0,403.0,,15.0,7.0,333.0,20.0,6.0,595.0,37.0,18.0,12.0,22.0,143.0,4.0,18.0,,8.0,3.0,,3.0,7.0,,38.0,30.0,4.0,7.0,4.0,6.0,,6.0,87.0,,38.0,122.0,151.0,83.0,6.0,,,,4.0,5.0,Albania,ALB
Algeria,1305,283.0,55.0,23.0,68.0,78.0,126.0,20.0,10.0,92.0,18.0,16.0,13.0,114.0,12.0,5.0,11.0,5.0,14.0,4.0,,5.0,17.0,4.0,,4.0,15.0,,,18.0,,,25.0,17.0,,16.0,,,,8.0,11.0,4.0,3.0,,5.0,,,,,,,Algeria,DZA
American Samoa,14,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,American Samoa,ASM
Andorra,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Andorra,AND
Angola,148,20.0,4.0,4.0,8.0,,,8.0,,29.0,4.0,,,3.0,,,,3.0,,,,,,,,,,,13.0,,,,,,5.0,,,,,,,,,,,,,,,,,Angola,AGO
Anguilla,19,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anguilla,AIA
Antigua and Barbuda,359,160.0,3.0,32.0,5.0,,,6.0,,3.0,8.0,,,11.0,,,3.0,,6.0,,,6.0,,,,,,,,,,,,,,,,,,3.0,,,3.0,,,,,,,,4.0,Antigua and Barbuda,ATG
Argentina,4399,557.0,387.0,1325.0,192.0,86.0,75.0,123.0,95.0,55.0,61.0,35.0,26.0,36.0,36.0,65.0,19.0,26.0,92.0,10.0,51.0,40.0,17.0,13.0,13.0,25.0,20.0,4.0,6.0,11.0,,41.0,13.0,8.0,6.0,10.0,8.0,42.0,37.0,9.0,7.0,18.0,8.0,,14.0,17.0,,4.0,3.0,6.0,,Argentina,ARG
Armenia,2979,263.0,2020.0,13.0,41.0,9.0,34.0,3.0,8.0,74.0,12.0,7.0,15.0,11.0,15.0,7.0,10.0,7.0,7.0,,61.0,,26.0,6.0,45.0,4.0,,,3.0,,,10.0,6.0,,10.0,,,,5.0,,,4.0,4.0,,8.0,6.0,,51.0,,12.0,7.0,Armenia,ARM
