Country,Total,"New York-Northern New Jersey-Long Island, NY-NJ-PA","Los Angeles-Long Beach-Santa Ana, CA","Miami-Fort Lauderdale-Pompano Beach, FL","Washington-Arlington-Alexandria, DC-VA-MD-WV","Chicago-Joliet-Naperville, IL-IN-WI","San Francisco-Oakland-Fremont, CA","Houston-Sugar Land-Baytown, TX","Dallas-Fort Worth-Arlington, TX","Boston-Cambridge-Quincy, MA-NH","Atlanta-Sandy Springs-Marietta, GA","San Diego-Carlsbad-San Marcos, CA","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","San Jose-Sunnyvale-Santa Clara, CA","Seattle-Tacoma-Bellevue, WA","Riverside-San Bernardino-Ontario, CA","Phoenix-Mesa-Glendale, AZ","Detroit-Warren-Livonia, MI","Orlando-Kissimmee-Sanford, FL","Minneapolis-St. Paul-Bloomington, MN-WI","Denver-Aurora-Broomfield, CO","Tampa-St. Petersburg-Clearwater, FL","Las Vegas-Paradise, NV","Sacramento--Arden-Arcade--Roseville, CA","Baltimore-Towson, MD","Portland-Vancouver-Hillsboro, OR-WA","Austin-Round Rock-San Marcos, TX","El Paso, TX","Honolulu, HI","San Antonio-New Braunfels, TX","Charlotte-Gastonia-Rock Hill, NC-SC","Columbus, OH","Providence-New Bedford-Fall River, RI-MA","Bridgeport-Stamford-Norwalk, CT","Salt Lake City, UT","Nashville-Davidson--Murfreesboro--Franklin, TN","Kansas City, MO-KS","Hartford-West Hartford-East Hartford, CT","Indianapolis-Carmel, IN","Raleigh-Cary, NC","St. Louis, MO-IL","Jacksonville, FL","McAllen-Edinburg-Mission, TX","Worcester, MA","Tucson, AZ","Oxnard-Thousand Oaks-Ventura, CA","Fresno, CA","San Juan-Caguas-Guaynabo, PR","Stockton, CA","Milwaukee-Waukesha-West Allis, WI","Cleveland-Elyria-Mentor, OH",NAME,ISO_A3
Afghanistan,"1,648",179,86,,248,20,187,20,46,8,43,60,21,40,22,32,43,,,8.0,13,,19,56,4.0,5.0,7,,,6,4.0,,,3.0,23.0,7.0,,5.0,3.0,10.0,17.0,19.0,,,6,7,,,40.0,,8.0,Afghanistan,AFG
Albania,"3,612","1,032",25,28,58,163,7,28,30,287,12,11,236,,29,7,24,492,8,10.0,3,110,16,,20.0,,6,,,3,5.0,28.0,3,24.0,4.0,4.0,,84.0,5.0,,24.0,95.0,,106.0,,6,,,,35.0,63.0,Albania,ALB
Algeria,"1,364",250,34,22,87,66,188,25,10,89,21,8,148,8,8,6,4,17,6,4.0,17,6,,7,9.0,,18,,,15,,28.0,,,,3.0,25.0,12.0,15.0,7.0,5.0,,,4.0,,,,,3.0,6.0,,Algeria,DZA
Andorra,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Andorra,AND
Angola,148,11,,11,9,,,14,,32,6,,3,,,,,,,,,,,,3.0,,,,,,3.0,3.0,11,,,,,,,,,,,,,,,,,,,Angola,AGO
Anguilla,25,7,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anguilla,AIA
Antigua and Barbuda,368,171,,30,12,,,4,,9,13,,8,,,,3,,14,,,6,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,Antigua and Barbuda,ATG
Argentina,"4,473",611,292,"1,445",133,76,55,199,92,51,82,22,49,27,37,50,21,7,79,15.0,24,37,37,11,22.0,13.0,10,5,,13,21.0,8.0,10,35.0,48.0,3.0,7.0,11.0,14.0,17.0,28.0,11.0,6,6.0,,11,3,28,4.0,5.0,5.0,Argentina,ARG
Armenia,"2,983",253,"1,990",15,38,14,29,9,13,71,7,22,26,23,26,5,3,12,7,,15,3,62,47,13.0,7.0,8,,,,,5.0,13,,13.0,,,,,,3.0,5.0,,4.0,,,40,,,3.0,17.0,Armenia,ARM
Aruba,39,3,,9,,,,,,3,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aruba,ABW
Australia,"2,343",316,284,34,52,61,105,49,46,55,38,48,43,30,64,22,24,15,19,15.0,37,18,29,23,15.0,32.0,25,,22,9,12.0,10.0,7,10.0,27.0,18.0,9.0,5.0,11.0,10.0,10.0,3.0,4,4.0,,9,5,,,5.0,6.0,Australia,AUS
Austria,424,59,38,24,11,13,17,7,6,16,7,8,8,15,11,,9,11,,7.0,3,6,3,4,,,5,,,,3.0,,,,3.0,,,,,,3.0,,,,,,,,,,,Austria,AUT
Azerbaijan,728,198,104,13,30,29,18,42,6,16,7,10,19,15,33,,9,6,5,9.0,11,,,4,4.0,6.0,,,,,,,,4.0,4.0,,12.0,,,,4.0,,,,,,,,,,,Azerbaijan,AZE
Bahamas,668,27,4,293,7,10,,9,12,6,56,,6,,,3,4,4,22,3.0,,26,,,4.0,,,,,,5.0,,,3.0,,,,,3.0,4.0,,10.0,,,,,,,,3.0,,Bahamas,BHS
Bahrain,119,21,8,3,15,8,4,9,4,7,3,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bahrain,BHR
Bangladesh,"16,707","9,323",583,387,802,151,81,224,328,219,451,18,596,49,60,86,86,831,108,58.0,36,60,31,25,68.0,31.0,50,3,4,35,15.0,59.0,16,109.0,,25.0,19.0,116.0,25.0,62.0,14.0,10.0,3,11.0,,4,3,,5.0,15.0,19.0,Bangladesh,BGD
Barbados,455,214,5,31,18,,4,9,,14,9,,17,,,,3,,5,,,8,,,5.0,,3,,,,3.0,,,,,,,6.0,,5.0,,,,,,,,,,,,Barbados,BRB
Belarus,"1,964",463,56,76,59,115,66,11,12,91,43,22,80,46,82,7,10,10,20,41.0,39,4,8,30,22.0,25.0,5,,5,,8.0,6.0,3,31.0,8.0,6.0,,8.0,3.0,7.0,8.0,8.0,,6.0,,3,,,,12.0,14.0,Belarus,BLR
Belgium,567,123,32,27,30,8,20,18,7,18,20,7,6,23,8,,5,6,11,6.0,5,,,3,5.0,5.0,,,,,4.0,,4,3.0,,,3.0,,,7.0,,4.0,,,,,,,,,3.0,Belgium,BEL
Belize,905,170,246,44,4,118,11,56,16,,14,5,7,3,4,19,5,,5,5.0,,,9,,6.0,8.0,7,,,3,,,,,,,,,4.0,,,3.0,,,,,,,,,,Belize,BLZ
Benin,462,45,3,6,83,40,,7,8,7,29,,30,,,,4,5,,5.0,4,,,,10.0,,5,,,,6.0,,,,,,,,14.0,6.0,,,,,,,,,,,,Benin,BEN
Bermuda,71,9,,6,,,,,3,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bermuda,BMU
Bhutan,"10,137",77,,,116,267,157,364,513,77,621,25,115,7,358,,282,,,96.0,397,,48,22,154.0,98.0,98,,,197,133.0,122.0,44,,266.0,240.0,71.0,10.0,,50.0,131.0,107.0,,97.0,243,,,,,,128.0,Bhutan,BTN
Bolivia,"2,173",189,147,206,772,41,24,67,15,40,21,17,8,14,8,12,10,,18,5.0,11,8,10,4,13.0,10.0,8,,,7,4.0,3.0,80,6.0,27.0,,,3.0,,6.0,5.0,7.0,,,,,,5,3.0,,3.0,Bolivia,BOL
Bosnia and Herzegovina,878,50,16,8,11,71,19,15,24,17,30,4,8,13,13,,24,20,8,11.0,10,27,12,4,11.0,12.0,,,,3,9.0,,,4.0,29.0,3.0,3.0,12.0,3.0,,61.0,16.0,,,,,,,,8.0,6.0,Bosnia and Herzegovina,BIH
Botswana,76,9,,,9,,,,4,,8,,,,,,,,5,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Botswana,BWA
Brazil,"11,763","1,638",448,"1,834",292,159,311,204,225,"1,342",472,189,146,76,89,50,77,57,386,53.0,68,160,69,36,62.0,28.0,63,6,34,26,59.0,20.0,140,266.0,124.0,13.0,19.0,38.0,32.0,18.0,33.0,45.0,3,196.0,9,23,4,14,6.0,20.0,24.0,Brazil,BRA
"Virgin Islands, British",37,11,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,"Virgin Islands, British",VGB
