Country,Total,"New York-Northern New Jersey-Long Island, NY-NJ-PA","Los Angeles-Long Beach-Santa Ana, CA","Miami-Fort Lauderdale-Pompano Beach, FL","Washington-Arlington-Alexandria, DC-VA-MD-WV","Chicago-Joliet-Naperville, IL-IN-WI","Houston-Sugar Land-Baytown, TX","San Francisco-Oakland-Fremont, CA","Dallas-Fort Worth-Arlington, TX","Boston-Cambridge-Quincy, MA-NH","Atlanta-Sandy Springs-Marietta, GA","San Diego-Carlsbad-San Marcos, CA","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","Seattle-Tacoma-Bellevue, WA","San Jose-Sunnyvale-Santa Clara, CA","Riverside-San Bernardino-Ontario, CA","Phoenix-Mesa-Glendale, AZ","Detroit-Warren-Livonia, MI","Minneapolis-St. Paul-Bloomington, MN-WI","Orlando-Kissimmee-Sanford, FL","Denver-Aurora-Broomfield, CO","Las Vegas-Paradise, NV","Tampa-St. Petersburg-Clearwater, FL","Baltimore-Towson, MD","Sacramento--Arden-Arcade--Roseville, CA","Portland-Vancouver-Hillsboro, OR-WA","Austin-Round Rock-San Marcos, TX","San Antonio-New Braunfels, TX","El Paso, TX","Charlotte-Gastonia-Rock Hill, NC-SC","Columbus, OH","Honolulu, HI","Providence-New Bedford-Fall River, RI-MA","Bridgeport-Stamford-Norwalk, CT","Indianapolis-Carmel, IN","Nashville-Davidson--Murfreesboro--Franklin, TN","Hartford-West Hartford-East Hartford, CT","Kansas City, MO-KS","Salt Lake City, UT","Raleigh-Cary, NC","McAllen-Edinburg-Mission, TX","St. Louis, MO-IL","Jacksonville, FL","Worcester, MA","Cleveland-Elyria-Mentor, OH","Buffalo-Niagara Falls, NY","Stockton, CA","Tucson, AZ","Fresno, CA","San Juan-Caguas-Guaynabo, PR","Oxnard-Thousand Oaks-Ventura, CA",NAME_LONG,ISO_A3
Afghanistan,"1,617",150,97,5,234,15,17,218,19,11,61,78,18,23,35,22,25,8,9.0,,21,14,,13.0,75,17.0,11,,,,,,,4.0,,6.0,5.0,,13.0,9.0,,18.0,12.0,,6.0,,24.0,9,,,9,Afghanistan,AFG
Albania,"3,364","1,034",12,24,44,171,23,5,26,291,8,8,208,15,7,5,21,418,6.0,23,,9,90,8.0,,10.0,,,,3.0,10.0,,5,31.0,,13.0,71.0,,,3.0,,27.0,112.0,105.0,39.0,,,,,,8,Albania,ALB
Algeria,"1,369",267,43,23,71,79,35,94,8,92,21,11,133,14,12,4,3,19,9.0,9,28,3,17,7.0,14,,13,10,,9.0,34.0,,6,,10,,9.0,23.0,,15.0,,5.0,,9.0,6.0,,,,,,,Algeria,DZA
Angola,187,20,4,8,7,,16,,6,39,4,,3,,,,3,,,,,,,,,,,,,9.0,,,12,,,,,,,4.0,,,,,,5.0,,,,,,Angola,AGO
Anguilla,23,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,Anguilla,AIA
Antigua and Barbuda,337,168,,28,4,,4,,,5,9,,3,,,,,,,11,,,4,,,,,,,,3.0,,3,,,,,,,,,,,,,,,,,,,Antigua and Barbuda,ATG
Argentina,"4,359",584,302,"1,319",193,72,165,50,88,48,92,36,45,32,27,45,18,20,20.0,86,14,25,55,15.0,13,16.0,16,,9,12.0,7.0,,8,45.0,5,12.0,14.0,9.0,66.0,11.0,4,17.0,11.0,9.0,8.0,3.0,3.0,8,4,25,9,Argentina,ARG
Armenia,"2,681",205,"1,797",14,31,21,3,36,17,56,8,10,20,55,22,19,5,12,4.0,9,6,33,5,4.0,53,5.0,,,,6.0,5.0,,5,4.0,5,3.0,4.0,,13.0,,,3.0,,,8.0,,,,24,,9,Armenia,ARM
Aruba,54,13,,11,,,3,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aruba,ABW
Australia,"2,414",349,301,44,61,61,75,115,35,55,36,44,40,101,42,25,44,14,10.0,11,35,35,15,14.0,28,32.0,17,6,,7.0,5.0,34,6,18.0,5,20.0,10.0,14.0,26.0,5.0,,8.0,13.0,7.0,3.0,5.0,,,,,11,Australia,AUS
