Country,Total,"New York-Northern New Jersey-Long Island, NY-NJ-PA","Los Angeles-Long Beach-Santa Ana, CA","Miami-Fort Lauderdale-Pompano Beach, FL","Washington-Arlington-Alexandria, DC-VA-MD-WV","Chicago-Joliet-Naperville, IL-IN-WI","Houston-Sugar Land-Baytown, TX","San Francisco-Oakland-Fremont, CA","Dallas-Fort Worth-Arlington, TX","Boston-Cambridge-Quincy, MA-NH","Atlanta-Sandy Springs-Marietta, GA","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","Seattle-Tacoma-Bellevue, WA","San Jose-Sunnyvale-Santa Clara, CA","San Diego-Carlsbad-San Marcos, CA","Riverside-San Bernardino-Ontario, CA","Detroit-Warren-Livonia, MI","Phoenix-Mesa-Glendale, AZ","Minneapolis-St. Paul-Bloomington, MN-WI","Orlando-Kissimmee-Sanford, FL","Baltimore-Towson, MD","Las Vegas-Paradise, NV","Tampa-St. Petersburg-Clearwater, FL","Sacramento--Arden-Arcade--Roseville, CA","Denver-Aurora-Broomfield, CO","Austin-Round Rock-San Marcos, TX","Portland-Vancouver-Hillsboro, OR-WA","El Paso, TX","San Antonio-New Braunfels, TX","Charlotte-Gastonia-Rock Hill, NC-SC","Columbus, OH","Honolulu, HI","Bridgeport-Stamford-Norwalk, CT","Nashville-Davidson--Murfreesboro--Franklin, TN","Providence-New Bedford-Fall River, RI-MA","Indianapolis-Carmel, IN","Raleigh-Cary, NC","Kansas City, MO-KS","Salt Lake City, UT","Hartford-West Hartford-East Hartford, CT","McAllen-Edinburg-Mission, TX","St. Louis, MO-IL","Jacksonville, FL","Cleveland-Elyria-Mentor, OH","Fresno, CA","Worcester, MA","Oxnard-Thousand Oaks-Ventura, CA","Cincinnati-Middletown, OH-KY-IN","San Juan-Caguas-Guaynabo, PR","Milwaukee-Waukesha-West Allis, WI","Pittsburgh, PA",NAME_LONG,ISO_A3
Afghanistan,"2,196",233,126,,385,35,57,235,51,7,58,21,42,29,113,33,5,34,9.0,,8.0,6,8,98,11,6,24.0,,20,6.0,3.0,,,9.0,,9.0,6.0,4.0,8.0,,,24.0,15.0,18.0,,,3,,,,,Afghanistan,AFG
Albania,"3,186",897,38,26,46,193,18,7,35,243,10,217,13,,22,12,460,25,9.0,13,5.0,15,105,5,,,,,,,9.0,,19.0,9.0,3.0,,,5.0,,69.0,,39.0,89.0,39.0,,101.0,5,,3,27.0,,Albania,ALB
Algeria,"1,241",210,46,23,55,65,50,112,14,70,25,129,23,11,9,4,16,5,11.0,9,5.0,,,11,29,19,4.0,,7,,38.0,,,,5.0,11.0,6.0,33.0,,16.0,,,,6.0,,,,,,3.0,10.0,Algeria,DZA
Andorra,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Andorra,AND
Angola,143,12,,7,7,3,8,,,35,3,,,,,,,,,,,,,,,,,,,4.0,,,,,12.0,,,,,,,,,,,,,,,,,Angola,AGO
Anguilla,22,6,,3,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anguilla,AIA
Antigua and Barbuda,344,169,,28,4,,,,,8,11,5,,,,,,,,9,4.0,6,3,,,,,,,4.0,,,4.0,,,,,,,,,,4.0,,,,,,,,,Antigua and Barbuda,ATG
Argentina,"4,372",552,283,"1,321",176,77,179,58,80,60,63,73,42,20,47,39,12,24,32.0,80,21.0,64,49,16,20,24,13.0,7,9,27.0,10.0,9,30.0,10.0,11.0,8.0,9.0,7.0,36.0,8.0,5,14.0,12.0,12.0,3,4.0,10,3.0,23,8.0,7.0,Argentina,ARG
Armenia,"2,722",161,"1,891",12,32,12,8,45,6,46,7,14,31,28,5,13,6,23,4.0,10,3.0,61,,58,5,,5.0,,,,,,,,3.0,,,,12.0,,,,,15.0,33,,6,,,,,Armenia,ARM
Aruba,45,7,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aruba,ABW
