Country,Total,"New York-Newark-Jersey City, NY-NJ-PA","Los Angeles-Long Beach-Anaheim, CA","Miami-Fort Lauderdale-West Palm Beach, FL","Washington-Arlington-Alexandria, DC-VA-MD-WV","Houston-The Woodlands-Sugar Land, TX","Chicago-Naperville-Elgin, IL-IN-WI","San Francisco-Oakland-Hayward, CA","Dallas-Fort Worth-Arlington, TX","Boston-Cambridge-Newton, MA-NH","Atlanta-Sandy Springs-Roswell, GA","San Jose-Sunnyvale-Santa Clara, CA","San Diego-Carlsbad, CA","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","Seattle-Tacoma-Bellevue, WA","Riverside-San Bernardino-Ontario, CA","Detroit-Warren-Dearborn, MI","Phoenix-Mesa-Scottsdale, AZ","Minneapolis-Saint Paul-Bloomington, MN-WI","Orlando-Kissimmee-Sanford, FL","Tampa-Saint Petersburg-Clearwater, FL","Sacramento--Roseville--Arden-Arcade, CA","Las Vegas-Henderson-Paradise, NV","Baltimore-Columbia-Towson, MD","Denver-Aurora-Lakewood, CO","Portland-Vancouver-Hillsboro, OR-WA","Austin-Round Rock, TX","Charlotte-Concord-Gastonia, NC-SC","San Antonio-New Braunfels, TX","Columbus, OH","Nashville-Davidson--Murfreesboro--Franklin, TN","Bridgeport-Stamford-Norwalk, CT","El Paso, TX","Urban Honolulu, HI","Indianapolis-Carmel-Anderson, IN","Providence-Warwick, RI-MA","Raleigh, NC","Salt Lake City, UT","Kansas City, MO-KS","Hartford-West Hartford-East Hartford, CT","Saint Louis, MO-IL","Jacksonville, FL","Louisville/Jefferson County, KY-IN","Cleveland-Elyria, OH","McAllen-Edinburg-Mission, TX","Cincinnati, OH-KY-IN","Worcester, MA-CT","Stockton-Lodi, CA","Fresno, CA","Virginia Beach-Norfolk-Newport News, VA-NC","Milwaukee-Waukesha-West Allis, WI",NAME_LONG,ISO_A3
Afghanistan,"10,527",454,428,18,"1,661",350,98,890,454,94,209,94,379,77,276,178,24,125,32,17.0,50,939,62,97.0,71,97.0,76,33.0,115,31.0,60.0,5.0,15,21,24.0,4.0,69.0,66.0,27.0,11.0,62.0,76.0,35.0,48.0,,15.0,7.0,195.0,,139.0,,Afghanistan,AFG
Albania,"3,828","1,110",13,32,75,41,212,18,25,364,16,8,11,270,16,11,420,22,,15.0,136,4,28,23.0,3,,5,4.0,10,10.0,13.0,31.0,,3,,6.0,11.0,,5.0,47.0,46.0,113.0,,61.0,,,113.0,,,,41.0,Albania,ALB
Algeria,"1,669",275,32,22,62,48,130,223,33,91,20,7,12,156,18,5,10,4,18,6.0,7,6,,9.0,38,,32,3.0,19,46.0,3.0,,3,,18.0,6.0,10.0,,40.0,4.0,3.0,,14.0,,,6.0,5.0,,,3.0,5.0,Algeria,DZA
Angola,148,14,,5,3,9,,,6,31,,,,,,,,,,4.0,,,,,,,,,,,,,,,,10.0,4.0,4.0,,,,,,,,,,,,,,Angola,AGO
Anguilla,20,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anguilla,AIA
Antigua and Barbuda,369,184,4,16,4,3,,,8,5,24,,3,10,,,,,,20.0,3,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,5.0,,Antigua and Barbuda,ATG
Argentina,"3,874",512,262,"1,186",157,155,61,67,91,52,68,29,38,60,21,31,14,11,21,66.0,29,8,37,8.0,14,17.0,18,14.0,9,14.0,4.0,27.0,6,3,15.0,8.0,11.0,48.0,10.0,14.0,18.0,6.0,3.0,8.0,4,9.0,5.0,,,3.0,8.0,Argentina,ARG
Armenia,"2,913",200,"2,031",15,44,7,18,33,19,61,3,35,11,23,15,5,16,9,4,8.0,5,37,59,10.0,6,4.0,3,7.0,,3.0,,,,,,,,11.0,,6.0,3.0,,,14.0,,5.0,,,40,,,Armenia,ARM
Aruba,40,6,,7,,,3,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aruba,ABW
Australia,"2,809",492,382,50,64,67,83,138,67,54,40,55,64,29,109,17,24,27,21,19.0,15,31,12,14.0,31,35.0,31,12.0,9,6.0,27.0,18.0,,27,9.0,6.0,5.0,20.0,13.0,9.0,18.0,6.0,4.0,7.0,,11.0,8.0,,,3.0,11.0,Australia,AUS
Austria,438,76,53,24,21,7,8,31,5,9,10,13,8,4,11,4,10,7,,4.0,4,,,3.0,6,3.0,,4.0,,,,,,,,,,,,,3.0,,,,,,,,,,,Austria,AUT
Azerbaijan,672,152,100,10,47,43,25,20,5,19,9,19,5,12,24,,5,4,3,4.0,,6,,11.0,3,5.0,,,4,5.0,,3.0,,,,,,3.0,11.0,,4.0,,,,,,,,,,,Azerbaijan,AZE
Bahamas,654,27,4,247,15,15,11,3,9,,35,,,7,,,6,,6,41.0,19,,,,,,,4.0,,,,,,,4.0,,6.0,,,3.0,,10.0,,,,,,,,,,Bahamas,BHS
Bahrain,122,14,5,,3,9,6,5,8,,4,,,6,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,Bahrain,BHR
Bangladesh,"14,645","8,038",516,369,620,196,120,81,435,246,341,73,33,458,67,70,823,78,35,105.0,39,22,11,78.0,20,28.0,31,8.0,16,46.0,31.0,123.0,,4,13.0,25.0,34.0,9.0,11.0,63.0,12.0,16.0,,5.0,,12.0,12.0,,,12.0,7.0,Bangladesh,BGD
Barbados,384,207,,28,16,7,3,,,19,8,,3,13,,,,,,3.0,4,,,,,,5,,,,,,,,5.0,,,,,3.0,,4.0,,,,,,,,,,Barbados,BRB
Belarus,"2,015",559,97,89,50,19,140,73,23,60,20,51,20,99,61,,16,12,56,15.0,11,34,12,19.0,42,6.0,8,27.0,,7.0,4.0,7.0,,3,,10.0,11.0,3.0,4.0,13.0,4.0,,,4.0,,8.0,,,,9.0,5.0,Belarus,BLR
Belgium,632,96,48,36,40,29,9,36,4,21,20,17,8,14,7,4,,6,4,4.0,,,3,7.0,4,5.0,7,7.0,,,5.0,6.0,,,,4.0,,3.0,4.0,,5.0,3.0,,4.0,,6.0,,,,,,Belgium,BEL
