Country,Total,"New York-Newark-Jersey City, NY-NJ-PA","Los Angeles-Long Beach-Anaheim, CA","Miami-Fort Lauderdale-West Palm Beach, FL","Washington-Arlington-Alexandria, DC-VA-MD-WV","Chicago-Naperville-Elgin, IL-IN-WI","Houston-The Woodlands-Sugar Land, TX","San Francisco-Oakland-Hayward, CA","Dallas-Fort Worth-Arlington, TX","Boston-Cambridge-Newton, MA-NH","Atlanta-Sandy Springs-Roswell, GA","San Jose-Sunnyvale-Santa Clara, CA","Seattle-Tacoma-Bellevue, WA","San Diego-Carlsbad, CA","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","Riverside-San Bernardino-Ontario, CA","Phoenix-Mesa-Scottsdale, AZ","Detroit-Warren-Dearborn, MI","Minneapolis-Saint Paul-Bloomington, MN-WI","Tampa-Saint Petersburg-Clearwater, FL","Orlando-Kissimmee-Sanford, FL","Las Vegas-Henderson-Paradise, NV","Sacramento--Roseville--Arden-Arcade, CA","Denver-Aurora-Lakewood, CO","Baltimore-Columbia-Towson, MD","Portland-Vancouver-Hillsboro, OR-WA","Austin-Round Rock, TX","Columbus, OH","Charlotte-Concord-Gastonia, NC-SC","San Antonio-New Braunfels, TX","El Paso, TX","Nashville-Davidson--Murfreesboro--Franklin, TN","Urban Honolulu, HI","Providence-Warwick, RI-MA","Salt Lake City, UT","Indianapolis-Carmel-Anderson, IN","Bridgeport-Stamford-Norwalk, CT","Raleigh, NC","Kansas City, MO-KS","Hartford-West Hartford-East Hartford, CT","Jacksonville, FL","Fresno, CA","Saint Louis, MO-IL","Cincinnati, OH-KY-IN","Stockton-Lodi, CA","Cleveland-Elyria, OH","Milwaukee-Waukesha-West Allis, WI","Louisville/Jefferson County, KY-IN","McAllen-Edinburg-Mission, TX","San Juan-Carolina-Caguas, PR","Worcester, MA-CT",NAME_LONG,ISO_A3
Afghanistan,"8,328",316,305,21,"1,199",62,424,579,387,38,201,84,246,349,96,75,141,8,37,34,13,65,891,125,72.0,84,147,35.0,13.0,137,9,40.0,,3,35,20,,41.0,28.0,17.0,83.0,9,54.0,,104,17.0,,28.0,,,5.0,Afghanistan,AFG
Albania,"4,653","1,229",27,31,61,244,48,10,46,427,13,,27,14,352,3,37,532,10,190,24,28,,,24.0,7,6,39.0,3.0,3,,9.0,,4,7,,48.0,,4.0,108.0,138.0,,56.0,3.0,,74.0,51.0,,,,156.0,Albania,ALB
Algeria,"1,775",277,55,23,86,99,66,176,23,101,27,8,15,8,217,6,11,6,7,6,8,,6,35,,7,22,88.0,,22,,,,,,21,6.0,10.0,56.0,15.0,3.0,,4.0,3.0,,7.0,9.0,4.0,,,4.0,Algeria,DZA
Andorra,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Andorra,AND
Angola,154,8,,13,4,,16,3,12,18,4,,,,3,,,,,,3,,,,3.0,,,4.0,,,,,,8,,,,,,,,,,,,,,,,,,Angola,AGO
Anguilla,22,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anguilla,AIA
Antigua and Barbuda,290,131,,28,,,,,,,18,,,,4,,,,,4,11,,,,,,3,,,,,,,3,,,3.0,,,,,,,,,,,,,3,,Antigua and Barbuda,ATG
Argentina,"3,730",430,241,"1,134",115,83,133,73,60,49,62,86,25,29,30,47,17,17,13,38,70,24,19,11,15.0,18,16,10.0,33.0,14,3,8.0,4,8,41,15,21.0,15.0,,9.0,15.0,,23.0,7.0,3,9.0,17.0,3.0,4,24,4.0,Argentina,ARG
Armenia,"2,962",206,"2,047",10,62,22,4,45,18,51,8,27,35,15,25,9,6,5,5,,3,45,55,27,,4,,,,7,,3.0,,10,9,,,,,7.0,4.0,42,3.0,,,7.0,,,,,,Armenia,ARM
Aruba,38,11,,7,,,,,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aruba,ABW
Australia,"3,034",365,407,66,60,80,68,189,66,54,38,83,148,55,37,29,32,14,38,24,29,31,19,57,14.0,48,18,13.0,18.0,7,,23.0,17,6,38,14,20.0,7.0,7.0,5.0,6.0,,10.0,9.0,4,5.0,5.0,6.0,,,5.0,Australia,AUS
Austria,474,65,55,21,18,15,8,31,14,12,10,22,9,6,7,8,3,,3,9,6,,3,4,,,10,,3.0,,,,,,4,,5.0,,,3.0,4.0,,,4.0,,,,,,,,Austria,AUT
Azerbaijan,676,118,97,11,44,22,42,24,17,24,11,16,26,13,15,,5,5,7,,5,8,,5,14.0,6,,3.0,,,,,,,,,5.0,,5.0,3.0,7.0,,4.0,,,,,,,,,Azerbaijan,AZE
Bahamas,725,41,4,277,12,,22,7,11,6,52,,3,,9,,,3,,24,46,,,,,,3,,13.0,,,,,,,,,6.0,,,18.0,,,,,,,3.0,,,,Bahamas,BHS
Bahrain,145,18,7,3,5,5,4,8,13,4,3,5,6,3,,,6,5,,,,,,,,,,,,,,,,,,,,3.0,,,3.0,,,,,,,,,,,Bahrain,BHR
Bangladesh,"13,570","7,540",385,260,648,91,209,93,308,154,312,62,55,21,474,91,49,649,53,44,88,5,29,26,75.0,33,49,37.0,7.0,19,,27.0,,22,4,25,116.0,52.0,24.0,68.0,11.0,4,24.0,10.0,5,11.0,15.0,,,,12.0,Bangladesh,BGD
Barbados,376,166,4,20,20,4,9,,,29,18,,,,11,,,,,3,,,,,3.0,,,,3.0,,,,,,,,,3.0,,,,,,,,,,,,,,Barbados,BRB
Belarus,"1,994",478,67,96,60,130,22,100,19,73,20,113,56,14,116,,10,13,28,11,21,12,37,28,15.0,9,11,3.0,13.0,7,,5.0,3,4,8,7,19.0,14.0,,4.0,5.0,,11.0,,,5.0,7.0,3.0,,,,Belarus,BLR
Belgium,662,79,61,40,43,14,10,50,13,18,18,24,22,20,7,,8,3,4,7,13,,11,,8.0,5,8,,3.0,,,3.0,,,,,,,3.0,,,,8.0,11.0,,,6.0,,,,,Belgium,BEL
Belize,772,122,206,31,4,83,49,13,18,,8,,7,5,11,27,5,,,7,7,5,,3,,4,,,,6,,5.0,3,,,,,,,,,,4.0,,,3.0,,3.0,3,,,Belize,BLZ
Benin,466,70,4,,67,25,9,,5,,24,,3,5,24,,3,,7,,,4,,7,11.0,3,,4.0,9.0,,,,,,,25,,,,,,,,,,,5.0,,,,,Benin,BEN
Bermuda,112,4,,3,,,5,,7,3,20,,,,,,,,,,6,,,,5.0,,,3.0,,,,,,,,,,3.0,,,,,,,,,,,,,,Bermuda,BMU
