Country,Total,"New York-Newark-Jersey City, NY-NJ-PA","Los Angeles-Long Beach-Anaheim, CA","Miami-Fort Lauderdale-West Palm Beach, FL","Washington-Arlington-Alexandria, DC-VA-MD-WV","Chicago-Naperville-Elgin, IL-IN-WI","Houston-The Woodlands-Sugar Land, TX","San Francisco-Oakland-Hayward, CA","Dallas-Fort Worth-Arlington, TX","Boston-Cambridge-Newton, MA-NH","Atlanta-Sandy Springs-Roswell, GA","Seattle-Tacoma-Bellevue, WA","San Jose-Sunnyvale-Santa Clara, CA","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","San Diego-Carlsbad, CA","Riverside-San Bernardino-Ontario, CA","Detroit-Warren-Dearborn, MI","Phoenix-Mesa-Scottsdale, AZ","Orlando-Kissimmee-Sanford, FL","Minneapolis-Saint Paul-Bloomington, MN-WI","Tampa-Saint Petersburg-Clearwater, FL","Sacramento--Roseville--Arden-Arcade, CA","Las Vegas-Henderson-Paradise, NV","Denver-Aurora-Lakewood, CO","Baltimore-Columbia-Towson, MD","Portland-Vancouver-Hillsboro, OR-WA","Austin-Round Rock, TX","Charlotte-Concord-Gastonia, NC-SC","San Antonio-New Braunfels, TX","Columbus, OH","Providence-Warwick, RI-MA","Indianapolis-Carmel-Anderson, IN","Nashville-Davidson--Murfreesboro--Franklin, TN","El Paso, TX","Bridgeport-Stamford-Norwalk, CT","Urban Honolulu, HI","Raleigh, NC","Salt Lake City, UT","Kansas City, MO-KS","Jacksonville, FL","Louisville/Jefferson County, KY-IN","Cincinnati, OH-KY-IN","Hartford-West Hartford-East Hartford, CT","Stockton-Lodi, CA","Fresno, CA","Worcester, MA-CT","Cleveland-Elyria, OH","Bakersfield, CA","McAllen-Edinburg-Mission, TX","Cape Coral-Fort Myers, FL","San Juan-Carolina-Caguas, PR",NAME_LONG,ISO_A3
Afghanistan,"12,513",329,507,9,"1,648",98,558,780,490,51,197,446,170,106,503,89,81,155,5,55,41,"2,022",95,175,76.0,154,153,11.0,181,22.0,15,30,45.0,8,,,42.0,55,23.0,93.0,56,11.0,17.0,172,4,3.0,41.0,,,5,,Afghanistan,AFG
Albania,"5,773","1,681",49,64,94,293,42,12,49,497,20,18,,386,13,12,711,36,29,6,200,,31,9,21.0,8,13,10.0,,35.0,9,11,7.0,,38.0,,11.0,5,5.0,179.0,,,102.0,,3,183.0,92.0,,,16,,Albania,ALB
Algeria,"2,180",400,37,31,108,147,59,152,31,84,29,20,8,241,8,8,13,4,8,17,6,21,6,52,8.0,4,37,3.0,28,127.0,3,39,4.0,,,,12.0,,79.0,,15,8.0,14.0,,3,3.0,6.0,,,,,Algeria,DZA
Andorra,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Andorra,AND
Angola,198,15,,8,9,,31,,9,27,4,,,6,,,,,,,3,,,,,,,,,,16,,,,,,3.0,,,,,,,,,,,,,,,Angola,AGO
Anguilla,20,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anguilla,AIA
Antigua and Barbuda,324,165,,12,8,,,,3,9,18,,,4,,,,,9,5,4,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,3,Antigua and Barbuda,ATG
Argentina,"4,091",544,262,"1,218",130,54,172,99,93,56,78,37,58,44,30,38,13,27,75,6,37,16,28,29,14.0,41,16,13.0,16,10.0,6,7,7.0,5,25.0,3,12.0,45,10.0,16.0,,7.0,7.0,3,,10.0,4.0,8,4,15,30,Argentina,ARG
Armenia,"3,543",217,"2,466",12,61,16,7,48,9,62,17,21,25,28,14,5,16,9,5,,7,106,63,11,8.0,7,6,4.0,,7.0,12,,4.0,,3.0,4,,23,3.0,,,7.0,3.0,,41,5.0,4.0,3,,,,Armenia,ARM
Aruba,23,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aruba,ABW
Australia,"3,239",482,432,56,55,99,80,184,59,75,47,134,62,30,73,16,22,43,28,23,20,20,26,48,22.0,46,31,24.0,13,9.0,6,6,27.0,,24.0,31,9.0,28,16.0,19.0,5,19.0,4.0,,4,8.0,8.0,,,,,Australia,AUS
Austria,432,69,40,24,12,14,12,21,8,14,9,6,13,5,4,6,4,4,4,4,3,,,,4.0,5,,8.0,,3.0,,3,,,4.0,4,4.0,,,,,,,,,,,,,6,,Austria,AUT
Azerbaijan,784,179,139,21,53,30,38,26,10,21,3,20,16,12,5,,3,,10,,,7,24,,10.0,6,,3.0,,4.0,,,,,,,6.0,,4.0,,,6.0,,,,,4.0,,,,,Azerbaijan,AZE
