Country,Total,"New York-Newark-Jersey City, NY-NJ-PA","Los Angeles-Long Beach-Anaheim, CA","Miami-Fort Lauderdale-West Palm Beach, FL","Washington-Arlington-Alexandria, DC-VA-MD-WV","Houston-The Woodlands-Sugar Land, TX","Chicago-Naperville-Elgin, IL-IN-WI","San Francisco-Oakland-Hayward, CA","Dallas-Fort Worth-Arlington, TX","Boston-Cambridge-Newton, MA-NH","Atlanta-Sandy Springs-Roswell, GA","Seattle-Tacoma-Bellevue, WA","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","San Jose-Sunnyvale-Santa Clara, CA","San Diego-Carlsbad, CA","Riverside-San Bernardino-Ontario, CA","Phoenix-Mesa-Scottsdale, AZ","Tampa-Saint Petersburg-Clearwater, FL","Minneapolis-Saint Paul-Bloomington, MN-WI","Sacramento--Roseville--Arden-Arcade, CA","Orlando-Kissimmee-Sanford, FL","Detroit-Warren-Dearborn, MI","Las Vegas-Henderson-Paradise, NV","Denver-Aurora-Lakewood, CO","Baltimore-Columbia-Towson, MD","Austin-Round Rock, TX","Portland-Vancouver-Hillsboro, OR-WA","Charlotte-Concord-Gastonia, NC-SC","Columbus, OH","San Antonio-New Braunfels, TX","Indianapolis-Carmel-Anderson, IN","Providence-Warwick, RI-MA","Nashville-Davidson--Murfreesboro--Franklin, TN","Raleigh, NC","Kansas City, MO-KS","Louisville/Jefferson County, KY-IN","Bridgeport-Stamford-Norwalk, CT","El Paso, TX","Jacksonville, FL","Urban Honolulu, HI","Salt Lake City, UT","Cincinnati, OH-KY-IN","Hartford-West Hartford-East Hartford, CT","Saint Louis, MO-IL","Worcester, MA-CT","Stockton-Lodi, CA","Fresno, CA","Milwaukee-Waukesha-West Allis, WI","Cleveland-Elyria, OH","Cape Coral-Fort Myers, FL","San Juan-Carolina-Caguas, PR",NAME_LONG,ISO_A3
Afghanistan,"19,538",475,749,18,"2,962",700,174,"1,113",925,123,288,851,172,191,712,167,214,29,65,"3,933",10,53,106,279,95.0,315,155,16,45.0,378,25,10,54.0,79.0,97.0,51,12.0,4,99.0,8,67,7.0,41.0,129.0,12.0,191,13,17.0,84.0,,,Afghanistan,AFG
Albania,"5,722","1,584",30,50,73,57,352,26,45,522,25,28,432,7,12,7,57,167,13,8,17,699,16,,26.0,6,10,10,34.0,4,6,6,16.0,15.0,6.0,,32.0,,151.0,,,,103.0,63.0,170.0,,,77.0,94.0,13,,Albania,ALB
Algeria,"2,139",354,37,24,66,83,138,140,23,105,38,20,215,13,6,6,8,5,3,14,8,25,4,41,3.0,57,5,5,129.0,35,36,,5.0,14.0,102.0,8,,,,,,17.0,28.0,,11.0,,,5.0,7.0,,,Algeria,DZA
Angola,209,12,,7,19,27,3,,15,30,4,,3,,,,5,,,,,,,,3.0,,3,,,,,20,,,,,,,,,,,,,,,,,,,,Angola,AGO
Anguilla,23,4,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anguilla,AIA
Antigua and Barbuda,322,129,,29,13,,,,3,12,13,,12,,,,,3,,,5,,4,,,,5,,,,,4,,,,,3.0,,3.0,,,,,,,,,,,,,Antigua and Barbuda,ATG
Argentina,"3,482",475,209,963,116,165,84,86,97,51,27,25,45,35,35,49,14,41,16,9,63,12,51,18,18.0,15,36,12,13.0,8,10,12,,9.0,8.0,,22.0,4,15.0,,33,5.0,12.0,12.0,4.0,6,,6.0,6.0,13,20,Argentina,ARG
Armenia,"3,437",208,"2,484",18,42,6,23,29,9,68,3,15,25,19,8,22,9,7,3,66,6,9,52,41,3.0,13,7,3,10.0,,,5,3.0,,,,,,,,14,6.0,,3.0,3.0,,63,3.0,6.0,,,Armenia,ARM
Aruba,47,12,3,4,,,,,,4,,,,,,,,3,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,Aruba,ABW
Australia,"2,906",414,355,44,79,97,61,173,68,58,37,162,43,57,77,26,36,19,28,20,16,19,35,59,15.0,52,43,22,4.0,12,5,4,25.0,6.0,7.0,5,19.0,,14.0,22,27,10.0,7.0,17.0,,4,,3.0,10.0,,,Australia,AUS
Austria,387,53,33,12,21,8,15,35,14,23,7,11,3,12,5,4,5,6,,,5,7,6,7,3.0,,,3,,,,,,3.0,,,,3,,,,,,,,,,,,,,Austria,AUT
Azerbaijan,881,179,117,14,53,88,31,32,6,37,14,30,17,22,11,3,,,,3,4,4,6,7,11.0,,3,8,4.0,,,11,,,5.0,,,,,,,,12.0,3.0,,,,5.0,4.0,,,Azerbaijan,AZE
Bahamas,725,48,4,265,11,17,3,3,20,8,41,,13,,,3,,19,,,40,4,5,,8.0,,,7,,3,,,3.0,5.0,,,,,7.0,,,,,,,,,,,10,,Bahamas,BHS
Bahrain,130,17,3,,8,6,7,5,10,7,,3,4,,,,3,3,,,6,5,,,,5,,,,,,4,,,,,,,,,,,,,,,,,,,,Bahrain,BHR
Bangladesh,"14,693","7,822",534,300,759,169,119,104,334,184,423,73,505,79,38,80,31,44,37,36,80,966,16,14,93.0,48,46,15,33.0,19,34,19,18.0,93.0,43.0,4,84.0,,,,,12.0,60.0,22.0,13.0,10,15,15.0,10.0,19,,Bangladesh,BGD
Barbados,373,165,,20,12,8,3,,3,34,9,,4,,5,,,4,,,9,,,,4.0,,4,,,,,,,,,,,,3.0,,,,,,,,,,3.0,,,Barbados,BRB
Belarus,"1,919",457,95,60,23,15,125,90,20,84,24,55,130,79,16,10,11,15,24,33,14,16,16,47,23.0,16,21,27,6.0,,6,,,6.0,,4,20.0,,15.0,,4,8.0,8.0,5.0,3.0,,,8.0,9.0,,,Belarus,BLR
Belgium,625,78,54,38,35,26,22,36,23,26,13,11,17,22,8,3,4,9,6,4,5,9,3,4,4.0,4,6,5,,,,3,,6.0,,,,,,,,,3.0,4.0,,,,,,,,Belgium,BEL
Belize,746,120,201,23,8,32,71,9,17,6,8,3,10,,4,27,4,7,,,7,,16,3,4.0,3,,4,,3,,,,,,4,3.0,,,,,,,3.0,,,,,,6,,Belize,BLZ
Benin,648,95,6,,90,12,37,4,8,8,28,5,26,,,,,,5,,,5,,12,11.0,,,4,6.0,,28,,,6.0,6.0,3,,,,,,4.0,,5.0,,,,5.0,,,,Benin,BEN
Bermuda,68,7,,6,,,,,,,7,,4,,,,,,,,3,,,,,,,,,,,3,,3.0,,,,,,,,,,,,,,,,,,Bermuda,BMU
Bhutan,"2,940",25,5,,7,18,34,7,79,18,181,29,32,,,,10,,38,,,,4,78,27.0,19,39,89,257.0,20,5,,74.0,,18.0,80,,,,,30,94.0,,38.0,39.0,,,,78.0,,,Bhutan,BTN
Bolivia,"1,510",162,78,120,570,55,25,19,23,26,8,8,,8,12,13,6,16,9,4,12,,4,5,12.0,3,4,4,,,,50,,,5.0,,,,12.0,,7,,4.0,5.0,,,,,,5,,Bolivia,BOL
