Country,Total,"New York-Newark-Jersey City, NY-NJ-PA","Los Angeles-Long Beach-Anaheim, CA","Miami-Fort Lauderdale-Pompano Beach, FL","Houston-The Woodlands-Sugar Land, TX","Chicago-Naperville-Elgin, IL-IN-WI","Washington-Arlington-Alexandria, DC-VA-MD-WV","Dallas-Fort Worth-Arlington, TX","San Francisco-Oakland-Berkeley, CA","Boston-Cambridge-Newton, MA-NH","Atlanta-Sandy Springs-Alpharetta, GA","Seattle-Tacoma-Bellevue, WA","San Jose-Sunnyvale-Santa Clara, CA","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","San Diego-Chula Vista-Carlsbad, CA","Riverside-San Bernardino-Ontario, CA","Orlando-Kissimmee-Sanford, FL","Phoenix-Mesa-Chandler, AZ","Detroit-Warren-Dearborn, MI","Minneapolis-Saint Paul-Bloomington, MN-WI","Sacramento-Roseville-Folsom, CA","Tampa-Saint Petersburg-Clearwater, FL","Las Vegas-Henderson-Paradise, NV","Denver-Aurora-Lakewood, CO","Austin-Round Rock-Georgetown, TX","Baltimore-Columbia-Towson, MD","Portland-Vancouver-Hillsboro, OR-WA","Charlotte-Concord-Gastonia, NC-SC","San Antonio-New Braunfels, TX","Columbus, OH","Nashville-Davidson--Murfreesboro--Franklin, TN","Providence-Warwick, RI-MA","Cincinnati, OH-KY-IN","Indianapolis-Carmel-Anderson, IN","Kansas City, MO-KS","Raleigh-Cary, NC","Salt Lake City, UT","El Paso, TX","Bridgeport-Stamford-Norwalk, CT","Urban Honolulu, HI","Jacksonville, FL","Hartford-East Hartford-Middletown, CT","Milwaukee-Waukesha, WI","Fresno, CA","Louisville/Jefferson County, KY-IN","Saint Louis, MO-IL","Stockton, CA","Cape Coral-Fort Myers, FL","McAllen-Edinburg-Mission, TX","Cleveland-Elyria, OH","Worcester, MA-CT",NAME_LONG,ISO_A3
Afghanistan,"10,136",272,301,8,331,110,"1,504",363,556,43,205,669,53,81,294,73,3,67,16,24,"1,859",4,74,217,180,54.0,93,29.0,339,14.0,46.0,,,7.0,40.0,43.0,46,,10.0,,48.0,21.0,5.0,,21.0,71.0,111.0,,,52.0,,Afghanistan,AFG
Albania,"5,366","1,517",32,44,35,271,69,45,9,461,20,29,13,414,12,5,17,22,721,7,4,200,49,8,6,22.0,5,6.0,16,43.0,12.0,6,5.0,4.0,,,4,,39.0,,202.0,103.0,53.0,,,37.0,,7,,81.0,168.0,Albania,ALB
Algeria,"2,299",387,30,20,84,177,70,55,176,97,25,18,15,267,11,5,10,11,8,7,24,15,4,56,23,14.0,,4.0,32,150.0,,3,3.0,44.0,91.0,21.0,,,,,,14.0,3.0,5,18.0,7.0,3.0,,,10.0,3.0,Algeria,DZA
Andorra,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Andorra,AND
Angola,226,14,,9,39,,14,10,,35,9,5,,6,,,3,,,,,3,3,,,,,3.0,,,,16,,,,,,,,,,,,,,,,,,,,Angola,AGO
Anguilla,14,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anguilla,AIA
Antigua and Barbuda,323,140,,26,6,,5,,,3,14,,,5,,,21,,,8,,6,,,,6.0,,,,,,,,,,,,,5.0,,,,,,3.0,,,,,,,Antigua and Barbuda,ATG
Argentina,"3,925",468,205,"1,216",181,65,142,105,75,39,73,46,27,41,44,38,96,20,24,30,15,42,32,13,14,11.0,16,25.0,11,13.0,7.0,5,3.0,8.0,8.0,20.0,44,6,30.0,,7.0,6.0,6.0,3,4.0,10.0,3.0,14,,5.0,,Argentina,ARG
Armenia,"3,101",120,"2,298",15,6,20,28,8,44,67,,17,19,16,12,8,6,7,9,,68,8,65,11,,4.0,8,3.0,,7.0,,5,9.0,4.0,5.0,,13,,,,,,,40,,,,4,,5.0,4.0,Armenia,ARM
Aruba,52,8,,11,4,,3,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aruba,ABW
