Country,Total,"New York-Newark-Jersey City, NY-NJ-PA","Los Angeles-Long Beach-Anaheim, CA","Miami-Fort Lauderdale-Pompano Beach, FL","San Francisco-Oakland-Berkeley, CA","Houston-The Woodlands-Sugar Land, TX","Chicago-Naperville-Elgin, IL-IN-WI","Washington-Arlington-Alexandria, DC-VA-MD-WV","Dallas-Fort Worth-Arlington, TX","Boston-Cambridge-Newton, MA-NH","Seattle-Tacoma-Bellevue, WA","San Jose-Sunnyvale-Santa Clara, CA","Atlanta-Sandy Springs-Alpharetta, GA","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","Detroit-Warren-Dearborn, MI","Phoenix-Mesa-Chandler, AZ","San Diego-Chula Vista-Carlsbad, CA","Riverside-San Bernardino-Ontario, CA","Orlando-Kissimmee-Sanford, FL","Minneapolis-Saint Paul-Bloomington, MN-WI","Sacramento-Roseville-Folsom, CA","Austin-Round Rock-Georgetown, TX","Denver-Aurora-Lakewood, CO","Tampa-Saint Petersburg-Clearwater, FL","Las Vegas-Henderson-Paradise, NV","Portland-Vancouver-Hillsboro, OR-WA","Baltimore-Columbia-Towson, MD","San Antonio-New Braunfels, TX","Charlotte-Concord-Gastonia, NC-SC","Columbus, OH","Raleigh-Cary, NC","Indianapolis-Carmel-Anderson, IN","Nashville-Davidson--Murfreesboro--Franklin, TN","Kansas City, MO-KS","Salt Lake City, UT","Bridgeport-Stamford-Norwalk, CT","Providence-Warwick, RI-MA","Saint Louis, MO-IL","Cincinnati, OH-KY-IN","Cleveland-Elyria, OH","Hartford-East Hartford-Middletown, CT","El Paso, TX","McAllen-Edinburg-Mission, TX","Stockton, CA","Jacksonville, FL","Worcester, MA-CT","Pittsburgh, PA","Urban Honolulu, HI","Milwaukee-Waukesha, WI","Louisville/Jefferson County, KY-IN","Fresno, CA",NAME_LONG,ISO_A3
Afghanistan,"11,407",208,254,9,591,435,111,"1,726",450,24,655,61,161,108,21,103,349,42,,58.0,"2,413",255,224,16,33,80.0,109.0,622,18.0,21.0,52.0,24.0,32.0,23.0,55.0,,,102.0,10.0,84.0,14.0,,,98.0,46.0,14.0,24.0,,6.0,15.0,8.0,Afghanistan,AFG
Albania,"3,508","1,055",19,28,13,19,224,52,26,299,22,,8,247,424,17,12,,8,3.0,11,4,,131,25,3.0,8.0,8,4.0,17.0,,6.0,4.0,,,23.0,5.0,42.0,,72.0,60.0,,,,104.0,93.0,,,42.0,,,Albania,ALB
Algeria,"1,581",218,33,13,124,63,158,30,27,43,12,4,20,148,12,5,3,16,7,9.0,11,33,37,,,7.0,3.0,19,4.0,157.0,9.0,46.0,,105.0,,,,,11.0,9.0,13.0,,,,,,19.0,,3.0,5.0,,Algeria,DZA
Angola,181,14,4,6,4,34,,6,10,10,3,,,3,,,,,,,,,,8,,,,,3.0,,3.0,,6.0,,,,9.0,,,,,,,,,,,,,5.0,,Angola,AGO
Anguilla,11,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anguilla,AIA
Antigua and Barbuda,190,87,,10,,7,,,6,,,,9,12,,,,,3,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,Antigua and Barbuda,ATG
Argentina,"2,970",335,136,923,105,140,83,98,85,28,49,39,37,29,8,15,18,32,51,16.0,13,11,23,35,17,17.0,3.0,5,13.0,11.0,10.0,4.0,6.0,10.0,30.0,32.0,,24.0,,5.0,8.0,4,,,,,14.0,,9.0,4.0,5.0,Argentina,ARG
Armenia,"2,145",138,"1,587",11,23,5,9,9,4,45,16,24,,3,,,,10,,,58,,12,3,35,9.0,,,4.0,,,,,,6.0,,,,5.0,4.0,3.0,,,,,,,,,,41.0,Armenia,ARM
Aruba,22,3,,4,,3,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aruba,ABW
Australia,"2,523",393,316,33,183,70,73,40,42,53,144,61,46,43,45,35,49,21,23,14.0,10,24,45,19,21,24.0,11.0,6,9.0,6.0,13.0,9.0,18.0,5.0,18.0,19.0,5.0,11.0,9.0,,8.0,,,4.0,10.0,,12.0,16.0,6.0,4.0,4.0,Australia,AUS
Austria,311,46,42,10,30,7,7,14,6,7,6,13,11,4,,6,10,,3,,3,,3,,,,,,3.0,,,,,,3.0,3.0,,,,,,,,,,,3.0,,,,,Austria,AUT
Azerbaijan,814,170,83,23,6,62,34,66,8,51,29,43,9,11,3,,3,,7,6.0,17,4,,,3,5.0,10.0,4,13.0,5.0,,,,4.0,7.0,,,7.0,,3.0,3.0,,,,,3.0,8.0,,,,,Azerbaijan,AZE
Bahamas,614,32,,251,3,11,,6,12,6,,,35,7,,,,,29,4.0,,4,,19,4,,,,3.0,4.0,3.0,3.0,7.0,,,5.0,,3.0,,8.0,,,,,8.0,,,,4.0,,,Bahamas,BHS
Bahrain,127,14,5,,6,12,5,5,,4,7,4,,,,,,,5,3.0,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,Bahrain,BHR
Bangladesh,"9,272","4,268",276,162,45,133,78,570,227,134,79,81,231,322,804,35,20,48,56,71.0,19,52,22,32,4,68.0,53.0,7,14.0,34.0,43.0,41.0,9.0,26.0,,42.0,,39.0,11.0,11.0,36.0,,,8.0,,4.0,8.0,,9.0,,,Bangladesh,BGD
Barbados,226,92,,15,3,,,6,,16,,,10,4,,,,,11,,,,,3,,,,,,,,,,,,3.0,,4.0,,,3.0,,,,4.0,,,,,,,Barbados,BRB
