Country,Total
Afghanistan,9488.0
Albania,2612.0
Algeria,1898.0
Angola,208.0
Anguilla,11.0
Antigua and Barbuda,201.0
Argentina,3248.0
Armenia,1833.0
Aruba,28.0
Australia,2682.0
Austria,359.0
Azerbaijan,545.0
Bahamas,997.0
Bahrain,151.0
Bangladesh,6405.0
Barbados,269.0
Belarus,1435.0
Belgium,601.0
Belize,670.0
Benin,467.0
Bermuda,71.0
Bhutan,137.0
Bolivia,1121.0
Bosnia and Herzegovina,478.0
Botswana,58.0
Brazil,18351.0
Brunei,24.0
Bulgaria,1000.0
Burkina Faso,551.0
Burma,2143.0
Burundi,730.0
Cabo Verde,941.0
Cambodia,1762.0
Cameroon,3578.0
Canada,9978.0
Cayman Islands,58.0
Central African Republic,151.0
Chad,100.0
Chile,1632.0
"China, People's Republic",49847.0
Colombia,15293.0
"Congo, Democratic Republic",3906.0
"Congo, Republic",219.0
Costa Rica,1991.0
Croatia,294.0
Cuba,23077.0
Curacao,29.0
Cyprus,102.0
Czechia,496.0
Denmark,322.0
Djibouti,111.0
Dominica,279.0
Dominican Republic,24553.0
Ecuador,7532.0
Egypt,4396.0
El Salvador,18668.0
Equatorial Guinea,29.0
Eritrea,1304.0
Estonia,140.0
Eswatini,28.0
Ethiopia,3706.0
Fiji,419.0
Finland,324.0
French Polynesia,12.0
Gabon,123.0
Gambia,778.0
Georgia,1239.0
Germany,3900.0
Ghana,3939.0
Greece,842.0
Grenada,370.0
Guatemala,8904.0
Guinea,745.0
Guinea-Bissau,23.0
Guyana,3435.0
Haiti,11456.0
Honduras,10116.0
Hong Kong,1334.0
Hungary,730.0
Iceland,83.0
India,93450.0
Indonesia,1588.0
Iran,5734.0
Iraq,1726.0
Ireland,1364.0
Isle of Man,4.0
Israel,3103.0
Italy,3069.0
Jamaica,13357.0
Japan,3960.0
Jordan,3416.0
Kazakhstan,1330.0
Kenya,3088.0
Kiribati,5.0
"Korea, North",20.0
"Korea, South",12351.0
Kuwait,916.0
Kyrgyzstan,710.0
Laos,349.0
Latvia,258.0
Lebanon,2253.0
Lesotho,14.0
Liberia,2504.0
Libya,409.0
Lithuania,487.0
Luxembourg,32.0
Macau,46.0
Madagascar,84.0
Malawi,167.0
Malaysia,1605.0
Maldives,4.0
Mali,378.0
Malta,23.0
Marshall Islands,12.0
Mauritania,144.0
Mauritius,65.0
Mexico,107230.0
"Micronesia, Federated States",10.0
Moldova,1052.0
Monaco,7.0
Mongolia,762.0
Montenegro,266.0
Montserrat,13.0
Morocco,3819.0
Mozambique,48.0
Namibia,75.0
Nepal,7309.0
Netherlands,1009.0
New Caledonia,5.0
New Zealand,665.0
Nicaragua,4220.0
Niger,182.0
Nigeria,13100.0
North Macedonia,745.0
Oman,154.0
Pakistan,9691.0
Palau,10.0
Panama,844.0
Papua New Guinea,20.0
Paraguay,356.0
Peru,5044.0
Philippines,27511.0
Poland,2970.0
Portugal,750.0
Qatar,323.0
Romania,1846.0
Russia,5525.0
Rwanda,784.0
Saint Kitts and Nevis,113.0
Saint Lucia,457.0
Saint Martin (French),9.0
Saint Vincent and the Grenadines,228.0
Samoa,130.0
Saudi Arabia,1780.0
Senegal,962.0
Serbia,810.0
Sierra Leone,1227.0
Singapore,799.0
Sint Maarten,24.0
Slovakia,311.0
Slovenia,87.0
Somalia,961.0
South Africa,2716.0
South Sudan,69.0
Spain,2644.0
Sri Lanka,1232.0
Sudan,871.0
Suriname,117.0
Sweden,788.0
Switzerland,614.0
Syria,1748.0
Taiwan,4246.0
Tajikistan,538.0
Tanzania,1438.0
Thailand,4037.0
Togo,1143.0
Tonga,171.0
Trinidad and Tobago,1852.0
Tunisia,514.0
Turkey,4465.0
Turkmenistan,161.0
Turks and Caicos Islands,53.0
Uganda,1146.0
Ukraine,7578.0
United Arab Emirates,1332.0
United Kingdom,9229.0
United States,256.0
Uruguay,830.0
Uzbekistan,990.0
Venezuela,14412.0
Vietnam,16312.0
"Virgin Islands, British",39.0
Yemen,4345.0
Zambia,361.0
Zimbabwe,737.0
