NAME,Total
"Riverside-San Bernardino-Ontario, CA",13874.0
"San Jose-Sunnyvale-Santa Clara, CA",17036.0
"St. Louis, MO-IL",3080.0
"Salt Lake City, UT",3334.0
"San Antonio-New Braunfels, TX",5006.0
"Seattle-Tacoma-Bellevue, WA",17563.0
"Tampa-St. Petersburg-Clearwater, FL",8216.0
"Washington-Arlington-Alexandria, DC-VA-MD-WV",38665.0
"Nashville-Davidson--Murfreesboro--Franklin, TN",4197.0
"Orlando-Kissimmee-Sanford, FL",10058.0
"Oxnard-Thousand Oaks-Ventura, CA",2715.0
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",17786.0
"Pittsburgh, PA",2556.0
"Portland-Vancouver-Hillsboro, OR-WA",5828.0
"McAllen-Edinburg-Mission, TX",3217.0
"Milwaukee-Waukesha-West Allis, WI",2587.0
"Minneapolis-St. Paul-Bloomington, MN-WI",10326.0
"El Paso, TX",5156.0
"Fresno, CA",2782.0
"Hartford-West Hartford-East Hartford, CT",3269.0
"Jacksonville, FL",3077.0
"Kansas City, MO-KS",3602.0
"Bridgeport-Stamford-Norwalk, CT",4323.0
"Columbus, OH",4775.0
"Dallas-Fort Worth-Arlington, TX",26402.0
