NAME,Total
"Atlanta-Sandy Springs-Alpharetta, GA",15531.0
"Austin-Round Rock-Georgetown, TX",6986.0
"Baltimore-Columbia-Towson, MD",5879.0
"Boston-Cambridge-Newton, MA-NH",17847.0
"Bridgeport-Stamford-Norwalk, CT",3245.0
"Cincinnati, OH-KY-IN",3046.0
"Cleveland-Elyria, OH",1953.0
"Columbus, OH",4335.0
"Dallas-Fort Worth-Arlington, TX",25473.0
"Denver-Aurora-Lakewood, CO",6577.0
"Detroit-Warren-Dearborn, MI",9022.0
"El Paso, TX",2764.0
"Cape Coral-Fort Myers, FL",1885.0
"Charlotte-Concord-Gastonia, NC-SC",6027.0
"Chicago-Naperville-Elgin, IL-IN-WI",23528.0
"Worcester, MA-CT",2203.0
"Hartford-East Hartford-Middletown, CT",2750.0
"Houston-The Woodlands-Sugar Land, TX",25878.0
"Indianapolis-Carmel-Anderson, IN",3660.0
"Jacksonville, FL",2460.0
"Kansas City, MO-KS",2595.0
"Las Vegas-Henderson-Paradise, NV",6146.0
"Los Angeles-Long Beach-Anaheim, CA",50278.0
"Louisville/Jefferson County, KY-IN",2194.0
"McAllen-Edinburg-Mission, TX",2180.0
"Miami-Fort Lauderdale-Pompano Beach, FL",48691.0
"Milwaukee-Waukesha, WI",1916.0
"Minneapolis-St. Paul-Bloomington, MN-WI",7286.0
"Nashville-Davidson--Murfreesboro--Franklin, TN",3566.0
"New York-Newark-Jersey City, NY-NJ-PA",99974.0
"Oklahoma City, OK",1886.0
"Orlando-Kissimmee-Sanford, FL",11601.0
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",12765.0
"Phoenix-Mesa-Chandler, AZ",10577.0
"Portland-Vancouver-Hillsboro, OR-WA",5389.0
"Providence-Warwick, RI-MA",3043.0
"Raleigh-Cary, NC",4079.0
"Riverside-San Bernardino-Ontario, CA",9006.0
"Sacramento-Roseville-Folsom, CA",6210.0
"St. Louis, MO-IL",2599.0
"Salt Lake City, UT",3096.0
"San Antonio-New Braunfels, TX",4914.0
"San Diego-Chula Vista-Carlsbad, CA",11135.0
"San Francisco-Oakland-Berkeley, CA",24261.0
"San Jose-Sunnyvale-Santa Clara, CA",17098.0
"Seattle-Tacoma-Bellevue, WA",17983.0
"Stockton, CA",2042.0
"Tampa-St. Petersburg-Clearwater, FL",7576.0
"Trenton-Princeton, NJ",1947.0
"Washington-Arlington-Alexandria, DC-VA-MD-WV",27239.0
