,Country,Total,NAME,ISO_A3
0,Afghanistan,9488.0,Afghanistan,AFG
1,Albania,2612.0,Albania,ALB
2,Algeria,1898.0,Algeria,DZA
3,Angola,208.0,Angola,AGO
4,Anguilla,11.0,Anguilla,AIA
5,Antigua and Barbuda,201.0,Antigua and Barbuda,ATG
6,Argentina,3248.0,Argentina,ARG
7,Armenia,1833.0,Armenia,ARM
8,Aruba,28.0,Aruba,ABW
9,Australia,2682.0,Australia,AUS
10,Austria,359.0,Austria,AUT
11,Azerbaijan,545.0,Azerbaijan,AZE
12,Bahamas,997.0,Bahamas,BHS
13,Bahrain,151.0,Bahrain,BHR
14,Bangladesh,6405.0,Bangladesh,BGD
15,Barbados,269.0,Barbados,BRB
16,Belarus,1435.0,Belarus,BLR
17,Belgium,601.0,Belgium,BEL
18,Belize,670.0,Belize,BLZ
19,Benin,467.0,Benin,BEN
20,Bermuda,71.0,Bermuda,BMU
21,Bhutan,137.0,Bhutan,BTN
22,Bolivia,1121.0,Bolivia,BOL
23,Bosnia and Herzegovina,478.0,Bosnia and Herzegovina,BIH
24,Botswana,58.0,Botswana,BWA
25,Brazil,18351.0,Brazil,BRA
26,Brunei,24.0,Brunei,BRN
27,Bulgaria,1000.0,Bulgaria,BGR
28,Burkina Faso,551.0,Burkina Faso,BFA
29,Burma,2143.0,Burma,MMR
30,Burundi,730.0,Burundi,BDI
31,Cabo Verde,941.0,Cabo Verde,CIV
32,Cambodia,1762.0,Cambodia,KHM
33,Cameroon,3578.0,Cameroon,CMR
34,Canada,9978.0,Canada,CAN
35,Cayman Islands,58.0,Cayman Islands,CYM
36,Central African Republic,151.0,Central African Republic,CAF
37,Chad,100.0,Chad,TCD
38,Chile,1632.0,Chile,CHL
39,"China, People's Republic",49847.0,"China, People's Republic",CHN
40,Colombia,15293.0,Colombia,COL
41,"Congo, Democratic Republic",3906.0,"Congo, Democratic Republic",COD
42,"Congo, Republic",219.0,"Congo, Republic",COG
43,Costa Rica,1991.0,Costa Rica,CRI
44,Croatia,294.0,Croatia,HRV
45,Cuba,23077.0,Cuba,CUB
46,Curacao,29.0,Curacao,CUW
47,Cyprus,102.0,Cyprus,CYP
48,Czechia,496.0,Czechia,CZE
49,Denmark,322.0,Denmark,DNK
50,Djibouti,111.0,Djibouti,DJI
51,Dominica,279.0,Dominica,DMA
52,Dominican Republic,24553.0,Dominican Republic,DOM
53,Ecuador,7532.0,Ecuador,ECU
54,Egypt,4396.0,Egypt,EGY
55,El Salvador,18668.0,El Salvador,SLV
56,Equatorial Guinea,29.0,Equatorial Guinea,GNQ
57,Eritrea,1304.0,Eritrea,ERI
58,Estonia,140.0,Estonia,EST
59,Eswatini,28.0,Eswatini,SWZ
60,Ethiopia,3706.0,Ethiopia,ETH
61,Fiji,419.0,Fiji,FJI
62,Finland,324.0,Finland,FIN
63,French Polynesia,12.0,French Polynesia,PYF
64,Gabon,123.0,Gabon,GAB
65,Gambia,778.0,Gambia,GMB
66,Georgia,1239.0,Georgia,GEO
67,Germany,3900.0,Germany,DEU
68,Ghana,3939.0,Ghana,GHA
69,Greece,842.0,Greece,GRC
70,Grenada,370.0,Grenada,GRD
71,Guatemala,8904.0,Guatemala,GTM
72,Guinea,745.0,Guinea,GIN
73,Guinea-Bissau,23.0,Guinea-Bissau,GNB
74,Guyana,3435.0,Guyana,GUY
75,Haiti,11456.0,Haiti,HTI
76,Honduras,10116.0,Honduras,HND
77,Hong Kong,1334.0,Hong Kong,HKG
78,Hungary,730.0,Hungary,HUN
79,Iceland,83.0,Iceland,ISL
80,India,93450.0,India,IND
81,Indonesia,1588.0,Indonesia,IDN
82,Iran,5734.0,Iran,IRN
83,Iraq,1726.0,Iraq,IRQ
84,Ireland,1364.0,Ireland,IRL
