CBSAFP,NAME,2009,2010,2011,2012
35620,"New York-Northern New Jersey-Long Island, NY-NJ-PA",186116.0,182712.0,180805.0,176306.0
31100,"Los Angeles-Long Beach-Santa Ana, CA",96500.0,86471.0,85365.0,80910.0
33100,"Miami-Fort Lauderdale-Pompano Beach, FL",83142.0,68687.0,71141.0,65671.0
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",41744.0,40647.0,38802.0,38035.0
16980,"Chicago-Naperville-Joliet, IL-IN-WI",37857.0,0.0,0.0,0.0
41860,"San Francisco-Oakland-Fremont, CA",31628.0,31184.0,31991.0,29213.0
26420,"Houston-Sugar Land-Baytown, TX",31622.0,30502.0,30792.0,31493.0
19100,"Dallas-Fort Worth-Arlington, TX",28645.0,25728.0,27859.0,27767.0
14460,"Boston-Cambridge-Quincy, MA-NH",25828.0,24552.0,25586.0,24773.0
12060,"Atlanta-Sandy Springs-Marietta, GA",22891.0,20064.0,21744.0,21014.0
41740,"San Diego-Carlsbad-San Marcos, CA",20461.0,19474.0,21327.0,18693.0
42660,"Seattle-Tacoma-Bellevue, WA",20238.0,16543.0,17555.0,17394.0
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",18494.0,17850.0,18571.0,17627.0
41940,"San Jose-Sunnyvale-Santa Clara, CA",18319.0,18383.0,18314.0,16752.0
40140,"Riverside-San Bernardino-Ontario, CA",16862.0,14789.0,14769.0,14449.0
33460,"Minneapolis-St. Paul-Bloomington, MN-WI",14709.0,10240.0,10027.0,10544.0
38060,"Phoenix-Mesa-Scottsdale, AZ",14085.0,0.0,0.0,0.0
19820,"Detroit-Warren-Livonia, MI",12544.0,12436.0,11992.0,11416.0
36740,"Orlando-Kissimmee, FL",11190.0,0.0,0.0,0.0
29820,"Las Vegas-Paradise, NV",10107.0,8827.0,8581.0,8684.0
45300,"Tampa-St. Petersburg-Clearwater, FL",10060.0,8611.0,8816.0,8572.0
40900,"Sacramento--Arden-Arcade--Roseville, CA",9134.0,7832.0,8307.0,7877.0
19740,"Denver-Aurora-Broomfield, CO",8278.0,8037.0,9040.0,8847.0
12580,"Baltimore-Towson, MD",8102.0,8011.0,8075.0,8465.0
38900,"Portland-Vancouver-Beaverton, OR-WA",7682.0,0.0,0.0,0.0
18140,"Columbus, OH",5874.0,4346.0,4825.0,5043.0
12420,"Austin-Round Rock, TX",5559.0,0.0,0.0,0.0
14860,"Bridgeport-Stamford-Norwalk, CT",5144.0,4460.0,4497.0,4516.0
39300,"Providence-New Bedford-Fall River, RI-MA",5022.0,4797.0,4575.0,4686.0
26180,"Honolulu, HI",4922.0,5061.0,5449.0,4932.0
41700,"San Antonio, TX",4825.0,0.0,0.0,0.0
16740,"Charlotte-Gastonia-Concord, NC-SC",4712.0,0.0,0.0,0.0
21340,"El Paso, TX",4535.0,4567.0,5558.0,5341.0
34980,"Nashville-Davidson--Murfreesboro--Franklin, TN",4403.0,3816.0,4079.0,4204.0
41620,"Salt Lake City, UT",4128.0,3772.0,4281.0,3739.0
25540,"Hartford-West Hartford-East Hartford, CT",4103.0,3751.0,3997.0,3940.0
26900,"Indianapolis-Carmel, IN",3981.0,3522.0,3810.0,4242.0
39580,"Raleigh-Cary, NC",3974.0,3820.0,3706.0,3675.0
28140,"Kansas City, MO-KS",3954.0,4204.0,4017.0,3747.0
41980,"San Juan-Caguas-Guaynabo, PR",3687.0,3819.0,2886.0,2789.0
41180,"St. Louis, MO-IL",3633.0,3423.0,3423.0,3321.0
27260,"Jacksonville, FL",3552.0,3389.0,3368.0,3294.0
23420,"Fresno, CA",3479.0,2939.0,3012.0,2825.0
37100,"Oxnard-Thousand Oaks-Ventura, CA",3458.0,3027.0,3049.0,2728.0
46060,"Tucson, AZ",3456.0,2829.0,3200.0,2820.0
44700,"Stockton, CA",3164.0,2960.0,2843.0,2871.0
32580,"McAllen-Edinburg-Mission, TX",3092.0,0.0,3362.0,3580.0
12540,"Bakersfield, CA",3076.0,0.0,0.0,0.0
49340,"Worcester, MA",3042.0,3185.0,3241.0,3128.0
17460,"Cleveland-Elyria-Mentor, OH",2938.0,2995.0,2785.0,3023.0
41700,"San Antonio-New Braunfels, TX",0.0,4636.0,5366.0,5617.0
38900,"Portland-Vancouver-Hillsboro, OR-WA",0.0,6550.0,6327.0,6254.0
38060,"Phoenix-Mesa-Glendale, AZ",0.0,12344.0,13849.0,12676.0
36740,"Orlando-Kissimmee-Sanford, FL",0.0,10485.0,10046.0,10074.0
17140,"Cincinnati-Middletown, OH-KY-IN",0.0,2699.0,0.0,0.0
16980,"Chicago-Joliet-Naperville, IL-IN-WI",0.0,34339.0,34336.0,34402.0
16740,"Charlotte-Gastonia-Rock Hill, NC-SC",0.0,4083.0,4889.0,5322.0
15380,"Buffalo-Niagara Falls, NY",0.0,0.0,0.0,2922.0
47260,"Virginia Beach-Norfolk-Newport News, VA-NC",0.0,2629.0,0.0,0.0
12420,"Austin-Round Rock-San Marcos, TX",0.0,5308.0,5950.0,5798.0
33340,"Milwaukee-Waukesha-West Allis, WI",0.0,0.0,2789.0,0.0
