NAME,CBSAFP,Total,Year
"Phoenix-Mesa-Scottsdale, AZ",38060,14085.0,2009
"Atlanta-Sandy Springs-Marietta, GA",12060,22891.0,2009
"Worcester, MA",49340,3042.0,2009
"Bridgeport-Stamford-Norwalk, CT",14860,5144.0,2009
"Indianapolis-Carmel, IN",26900,3981.0,2009
"Raleigh-Cary, NC",39580,3974.0,2009
"Hartford-West Hartford-East Hartford, CT",25540,4103.0,2009
"Baltimore-Towson, MD",12580,8102.0,2009
"New York-Northern New Jersey-Long Island, NY-NJ-PA",35620,186116.0,2009
"Denver-Aurora-Broomfield, CO",19740,8278.0,2009
"Kansas City, MO-KS",28140,3954.0,2009
"Honolulu, HI",26180,4922.0,2009
"Chicago-Naperville-Joliet, IL-IN-WI",16980,37857.0,2009
"Detroit-Warren-Livonia, MI",19820,12544.0,2009
"San Juan-Caguas-Guaynabo, PR",41980,3687.0,2009
"Charlotte-Gastonia-Concord, NC-SC",16740,4712.0,2009
"St. Louis, MO-IL",41180,3633.0,2009
"Providence-New Bedford-Fall River, RI-MA",39300,5022.0,2009
"Washington-Arlington-Alexandria, DC-VA-MD-WV",47900,41744.0,2009
"Boston-Cambridge-Quincy, MA-NH",14460,25828.0,2009
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",37980,18494.0,2009
"Minneapolis-St. Paul-Bloomington, MN-WI",33460,14709.0,2009
"Nashville-Davidson--Murfreesboro--Franklin, TN",34980,4403.0,2009
"Jacksonville, FL",27260,3552.0,2009
"Tucson, AZ",46060,3456.0,2009
"Miami-Fort Lauderdale-Pompano Beach, FL",33100,83142.0,2009
"Las Vegas-Paradise, NV",29820,10107.0,2009
"Tampa-St. Petersburg-Clearwater, FL",45300,10060.0,2009
"Portland-Vancouver-Beaverton, OR-WA",38900,7682.0,2009
"Seattle-Tacoma-Bellevue, WA",42660,20238.0,2009
"Orlando-Kissimmee, FL",36740,11190.0,2009
"Salt Lake City, UT",41620,4128.0,2009
"McAllen-Edinburg-Mission, TX",32580,3092.0,2009
"San Diego-Carlsbad-San Marcos, CA",41740,20461.0,2009
"San Francisco-Oakland-Fremont, CA",41860,31628.0,2009
"Fresno, CA",23420,3479.0,2009
"Los Angeles-Long Beach-Santa Ana, CA",31100,96500.0,2009
"Sacramento--Arden-Arcade--Roseville, CA",40900,9134.0,2009
"Columbus, OH",18140,5874.0,2009
"Stockton, CA",44700,3164.0,2009
"Cleveland-Elyria-Mentor, OH",17460,2938.0,2009
"Bakersfield, CA",12540,3076.0,2009
"San Jose-Sunnyvale-Santa Clara, CA",41940,18319.0,2009
"Oxnard-Thousand Oaks-Ventura, CA",37100,3458.0,2009
"Riverside-San Bernardino-Ontario, CA",40140,16862.0,2009
"San Antonio, TX",41700,4825.0,2009
"Austin-Round Rock, TX",12420,5559.0,2009
"Houston-Sugar Land-Baytown, TX",26420,31622.0,2009
"Dallas-Fort Worth-Arlington, TX",19100,28645.0,2009
"El Paso, TX",21340,4535.0,2009
"Dallas-Fort Worth-Arlington, TX",19100,25728.0,2010
"Phoenix-Mesa-Glendale, AZ",38060,12344.0,2010
"Providence-New Bedford-Fall River, RI-MA",39300,4797.0,2010
"San Juan-Caguas-Guaynabo, PR",41980,3819.0,2010
"Cleveland-Elyria-Mentor, OH",17460,2995.0,2010
"Virginia Beach-Norfolk-Newport News, VA-NC",47260,2629.0,2010
"Tucson, AZ",46060,2829.0,2010
"Baltimore-Towson, MD",12580,8011.0,2010
"Los Angeles-Long Beach-Santa Ana, CA",31100,86471.0,2010
"Atlanta-Sandy Springs-Marietta, GA",12060,20064.0,2010
"Kansas City, MO-KS",28140,4204.0,2010
"San Jose-Sunnyvale-Santa Clara, CA",41940,18383.0,2010
"Las Vegas-Paradise, NV",29820,8827.0,2010
"Detroit-Warren-Livonia, MI",19820,12436.0,2010
"Salt Lake City, UT",41620,3772.0,2010
"Columbus, OH",18140,4346.0,2010
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",37980,17850.0,2010
"Denver-Aurora-Broomfield, CO",19740,8037.0,2010
"Portland-Vancouver-Hillsboro, OR-WA",38900,6550.0,2010
"San Francisco-Oakland-Fremont, CA",41860,31184.0,2010
"Boston-Cambridge-Quincy, MA-NH",14460,24552.0,2010
"Cincinnati-Middletown, OH-KY-IN",17140,2699.0,2010
"Worcester, MA",49340,3185.0,2010
"Orlando-Kissimmee-Sanford, FL",36740,10485.0,2010
"Jacksonville, FL",27260,3389.0,2010
"Miami-Fort Lauderdale-Pompano Beach, FL",33100,68687.0,2010
"New York-Northern New Jersey-Long Island, NY-NJ-PA",35620,182712.0,2010
