Country,Total,"New York-Northern New Jersey-Long Island, NY-NJ-PA","Los Angeles-Long Beach-Santa Ana, CA","Miami-Fort Lauderdale-Pompano Beach, FL","Washington-Arlington-Alexandria, DC-VA-MD-WV","Chicago-Joliet-Naperville, IL-IN-WI","San Francisco-Oakland-Fremont, CA","Houston-Sugar Land-Baytown, TX","Dallas-Fort Worth-Arlington, TX","Boston-Cambridge-Quincy, MA-NH","Atlanta-Sandy Springs-Marietta, GA","San Diego-Carlsbad-San Marcos, CA","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","San Jose-Sunnyvale-Santa Clara, CA","Seattle-Tacoma-Bellevue, WA","Riverside-San Bernardino-Ontario, CA","Phoenix-Mesa-Glendale, AZ","Detroit-Warren-Livonia, MI","Orlando-Kissimmee-Sanford, FL","Minneapolis-St. Paul-Bloomington, MN-WI","Denver-Aurora-Broomfield, CO","Tampa-St. Petersburg-Clearwater, FL","Las Vegas-Paradise, NV","Sacramento--Arden-Arcade--Roseville, CA","Baltimore-Towson, MD","Portland-Vancouver-Hillsboro, OR-WA","Austin-Round Rock-San Marcos, TX","El Paso, TX","Honolulu, HI","San Antonio-New Braunfels, TX","Charlotte-Gastonia-Rock Hill, NC-SC","Columbus, OH","Providence-New Bedford-Fall River, RI-MA","Bridgeport-Stamford-Norwalk, CT","Salt Lake City, UT","Nashville-Davidson--Murfreesboro--Franklin, TN","Kansas City, MO-KS","Hartford-West Hartford-East Hartford, CT","Indianapolis-Carmel, IN","Raleigh-Cary, NC","St. Louis, MO-IL","Jacksonville, FL","McAllen-Edinburg-Mission, TX","Worcester, MA","Tucson, AZ","Oxnard-Thousand Oaks-Ventura, CA","Fresno, CA","San Juan-Caguas-Guaynabo, PR","Stockton, CA","Milwaukee-Waukesha-West Allis, WI","Cleveland-Elyria-Mentor, OH"
Afghanistan,"1,648",179,86,,248,20,187,20,46,8,43,60,21,40,22,32,43,,,8,13,,19,56,4,5,7,,,6,4,,,3,23,7,,5,3,10,17,19,,,6,7,,,40,,8
Albania,"3,612","1,032",25,28,58,163,7,28,30,287,12,11,236,,29,7,24,492,8,10,3,110,16,,20,,6,,,3,5,28,3,24,4,4,,84,5,,24,95,,106,,6,,,,35,63
Algeria,"1,364",250,34,22,87,66,188,25,10,89,21,8,148,8,8,6,4,17,6,4,17,6,,7,9,,18,,,15,,28,,,,3,25,12,15,7,5,,,4,,,,,3,6,
Andorra,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,148,11,,11,9,,,14,,32,6,,3,,,,,,,,,,,,3,,,,,,3,3,11,,,,,,,,,,,,,,,,,,
Anguilla,25,7,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua-Barbuda,368,171,,30,12,,,4,,9,13,,8,,,,3,,14,,,6,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,
Argentina,"4,473",611,292,"1,445",133,76,55,199,92,51,82,22,49,27,37,50,21,7,79,15,24,37,37,11,22,13,10,5,,13,21,8,10,35,48,3,7,11,14,17,28,11,6,6,,11,3,28,4,5,5
Armenia,"2,983",253,"1,990",15,38,14,29,9,13,71,7,22,26,23,26,5,3,12,7,,15,3,62,47,13,7,8,,,,,5,13,,13,,,,,,3,5,,4,,,40,,,3,17
Aruba,39,3,,9,,,,,,3,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,"2,343",316,284,34,52,61,105,49,46,55,38,48,43,30,64,22,24,15,19,15,37,18,29,23,15,32,25,,22,9,12,10,7,10,27,18,9,5,11,10,10,3,4,4,,9,5,,,5,6
Austria,424,59,38,24,11,13,17,7,6,16,7,8,8,15,11,,9,11,,7,3,6,3,4,,,5,,,,3,,,,3,,,,,,3,,,,,,,,,,
Azerbaijan,728,198,104,13,30,29,18,42,6,16,7,10,19,15,33,,9,6,5,9,11,,,4,4,6,,,,,,,,4,4,,12,,,,4,,,,,,,,,,
Bahamas,668,27,4,293,7,10,,9,12,6,56,,6,,,3,4,4,22,3,,26,,,4,,,,,,5,,,3,,,,,3,4,,10,,,,,,,,3,
Bahrain,119,21,8,3,15,8,4,9,4,7,3,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bangladesh,"16,707","9,323",583,387,802,151,81,224,328,219,451,18,596,49,60,86,86,831,108,58,36,60,31,25,68,31,50,3,4,35,15,59,16,109,,25,19,116,25,62,14,10,3,11,,4,3,,5,15,19
Barbados,455,214,5,31,18,,4,9,,14,9,,17,,,,3,,5,,,8,,,5,,3,,,,3,,,,,,,6,,5,,,,,,,,,,,
Belarus,"1,964",463,56,76,59,115,66,11,12,91,43,22,80,46,82,7,10,10,20,41,39,4,8,30,22,25,5,,5,,8,6,3,31,8,6,,8,3,7,8,8,,6,,3,,,,12,14
Belgium,567,123,32,27,30,8,20,18,7,18,20,7,6,23,8,,5,6,11,6,5,,,3,5,5,,,,,4,,4,3,,,3,,,7,,4,,,,,,,,,3
Belize,905,170,246,44,4,118,11,56,16,,14,5,7,3,4,19,5,,5,5,,,9,,6,8,7,,,3,,,,,,,,,4,,,3,,,,,,,,,
Benin,462,45,3,6,83,40,,7,8,7,29,,30,,,,4,5,,5,4,,,,10,,5,,,,6,,,,,,,,14,6,,,,,,,,,,,
Bermuda,71,9,,6,,,,,3,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,"10,137",77,,,116,267,157,364,513,77,621,25,115,7,358,,282,,,96,397,,48,22,154,98,98,,,197,133,122,44,,266,240,71,10,,50,131,107,,97,243,,,,,,128
Bolivia,"2,173",189,147,206,772,41,24,67,15,40,21,17,8,14,8,12,10,,18,5,11,8,10,4,13,10,8,,,7,4,3,80,6,27,,,3,,6,5,7,,,,,,5,3,,3
Bosnia-Herzegovina,878,50,16,8,11,71,19,15,24,17,30,4,8,13,13,,24,20,8,11,10,27,12,4,11,12,,,,3,9,,,4,29,3,3,12,3,,61,16,,,,,,,,8,6
Botswana,76,9,,,9,,,,4,,8,,,,,,,,5,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,"11,763","1,638",448,"1,834",292,159,311,204,225,"1,342",472,189,146,76,89,50,77,57,386,53,68,160,69,36,62,28,63,6,34,26,59,20,140,266,124,13,19,38,32,18,33,45,3,196,9,23,4,14,6,20,24
British Virgin Islands,37,11,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,
Brunei,25,3,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulgaria,"2,661",244,108,79,91,495,80,20,37,92,89,41,32,23,64,11,44,26,23,18,43,49,90,14,27,8,6,,4,6,6,10,12,26,13,5,5,5,10,10,21,11,,,,,,,,7,4
Burkina Faso,433,173,,,42,8,,13,5,,18,,24,,7,5,7,,,,7,,,,8,,,,,,,5,,,,,,,,,,,,,3,,,,,,3
Burma,"16,518",433,375,69,280,273,532,340,"1,029",79,674,134,186,68,263,32,510,7,24,463,382,48,19,21,300,110,144,4,15,176,167,71,9,3,193,249,301,78,854,48,63,201,,60,30,6,3,,7,249,37
Burundi,593,15,,,13,6,3,24,43,,12,10,5,,8,,19,,,,6,,,,5,5,5,,,20,3,3,10,,5,3,4,,,,3,7,,,13,,,,,,
Cambodia,"2,745",35,443,7,93,41,51,86,61,309,47,52,134,59,231,60,27,5,5,113,17,8,13,22,5,37,10,,5,,9,17,56,11,15,6,,11,4,,,14,,15,,6,17,,37,3,8
Cameroon,"4,754",192,104,22,"1,595",121,33,212,212,121,243,12,90,29,22,20,52,45,11,175,28,17,21,4,243,10,34,,,9,26,66,7,5,10,7,34,4,6,8,,10,3,37,18,,,,4,24,9
Canada,"12,800","1,072",744,459,267,313,394,375,310,434,250,233,200,239,410,123,312,366,121,160,155,168,126,92,77,147,101,7,42,55,106,80,32,66,48,69,61,63,37,82,46,35,8,36,52,65,14,4,22,41,65
Cape Verde,"1,808",11,,5,,,,,,"1,281",3,,,,,,,,4,,,,,,,,,,,,,,426,14,,,,,,,,,,,,,,,,,
Cayman Islands,41,7,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central African Republic,134,15,,,21,,,4,4,,6,,,,,,,,,,10,,,,4,,,,,,,,,,10,,,,,,,4,,7,6,,,,,,
Chad,171,52,,,21,,,7,7,,4,,,,,,5,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,
Chile,"1,853",266,100,353,77,35,37,62,40,27,45,13,29,12,25,17,18,3,26,19,26,17,10,8,18,17,12,,,8,18,3,3,15,28,6,,9,8,6,6,3,,5,5,6,,14,16,6,3
"China, People's Republic","87,016","28,390","10,113",682,"1,924","2,479","7,479","1,539","1,047","2,699","1,032",762,"1,886","2,557","1,625",709,540,493,323,465,425,280,610,660,587,573,284,33,814,132,221,281,196,187,199,154,204,176,258,254,356,121,24,143,108,149,86,63,103,173,282
Colombia,"22,635","5,089",623,"5,833",513,340,158,804,349,597,715,102,210,74,97,149,89,26,950,83,82,574,94,38,78,39,56,19,9,75,199,18,208,269,63,38,39,100,25,74,26,107,20,43,20,24,12,130,7,37,26
Comoros,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,
"Congo, Democratic Republic","2,424",51,31,7,92,39,12,61,231,63,146,20,14,4,39,4,84,16,9,36,85,,25,12,29,36,11,,,34,91,13,,14,32,9,7,,15,51,38,6,,13,33,,,,,7,3
"Congo, Republic","1,371",46,23,6,70,29,6,54,101,32,86,4,23,6,30,5,22,11,,17,31,,9,3,16,15,21,,,6,62,10,6,6,8,8,8,,12,40,23,7,,4,10,,3,,,5,
Cook Islands,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Costa Rica,"2,135",501,67,270,46,16,19,58,37,45,63,14,48,11,18,28,23,6,55,11,5,35,7,8,7,5,11,4,,8,41,,5,22,,10,7,,4,4,10,13,,5,,10,,8,,4,7
Cote d'Ivoire,"1,302",386,7,12,145,24,9,26,35,22,82,7,92,4,20,5,16,11,,16,14,9,4,,24,,8,,,,25,18,13,8,4,,4,5,11,,10,4,,4,8,,,,,,8
Croatia,349,71,25,12,16,20,5,6,8,12,5,7,4,7,4,3,3,3,,,,8,4,,,,3,,,,,3,,,4,,,,,,3,4,,,,,,,,3,4
Cuba,"36,452",940,191,"25,116",64,104,41,508,215,40,179,43,56,5,17,47,221,6,597,17,27,"2,152",672,3,17,78,225,14,,47,73,7,,10,11,62,127,16,12,27,34,222,13,4,45,4,,125,,10,6
Cyprus,101,26,13,3,3,,5,,,3,,,,,3,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,
Czech Republic,303,36,19,10,16,20,17,4,3,7,9,9,5,6,10,3,,7,3,,,4,3,,3,4,,,,3,3,,,,,,,,,,,,,,,,,,,,
"Czechoslovakia, former",466,49,31,22,18,48,14,6,3,7,13,3,7,3,4,,,,9,,6,5,3,4,4,4,3,,,,,,,,,,,,,8,,5,,,,,,,,,
Denmark,459,58,46,17,16,8,18,10,12,7,15,14,5,5,15,,,5,13,6,8,4,5,5,4,6,7,,,,5,,,9,,,,3,3,6,,,,,,,,,,,3
Djibouti,56,,,,8,,,,3,,,,,,10,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominica,287,100,,20,5,,,13,,8,11,,7,,,,,,,,,6,,,,,,,,,,,,4,,,,6,,,,,,,,,,4,,,
Dominican Republic,"46,109","28,569",62,"1,979",500,133,22,138,73,"3,478",199,19,934,8,17,14,52,37,612,23,16,285,54,5,96,8,17,7,,18,138,59,"1,069",272,21,12,41,162,72,72,8,37,9,246,8,,,"2,059",,34,47
Ecuador,"11,103","6,104",317,998,204,393,36,136,80,88,113,22,115,12,23,68,35,9,152,136,22,105,29,12,25,,10,6,,6,211,7,35,211,39,17,18,42,13,13,13,20,6,44,6,4,5,21,6,7,6
Egypt,"7,778","2,369",723,95,326,123,76,120,161,173,51,59,242,38,91,182,41,102,69,80,22,97,13,31,55,40,11,,,15,43,44,55,15,9,592,18,21,38,42,13,22,,82,,18,17,,5,14,96
El Salvador,"18,667","2,366","4,288",372,"2,878",164,866,"1,564",676,463,229,77,56,125,65,407,95,22,39,72,87,62,264,65,167,32,35,,,51,116,15,62,25,48,42,49,14,34,37,4,20,5,49,8,51,124,7,22,8,8
Equatorial Guinea,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eritrea,"2,102",40,62,7,256,43,136,63,97,32,82,44,21,46,247,9,25,,4,51,80,6,63,,49,10,,,,,25,57,12,,17,22,12,3,33,15,22,6,,,19,,,,,12,
Estonia,191,43,8,13,6,13,7,,,3,,,,3,5,,,,4,,,,,,4,,3,,,,,,,5,,,,,,,,,,,,,,,,,
Ethiopia,"13,793",232,361,43,"2,965",253,333,280,559,312,746,179,162,243,974,38,144,29,33,864,596,39,480,92,212,188,67,,7,20,86,217,18,7,35,172,148,16,83,75,75,43,,9,25,4,9,,,26,11
Fiji,"1,041",18,36,,,4,211,,,,4,5,3,44,77,12,5,,,5,5,,6,310,,24,,,8,,,,,,3,,,,,,,,,,8,,,,54,,
Finland,363,31,16,27,16,9,15,5,32,7,,34,,20,13,,13,5,,3,,4,4,,5,3,,,,4,,,,,3,,,,,3,,,,4,5,,,,,,
France,"3,653",747,302,257,152,117,217,103,69,112,66,70,62,127,72,17,34,26,46,35,15,24,25,13,25,20,37,3,9,7,25,7,16,37,9,6,13,9,14,13,8,7,,6,7,4,6,9,,9,7
French Polynesia,21,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,
Gabon,204,18,,,11,9,,16,5,5,23,,5,,4,,4,4,,,3,,,,5,,7,,,,,4,,,,,,,,5,3,,,,5,,,,,,
Gambia,972,253,10,5,61,4,6,5,26,8,123,3,5,,113,,4,13,,30,3,,,,11,5,,,,6,8,23,20,5,4,4,9,,,28,,,,,,,,,,,
Georgia,"1,490",785,95,20,46,26,19,10,8,14,20,,83,27,7,4,,4,8,,12,4,4,16,13,10,,,,,5,6,7,30,5,,,8,3,,,3,,3,,,,,,,5
Germany,"6,125",735,338,208,240,164,234,100,84,137,147,81,121,106,115,44,78,112,59,36,46,76,41,46,33,55,48,43,25,37,49,37,15,27,9,11,27,27,16,26,36,21,,13,20,14,,9,3,23,17
Ghana,"8,798","2,559",74,39,"1,132",291,43,110,187,186,477,14,286,4,63,36,37,46,45,148,160,26,13,16,176,25,28,8,,7,66,364,45,30,11,40,19,137,13,36,15,14,3,305,3,,6,,9,17,15
Greece,949,252,40,30,31,53,15,16,9,65,9,13,44,9,7,11,9,17,3,4,4,21,11,,17,,3,,,,3,5,5,6,,,,8,3,3,3,10,,7,,,,,,4,11
Grenada,579,413,,11,25,,,6,8,11,11,,10,,,,,,3,,,,,,3,,,,,,,,,3,,,,,,,,,,,,,,,,,
Guatemala,"11,092",887,"2,606",533,512,338,628,303,190,306,169,201,67,56,69,310,136,8,44,43,56,56,129,34,45,124,42,,,40,24,8,296,113,49,46,42,14,19,5,10,9,4,27,9,59,10,6,13,9,5
Guinea,"1,555",729,6,,130,15,5,13,13,58,89,4,96,,18,,10,15,,45,7,,,,12,,,,,,4,42,10,,,,3,3,29,,,4,,,,,,,,6,6
Guinea-Bissau,29,5,,,4,,,,,4,,,,,,,,,3,,,,,,,,,,,,,,4,4,,,,,,,,,,,,,,,,,
Guyana,"6,599","4,941",17,196,159,17,7,29,12,43,121,6,79,8,5,5,3,6,154,87,,36,,3,29,,,,,3,11,3,4,7,,,6,53,4,12,,15,,,,,,,,,8
Haiti,"22,111","5,474",28,"8,113",179,101,15,31,18,"1,823",295,12,426,7,22,10,27,8,"1,287",23,17,237,13,,42,16,8,,,13,20,24,101,309,,25,32,32,26,14,13,134,,39,3,,,3,,4,
Honduras,"6,133",869,432,990,403,121,97,428,145,114,124,27,46,41,29,61,42,15,75,23,23,92,39,20,58,18,61,6,6,49,54,4,19,28,15,15,38,12,31,47,5,17,8,11,5,10,5,7,10,8,7
Hong Kong,"2,306",414,435,24,31,50,417,51,39,90,23,23,24,122,82,36,10,8,10,4,12,3,14,18,15,18,11,3,38,4,6,,4,12,5,4,,,3,8,7,4,,,4,,,,3,3,5
Hungary,"1,044",203,65,100,33,19,41,13,20,20,14,17,17,19,7,6,14,8,11,10,5,33,24,11,7,3,,,4,5,9,5,,5,5,5,8,3,,8,,11,,4,,,,,,,12
Iceland,90,9,5,,3,,4,,,7,3,,,3,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,"69,013","11,256","2,607",520,"3,186","4,173","3,619","2,108","2,582","1,731","1,823",698,"2,351","3,951","1,911",502,903,"1,156",234,701,334,433,127,"1,077",766,427,673,22,13,180,472,582,143,372,109,205,281,442,305,512,366,196,22,331,67,281,502,5,399,372,269
