Country,Total,"New York-Northern New Jersey-Long Island, NY-NJ-PA","Los Angeles-Long Beach-Santa Ana, CA","Miami-Fort Lauderdale-Pompano Beach, FL","Washington-Arlington-Alexandria, DC-VA-MD-WV","Chicago-Joliet-Naperville, IL-IN-WI","Houston-Sugar Land-Baytown, TX","San Francisco-Oakland-Fremont, CA","Dallas-Fort Worth-Arlington, TX","Boston-Cambridge-Quincy, MA-NH","Atlanta-Sandy Springs-Marietta, GA","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","Seattle-Tacoma-Bellevue, WA","San Jose-Sunnyvale-Santa Clara, CA","San Diego-Carlsbad-San Marcos, CA","Riverside-San Bernardino-Ontario, CA","Detroit-Warren-Livonia, MI","Phoenix-Mesa-Glendale, AZ","Minneapolis-St. Paul-Bloomington, MN-WI","Orlando-Kissimmee-Sanford, FL","Baltimore-Towson, MD","Las Vegas-Paradise, NV","Tampa-St. Petersburg-Clearwater, FL","Sacramento--Arden-Arcade--Roseville, CA","Denver-Aurora-Broomfield, CO","Austin-Round Rock-San Marcos, TX","Portland-Vancouver-Hillsboro, OR-WA","El Paso, TX","San Antonio-New Braunfels, TX","Charlotte-Gastonia-Rock Hill, NC-SC","Columbus, OH","Honolulu, HI","Bridgeport-Stamford-Norwalk, CT","Nashville-Davidson--Murfreesboro--Franklin, TN","Providence-New Bedford-Fall River, RI-MA","Indianapolis-Carmel, IN","Raleigh-Cary, NC","Kansas City, MO-KS","Salt Lake City, UT","Hartford-West Hartford-East Hartford, CT","McAllen-Edinburg-Mission, TX","St. Louis, MO-IL","Jacksonville, FL","Cleveland-Elyria-Mentor, OH","Fresno, CA","Worcester, MA","Oxnard-Thousand Oaks-Ventura, CA","Cincinnati-Middletown, OH-KY-IN","San Juan-Caguas-Guaynabo, PR","Milwaukee-Waukesha-West Allis, WI","Pittsburgh, PA"
Afghanistan,"2,196",233,126,,385,35,57,235,51,7,58,21,42,29,113,33,5,34,9,,8,6,8,98,11,6,24,,20,6,3,,,9,,9,6,4,8,,,24,15,18,,,3,,,,
Albania,"3,186",897,38,26,46,193,18,7,35,243,10,217,13,,22,12,460,25,9,13,5,15,105,5,,,,,,,9,,19,9,3,,,5,,69,,39,89,39,,101,5,,3,27,
Algeria,"1,241",210,46,23,55,65,50,112,14,70,25,129,23,11,9,4,16,5,11,9,5,,,11,29,19,4,,7,,38,,,,5,11,6,33,,16,,,,6,,,,,,3,10
Andorra,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,143,12,,7,7,3,8,,,35,3,,,,,,,,,,,,,,,,,,,4,,,,,12,,,,,,,,,,,,,,,,
Anguilla,22,6,,3,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua-Barbuda,344,169,,28,4,,,,,8,11,5,,,,,,,,9,4,6,3,,,,,,,4,,,4,,,,,,,,,,4,,,,,,,,
Argentina,"4,372",552,283,"1,321",176,77,179,58,80,60,63,73,42,20,47,39,12,24,32,80,21,64,49,16,20,24,13,7,9,27,10,9,30,10,11,8,9,7,36,8,5,14,12,12,3,4,10,3,23,8,7
Armenia,"2,722",161,"1,891",12,32,12,8,45,6,46,7,14,31,28,5,13,6,23,4,10,3,61,,58,5,,5,,,,,,,,3,,,,12,,,,,15,33,,6,,,,
Aruba,45,7,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,"2,759",426,342,43,53,71,94,140,37,63,48,50,108,49,59,19,20,27,33,19,24,40,20,19,37,31,24,,6,12,9,19,26,19,5,15,9,4,20,5,,7,6,8,4,6,16,9,,,11
