Country,Total,NAME_LONG,ISO_A3
Afghanistan,"2,196",Afghanistan,AFG
Albania,"3,186",Albania,ALB
Algeria,"1,241",Algeria,DZA
Andorra,3,Andorra,AND
Angola,143,Angola,AGO
Anguilla,22,Anguilla,AIA
Antigua and Barbuda,344,Antigua and Barbuda,ATG
Argentina,"4,372",Argentina,ARG
Armenia,"2,722",Armenia,ARM
Aruba,45,Aruba,ABW
Australia,"2,759",Australia,AUS
Austria,415,Austria,AUT
Azerbaijan,637,Azerbaijan,AZE
Bahamas,630,Bahamas,BHS
Bahrain,115,Bahrain,BHR
Bangladesh,"12,099",Bangladesh,BGD
Barbados,428,Barbados,BRB
Belarus,"1,970",Belarus,BLR
Belgium,675,Belgium,BEL
Belize,946,Belize,BLZ
Benin,342,Benin,BEN
Bermuda,88,Bermuda,BMU
Bhutan,"8,954",Bhutan,BTN
Bolivia,"2,071",Bolivia,BOL
Bosnia and Herzegovina,697,Bosnia and Herzegovina,BIH
Botswana,53,Botswana,BWA
Brazil,"11,033",Brazil,BRA
"Virgin Islands, British",45,"Virgin Islands, British",VGB
Brunei,21,Brunei,BRN
Bulgaria,"2,844",Bulgaria,BGR
Burkina Faso,585,Burkina Faso,BFA
Burma,"12,565",Burma,MMR
Burundi,260,Burundi,BDI
Cambodia,"2,624",Cambodia,KHM
Cameroon,"3,908",Cameroon,CMR
Canada,"13,181",Canada,CAN
Cabo Verde,"1,673",Cabo Verde,CIV
Cayman Islands,44,Cayman Islands,CYM
Central African Republic,213,Central African Republic,CAF
Chad,111,Chad,TCD
Chile,"1,736",Chile,CHL
"China, People's Republic","71,798","China, People's Republic",CHN
Colombia,"21,131",Colombia,COL
"Congo, Democratic Republic","2,792","Congo, Democratic Republic",COD
"Congo, Republic","1,059","Congo, Republic",COG
Costa Rica,"2,114",Costa Rica,CRI
Croatia,353,Croatia,HRV
Cuba,"32,219",Cuba,CUB
Cyprus,126,Cyprus,CYP
Czechia,676,Czechia,CZE
Denmark,506,Denmark,DNK
Djibouti,90,Djibouti,DJI
Dominica,244,Dominica,DMA
Dominican Republic,"41,311",Dominican Republic,DOM
Ecuador,"10,591",Ecuador,ECU
Egypt,"10,294",Egypt,EGY
El Salvador,"18,260",El Salvador,SLV
Equatorial Guinea,18,Equatorial Guinea,GNQ
Eritrea,"2,138",Eritrea,ERI
Estonia,211,Estonia,EST
Ethiopia,"13,097",Ethiopia,ETH
Fiji,895,Fiji,FJI
Finland,331,Finland,FIN
Gabon,127,Gabon,GAB
Gambia,"1,018",Gambia,GMB
Georgia,"1,368",Georgia,GEO
Germany,"6,032",Germany,DEU
Ghana,"10,265",Ghana,GHA
Greece,"1,361",Greece,GRC
Grenada,687,Grenada,GRD
Guatemala,"10,224",Guatemala,GTM
Guinea,"1,518",Guinea,GIN
Guinea-Bissau,43,Guinea-Bissau,GNB
Guyana,"5,897",Guyana,GUY
Haiti,"20,351",Haiti,HTI
Honduras,"8,898",Honduras,HND
Hong Kong,"2,226",Hong Kong,HKG
Hungary,"1,052",Hungary,HUN
Iceland,139,Iceland,ISL
India,"68,458",India,IND
Indonesia,"2,731",Indonesia,IDN
Iran,"12,863",Iran,IRN
Iraq,"9,552",Iraq,IRQ
Ireland,"1,626",Ireland,IRL
Israel,"3,996",Israel,ISR
Italy,"2,960",Italy,ITA
Jamaica,"19,400",Jamaica,JAM
Japan,"5,925",Japan,JPN
Jordan,"4,188",Jordan,JOR
Kazakhstan,"1,241",Kazakhstan,KAZ
Kenya,"6,123",Kenya,KEN
Kiribati,3,Kiribati,KIR
"Korea, North",48,"Korea, North",PRK
"Korea, South","23,166","Korea, South",KOR
Kuwait,937,Kuwait,KWT
Kyrgyzstan,652,Kyrgyzstan,KGZ
Laos,923,Laos,LAO
Latvia,424,Latvia,LVA
Lebanon,"2,783",Lebanon,LBN
Lesotho,20,Lesotho,LSO
Liberia,"3,334",Liberia,LBR
Libya,376,Libya,LBY
Lithuania,854,Lithuania,LTU
Luxembourg,40,Luxembourg,LUX
Macau,106,Macau,MAC
North Macedonia,895,North Macedonia,MKD
Madagascar,95,Madagascar,MDG
Malawi,159,Malawi,MWI
Malaysia,"2,477",Malaysia,MYS
Maldives,5,Maldives,MDV
Mali,667,Mali,MLI
Malta,43,Malta,MLT
Marshall Islands,46,Marshall Islands,MHL
Mauritania,354,Mauritania,MRT
Mauritius,83,Mauritius,MUS
Mexico,"135,028",Mexico,MEX
"Micronesia, Federated States",4,"Micronesia, Federated States",FSM
Moldova,"2,485",Moldova,MDA
Monaco,8,Monaco,MCO
Mongolia,729,Mongolia,MNG
Montenegro,265,Montenegro,MNE
Morocco,"3,336",Morocco,MAR
Mozambique,73,Mozambique,MOZ
Namibia,57,Namibia,NAM
Nauru,3,Nauru,NRU
Nepal,"13,046",Nepal,NPL
Netherlands,"1,142",Netherlands,NLD
New Caledonia,6,New Caledonia,NCL
New Zealand,921,New Zealand,NZL
Nicaragua,"3,048",Nicaragua,NIC
Niger,37,Niger,NER
Nigeria,"13,840",Nigeria,NGA
Oman,73,Oman,OMN
Pakistan,"13,251",Pakistan,PAK
Palau,16,Palau,PLW
Panama,"1,234",Panama,PAN
Papua New Guinea,27,Papua New Guinea,PNG
Paraguay,448,Paraguay,PRY
Peru,"12,564",Peru,PER
Philippines,"54,446",Philippines,PHL
Poland,"6,430",Poland,POL
Portugal,918,Portugal,PRT
Qatar,191,Qatar,QAT
Romania,"3,773",Romania,ROU
Russia,"9,753",Russia,RUS
Rwanda,540,Rwanda,RWA
Saint Kitts and Nevis,259,Saint Kitts and Nevis,KNA
Saint Lucia,853,Saint Lucia,LCA
Saint Vincent and the Grenadines,529,Saint Vincent and the Grenadines,VCT
Samoa,237,Samoa,WSM
Sao Tome and Principe,6,Sao Tome and Principe,STP
Saudi Arabia,"1,463",Saudi Arabia,SAU
Senegal,"1,340",Senegal,SEN
Serbia,866,Serbia,SRB
Seychelles,6,Seychelles,SYC
Sierra Leone,"1,651",Sierra Leone,SLE
Singapore,835,Singapore,SGP
Slovakia,507,Slovakia,SVK
Slovenia,62,Slovenia,SVN
Somalia,"3,764",Somalia,SOM
South Africa,"2,629",South Africa,ZAF
South Sudan,59,South Sudan,SSD
Spain,"2,480",Spain,ESP
Sri Lanka,"1,847",Sri Lanka,LKA
Sudan,"1,945",Sudan,SDN
Suriname,178,Suriname,SUR
Swaziland,15,Swaziland,SWZ
Sweden,"1,106",Sweden,SWE
Switzerland,697,Switzerland,CHE
Syria,"3,366",Syria,SYR
Taiwan,"5,385",Taiwan,TWN
Tajikistan,550,Tajikistan,TJK
Tanzania,837,Tanzania,TZA
Thailand,"7,583",Thailand,THA
Togo,"1,257",Togo,TGO
Tonga,348,Tonga,TON
Trinidad and Tobago,"4,724",Trinidad and Tobago,TTO
Tunisia,445,Tunisia,TUN
Turkey,"4,144",Turkey,TUR
Turkmenistan,210,Turkmenistan,TKM
Turks and Caicos Islands,50,Turks and Caicos Islands,TCA
Uganda,"1,350",Uganda,UGA
