Country,Total,"New York-Newark-Jersey City, NY-NJ-PA","Los Angeles-Long Beach-Anaheim, CA","Miami-Fort Lauderdale-West Palm Beach, FL","Washington-Arlington-Alexandria, DC-VA-MD-WV","Houston-The Woodlands-Sugar Land, TX","Chicago-Naperville-Elgin, IL-IN-WI","San Francisco-Oakland-Hayward, CA","Dallas-Fort Worth-Arlington, TX","Boston-Cambridge-Newton, MA-NH","Atlanta-Sandy Springs-Roswell, GA","San Jose-Sunnyvale-Santa Clara, CA","San Diego-Carlsbad, CA","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","Seattle-Tacoma-Bellevue, WA","Riverside-San Bernardino-Ontario, CA","Detroit-Warren-Dearborn, MI","Phoenix-Mesa-Scottsdale, AZ","Minneapolis-Saint Paul-Bloomington, MN-WI","Orlando-Kissimmee-Sanford, FL","Tampa-Saint Petersburg-Clearwater, FL","Sacramento--Roseville--Arden-Arcade, CA","Las Vegas-Henderson-Paradise, NV","Baltimore-Columbia-Towson, MD","Denver-Aurora-Lakewood, CO","Portland-Vancouver-Hillsboro, OR-WA","Austin-Round Rock, TX","Charlotte-Concord-Gastonia, NC-SC","San Antonio-New Braunfels, TX","Columbus, OH","Nashville-Davidson--Murfreesboro--Franklin, TN","Bridgeport-Stamford-Norwalk, CT","El Paso, TX","Urban Honolulu, HI","Indianapolis-Carmel-Anderson, IN","Providence-Warwick, RI-MA","Raleigh, NC","Salt Lake City, UT","Kansas City, MO-KS","Hartford-West Hartford-East Hartford, CT","Saint Louis, MO-IL","Jacksonville, FL","Louisville/Jefferson County, KY-IN","Cleveland-Elyria, OH","McAllen-Edinburg-Mission, TX","Cincinnati, OH-KY-IN","Worcester, MA-CT","Stockton-Lodi, CA","Fresno, CA","Virginia Beach-Norfolk-Newport News, VA-NC","Milwaukee-Waukesha-West Allis, WI"
Afghanistan,"10,527",454,428,18,"1,661",350,98,890,454,94,209,94,379,77,276,178,24,125,32,17,50,939,62,97,71,97,76,33,115,31,60,5,15,21,24,4,69,66,27,11,62,76,35,48,,15,7,195,,139,
Albania,"3,828","1,110",13,32,75,41,212,18,25,364,16,8,11,270,16,11,420,22,,15,136,4,28,23,3,,5,4,10,10,13,31,,3,,6,11,,5,47,46,113,,61,,,113,,,,41
Algeria,"1,669",275,32,22,62,48,130,223,33,91,20,7,12,156,18,5,10,4,18,6,7,6,,9,38,,32,3,19,46,3,,3,,18,6,10,,40,4,3,,14,,,6,5,,,3,5
Angola,148,14,,5,3,9,,,6,31,,,,,,,,,,4,,,,,,,,,,,,,,,,10,4,4,,,,,,,,,,,,,
Anguilla,20,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua-Barbuda,369,184,4,16,4,3,,,8,5,24,,3,10,,,,,,20,3,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,5,
Argentina,"3,874",512,262,"1,186",157,155,61,67,91,52,68,29,38,60,21,31,14,11,21,66,29,8,37,8,14,17,18,14,9,14,4,27,6,3,15,8,11,48,10,14,18,6,3,8,4,9,5,,,3,8
Armenia,"2,913",200,"2,031",15,44,7,18,33,19,61,3,35,11,23,15,5,16,9,4,8,5,37,59,10,6,4,3,7,,3,,,,,,,,11,,6,3,,,14,,5,,,40,,
Aruba,40,6,,7,,,3,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,"2,809",492,382,50,64,67,83,138,67,54,40,55,64,29,109,17,24,27,21,19,15,31,12,14,31,35,31,12,9,6,27,18,,27,9,6,5,20,13,9,18,6,4,7,,11,8,,,3,11
Austria,438,76,53,24,21,7,8,31,5,9,10,13,8,4,11,4,10,7,,4,4,,,3,6,3,,4,,,,,,,,,,,,,3,,,,,,,,,,
Azerbaijan,672,152,100,10,47,43,25,20,5,19,9,19,5,12,24,,5,4,3,4,,6,,11,3,5,,,4,5,,3,,,,,,3,11,,4,,,,,,,,,,
Bahamas,654,27,4,247,15,15,11,3,9,,35,,,7,,,6,,6,41,19,,,,,,,4,,,,,,,4,,6,,,3,,10,,,,,,,,,
Bahrain,122,14,5,,3,9,6,5,8,,4,,,6,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,
Bangladesh,"14,645","8,038",516,369,620,196,120,81,435,246,341,73,33,458,67,70,823,78,35,105,39,22,11,78,20,28,31,8,16,46,31,123,,4,13,25,34,9,11,63,12,16,,5,,12,12,,,12,7
Barbados,384,207,,28,16,7,3,,,19,8,,3,13,,,,,,3,4,,,,,,5,,,,,,,,5,,,,,3,,4,,,,,,,,,
Belarus,"2,015",559,97,89,50,19,140,73,23,60,20,51,20,99,61,,16,12,56,15,11,34,12,19,42,6,8,27,,7,4,7,,3,,10,11,3,4,13,4,,,4,,8,,,,9,5
Belgium,632,96,48,36,40,29,9,36,4,21,20,17,8,14,7,4,,6,4,4,,,3,7,4,5,7,7,,,5,6,,,,4,,3,4,,5,3,,4,,6,,,,,
Belize,789,132,238,37,5,45,70,11,28,4,13,7,8,7,,10,,4,,,9,3,8,3,,6,7,3,,,,,,3,,,4,,,,3,6,,,,,,,,,
Benin,517,78,3,,88,9,31,3,15,11,22,,,42,,,,3,11,,,,,4,9,,,8,,6,,6,,,11,,,,,,,,3,3,,4,,,,,
Bermuda,106,10,,10,,,,3,,4,9,,,,,4,,,,3,4,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,"7,298",23,,,38,208,158,22,294,69,362,,8,205,140,,,101,94,,,15,24,87,227,54,35,166,64,330,157,,4,,12,10,16,112,71,17,115,28,144,137,,77,52,,,23,
Bolivia,"1,719",205,67,163,663,56,28,26,19,16,11,10,8,3,9,9,,4,,19,19,3,10,3,,,10,11,3,,3,4,3,,3,58,,10,,9,3,4,,,,,,,,,4
Bosnia-Herzegovina,693,71,9,14,15,11,58,19,17,16,25,5,4,6,10,,30,15,11,,14,,10,3,7,7,6,6,,,,,,,4,,,8,,6,36,8,15,3,,,,,,4,6
Botswana,58,4,,,4,4,,,3,4,,,,5,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,"10,429","1,617",436,"1,459",297,204,149,323,212,"1,152",322,105,143,144,124,37,68,55,63,398,114,33,74,54,38,27,73,74,35,29,22,238,7,23,29,102,20,69,21,37,32,41,10,24,6,17,179,6,6,17,16
British Virgin Islands,56,15,,3,,,,,,5,4,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunei,25,,6,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulgaria,"2,981",273,115,84,130,42,527,80,27,110,105,28,40,41,88,8,26,54,22,28,57,11,130,24,48,14,10,7,4,12,12,20,,3,14,10,14,6,6,,30,13,6,11,,14,4,,3,17,10
Burkina Faso,583,274,,,47,49,12,4,,,10,,3,21,6,,,,4,,,,,7,4,,,,,5,,,,,,,,3,,,3,,,,,11,,,,5,
Burma,"11,144",353,237,36,167,261,263,389,840,53,455,36,56,76,159,11,8,201,424,17,22,28,22,228,192,98,58,154,95,62,193,,5,8,866,12,34,95,215,24,54,179,54,27,,23,12,,,27,252
Burundi,273,17,4,,11,24,7,3,30,7,3,,,,,,,13,3,,,,,,7,,4,,,4,5,,,,,,,4,,,,,3,,,,,,,,
Cambodia,"2,536",37,410,6,55,112,32,67,64,224,50,34,39,96,188,62,4,28,111,9,11,23,14,5,18,29,13,10,3,19,5,7,,6,5,54,,11,9,6,,25,4,14,,42,6,42,13,8,
Cameroon,"3,943",183,67,17,"1,299",185,68,23,188,117,174,19,5,76,11,12,40,38,142,8,9,9,14,213,18,5,37,28,24,68,7,3,3,,13,7,9,4,29,,4,4,15,13,3,21,25,,,10,14
Canada,"11,586","1,197",777,438,233,467,289,432,255,318,215,246,211,129,571,95,285,224,114,94,123,77,140,69,90,110,111,110,52,67,68,38,15,52,65,47,67,59,34,34,64,36,24,62,6,40,26,18,16,30,23
Cape Verde,"1,154",17,,,,,,,10,806,,,,,,,,,,4,,,,,,,,,,,,,,,,275,,,,,,,,,,,,,,,
Cayman Islands,48,8,,13,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central African Republic,155,5,,,20,,4,,,,9,,,,,,,16,,,,,,3,8,6,,,,,,,,,,,11,,3,,,,,4,,,14,,,,
Chad,119,26,,,23,5,5,,,3,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,"1,581",248,103,306,60,36,27,42,49,23,25,22,17,21,24,15,4,14,18,22,18,7,12,6,12,14,14,6,5,,5,5,,5,,4,,39,,4,,4,6,,,4,6,,,,
"China, People's Republic","76,089","19,763","11,021",846,"2,008","1,733","2,020","6,547","1,251","2,327",937,"2,703",837,"1,444","1,878",802,398,412,403,222,214,590,543,715,239,517,234,178,87,289,161,132,38,500,210,171,245,157,189,141,273,91,93,252,15,167,136,124,82,147,153
Colombia,"18,175","4,446",449,"4,321",487,731,278,147,301,452,477,61,92,182,80,90,13,81,54,804,396,23,80,67,40,26,56,172,66,32,43,241,17,6,36,158,67,43,44,60,19,105,19,19,10,17,36,8,3,43,18
Comoros,9,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Congo, Democratic Republic","4,347",78,56,5,226,84,74,19,468,91,171,13,18,22,81,6,6,65,28,9,3,,25,53,79,28,30,200,37,24,41,20,4,,24,16,123,36,13,7,44,4,56,9,,33,18,5,,6,25
