Country,Total,"New York-Newark-Jersey City, NY-NJ-PA","Los Angeles-Long Beach-Anaheim, CA","Miami-Fort Lauderdale-West Palm Beach, FL","Washington-Arlington-Alexandria, DC-VA-MD-WV","Chicago-Naperville-Elgin, IL-IN-WI","Houston-The Woodlands-Sugar Land, TX","San Francisco-Oakland-Hayward, CA","Dallas-Fort Worth-Arlington, TX","Boston-Cambridge-Newton, MA-NH","Atlanta-Sandy Springs-Roswell, GA","San Jose-Sunnyvale-Santa Clara, CA","Seattle-Tacoma-Bellevue, WA","San Diego-Carlsbad, CA","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","Riverside-San Bernardino-Ontario, CA","Phoenix-Mesa-Scottsdale, AZ","Detroit-Warren-Dearborn, MI","Minneapolis-Saint Paul-Bloomington, MN-WI","Tampa-Saint Petersburg-Clearwater, FL","Orlando-Kissimmee-Sanford, FL","Las Vegas-Henderson-Paradise, NV","Sacramento--Roseville--Arden-Arcade, CA","Denver-Aurora-Lakewood, CO","Baltimore-Columbia-Towson, MD","Portland-Vancouver-Hillsboro, OR-WA","Austin-Round Rock, TX","Columbus, OH","Charlotte-Concord-Gastonia, NC-SC","San Antonio-New Braunfels, TX","El Paso, TX","Nashville-Davidson--Murfreesboro--Franklin, TN","Urban Honolulu, HI","Providence-Warwick, RI-MA","Salt Lake City, UT","Indianapolis-Carmel-Anderson, IN","Bridgeport-Stamford-Norwalk, CT","Raleigh, NC","Kansas City, MO-KS","Hartford-West Hartford-East Hartford, CT","Jacksonville, FL","Fresno, CA","Saint Louis, MO-IL","Cincinnati, OH-KY-IN","Stockton-Lodi, CA","Cleveland-Elyria, OH","Milwaukee-Waukesha-West Allis, WI","Louisville/Jefferson County, KY-IN","McAllen-Edinburg-Mission, TX","San Juan-Carolina-Caguas, PR","Worcester, MA-CT"
Afghanistan,"8,328",316,305,21,"1,199",62,424,579,387,38,201,84,246,349,96,75,141,8,37,34,13,65,891,125,72,84,147,35,13,137,9,40,,3,35,20,,41,28,17,83,9,54,,104,17,,28,,,5
Albania,"4,653","1,229",27,31,61,244,48,10,46,427,13,,27,14,352,3,37,532,10,190,24,28,,,24,7,6,39,3,3,,9,,4,7,,48,,4,108,138,,56,3,,74,51,,,,156
Algeria,"1,775",277,55,23,86,99,66,176,23,101,27,8,15,8,217,6,11,6,7,6,8,,6,35,,7,22,88,,22,,,,,,21,6,10,56,15,3,,4,3,,7,9,4,,,4
Andorra,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,154,8,,13,4,,16,3,12,18,4,,,,3,,,,,,3,,,,3,,,4,,,,,,8,,,,,,,,,,,,,,,,,
Anguilla,22,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua-Barbuda,290,131,,28,,,,,,,18,,,,4,,,,,4,11,,,,,,3,,,,,,,3,,,3,,,,,,,,,,,,,3,
Argentina,"3,730",430,241,"1,134",115,83,133,73,60,49,62,86,25,29,30,47,17,17,13,38,70,24,19,11,15,18,16,10,33,14,3,8,4,8,41,15,21,15,,9,15,,23,7,3,9,17,3,4,24,4
Armenia,"2,962",206,"2,047",10,62,22,4,45,18,51,8,27,35,15,25,9,6,5,5,,3,45,55,27,,4,,,,7,,3,,10,9,,,,,7,4,42,3,,,7,,,,,
Aruba,38,11,,7,,,,,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
