Country,Total,"New York-Newark-Jersey City, NY-NJ-PA","Los Angeles-Long Beach-Anaheim, CA","Miami-Fort Lauderdale-West Palm Beach, FL","Washington-Arlington-Alexandria, DC-VA-MD-WV","Chicago-Naperville-Elgin, IL-IN-WI","Houston-The Woodlands-Sugar Land, TX","San Francisco-Oakland-Hayward, CA","Dallas-Fort Worth-Arlington, TX","Boston-Cambridge-Newton, MA-NH","Atlanta-Sandy Springs-Roswell, GA","Seattle-Tacoma-Bellevue, WA","San Jose-Sunnyvale-Santa Clara, CA","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","San Diego-Carlsbad, CA","Riverside-San Bernardino-Ontario, CA","Detroit-Warren-Dearborn, MI","Phoenix-Mesa-Scottsdale, AZ","Orlando-Kissimmee-Sanford, FL","Minneapolis-Saint Paul-Bloomington, MN-WI","Tampa-Saint Petersburg-Clearwater, FL","Sacramento--Roseville--Arden-Arcade, CA","Las Vegas-Henderson-Paradise, NV","Denver-Aurora-Lakewood, CO","Baltimore-Columbia-Towson, MD","Portland-Vancouver-Hillsboro, OR-WA","Austin-Round Rock, TX","Charlotte-Concord-Gastonia, NC-SC","San Antonio-New Braunfels, TX","Columbus, OH","Providence-Warwick, RI-MA","Indianapolis-Carmel-Anderson, IN","Nashville-Davidson--Murfreesboro--Franklin, TN","El Paso, TX","Bridgeport-Stamford-Norwalk, CT","Urban Honolulu, HI","Raleigh, NC","Salt Lake City, UT","Kansas City, MO-KS","Jacksonville, FL","Louisville/Jefferson County, KY-IN","Cincinnati, OH-KY-IN","Hartford-West Hartford-East Hartford, CT","Stockton-Lodi, CA","Fresno, CA","Worcester, MA-CT","Cleveland-Elyria, OH","Bakersfield, CA","McAllen-Edinburg-Mission, TX","Cape Coral-Fort Myers, FL","San Juan-Carolina-Caguas, PR"
Afghanistan,"12,513",329,507,9,"1,648",98,558,780,490,51,197,446,170,106,503,89,81,155,5,55,41,"2,022",95,175,76,154,153,11,181,22,15,30,45,8,,,42,55,23,93,56,11,17,172,4,3,41,,,5,
Albania,"5,773","1,681",49,64,94,293,42,12,49,497,20,18,,386,13,12,711,36,29,6,200,,31,9,21,8,13,10,,35,9,11,7,,38,,11,5,5,179,,,102,,3,183,92,,,16,
Algeria,"2,180",400,37,31,108,147,59,152,31,84,29,20,8,241,8,8,13,4,8,17,6,21,6,52,8,4,37,3,28,127,3,39,4,,,,12,,79,,15,8,14,,3,3,6,,,,
Andorra,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,198,15,,8,9,,31,,9,27,4,,,6,,,,,,,3,,,,,,,,,,16,,,,,,3,,,,,,,,,,,,,,
Anguilla,20,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,324,165,,12,8,,,,3,9,18,,,4,,,,,9,5,4,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,3
Argentina,"4,091",544,262,"1,218",130,54,172,99,93,56,78,37,58,44,30,38,13,27,75,6,37,16,28,29,14,41,16,13,16,10,6,7,7,5,25,3,12,45,10,16,,7,7,3,,10,4,8,4,15,30
Armenia,"3,543",217,"2,466",12,61,16,7,48,9,62,17,21,25,28,14,5,16,9,5,,7,106,63,11,8,7,6,4,,7,12,,4,,3,4,,23,3,,,7,3,,41,5,4,3,,,
Aruba,23,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,"3,239",482,432,56,55,99,80,184,59,75,47,134,62,30,73,16,22,43,28,23,20,20,26,48,22,46,31,24,13,9,6,6,27,,24,31,9,28,16,19,5,19,4,,4,8,8,,,,
