Country,Total,"New York-Newark-Jersey City, NY-NJ-PA","Los Angeles-Long Beach-Anaheim, CA","Miami-Fort Lauderdale-Pompano Beach, FL","San Francisco-Oakland-Berkeley, CA","Houston-The Woodlands-Sugar Land, TX","Chicago-Naperville-Elgin, IL-IN-WI","Washington-Arlington-Alexandria, DC-VA-MD-WV","Dallas-Fort Worth-Arlington, TX","Boston-Cambridge-Newton, MA-NH","Seattle-Tacoma-Bellevue, WA","San Jose-Sunnyvale-Santa Clara, CA","Atlanta-Sandy Springs-Alpharetta, GA","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","Detroit-Warren-Dearborn, MI","Phoenix-Mesa-Chandler, AZ","San Diego-Chula Vista-Carlsbad, CA","Riverside-San Bernardino-Ontario, CA","Orlando-Kissimmee-Sanford, FL","Minneapolis-Saint Paul-Bloomington, MN-WI","Sacramento-Roseville-Folsom, CA","Austin-Round Rock-Georgetown, TX","Denver-Aurora-Lakewood, CO","Tampa-Saint Petersburg-Clearwater, FL","Las Vegas-Henderson-Paradise, NV","Portland-Vancouver-Hillsboro, OR-WA","Baltimore-Columbia-Towson, MD","San Antonio-New Braunfels, TX","Charlotte-Concord-Gastonia, NC-SC","Columbus, OH","Raleigh-Cary, NC","Indianapolis-Carmel-Anderson, IN","Nashville-Davidson--Murfreesboro--Franklin, TN","Kansas City, MO-KS","Salt Lake City, UT","Bridgeport-Stamford-Norwalk, CT","Providence-Warwick, RI-MA","Saint Louis, MO-IL","Cincinnati, OH-KY-IN","Cleveland-Elyria, OH","Hartford-East Hartford-Middletown, CT","El Paso, TX","McAllen-Edinburg-Mission, TX","Stockton, CA","Jacksonville, FL","Worcester, MA-CT","Pittsburgh, PA","Urban Honolulu, HI","Milwaukee-Waukesha, WI","Louisville/Jefferson County, KY-IN","Fresno, CA"
Afghanistan,"11,407",208,254,9,591,435,111,"1,726",450,24,655,61,161,108,21,103,349,42,,58,"2,413",255,224,16,33,80,109,622,18,21,52,24,32,23,55,,,102,10,84,14,,,98,46,14,24,,6,15,8
Albania,"3,508","1,055",19,28,13,19,224,52,26,299,22,,8,247,424,17,12,,8,3,11,4,,131,25,3,8,8,4,17,,6,4,,,23,5,42,,72,60,,,,104,93,,,42,,
Algeria,"1,581",218,33,13,124,63,158,30,27,43,12,4,20,148,12,5,3,16,7,9,11,33,37,,,7,3,19,4,157,9,46,,105,,,,,11,9,13,,,,,,19,,3,5,
Angola,181,14,4,6,4,34,,6,10,10,3,,,3,,,,,,,,,,8,,,,,3,,3,,6,,,,9,,,,,,,,,,,,,5,
Anguilla,11,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,190,87,,10,,7,,,6,,,,9,12,,,,,3,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,"2,970",335,136,923,105,140,83,98,85,28,49,39,37,29,8,15,18,32,51,16,13,11,23,35,17,17,3,5,13,11,10,4,6,10,30,32,,24,,5,8,4,,,,,14,,9,4,5
Armenia,"2,145",138,"1,587",11,23,5,9,9,4,45,16,24,,3,,,,10,,,58,,12,3,35,9,,,4,,,,,,6,,,,5,4,3,,,,,,,,,,41
Aruba,22,3,,4,,3,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,"2,523",393,316,33,183,70,73,40,42,53,144,61,46,43,45,35,49,21,23,14,10,24,45,19,21,24,11,6,9,6,13,9,18,5,18,19,5,11,9,,8,,,4,10,,12,16,6,4,4
Austria,311,46,42,10,30,7,7,14,6,7,6,13,11,4,,6,10,,3,,3,,3,,,,,,3,,,,,,3,3,,,,,,,,,,,3,,,,
Azerbaijan,814,170,83,23,6,62,34,66,8,51,29,43,9,11,3,,3,,7,6,17,4,,,3,5,10,4,13,5,,,,4,7,,,7,,3,3,,,,,3,8,,,,
Bahamas,614,32,,251,3,11,,6,12,6,,,35,7,,,,,29,4,,4,,19,4,,,,3,4,3,3,7,,,5,,3,,8,,,,,8,,,,4,,
Bahrain,127,14,5,,6,12,5,5,,4,7,4,,,,,,,5,3,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,
Bangladesh,"9,272","4,268",276,162,45,133,78,570,227,134,79,81,231,322,804,35,20,48,56,71,19,52,22,32,4,68,53,7,14,34,43,41,9,26,,42,,39,11,11,36,,,8,,4,8,,9,,
Barbados,226,92,,15,3,,,6,,16,,,10,4,,,,,11,,,,,3,,,,,,,,,,,,3,,4,,,3,,,,4,,,,,,
Belarus,"1,723",269,105,76,90,16,154,35,18,37,90,76,36,97,4,6,15,6,8,41,77,19,37,18,4,12,6,,28,3,19,5,,,,6,3,9,3,11,10,,,,6,4,13,,11,,
Belgium,629,92,28,43,49,24,15,25,14,17,21,24,10,17,5,5,7,,7,8,,7,6,7,3,4,6,,6,,4,5,7,,3,8,,,12,,,,,,,,,3,,,
Belize,475,66,103,10,6,23,64,13,18,5,3,,6,,4,8,,9,5,,,,,7,8,3,,,7,,,,,,,,,,,,,,,,4,,,,,,
Benin,450,46,3,,,9,27,53,12,,9,,3,15,,,,,,6,,,14,,,,3,3,5,15,4,14,,5,,,,,6,,,,,,,,,,,,
Bermuda,67,15,,4,,3,,,,,,,7,,,,,,3,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,
Bhutan,"1,091",25,,,,8,16,,32,,6,,40,18,,3,,,,15,,3,21,,3,19,9,3,18,107,,,27,8,6,,,7,47,34,,,,,,11,88,,,36,
Bolivia,976,68,45,76,13,31,21,333,26,16,9,9,6,6,,,5,3,7,4,,11,3,11,5,,12,,8,,,,,,5,7,14,,,,,,,,10,,4,,4,,
Bosnia and Herzegovina,477,48,13,11,12,6,45,6,17,17,10,10,17,,11,20,,,,,,,9,5,6,3,,3,5,3,,,,,8,,,30,,,3,,,,6,,,,3,6,
Botswana,43,11,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,
Brazil,"16,746","1,670",620,"2,364",586,382,354,283,355,"1,386",235,198,511,267,606,83,183,73,"1,172",108,23,198,80,210,89,84,65,36,137,45,96,45,55,69,141,248,142,97,45,52,49,3,5,7,107,215,38,33,21,17,14
Brunei,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulgaria,"1,118",106,33,50,38,14,196,34,9,38,20,20,32,15,10,19,19,,9,3,13,8,19,23,32,8,13,4,4,4,,3,,,6,3,6,13,3,,,,,,4,,,5,4,,
Burkina Faso,465,214,3,,,24,7,19,4,3,15,,7,27,,,,,,,,,7,,,,4,,,7,,4,4,3,3,,,,12,5,,,,,,,,,,,
Burma,"4,000",122,117,12,237,98,191,32,196,21,52,21,186,18,4,64,10,,5,183,4,17,48,13,5,65,44,26,64,21,10,311,42,61,32,6,,5,10,,3,,,13,29,4,13,3,221,26,5
Burundi,"1,099",5,,,,17,,10,87,6,13,,25,6,,61,9,,,27,,14,9,13,,3,16,23,,10,14,15,13,14,32,,19,,18,13,7,,,,,,9,,,26,
